Entity,Code,Year,Penn World Table 9.0 (Real GDP at chained PPPs in 2011US$) (US$ (PPP-adjusted; real 2011)),CO₂ emissions per capita (tonnes) (tonnes per year),Total population (Gapminder)
Sri Lanka,LKA,1901,,,4031000
Sri Lanka,LKA,1902,,,4071000
Sri Lanka,LKA,1903,,,4156000
Sri Lanka,LKA,1904,,,4233000
Sri Lanka,LKA,1905,,,4383000
Sri Lanka,LKA,1906,,,4458000
Sri Lanka,LKA,1907,,,4467000
Sri Lanka,LKA,1908,,,4520000
Sri Lanka,LKA,1909,,,4585000
Sri Lanka,LKA,1910,,,4668000
Sri Lanka,LKA,1911,,,4757000
Sri Lanka,LKA,1912,,,4784000
Sri Lanka,LKA,1913,,,4811000
Sri Lanka,LKA,1914,,,4838000
Sri Lanka,LKA,1915,,,4905000
Sri Lanka,LKA,1916,,,4971000
Sri Lanka,LKA,1917,,,5040000
Sri Lanka,LKA,1918,,,5109000
Sri Lanka,LKA,1919,,,5179000
Sri Lanka,LKA,1920,,,5250000
Sri Lanka,LKA,1921,,,5304000
Sri Lanka,LKA,1922,,,5367000
Sri Lanka,LKA,1923,,,5426000
Sri Lanka,LKA,1924,,,5452000
Sri Lanka,LKA,1925,,,5505000
Sri Lanka,LKA,1926,,,5545000
Sri Lanka,LKA,1927,,,5591000
Sri Lanka,LKA,1928,,,5730000
Sri Lanka,LKA,1929,,,5669000
Sri Lanka,LKA,1930,,,5707000
Sri Lanka,LKA,1931,,,5748000
Sri Lanka,LKA,1932,,,5788000
