"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&end=2014"
"Wed Oct 11 2017 10:21:53 GMT+0300 (EEST)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"","Belgium","Quad Btu",0.185,0.188,0.217,0.29768270958,0.336,0.4,0.44398889063,0.461,0.45562917204,0.43249589323,0.44042252,0.438363156,0.443209668,0.4251687122,0.41304616,0.421,0.43907522095,0.478,0.468,0.498,0.49206067117,0.477,0.487,0.486,0.489,0.493416794635,0.493855014834,0.515770261393,0.454946933979,0.47552397776,0.473475988768,0.475691783502,0.398263217984,0.420710564683,0.332307085014
"","Belize","Quad Btu",0.0004155201316,0.0004181201048,0.0004181601852,0.000420800728,0.0004176,0.00041788,0.00041784,0.00041676,0.00041296,0.00041728,0.00041608,0.00041744,0.00041368,0.00041236,0.00041264,0.00082496,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00040225977,0.00539904137,0.00639565652,0.00700029562,0.0080002928,0.009,0.008,0.007,0.006,0.004
"","Benin","Quad Btu",,,,0.009,0.016,0.018,0.018,0.016,0.011,0.009,0.009,0.009,0.013,0.013,0.013,0.007,0.004017578,0.0030173621,0.0020173349,0.0020173842,0.002020402,0.002020666,0.002020346,2.025E-005,1.0016E-005,,3.9676E-005,2.9652E-005,,,,,,,
"","Bermuda","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bhutan","Quad Btu",6.232801974E-005,7.317101834E-005,8.363203704E-005,8.41601456E-005,8.352E-005,8.3576E-005,0.003,0.012,0.016,0.016,0.016,0.016,0.017,0.017,0.018,0.019,0.02,0.019,0.018,0.018,0.018,0.021,0.023,0.026,0.023,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001
"","Bolivia","Quad Btu",0.148636508,0.136,0.152,0.151,0.157,0.151,0.149,0.148,0.158,0.169,0.171,0.17,0.178,0.173,0.177,0.197,0.2,0.205,0.212,0.186,0.216,0.276,0.321,0.362,0.505,0.571569943,0.598575302,0.633612808,0.634,0.549,0.616,0.672,0.764,0.873,0.913
"","Bosnia and Herzegovina","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.056805504,0.042,0.055,0.092,0.077,0.123,0.144,0.151,0.155,0.159,0.124,0.121,0.138,0.081,0.082,0.086,0.095,0.094,0.089,0.099,0.097,0.087,0.088
"","Botswana","Quad Btu",0.007,0.008,0.008,0.008,0.008,0.009,0.01,0.01,0.012,0.013,0.016,0.016,0.018,0.018,0.018,0.018,0.015,0.016,0.019,0.015,0.019,0.018,0.019,0.017,0.018,0.02,0.019,0.017,0.018,0.015,0.02,0.016,0.03,0.03,0.03
"","Brazil","Quad Btu",1.89300992,1.987,2.205519996,2.524,3.027,3.368,3.398,3.441,3.528,3.721,3.764,3.917,3.971,4.101,4.27053496415,4.479,4.845,5.076,5.491,5.896,6.375,6.167,6.714,7.031,7.155,4.33818537376,4.59047746656,4.66465922475,4.77080581114,4.93760415136,5.25465752461,5.45923203692,5.48611591755,5.57467848468,6.01279350794
"","Brunei","Quad Btu",0.9461577,0.806,0.764,0.79,0.736,0.711,0.736,0.689,0.682,0.672,0.723,0.681,0.704,0.711,0.722,0.751,0.726,0.742,0.702,0.775,0.816,0.837,0.793,0.829,0.85,0.881,0.986,0.863,0.835,0.737,0.765,0.828,0.776,0.729,0.677
"","Bulgaria","Quad Btu",0.294459534,0.318,0.346,0.367,0.38,0.362,0.379,0.393,0.40733005,0.40633005,0.367465842,0.3363213042,0.32627918,0.345,0.352,0.393,0.417,0.39,0.392,0.3477041811,0.38,0.38013871732,0.40307027685,0.37206688661,0.365033231415,0.341482246,0.356070737,0.334248292512,0.342250452,0.3238425199,0.3360296219,0.406995584,0.369560166,0.330555896,0.361244084
"","Burkina Faso","Quad Btu",,,,,,,,,,,9.3618E-005,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.001,0.001,0.000795366,0.001,0.000989497,0.000547649,0.000651072,0.000972,0.001,,,,,,,,,,
"","Burma (Myanmar)","Quad Btu",0.0860996,0.082,0.094,0.098,0.107,0.107,0.106,0.092,0.079,0.088,0.084,0.087,0.085795684,0.090634808,0.101476106,0.100476106,0.0963182736,0.094317404,0.101317404,0.090317404,0.165,0.276,0.378,0.431,0.458,0.54,0.536,0.565,0.523,0.483,0.51,0.502,0.509,0.515,0.677
"","Burundi","Quad Btu",2.077600658E-005,2.090600524E-005,2.090800926E-005,0.0002419604186,0.00040716,0.000480562,0.000637206,0.000979386,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000991922,0.000999698,0.001,0.001,0.001,0.00090144,,,,,,,,,,
"","Cambodia","Quad Btu",0.00050901216121,0.00055400913886,0.00057497025465,0.000420800728,0.0003132,0.000365645,0.00041784,0.000468855,0.0005162,0.000563328,0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000320323,0.00030519,0.000497053,0.000420756,0.000149985,0.000168623,0.000158144,,,,,,,
"","Cameroon","Quad Btu",0.140264144,0.208,0.258,0.268,0.316,0.426,0.408,0.402,0.381,0.396,0.377,0.36,0.332,0.303,0.261,0.269,0.264,0.3,0.294,0.251,0.22,0.202,0.184,0.18,0.183,0.179,0.194720426,0.1814906801,0.1777394961,0.1677394961,0.1417394961,0.139,0.147,0.149,0.18
"","Canada","Quad Btu",10.12763118,9.935,9.93,10.184,11.116,11.771,11.683,12.321,13.134,13.034,13.109,13.639,14.187,15.082,16.007,16.473,16.862,17.006,16.997,17.26,17.728,17.841,18.194,18.116,18.503,15.1362394047,15.5930540491,15.7549437207,15.1221394985,14.5583492393,14.6095487809,14.7790583773,15.2039987714,15.8374507007,16.710731584
"","Cape Verde","Quad Btu",,,,,,,,,,,,,,2.0618E-005,5.158E-005,6.1872E-005,7.238E-005,7.1491E-005,8.1576E-005,8.1808E-005,8.1608E-005,6.1998E-005,6.1038E-005,5.1205E-005,6.0132E-005,5.9994E-005,6.9433E-005,6.9188E-005,5.9124E-005,6.832E-005,,,,,
"","Cayman Islands","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Central African Republic","Quad Btu",0.00068560821714,0.0006794451703,0.00071087231484,0.0006732811648,0.00072036,0.00062682,0.000793896,0.000760587,0.000763976,0.000771968,0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001,,,,,,,,,,
"","Chad","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,0.082,0.39,0.402,0.36,0.328,0.29,0.272,0.279,0.262,0.239,0.239,0.251
"","Chile","Quad Btu",0.267042032,0.283,0.26,0.254,0.262,0.267,0.252,0.256,0.25,0.25,0.291,0.284,0.317,0.324,0.322,0.347,0.329,0.331,0.286,0.222,0.276,0.311,0.312,0.335,0.301,0.115069993,0.106069433,0.108088956,0.087374452,0.09577104,0.1,0.093,0.079,0.101,0.092
"","China","Quad Btu",18.691723396,18.507,19.525,20.881,22.839,25.091,25.844,26.775,28.037,29.755,30.401,30.646,31.386,32.475,34.533,36.188,38.163,37.611,37.276,37.063,39.368,41.999,44.076,50.238,57.401,59.5829112765,64.3467638568,68.9473661066,72.4621724298,77.3080876063,84.6247722635,92.0149275789,96.0035733975,97.3029314866,95.8286661863
"","Colombia","Quad Btu",0.652966136,0.661,0.745,0.773,0.917,0.999,1.362,1.521,1.581,1.74,1.904,1.826,1.847,1.94,2.01,2.376,2.613,2.723,2.928,3.083,2.939,2.945,2.759,2.946,3.048,2.770489951,2.952624897,3.066484316,3.319532116,3.52856608,3.842,4.385,4.564,4.635,4.673
"","Comoros","Quad Btu",2.077600658E-005,2.090600524E-005,2.090800926E-005,2.10400364E-005,2.088E-005,2.0894E-005,2.0892E-005,2.0838E-005,2.0648E-005,2.0864E-005,2.0804E-005,2.0872E-005,2.0684E-005,2.0618E-005,2.0632E-005,2.0624E-005,2.068E-005,2.0426E-005,2.0394E-005,2.0452E-005,2.0402E-005,2.0666E-005,3.0519E-005,4.05E-005,5.008E-005,,,,,,,,,,
"","Congo (Brazzaville)","Quad Btu",0.1390297,0.1766282,0.1906282,0.1867329,0.2597329,0.258,0.2544188,0.264,0.308,0.35,0.353,0.334,0.372,0.386,0.383,0.401,0.43,0.558,0.581,0.594,0.614,0.559,0.547,0.538,0.517,0.5,0.526,0.459,0.518,0.596,0.688,0.667,0.654,0.626,0.622
"","Congo (Kinshasa)","Quad Btu",0.09102696,0.09,0.095,0.104,0.121,0.126,0.126,0.126,0.123,0.124,0.122,0.116,0.12,0.112,0.112,0.129,0.129,0.113,0.106,0.103,0.119,0.116,0.114,0.112,0.118,0.045,0.0461440852,0.051,0.046,0.05,0.049,0.0473241917,0.046,0.047,0.046
"","Cook Islands","Quad Btu",,,,,,,,,,,,,1.0342E-006,1.0309E-006,1.0316E-006,1.0312E-006,1.034E-006,1.0213E-006,1.0197E-006,1.0226E-006,1.0201E-006,1.0333E-006,1.0173E-006,1.0241E-006,1.30286E-006,1.29987E-006,1.28947E-006,2.9652E-007,2.9562E-007,2.928E-007,,,,,
"","Costa Rica","Quad Btu",0.022,0.024,0.025,0.03,0.031,0.029,0.03,0.031,0.031,0.034,0.035,0.038,0.042,0.045,0.045,0.041,0.045,0.055,0.05,0.061,0.069,0.07,0.074,0.072,0.079,0.013479952,0.01559514,0.01469188,0.013,0.015,0.012,,,,
"","Cote dIvoire (IvoryCoast)","Quad Btu",0.016160132,0.033,0.037,0.061,0.062,0.074,0.055,0.052,0.039,0.017,0.018,0.017,0.014,0.012,0.027,0.036,0.073,0.082,0.087,0.1,0.093,0.092,0.09,0.106,0.12,0.131,0.18,0.166,0.185,0.181,0.151,0.138,0.145,0.143,0.148
"","Croatia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.2,0.21,0.211,0.208,0.215,0.186,0.19,0.187,0.181,0.19,0.166,0.171,0.179,0.103239976,0.10129757,0.113425012,0.11039416,0.11252704,0.107,0.09,0.089,0.085,0.079
"","Cuba","Quad Btu",0.023911216,0.03132457,0.0363244666667,0.04128269,0.04812564,0.05425128,0.0572094,0.05781666,0.05174337,0.052,0.053,0.051,0.056,0.061,0.07,0.074,0.086,0.112,0.1,0.12,0.131,0.138,0.134,0.152,0.159,0.1410109989,0.1400109109,0.14304942,0.16319708,0.1541952,0.161,0.166,0.158,0.153,0.149
"","Cyprus","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,9.999E-006,9.919E-006,9.884E-006,,,,,,,
"","Czech Republic","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,1.56810511635,1.4411695425,1.39703729935,1.442170007,1.389339085,1.281339085,1.154339085,1.251,1.281,1.286,1.363,1.379,1.305247284,1.332604139,1.333646485,1.286978598,1.233296815,1.219074151,1.266958456,1.252528533,1.1450687684,1.111913107
"","Denmark","Quad Btu",0.0127827240987,0.0313240430812,0.0732927121296,0.095631201092,0.10869948,0.167908889,0.238,0.305,0.311,0.367,0.382,0.461,0.514,0.556,0.594,0.615,0.709,0.816,0.839,0.982,1.145,1.118,1.178,1.185,1.285,1.301019998,1.220019838,1.12,1.06,0.937,0.832,0.718,0.647,0.552,0.525
"","Djibouti","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Dominica","Quad Btu",9.349202961E-005,0.0001045300262,9.408604167E-005,0.000157800273,0.00016704,0.000146258,0.000135798,0.000145866,0.000165184,0.000166912,0.000166432,0.000166976,0.000165472,0.000164944,0.000175372,0.000195928,0.00019646,0.00020426,0.000275319,0.000327232,0.000326432,0.000278991,0.00030519,0.000293625,0.000340544,,,,,4.88E-006,,,,,
"","Dominican Republic","Quad Btu",0.007,0.009,0.009,0.009,0.007,0.011,0.01,0.01,0.009,0.006,0.004,0.006,0.006,0.012,0.006,0.007,0.009,0.007,0.008,0.012,0.008,0.008,0.009,0.013,0.017,4.9995E-005,0.000287651,0.000375592,,4.88E-006,,,,,
"","Ecuador","Quad Btu",0.46303726,0.475,0.476,0.543,0.606,0.661,0.692,0.432,0.718,0.668,0.682,0.712,0.764,0.822,0.874,0.92,0.945,0.924,0.896,0.899,0.953,0.984,0.943,0.981,1.241,1.17750034996,1.19300039676,1.142009884,1.119029562,1.07502928,1.078,1.104,1.105,1.171,1.241
"","Egypt","Quad Btu",1.45237062,1.482,1.69,1.841,2.08,2.233,2.092,2.299,2.238,2.32,2.361,2.395,2.388,2.48,2.522,2.6,2.649,2.511,2.477,2.594,2.546,2.691,2.666,2.849,2.858,3.0040019998,3.0630019838,3.141,3.674,3.86,3.803,3.706,3.73,3.568,3.266
"","El Salvador","Quad Btu",0.016,0.016,0.017,0.016,0.018,0.017,0.017,0.016,0.018,0.019,0.019,0.013,0.014,0.016,0.017,0.02,0.024,0.02,0.021,0.024,0.02,0.022,0.022,0.026,0.025,0.011889911,0.012,0.015,0.015,0.015,0.015,,,,
"","Equatorial Guinea","Quad Btu",2.077600658E-005,2.090600524E-005,2.090800926E-005,2.10400364E-005,2.088E-005,2.0894E-005,2.0892E-005,2.0838E-005,2.0648E-005,2.0864E-005,2.0804E-005,0.000220308,0.003020684,0.009020618,0.010020632,0.010020624,0.03402068,0.104030639,0.1667700871,0.2037701741,0.336020402,0.363020666,0.471050865,0.460070875,0.739070112,0.79,0.762,0.831,0.927,0.91,0.88,0.839,0.846,0.811,0.788
"","Eritrea","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,1.0213E-005,1.0197E-005,1.0226E-005,1.0201E-005,1.0333E-005,1.0173E-005,1.0241E-005,1.0022E-005,9.999E-006,1.9838E-005,,,,,,,,
"","Estonia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,1.0342E-005,1.0309E-005,3.0948E-005,8.2496E-005,7.238E-005,0.000112343,0.000173349,0.000173842,0.000193819,0.000196327,0.00030519,0.000500301,0.000601188,0.000889911,0.001150604,0.001225616,0.001,0.002,,,,,
"","Ethiopia","Quad Btu",0.005,0.005,0.006,0.007,0.007,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.013,0.014,0.015,0.015,0.016,0.016,0.016,0.017,0.02,0.02,0.023,0.025,,,,0.000137956,0.00023424,0.000175608,*,,,
"","Falkland Islands (Islas Malvinas)","Quad Btu",,,,,,,,,,,,,,,,,,,,,2.0402E-006,2.0666E-006,2.0346E-006,2.56025E-006,2.5055E-006,2.49975E-006,2.9757E-006,2.9652E-006,1.9708E-005,1.952E-005,,,,,
"","Faroe Islands","Quad Btu",0.00050901216121,0.00051219712838,0.00051224622687,0.0005154808918,0.00051156,0.000511903,0.000511854,0.000510531,0.000640088,0.000740672,0.000769748,0.000772264,0.000858386,0.000756917707,0.00077994118,0.00077927784,0.00072528896,0.000772266208,0.000785648259,0.00071597339,0.000773082785,0.000782197767,0.000977503224,0.000889555063,0.001,0.000103309668,0.000148566782,0.000155761956,0.000127796526,0.0001464488,,,,,
"","Fiji","Quad Btu",,,,0.0005154808918,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.004,0.004,0.0002009799,0.0001993719,0.00029652,0.00019708,0.0001952,,,,,
"","Finland","Quad Btu",0.174,0.284,0.299,0.314,0.321,0.314,0.315,0.334,0.328,0.322,0.354,0.38,0.394,0.394,0.377,0.386,0.374,0.402,0.463,0.442,0.456,0.443,0.418,0.415,0.477,0.327246014052,0.334601422733,0.331737048835,0.22809228735,0.233717042467,0.223448756363,0.227297273022,0.225260557026,0.231813930981,0.231318663302
"","Former Czechoslovakia","Quad Btu",2.16270312031,2.1331499931,2.173170017,2.243170017,2.300170007,2.320170017,2.386170017,2.428170017,2.403170007,2.3211695425,2.0931695425,1.9741695425,1.810170007,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Serbia and Montenegro","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.458,0.443,0.427,0.485,0.499,0.493,0.507,0.427,0.431,0.432,0.435,0.418,0.431,--,--,--,--,--,--,--,--,--,--
"","Former U.S.S.R.","Quad Btu",59.48113498,59.771,61.71,63.168,66.238,68.255,70.854,72.869,75.515,74.999,75.327,69.225,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Yugoslavia","Quad Btu",0.913463092,0.982,1.009,1.038,1.143,1.197,1.229,1.22,1.243,1.226,1.179,1.107,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","France","Quad Btu",2.010577064,2.345,2.325,2.66,3.075,3.282,3.55,3.709,3.829,3.829,4.048,4.258,4.439,4.677,4.721,4.805,4.889,4.812,4.683,4.837,4.967,5.109,5.104,5.115,5.166,4.61329776662,4.61126811938,4.52596127996,4.4786096082,4.20573023738,4.3308740973,4.46214275429,4.28728329863,4.2404729791,4.37562635353
"","French Guiana","Quad Btu",,,,,,,,,,,,,,,,,,,,,,0.005,0.006,0.006,0.006,,,,,,,,,,
"","French Polynesia","Quad Btu",,,,0.0001683202912,0.00025056,0.000334304,0.00036561,0.000364665,0.000598792,0.000667648,0.000717738,0.000772264,0.00093078,0.000969046,0.000990336,0.001,0.001,0.001,0.002,0.000889662,0.001,0.001,0.001,0.002,0.002,,,,,,,,,,
"","Gabon","Quad Btu",0.3831264,0.331,0.342,0.349,0.35,0.379,0.365,0.344,0.354,0.457,0.59,0.643,0.653,0.684,0.719,0.796,0.805,0.807,0.768,0.723,0.69,0.592,0.552,0.531,0.528,0.576069993,0.514069433,0.528069188,0.538,0.523,0.531,0.522,0.51,0.489,0.489
"","Gambia, The","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Georgia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.07574337,0.074,0.076,0.055,0.064,0.069,0.071,0.072,0.065,0.063,0.0714737912,0.0717289016,0.0647070063,0.0045138381,0.0023651571,0.00233019525,0.0022641562,0.0053213665,0.0036786335,0.0042282231875,0.006,0.009,0.007
"","Germany","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,5.405,5.208,4.922,4.768,4.725,4.811,4.699,4.489,4.573,4.626,4.709,4.755,4.731,4.801,4.52131118152,4.62737767877,4.55584165564,4.17894342752,3.92600989981,3.49613680652,3.22962164926,3.14173497427,3.04146694691,2.90794527916
"","Germany, East","Quad Btu",2.459149884,2.536,2.587,2.637,2.805,2.952,2.912,2.883,2.908,2.817,2.356,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Germany, West","Quad Btu",3.425573944,3.549,3.534,3.492,3.773,4.037,3.865,3.968,4.064,3.981,3.821,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Ghana","Quad Btu",0.059320264,0.06,0.056,0.031,0.023,0.033,0.046649992,0.048,0.05,0.054,0.059,0.063,0.07,0.067,0.065,0.071,0.081,0.08,0.05,0.065,0.082,0.083,0.066,0.054,0.067,0.013,0.013,0.013,0.013,0.013,0.016,0.166,0.17,0.212,0.23
"","Gibraltar","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Greece","Quad Btu",0.141,0.178,0.211,0.223,0.241,0.253,0.269,0.293,0.3,0.303,0.297,0.315,0.311,0.305,0.312,0.32288695,0.34,0.333,0.33588695,0.3356467361,0.349,0.349,0.37,0.381,0.388,0.33981631108,0.320009919,0.327972257265,0.32564520505,0.32551665845,0.264309747865,0.27327100731,0.29230427404,0.25025596312,0.23623978885
"","Greenland","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Grenada","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Guadeloupe","Quad Btu",,,,,,,0.00031338,0.00031257,0.00030972,0.00031296,0.00031206,0.00031308,0.00031026,0.0003164863,0.0003167012,0.0003165784,0.00032054,0.000357455,0.00040788,0.00040904,0.00051005,0.00051665,0.00061038,0.002,0.002,0.00149985,0.00148785,0.0014826,0.0014781,0.001464,0.0009756,,,,
"","Guam","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Guatemala","Quad Btu",0.01687935,0.015,0.019,0.024,0.018,0.015,0.029,0.027,0.027,0.031,0.034,0.036,0.032,0.038,0.043,0.045,0.052,0.059,0.075,0.081,0.078,0.077,0.067,0.091,0.085,0.051,0.058,0.051,0.037,0.033,0.029,0.024,0.023,0.022,0.022
"","Guinea","Quad Btu",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.006,0.006,0.004,0.005,,,,,,,,,,
"","Guinea-Bissau","Quad Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Guyana","Quad Btu",5.194001645E-005,5.22650131E-005,5.227002315E-005,5.2600091E-005,5.22E-005,5.2235E-005,5.223E-005,5.2095E-005,5.162E-005,5.216E-005,5.201E-005,5.218E-005,5.171E-005,5.1545E-005,5.158E-005,5.156E-005,5.17E-005,5.1065E-005,6.1182E-005,6.1356E-005,,,,,,,,,,,,,,,
"","Haiti","Quad Btu",0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,,,,,,,,,,
