year,World,Netherlands,Great Britain,Sweden,Germany,France,Italy,Ireland,Belgium,Spain,Poland,Russia,USA,Chile,Brazil,Argentina,Mexico,Peru
1475,,17,5,1,9,6,15,0,10,3,0,,,,,,,
1550,,12,16,1,16,19,18,0,17,4,0,,,,,,,
1650,,53,53,23,31,29,23,3,25,5,3,,,,,,,
1750,,85,54,48,38,29,23,21,13,8,5,,,,,,,
1820,12,,53,75,,38,22,,,20,,8,,,,,,
1870,19,,76,80,,69,32,,,30,,15,80,,,,,
1880,20,,,,,,,,,,,,83,,,,,
1890,21,,,,,,,,,,,,86.7,,,,,
1900,21,,,,,,,,,,,,89.3,43,35,51.3,24,24
1910,26,,,,,,,,,,,,92.3,53,35,60.4,30,29
1920,32,,,,,,,,,,,,94,63,35,68.2,35,33
1930,33,,,,,,,,,,,,95.7,75,39,74.9,36,37
1940,42,,,,,,,,,,,,97.1,73,44,81.7,46,42
1947,,,,,,,,,,,,,97.3,,,,,
1950,36,,,,,,,,,,,,96.8,79,49,87.6,60,51
1952,,,,,,,,,,,,,97.5,,,,,
1959,,,,,,,,,,,,,97.8,,,,,
1960,42,,,,,,,,,,,,,84,60,91.4,65,60
1969,,,,,,,,,,,,,99,,,,,
1970,56,,,,,,,,,,,,,88,68,93,75,72
1979,,,,,,,,,,,,,99.4,91,75,94.2,82,79
1980,56,,,,,,,,,,,,,92,75,94.4,82,79
1990,68,,,,,,,,,,,,,94,81,95.7,88,86
2000,81,,,,,,,,,,,,,96,85,96.8,91,90
2003,,99,99,99,99,99,99,99,99,,,,99,,,,,
2010,83,,,,,,,,,97.7,,99.7,,,,,,
2011,,,,,,,,,,,99.7,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
