,2030,normalized
Rwanda,2.9610133092977917,-0.9705284538812399
Mexico,2.957692144230416,-0.9749466863637414
Costa Rica,2.9495425036087215,-0.9857883657699184
Cuba,2.892869818381222,-1.0611815165658107
Lebanon,2.854355975719097,-1.1124174856380136
Senegal,2.829240663390612,-1.1458290404649338
Tajikistan,2.8233668697418888,-1.1536431013043746
Togo,2.7892107796565138,-1.1990818385032116
Solomon Islands,2.7418041113821245,-1.262148165351751
Philippines,2.7062158210823046,-1.3094921958378938
Jamaica,2.6981382834224443,-1.3202379547939886
Tanzania,2.6692381003074437,-1.35868462191187
Malawi,2.6508494539575693,-1.3831475176017975
Vanuatu,2.6127611663751096,-1.433817359655943
Uganda,2.5249479899474445,-1.5506375178273921
"Gambia, The",2.322461138964667,-1.8200110551681334
Eritrea,2.2951509129564305,-1.856342560891631
Madagascar,2.2808533628877425,-1.8753629645307612
Burundi,2.214332574530319,-1.963857303691866
South Sudan,2.0672812924803057,-2.159483458299171
