"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","126.144","124.992","123.84","122.112","120.384","118.656","116.928","115.2","110.9474","106.6948","102.4422","98.1896","93.937","88.0272","82.1174","76.2076","70.2978","64.388","63.8322","63.2764","62.7206","62.1648","61.609","61.215","60.821","60.427","60.033","59.639","60.9356","62.2322","63.5288","64.8254","66.122","66.6432","67.1644","67.6856","68.2068","68.728","67.5386","66.3492","65.1598","63.9704","62.781","61.3234","59.8658","58.4082","56.9506","55.493","54.247","53.001","51.755","50.509","49.263","47.4636","45.6642","43.8648","",
"Australia","AUS","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","44.8286","45.0668","45.305","45.9764","46.6478","47.3192","47.9906","48.662","48.6296","48.5972","48.5648","48.5324","48.5","45.1672","41.8344","38.5016","35.1688","31.836","30.687","29.538","28.389","27.24","26.091","25.0928","24.0946","23.0964","22.0982","21.1","21.055","21.01","20.965","20.92","20.875","20.5906","20.3062","20.0218","19.7374","19.453","18.9462","18.4394","17.9326","17.4258","16.919","16.9552","16.9914","17.0276","17.0638","17.1","16.7854","16.4708","16.1562","15.8416","15.527","14.966","14.405","13.844","",
"Austria","AUT","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","48.3914","50.8922","53.393","54.8498","56.3066","57.7634","59.2202","60.677","59.5646","58.4522","57.3398","56.2274","55.115","51.7388","48.3626","44.9864","41.6102","38.234","36.6126","34.9912","33.3698","31.7484","30.127","28.3784","26.6298","24.8812","23.1326","21.384","21.185","20.986","20.787","20.588","20.389","19.269","18.149","17.029","15.909","14.789","14.5004","14.2118","13.9232","13.6346","13.346","12.902","12.458","12.014","11.57","11.126","10.6138","10.1016","9.5894","9.0772","8.565","7.972","7.379","6.786","",
"Azerbaijan","AZE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","43.221","42.462","41.703","42.204","42.705","43.206","43.707","44.208","41.167","38.126","35.085","32.044","29.003","26.9148","24.8266","22.7384","20.6502","18.562","18.3956","18.2292","18.0628","17.8964","17.73","18.9194","20.1088","21.2982","22.4876","23.677","26.448","29.219","31.99","34.761","37.532","38.3038","39.0756","39.8474","40.6192","41.391","39.9808","38.5706","37.1604","35.7502","34.34","37.0942","39.8484","42.6026","45.3568","48.111","49.2276","50.3442","51.4608","52.5774","53.694","56.1272","58.5604","60.9936","",
"Burundi","BDI","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","46.1038","46.3864","46.669","46.929","47.189","47.449","47.709","47.969","48.068","48.167","48.266","48.365","48.464","48.6396","48.8152","48.9908","49.1664","49.342","49.2786","49.2152","49.1518","49.0884","49.025","49.2414","49.4578","49.6742","49.8906","50.107","49.8946","49.6822","49.4698","49.2574","49.045","48.7188","48.3926","48.0664","47.7402","47.414","45.2536","43.0932","40.9328","38.7724","36.612","35.9952","35.3784","34.7616","34.1448","33.528","32.8736","32.2192","31.5648","30.9104","30.256","29.4556","28.6552","27.8548","",
"Belgium","BEL","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","27.1146","28.2988","29.483","29.719","29.955","30.191","30.427","30.663","30.799","30.935","31.071","31.207","31.343","29.926","28.509","27.092","25.675","24.258","22.6378","21.0176","19.3974","17.7772","16.157","15.2002","14.2434","13.2866","12.3298","11.373","11.2622","11.1514","11.0406","10.9298","10.819","10.6906","10.5622","10.4338","10.3054","10.177","10.3316","10.4862","10.6408","10.7954","10.95","10.8372","10.7244","10.6116","10.4988","10.386","10.112","9.838","9.564","9.29","9.016","8.6962","8.3764","8.0566","",
"Benin","BEN","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","85.7628","86.6854","87.608","88.0576","88.5072","88.9568","89.4064","89.856","90.4374","91.0188","91.6002","92.1816","92.763","94.3064","95.8498","97.3932","98.9366","100.48","102.795","105.11","107.425","109.74","112.055","114.264","116.473","118.682","120.891","123.1","123.8332","124.5664","125.2996","126.0328","126.766","125.9774","125.1888","124.4002","123.6116","122.823","121.3902","119.9574","118.5246","117.0918","115.659","113.5474","111.4358","109.3242","107.2126","105.101","102.1248","99.1486","96.1724","93.1962","90.22","87.405","84.59","81.775","",
"Burkina Faso","BFA","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","184.6466","182.8298","181.013","180","178.987","177.974","176.961","175.948","174.5826","173.2172","171.8518","170.4864","169.121","168.6388","168.1566","167.6744","167.1922","166.71","165.4536","164.1972","162.9408","161.6844","160.428","158.3778","156.3276","154.2774","152.2272","150.177","149.106","148.035","146.964","145.893","144.822","144.379","143.936","143.493","143.05","142.607","141.506","140.405","139.304","138.203","137.102","135.6118","134.1216","132.6314","131.1412","129.651","126.8024","123.9538","121.1052","118.2566","115.408","112.6558","109.9036","107.1514","",
"Bangladesh","BGD","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","204.0016","205.1018","206.202","206.9088","207.6156","208.3224","209.0292","209.736","208.5898","207.4436","206.2974","205.1512","204.005","202.8922","201.7794","200.6666","199.5538","198.441","196.4624","194.4838","192.5052","190.5266","188.548","184.779","181.01","177.241","173.472","169.703","164.4542","159.2054","153.9566","148.7078","143.459","139.096","134.733","130.37","126.007","121.644","118.5532","115.4624","112.3716","109.2808","106.19","103.6674","101.1448","98.6222","96.0996","93.577","91.9356","90.2942","88.6528","87.0114","85.37","84.43","83.49","82.55","",
"Bulgaria","BGR","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","67.663","68.919","70.175","70.0762","69.9774","69.8786","69.7798","69.681","70.0012","70.3214","70.6416","70.9618","71.282","72.5114","73.7408","74.9702","76.1996","77.429","77.9108","78.3926","78.8744","79.3562","79.838","79.021","78.204","77.387","76.57","75.753","73.9452","72.1374","70.3296","68.5218","66.714","63.021","59.328","55.635","51.942","48.249","46.7848","45.3206","43.8564","42.3922","40.928","41.3264","41.7248","42.1232","42.5216","42.92","42.7538","42.5876","42.4214","42.2552","42.089","40.3382","38.5874","36.8366","",
"Bahrain","BHR","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","88.4922","89.0036","89.515","89.0036","88.4922","87.9808","87.4694","86.958","84.4004","81.8428","79.2852","76.7276","74.17","72.381","70.592","68.803","67.014","65.225","62.5096","59.7942","57.0788","54.3634","51.648","47.8268","44.0056","40.1844","36.3632","32.542","30.4976","28.4532","26.4088","24.3644","22.32","21.5114","20.7028","19.8942","19.0856","18.277","18.01","17.743","17.476","17.209","16.942","16.4902","16.0384","15.5866","15.1348","14.683","14.5034","14.3238","14.1442","13.9646","13.785","13.6638","13.5426","13.4214","",
"Bahamas, The","BHS","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","91.8424","92.6312","93.42","89.5818","85.7436","81.9054","78.0672","74.229","76.3198","78.4106","80.5014","82.5922","84.683","86.0384","87.3938","88.7492","90.1046","91.46","90.2972","89.1344","87.9716","86.8088","85.646","82.4748","79.3036","76.1324","72.9612","69.79","69.748","69.706","69.664","69.622","69.58","68.0444","66.5088","64.9732","63.4376","61.902","58.3198","54.7376","51.1554","47.5732","43.991","43.0758","42.1606","41.2454","40.3302","39.415","38.368","37.321","36.274","35.227","34.18","32.353","30.526","28.699","",
"Bosnia and Herzegovina","BIH","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","42.748","44.636","46.524","47.862","49.2","50.538","51.876","53.214","52.7768","52.3396","51.9024","51.4652","51.028","49.4362","47.8444","46.2526","44.6608","43.069","42.1118","41.1546","40.1974","39.2402","38.283","38.1946","38.1062","38.0178","37.9294","37.841","35.2308","32.6206","30.0104","27.4002","24.79","24.7182","24.6464","24.5746","24.5028","24.431","23.025","21.619","20.213","18.807","17.401","17.0806","16.7602","16.4398","16.1194","15.799","14.8392","13.8794","12.9196","11.9598","11","10.0562","9.1124","8.1686","",
"Belarus","BLR","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","16.7274","16.9742","17.221","17.3916","17.5622","17.7328","17.9034","18.074","18.7576","19.4412","20.1248","20.8084","21.492","22.692","23.892","25.092","26.292","27.492","29.112","30.732","32.352","33.972","35.592","36.3838","37.1756","37.9674","38.7592","39.551","40.488","41.425","42.362","43.299","44.236","41.993","39.75","37.507","35.264","33.021","31.275","29.529","27.783","26.037","24.291","23.8478","23.4046","22.9614","22.5182","22.075","21.9436","21.8122","21.6808","21.5494","21.418","20.129","18.84","17.551","",
"Belize","BLZ","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","181.72","181.16","180.6","180.04","179.48","178.92","178.36","177.8","177.24","176.68","176.12","175.56","175","174.72","174.44","174.16","173.88","173.6","169.12","164.64","160.16","155.68","151.2","147.28","143.36","139.44","135.52","131.6","129.6232","127.6464","125.6696","123.6928","121.716","118.6248","115.5336","112.4424","109.3512","106.26","103.2454","100.2308","97.2162","94.2016","91.187","88.1834","85.1798","82.1762","79.1726","76.169","74.885","73.601","72.317","71.033","69.749","68.211","66.673","65.135","",
"Bermuda","BMU","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","102.8358","102.3384","101.841","101.1998","100.5586","99.9174","99.2762","98.635","97.9606","97.2862","96.6118","95.9374","95.263","95.7486","96.2342","96.7198","97.2054","97.691","97.9194","98.1478","98.3762","98.6046","98.833","98.2938","97.7546","97.2154","96.6762","96.137","95.1572","94.1774","93.1976","92.2178","91.238","91.597","91.956","92.315","92.674","93.033","92.0094","90.9858","89.9622","88.9386","87.915","86.7062","85.4974","84.2886","83.0798","81.871","80.0126","78.1542","76.2958","74.4374","72.579","71.863","71.147","70.431","",
"Brazil","BRA","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","92.0468","92.1774","92.308","90.3824","88.4568","86.5312","84.6056","82.68","81.1702","79.6604","78.1506","76.6408","75.131","75.1188","75.1066","75.0944","75.0822","75.07","76.022","76.974","77.926","78.878","79.83","79.9864","80.1428","80.2992","80.4556","80.612","80.4962","80.3804","80.2646","80.1488","80.033","80.7422","81.4514","82.1606","82.8698","83.579","83.0526","82.5262","81.9998","81.4734","80.947","78.9338","76.9206","74.9074","72.8942","70.881","70.3938","69.9066","69.4194","68.9322","68.445","67.8778","67.3106","66.7434","",
"Barbados","BRB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","124.927","121.552","118.177","114.5556","110.9342","107.3128","103.6914","100.07","98.554","97.038","95.522","94.006","92.49","87.9342","83.3784","78.8226","74.2668","69.711","69.9228","70.1346","70.3464","70.5582","70.77","66.6038","62.4376","58.2714","54.1052","49.939","51.5326","53.1262","54.7198","56.3134","57.907","56.7314","55.5558","54.3802","53.2046","52.029","51.4456","50.8622","50.2788","49.6954","49.112","48.8638","48.6156","48.3674","48.1192","47.871","47.6772","47.4834","47.2896","47.0958","46.902","44.4146","41.9272","39.4398","",
