,age_dependency_ratio_normalized,ages_65_and_older_percentage_normalized,agricultproductstotal-export_value_base_price_normalized,agricultproductstotal-import_value_base_period_price_normalized,annual_co_emissions_per_country_normalized,births_per_1000_normalized,co_emissions_per_capita_international_normalized,daily_per_capita_fat_supply_normalized,daily_per_capita_protein_supply_normalized,daily_per_capita_supply_of_calories_normalized,deaths_per_1000_normalized,democracy_scores_normalized,exports_of_goods_and_services_percentage_of_gdp_normalized,fertility_rate_normalized,food_excl_fish-export_value_base_price_normalized,food_excl_fish-import_value_base_period_price_normalized,gross_capital_formation_normalized,historical_gov_spending_gdp_normalized,imports_of_goods_and_services_percentage_of_gdp_normalized,infant_mortality_per_1000_normalized,life_expectancy_female_normalized,life_expectancy_male_normalized,life_expectancy_normalized,military_expenditure_as_share_of_gdp_normalized,population_estimates_and_projections_normalized,pupil-teacher_ratio_processed,rural_population_percentage_normalized,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,surface_area_sq_km,trade_as_share_of_gdp_normalized,young_pregnancies_normalized,gdp_per_capita
Aruba : 2001,0.744605470323,1.11112049645,0.000137251233847,0.00042790173087,0.00010028997082,0.646452964448,0.02616877389,,,,0.646452964448,,2.76537773876,0.699326422119,0.000102518773501,0.000444769847128,0.993538972892,,2.76410172407,,1.08694138892,1.08283635468,1.08534569596,,1.22635136447e-05,18.9477901459,1.01190568369,0.014073960543,180.0,0.139021956378,0.778699415063,20670.6556635
Aruba : 2002,0.751069838,1.12432237626,0.00012499263652,0.000398532552718,9.93153216659e-05,0.635603520148,0.0258256493149,,,,0.635603520148,,2.5510522365,0.69584162545,9.4369821455e-05,0.000412558241642,1.1570017683,,2.83828972841,,1.0840922053,1.07948522877,1.08224396125,,1.23973994231e-05,19.069770813,1.02835952171,0.0140636793826,180.0,0.134334994935,0.779388362782,20434.2994364
Aruba : 2003,0.757122143089,1.1397812116,9.49642362799e-05,0.000360230275929,9.92752480816e-05,0.624725110444,0.0258023014795,,,,0.624725110444,,2.42702353409,0.692508911792,7.0628477908e-05,0.000365753342798,1.22799492651,,2.82307983539,,1.081472066,1.07628336152,1.07933458278,,1.25185664811e-05,18.4301700592,1.0451867925,0.014045715659,180.0,0.133960084353,0.770519101573,20834.510199
Aruba : 2004,0.761265765185,1.15724707984,5.23334343827e-05,0.000317517318716,9.68286974221e-05,0.612591487521,0.0255374915879,,,,0.612591487521,,2.35779675906,0.690073466414,3.75334689275e-05,0.000313823120178,1.17018853043,,2.57284321621,,1.07792690559,1.07245997009,1.07564912256,,1.2596964693e-05,18.451089859,1.0624569102,0.0140312165508,180.0,0.133653243478,0.758190983145,22567.8249249
Aruba : 2005,0.763788715105,1.17587840674,6.41647311005e-05,0.000383828429209,9.73702806744e-05,0.600928575768,0.0258159819921,,,,0.600928575768,,2.38786839108,0.690111503754,4.71809163935e-05,0.000396931452489,1.35217847736,,2.82635666163,,1.07562431263,1.06995244558,1.07324314616,,1.26186017418e-05,18.0776004791,1.08011707821,0.0140313292367,180.0,0.146481006591,0.741170656489,23302.831988
Aruba : 2006,0.7735055091,1.20869489369,6.6490189212e-05,0.000322233059956,9.39757725132e-05,0.59096545782,0.0248517854681,,,,0.59096545782,,2.18219422843,0.689449939227,4.89029497925e-05,0.000325880226564,1.39087693772,,2.71738638719,,1.07254467842,1.06657561329,1.06999941915,,1.25768361359e-05,18.1643390656,1.0979754073,0.0140411899707,180.0,0.143464899733,0.720646975331,24014.9442671
Aruba : 2007,0.786188313186,1.24067042383,1.70542896568e-05,0.000197899171452,9.49290621009e-05,0.580806272504,0.0260028702248,,,,0.580806272504,,2.18439046952,0.690613479084,1.08093025154e-05,0.000183085595301,1.26084467439,,2.63405846298,,1.06977518513,1.06371280409,1.0671702869,,1.24836525186e-05,17.417509079,1.11616288565,0.0140498931961,180.0,0.142363306909,0.696040125073,25921.026052
Aruba : 2008,0.801300018329,1.27394258359,1.05984895849e-05,0.000185912998552,8.6901498889e-05,0.57271071895,0.0244369253905,,,,0.57271071895,,2.15595712877,0.693875955402,5.13099248636e-06,0.000164371420293,1.28031173679,,2.48100362722,,1.06749054035,1.06133155862,1.06482385431,,1.23601836647e-05,17.2918796539,1.13486611616,0.0140595233755,180.0,0.141187287523,0.670985977701,27546.8993898
Aruba : 2009,0.81739177726,1.30859720616,2.66431041238e-05,0.000210442886235,8.68036218781e-05,0.568667983264,0.0253859964093,,,,0.568667983264,,2.40330625039,0.700937533811,1.64402643491e-05,0.000197413698442,1.29982793508,,2.94589582414,,1.06464422257,1.05854478912,1.06198833109,,1.22345338183e-05,17.0859107971,1.15379438833,0.0140721649715,180.0,0.140062909532,0.645359030372,24631.4348604
Aruba : 2010,0.834072172431,1.34727287654,7.53891701925e-06,0.000173898013447,7.87405472491e-05,0.56713310754,0.0234781091924,,,,0.56713310754,,2.1325401782,0.708091585352,1.62983634494e-06,0.00015676428431,1.16376647873,,2.65475525859,,1.06237238004,1.0564345051,1.05978183828,,1.21247751477e-05,16.8225307465,1.17303257654,0.0140899024465,180.0,0.136318790906,0.620480656931,24271.9404205
Aruba : 2011,0.83421354077,1.36792770336,6.90631545714e-06,0.000160084573429,7.55564644981e-05,0.566222227948,0.023581247797,,,,0.566222227948,,2.31823050098,0.715462986752,2.08621419231e-07,0.000145157666084,1.14529066906,,2.87258657765,,1.05983566551,1.05424352303,1.0574000225,,1.2036931794e-05,15.0860900879,1.19243917443,,180.0,0.157208415564,0.596514409725,25324.7203625
Aruba : 2012,0.831891767482,1.3911088623,2.43522581472e-06,0.000196654774542,4.00409723602e-05,0.565022036212,0.0123831533924,,,,0.565022036212,,2.31823050098,0.721047729321,1.38385844973e-06,0.00017951681332,1.14529066906,,2.87258657765,,1.05808893468,1.05260747535,1.05569204747,,1.19666228068e-05,14.7886896133,1.21166114817,,180.0,0.157208415564,0.573079732752,25324.7203625
Aruba : 2013,0.82811970515,1.41648774181,2.55379745817e-06,0.000203668472139,2.54995691115e-05,0.567956045587,0.00802523217102,,,,0.567956045587,,2.31823050098,0.727610477369,1.52191794707e-06,0.000193491178522,1.14529066906,,2.87258657765,,1.0562873964,1.05101486031,1.05398202529,,1.19078425913e-05,14.7886896133,1.23045704233,,180.0,0.157208415564,0.54390492283,25324.7203625
Aruba : 2014,0.825193318219,1.44175298542,,,2.56284074744e-05,0.568623423564,0.00802624232272,,,,0.568623423564,,2.31823050098,0.731193854193,,,1.14529066906,,2.87258657765,,1.05469680357,1.04969468551,1.05251763385,,1.18507519571e-05,14.7886896133,1.24886459946,,180.0,0.157208415564,0.514706134607,25324.7203625
Aruba : 2015,0.824806815439,1.46517623971,,,,0.574547715327,,,,,0.574547715327,,2.31823050098,0.734309119604,,,1.14529066906,,2.87258657765,,1.05361442814,1.0488284314,1.05154540116,,1.17890263659e-05,14.7886896133,1.26682183664,,180.0,0.157208415564,0.485303917661,25324.7203625
