,age_dependency_ratio_normalized,ages_65_and_older_percentage_normalized,agricultproductstotal-export_value_base_price_normalized,agricultproductstotal-import_value_base_period_price_normalized,annual_co_emissions_per_country_normalized,births_per_1000_normalized,co_emissions_per_capita_international_normalized,daily_per_capita_fat_supply_normalized,daily_per_capita_protein_supply_normalized,daily_per_capita_supply_of_calories_normalized,deaths_per_1000_normalized,democracy_scores_normalized,exports_of_goods_and_services_percentage_of_gdp_normalized,fertility_rate_normalized,food_excl_fish-export_value_base_price_normalized,food_excl_fish-import_value_base_period_price_normalized,gross_capital_formation_normalized,historical_gov_spending_gdp_normalized,imports_of_goods_and_services_percentage_of_gdp_normalized,infant_mortality_per_1000_normalized,life_expectancy_female_normalized,life_expectancy_male_normalized,life_expectancy_normalized,military_expenditure_as_share_of_gdp_normalized,population_estimates_and_projections_normalized,pupil-teacher_ratio_processed,rural_population_percentage_normalized,share_of_a_countrys_population_that_is_not_born_within_the_country_normalized,surface_area_sq_km,trade_as_share_of_gdp_normalized,young_pregnancies_normalized,gdp_in_15_years
Aruba : 1971,0.891956551552,0.81137172477,,,,0.743180351576,,,,,0.743180351576,,,0.598081022524,,,,,,,1.17096279396,1.17489244875,1.17360392947,,1.2753692193e-05,,0.780457867228,,180.0,,0.835830684973,
Aruba : 1972,0.867646611528,0.87165173463,,,,0.741029913607,,,,,0.741029913607,,,0.593709373529,,,,,,,1.1702867083,1.16826261301,1.16997440195,,1.2578498438e-05,,0.783299108064,,180.0,,0.807175271776,
Aruba : 1973,0.846819862166,0.933596433442,,,,0.745994302899,,,,,0.745994302899,,,0.593202293159,,,,,,,1.1697575677,1.16271174965,1.16694900202,,1.24123027046e-05,,0.786408277527,,180.0,,0.799481325131,
Aruba : 1974,0.824466799347,0.992150500681,,,,0.760595342492,,,,,0.760595342492,,,0.595621852603,,,,,,,1.16747763566,1.15675681797,1.16285134428,,1.22314139334e-05,,0.790088782659,,180.0,,0.791975478833,
Aruba : 1975,0.798550918012,1.04856671663,,,,0.773267934854,,,,,0.773267934854,,,0.60317157451,,,,,,,1.16515670652,1.15248666863,1.15955998984,,1.2029752835e-05,,0.793214393551,0.00731224696828,180.0,,0.785808562994,
Aruba : 1976,0.78569474327,1.06691989902,,,,0.794891054107,,,,,0.794891054107,,,0.611770136775,,,,,,,1.16243545924,1.14936647385,1.15663014996,,1.18003781675e-05,,0.796592636476,,180.0,,0.781548599859,
Aruba : 1977,0.766418055392,1.08721544044,,,,0.804643065556,,,,,0.804643065556,,,0.620863719161,,,,,,,1.15858584702,1.14721244676,1.15362205003,,1.15537664076e-05,,0.800078596171,,180.0,,0.77916396108,
Aruba : 1978,0.742413010236,1.10828711166,,,,0.813760690383,,,,,0.813760690383,,,0.630159276185,,,,,,,1.15552351838,1.14653049086,1.15172207529,,1.1308586278e-05,,0.804589279209,,180.0,,0.778040343118,
Aruba : 1979,0.719504026843,1.13352165898,,,,0.818887189756,,,,,0.818887189756,,,0.636952852552,,,,,,,1.15180593012,1.14622978303,1.14968705092,,1.10958944963e-05,,0.810054760844,,180.0,,0.777332352864,
Aruba : 1980,0.702448747002,1.162031803,,,,0.818584459111,,,,,0.818584459111,,,0.642658515138,,,,,,,1.14937074314,1.14696186261,1.14879864886,,1.09301890211e-05,,0.815672719284,0.0066627438451,180.0,,0.776137870006,
