,Austria,Slovakia,Romania,Yugoslav SFR,Turkey,Denmark,Occupied Palestinian Territory,Serbia and Montenegro,The former Yugoslav Republic of Macedonia,Serbia,Czechoslovakia,France,Czechia,Spain,Croatia,Bulgaria,Netherlands,Hungary,Germany
1961,9057.0,,4881.0,6004.0,4832.0,10415.0,,,,,6423.0,10247.0,,,,3606.0,10199.0,3624.0,6248.0
1962,8625.0,,3607.0,4663.0,5472.0,10000.0,,,,,5504.0,7778.0,,,,2109.0,8519.0,3573.0,6774.0
1963,8786.0,,2400.0,5014.0,5000.0,4000.0,,,,,5762.0,8182.0,,,,1889.0,9375.0,3939.0,6107.0
1964,8807.0,,2807.0,5357.0,2857.0,2000.0,,,,,4395.0,7178.0,,,,4145.0,10000.0,2720.0,5331.0
1965,7778.0,,4464.0,5829.0,4933.0,7246.0,,,,,3635.0,8246.0,,,,4069.0,10000.0,3040.0,5955.0
1966,9640.0,,4769.0,5972.0,5000.0,6993.0,,,,,5163.0,8035.0,,,,2665.0,10156.0,3105.0,5438.0
1967,9943.0,,5714.0,6436.0,3398.0,7143.0,,,,,5211.0,7346.0,,,,3029.0,12275.0,4174.0,5819.0
1968,10585.0,,2353.0,5344.0,6000.0,6818.0,,,,,5641.0,7848.0,,,,1269.0,11176.0,2680.0,6473.0
1969,9474.0,,2500.0,6008.0,8357.0,5961.0,,,,,6616.0,6241.0,,,,2368.0,10348.0,4268.0,6065.0
1970,11497.0,,4375.0,6096.0,10646.0,7567.0,,,,,6156.0,7800.0,,,,5191.0,12019.0,3518.0,5753.0
1971,9517.0,,3065.0,6317.0,10450.0,10129.0,,,,,7500.0,6333.0,,,,4340.0,14556.0,5067.0,6448.0
1972,9085.0,,3810.0,5435.0,9160.0,7980.0,,,,,8676.0,4895.0,,,,6230.0,13998.0,4361.0,6778.0
1973,9259.0,,4167.0,6465.0,8571.0,6521.0,,,,,6399.0,5107.0,,,,2837.0,10230.0,4366.0,5866.0
1974,8750.0,,4211.0,6529.0,8571.0,12861.0,,,,,7240.0,7059.0,,,,5118.0,11503.0,6649.0,7485.0
1975,9042.0,,2462.0,6126.0,7574.0,7461.0,,,,,5366.0,7634.0,,,,12454.0,13248.0,3947.0,6771.0
1976,9358.0,,5488.0,7106.0,7247.0,6148.0,,,,,2465.0,7634.0,,,,1858.0,11152.0,3951.0,3145.0
1977,7752.0,,5761.0,6198.0,5701.0,10211.0,,,,,5771.0,4715.0,,,,3023.0,13652.0,4692.0,6339.0
