,Ukraine,Israel,Cyprus,Spain,Morocco,Lebanon,Mexico,Malta,Slovakia,Italy,Portugal,Jordan,Algeria,Croatia,Tunisia,Greece,Turkey
1961,-1.0,1400.0,42672.0,375400.0,15000.0,-1.0,-1.0,1700.0,-1,105200.0,40660.0,-1.0,23950.0,-1.0,-1.0,39295.0,11600.0
1962,-1.0,1500.0,55880.0,392700.0,15000.0,-1.0,-1.0,1540.0,-1,48300.0,26565.0,-1.0,20000.0,-1.0,-1.0,26930.0,11610.0
1963,-1.0,1500.0,71120.0,346000.0,18000.0,-1.0,-1.0,1600.0,-1,25300.0,29835.0,-1.0,20000.0,-1.0,-1.0,47750.0,12230.0
1964,-1.0,1500.0,37592.0,379100.0,18000.0,-1.0,-1.0,1670.0,-1,105500.0,36932.0,-1.0,21338.0,-1.0,-1.0,38160.0,14500.0
1965,-1.0,1600.0,42672.0,395300.0,18000.0,-1.0,-1.0,1727.0,-1,56200.0,61280.0,-1.0,22359.0,-1.0,-1.0,42370.0,12400.0
1966,-1.0,2000.0,60960.0,336900.0,27000.0,-1.0,-1.0,1727.0,-1,43700.0,34628.0,-1.0,18700.0,-1.0,-1.0,34650.0,14000.0
1967,-1.0,2400.0,55880.0,315700.0,15000.0,-1.0,-1.0,1625.0,-1,52200.0,18778.0,-1.0,18300.0,-1.0,-1.0,45900.0,13500.0
1968,-1.0,2800.0,61976.0,289600.0,15000.0,-1.0,-1.0,2032.0,-1,58700.0,41708.0,-1.0,17200.0,-1.0,-1.0,23900.0,15800.0
1969,-1.0,3350.0,40640.0,313800.0,23000.0,-1.0,-1.0,1422.0,-1,88300.0,49812.0,-1.0,18900.0,-1.0,-1.0,31050.0,16000.0
1970,-1.0,3100.0,48768.0,299600.0,28000.0,-1.0,-1.0,1441.0,-1,76400.0,47643.0,-1.0,19400.0,-1.0,-1.0,21540.0,16000.0
1971,-1.0,3500.0,32512.0,251500.0,18000.0,-1.0,-1.0,842.0,-1,58500.0,65145.0,-1.0,17000.0,-1.0,-1.0,25310.0,13700.0
1972,-1.0,4100.0,38608.0,253100.0,23000.0,-1.0,-1.0,517.0,-1,57000.0,40164.0,4.0,15852.0,-1.0,-1.0,26480.0,17600.0
1973,-1.0,3700.0,14224.0,313200.0,26000.0,-1.0,-1.0,621.0,-1,61700.0,18416.0,-1.0,14685.0,-1.0,-1.0,27330.0,17100.0
1974,-1.0,3800.0,6096.0,235800.0,15000.0,-1.0,-1.0,736.0,-1,69500.0,49746.0,1.0,12213.0,-1.0,-1.0,29130.0,13000.0
1975,-1.0,3500.0,20320.0,219500.0,18000.0,-1.0,-1.0,546.0,-1,66000.0,35324.0,23.0,13458.0,-1.0,30.0,27800.0,12900.0
1976,-1.0,3400.0,32572.0,224200.0,21000.0,-1.0,-1.0,493.0,-1,70700.0,40000.0,-1.0,8872.0,-1.0,50.0,22370.0,12000.0
