,Costa Rica,Israel,Zambia,Kenya,Peru,Morocco,Saudi Arabia,Switzerland,Mexico,Malta,Romania,Italy,Syrian Arab Republic,Jordan,China,Tunisia,Greece,Zimbabwe,Lebanon,Uzbekistan,Cyprus,Occupied Palestinian Territory,Chile,Spain,Kazakhstan,Portugal,United States of America,Iran (Islamic Republic of),France,Egypt,Algeria,"China, mainland",Turkey,Argentina,Lithuania
1961,-1.0,200.0,-1,-1.0,270.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,46000.0,-1.0,-1.0,-1.0,1900.0,4168.0,-1.0,125.0,-1.0,265.0,-1.0,3200.0,10060.0,-1.0,-1,3440.0,-1.0,20109.0,840.0,5000.0,-1.0,300.0,1500.0,-1.0
1962,-1.0,250.0,-1,-1.0,270.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,48000.0,-1.0,-1.0,-1.0,1700.0,4576.0,-1.0,125.0,-1.0,270.0,-1.0,3400.0,10335.0,-1.0,-1,3237.0,-1.0,19105.0,840.0,5000.0,-1.0,325.0,1502.0,-1.0
1963,-1.0,300.0,-1,-1.0,270.0,5400.0,-1.0,-1.0,-1.0,-1.0,-1.0,47000.0,-1.0,-1.0,-1.0,2400.0,4730.0,-1.0,125.0,-1.0,275.0,-1.0,3400.0,12185.0,-1.0,-1,3237.0,-1.0,21530.0,840.0,5000.0,-1.0,340.0,1414.0,-1.0
1964,-1.0,350.0,-1,-1.0,270.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,49208.0,-1.0,-1.0,-1.0,2400.0,4830.0,-1.0,125.0,-1.0,280.0,-1.0,3500.0,13062.0,-1.0,-1,3521.0,-1.0,21640.0,840.0,4520.0,-1.0,350.0,990.0,-1.0
1965,-1.0,400.0,-1,-1.0,270.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,55450.0,-1.0,-1.0,-1.0,3000.0,4790.0,-1.0,50.0,-1.0,288.0,-1.0,3500.0,14159.0,-1.0,-1,3723.0,-1.0,21470.0,840.0,5700.0,-1.0,360.0,1125.0,-1.0
1966,-1.0,415.0,-1,-1.0,275.0,4006.0,-1.0,-1.0,-1.0,-1.0,-1.0,59607.0,-1.0,-1.0,-1.0,3200.0,4700.0,-1.0,50.0,-1.0,294.0,-1.0,3700.0,14134.0,-1.0,-1,3602.0,-1.0,19860.0,939.0,5080.0,-1.0,375.0,2491.0,-1.0
1967,-1.0,470.0,-1,-1.0,285.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,62482.0,-1.0,-1.0,-1.0,2950.0,4861.0,-1.0,45.0,-1.0,308.0,-1.0,3200.0,14561.0,-1.0,-1,3885.0,-1.0,19175.0,668.0,4460.0,-1.0,390.0,2738.0,-1.0
1968,-1.0,475.0,-1,-1.0,350.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,61443.0,-1.0,-1.0,-1.0,2000.0,4760.0,-1.0,45.0,-1.0,321.0,-1.0,3000.0,13610.0,-1.0,-1,3885.0,-1.0,16208.0,420.0,5270.0,-1.0,400.0,3110.0,-1.0
1969,-1.0,660.0,-1,-1.0,230.0,5400.0,-1.0,-1.0,-1.0,-1.0,-1.0,62218.0,-1.0,-1.0,-1.0,1700.0,4460.0,-1.0,45.0,-1.0,334.0,-1.0,2700.0,13208.0,-1.0,-1,4087.0,-1.0,17081.0,420.0,4040.0,-1.0,440.0,3380.0,-1.0
1970,-1.0,970.0,-1,-1.0,220.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,63379.0,-1.0,-1.0,-1.0,1450.0,4600.0,-1.0,41.0,-1.0,468.0,-1.0,2400.0,22375.0,-1.0,-1,4451.0,-1.0,17000.0,420.0,4000.0,-1.0,500.0,3675.0,-1.0
