,Ecuador,Indonesia,Philippines,Sri Lanka,Melanesia,Malaysia,Thailand,Mexico,Viet Nam,Nigeria,Democratic Republic of the Congo,Bangladesh,Congo,Papua New Guinea,Dominican Republic,Central African Republic,Myanmar,Brazil,Cambodia,Brunei Darussalam,Guinea,China,"China, mainland",Ghana,Liberia,Côte d'Ivoire,Cameroon,Gabon,Guatemala,India
1961,,5123.0,3663.0,4537.0,4787.0,6074.0,4651.0,,6355.0,4462.0,4518.0,,7333.0,4787.0,,,2342.0,,8884.0,962.0,,,,5188.0,5494.0,4740.0,8091.0,,,5998.0
1962,,5083.0,3123.0,4537.0,4974.0,6104.0,3541.0,,6683.0,4769.0,4494.0,,7750.0,4974.0,,,2468.0,,9235.0,940.0,,,,4500.0,6052.0,9031.0,8000.0,,,6030.0
1963,,5131.0,2873.0,4556.0,5314.0,5935.0,3645.0,,6443.0,5077.0,4835.0,,7750.0,5314.0,,,2371.0,,9057.0,1258.0,,,,5580.0,5512.0,3840.0,9000.0,,,6200.0
1964,,5161.0,3037.0,4843.0,5131.0,6220.0,3634.0,,6188.0,5769.0,4313.0,,7750.0,5131.0,,,2617.0,,9152.0,1419.0,,,,7494.0,5775.0,6167.0,8057.0,,,5979.0
1965,,5099.0,3493.0,5128.0,5485.0,6113.0,3695.0,,4977.0,5462.0,3386.0,,6667.0,5485.0,,,2480.0,,9756.0,858.0,,,,5713.0,5983.0,6684.0,8017.0,,,6023.0
1966,,5228.0,4065.0,5667.0,5821.0,6949.0,3750.0,,3925.0,5654.0,3525.0,,6667.0,5821.0,,,2391.0,,9285.0,682.0,,,,6350.0,6282.0,8474.0,8644.0,,,6045.0
1967,,5110.0,4284.0,6182.0,5206.0,7075.0,3565.0,,4078.0,5474.0,3723.0,,8333.0,5206.0,,,2407.0,,9633.0,463.0,,,,6350.0,7113.0,8310.0,9171.0,,,6128.0
1968,,5277.0,3088.0,6414.0,5246.0,7859.0,4191.0,,3118.0,5868.0,4648.0,,8333.0,5246.0,,,2514.0,,8920.0,195.0,,,,9525.0,7109.0,8383.0,8249.0,,,6259.0
1969,,5115.0,2880.0,6544.0,5510.0,8453.0,3794.0,,2949.0,6395.0,5000.0,,7500.0,5510.0,,,2550.0,,9197.0,454.0,,,,8000.0,7134.0,9255.0,8549.0,,,6663.0
1970,,5767.0,2886.0,6917.0,4751.0,8462.0,3539.0,,3113.0,6868.0,4818.0,,8000.0,4751.0,,,2614.0,,8509.0,387.0,,,,8911.0,6951.0,10501.0,8492.0,,,6515.0
1971,,5098.0,3043.0,6112.0,5221.0,8507.0,3429.0,,3659.0,6500.0,4765.0,,7692.0,5221.0,,,2848.0,,8462.0,208.0,,,,8911.0,7007.0,12412.0,7556.0,,,6539.0
