,"China, Taiwan Province of",Romania,Syrian Arab Republic,Israel,Australia & New Zealand,Iraq,Czechia,United Republic of Tanzania,Thailand,Ethiopia,Kenya,Libya,Costa Rica,Italy,Germany,Portugal,Sweden,Albania,Uzbekistan,China,Slovakia,Niger,Morocco,Switzerland,Chile,Malta,Colombia,Spain,Lebanon,Malawi,New Zealand,Cyprus,Austria,Ecuador,Japan,Poland,Turkey,Jordan,Belgium-Luxembourg,Egypt,Greece,United Kingdom,France,Zimbabwe,Tunisia,Montenegro,Russian Federation,Kyrgyzstan,Bolivia (Plurinational State of),Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Brunei Darussalam,Mexico,Ukraine,Kuwait,"China, mainland",Ireland,Algeria,Peru,Lithuania,Bulgaria,Netherlands,Guatemala
1961,,-1.0,13000.0,550.0,1200.0,43841.0,,-1.0,250.0,,-1.0,100.0,,109000.0,20100.0,40000.0,-1.0,-1.0,,-1.0,,-1.0,33000.0,-1.0,10000.0,1000.0,-1.0,111000.0,8000.0,-1.0,1200.0,200.0,-1.0,2700.0,60500.0,-1.0,35000.0,16400.0,,5000.0,8328.0,38610.0,8770.0,-1.0,5000.0,,,,37000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,18000.0,,3370.0,16413.0,880.0
1962,,-1.0,18000.0,850.0,1120.0,45399.0,,-1.0,255.0,,-1.0,10.0,,125900.0,21900.0,50000.0,-1.0,-1.0,,-1.0,,-1.0,30000.0,-1.0,11000.0,1000.0,-1.0,111800.0,8500.0,-1.0,1120.0,250.0,-1.0,2800.0,64200.0,-1.0,36000.0,13000.0,,6000.0,7041.0,48770.0,9630.0,-1.0,8000.0,,,,37000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,18500.0,,3589.0,20093.0,930.0
1963,,-1.0,20000.0,900.0,1300.0,51769.0,,-1.0,260.0,,-1.0,200.0,,117200.0,28600.0,45000.0,-1.0,-1.0,,-1.0,,-1.0,84000.0,-1.0,11500.0,1000.0,-1.0,99000.0,5500.0,-1.0,1300.0,220.0,-1.0,2800.0,31400.0,-1.0,38000.0,16700.0,,7000.0,8383.0,48770.0,6620.0,-1.0,10000.0,,,,37000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,19000.0,,4529.0,17393.0,990.0
1964,,-1.0,23000.0,950.0,2000.0,30016.0,,-1.0,270.0,,-1.0,250.0,,119000.0,16600.0,40000.0,-1.0,-1.0,,-1.0,,-1.0,79000.0,-1.0,12000.0,1000.0,-1.0,129400.0,6000.0,-1.0,2000.0,200.0,-1.0,2900.0,50500.0,-1.0,40000.0,16200.0,,7000.0,8067.0,50802.0,7900.0,-1.0,8800.0,,,,35000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,20000.0,,3763.0,14009.0,1100.0
1965,,-1.0,23000.0,1550.0,2000.0,40000.0,,-1.0,280.0,,-1.0,20.0,,137500.0,15100.0,40000.0,-1.0,-1.0,,-1.0,,-1.0,34000.0,-1.0,12438.0,1000.0,-1.0,125700.0,10800.0,-1.0,2000.0,1400.0,-1.0,3000.0,48600.0,-1.0,43000.0,13800.0,,2000.0,9400.0,44706.0,7920.0,-1.0,14300.0,,,,35000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,20088.0,,2613.0,13290.0,1134.0
1966,,-1.0,18000.0,1850.0,1500.0,58016.0,,-1.0,290.0,,-1.0,100.0,,117200.0,15152.0,38000.0,-1.0,-1.0,,-1.0,,-1.0,49000.0,-1.0,12000.0,928.0,-1.0,143900.0,8200.0,-1.0,1500.0,800.0,-1.0,3200.0,49600.0,-1.0,32000.0,13381.0,,5889.0,12120.0,35663.0,6740.0,-1.0,18200.0,,,,35000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,16862.0,,2613.0,10278.0,1179.0
1967,,-1.0,17706.0,1400.0,1500.0,61459.0,,-1.0,300.0,,-1.0,150.0,,126200.0,22003.0,38000.0,-1.0,-1.0,,-1.0,,-1.0,23000.0,-1.0,12000.0,794.0,-1.0,143000.0,10448.0,-1.0,1500.0,1118.0,-1.0,3800.0,37500.0,-1.0,35000.0,13594.0,,3000.0,13749.0,44909.0,9130.0,-1.0,19800.0,,,,33000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,19631.0,,2133.0,17934.0,2248.0
1968,,-1.0,16469.0,1200.0,1500.0,70644.0,,-1.0,310.0,,-1.0,200.0,,106400.0,24666.0,37000.0,-1.0,-1.0,,-1.0,,-1.0,25000.0,-1.0,12000.0,790.0,-1.0,146500.0,5091.0,-1.0,1500.0,559.0,-1.0,4181.0,40700.0,-1.0,41941.0,8686.0,,4000.0,13156.0,38102.0,8250.0,-1.0,25100.0,,,,33000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,,18768.0,,1431.0,18609.0,2300.0
1969,,-1.0,16030.0,950.0,200.0,69538.0,,-1.0,320.0,,-1.0,250.0,,125000.0,26600.0,37000.0,-1.0,-1.0,,-1.0,,-1.0,25000.0,-1.0,12000.0,707.0,-1.0,111800.0,5464.0,-1.0,200.0,1321.0,-1.0,4800.0,38500.0,-1.0,53693.0,5700.0,,2000.0,14820.0,33733.0,8820.0,-1.0,29000.0,,,,20000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,2000.0,20051.0,,1635.0,16757.0,2652.0
1970,,-1.0,24750.0,1550.0,200.0,68319.0,,-1.0,320.0,,-1.0,300.0,,117100.0,23000.0,36000.0,-1.0,-1.0,,-1.0,,-1.0,25000.0,-1.0,12000.0,905.0,-1.0,118400.0,6318.0,-1.0,200.0,1270.0,-1.0,5500.0,28000.0,-1.0,50000.0,3100.0,,2000.0,13795.0,39423.0,8440.0,-1.0,27100.0,,,,34000.0,-1.0,-1.0,,-1.0,-1.0,,,,-1.0,,5000.0,24069.0,,3749.0,14850.0,2622.0
