,Austria,Slovakia,Japan,Poland,Canada,USSR,Switzerland,Belgium-Luxembourg,Republic of Korea,Ukraine,Georgia,Greece,Czechoslovakia,Ethiopia,France,Czechia,Romania,Serbia,Slovenia,Hungary,Ireland,Russian Federation,Portugal,Yugoslav SFR,Belgium,Albania,China,United States of America,Serbia and Montenegro,Australia & New Zealand,Democratic People's Republic of Korea,"China, mainland",United Kingdom,Argentina,Australia,Spain,Croatia,Bulgaria,Germany,South Africa,New Zealand
1961,106.0,,1000.0,2200.0,361.0,5360.0,,663.0,,,,30.0,8341.0,,1140.0,,640.0,,,868.0,,,,3820.0,,-1.0,-1.0,9267.0,,971.0,2000.0,-1.0,8094.0,257.0,770.0,908.0,,702.0,9903.0,100.0,201.0
1962,112.0,,1000.0,2500.0,374.0,5360.0,,693.0,,,,30.0,8758.0,,1161.0,,640.0,,,921.0,,,,3710.0,,-1.0,-1.0,11857.0,,989.0,2700.0,-1.0,8094.0,288.0,804.0,1011.0,,905.0,10416.0,80.0,185.0
1963,114.0,,1300.0,2500.0,397.0,8700.0,,738.0,,,,40.0,9048.0,,1221.0,,640.0,,,909.0,,,,3760.0,,-1.0,-1.0,13233.0,,1017.0,3000.0,-1.0,8498.0,194.0,836.0,1136.0,,993.0,11166.0,130.0,181.0
1964,119.0,,1580.0,2600.0,424.0,9100.0,,779.0,,,,30.0,9142.0,,1235.0,,720.0,,,922.0,,,,4130.0,,-1.0,-1.0,13193.0,,1094.0,3000.0,-1.0,8498.0,158.0,880.0,1182.0,,1089.0,11678.0,50.0,214.0
1965,118.0,,1810.0,2500.0,400.0,9600.0,13.0,802.0,,,,70.0,9151.0,,1206.0,,720.0,,,937.0,,,,3884.0,,-1.0,-1.0,13233.0,,1040.0,3000.0,-1.0,8498.0,156.0,809.0,1141.0,,1151.0,12213.0,70.0,231.0
1966,116.0,,1890.0,2100.0,416.0,10000.0,14.0,842.0,104.0,,,60.0,9658.0,,1221.0,,720.0,,,894.0,,,,3860.0,,-1.0,-1.0,13031.0,,1044.0,3200.0,-1.0,8094.0,165.0,809.0,1165.0,,1148.0,13094.0,100.0,235.0
1967,109.0,,1840.0,2100.0,381.0,10200.0,13.0,913.0,59.0,,,72.0,9616.0,,1219.0,,720.0,,,894.0,,,,3890.0,,-1.0,-1.0,12059.0,,1042.0,3200.0,-1.0,7689.0,233.0,809.0,1051.0,,1174.0,13749.0,100.0,233.0
1968,108.0,,1800.0,2200.0,384.0,10700.0,13.0,923.0,36.0,,,67.0,9491.0,,1327.0,,800.0,,,796.0,,,,3920.0,,-1.0,-1.0,11493.0,,1023.0,3200.0,-1.0,7284.0,240.0,809.0,983.0,,1175.0,13984.0,100.0,214.0
1969,107.0,,1600.0,2400.0,391.0,10600.0,13.0,910.0,76.0,,,78.0,9440.0,,1059.0,,800.0,,,773.0,,,150.0,3803.0,,-1.0,-1.0,10926.0,,1058.0,3000.0,-1.0,6475.0,210.0,809.0,1096.0,,1204.0,13928.0,120.0,249.0
1970,100.0,,1610.0,2400.0,401.0,10300.0,14.0,974.0,153.0,,,161.0,9353.0,,1036.0,,800.0,,,535.0,,,150.0,3757.0,,-1.0,-1.0,11210.0,,1184.0,3000.0,-1.0,6880.0,226.0,935.0,1240.0,,1158.0,14926.0,120.0,249.0
1971,87.0,,1590.0,2600.0,399.0,10400.0,13.0,1036.0,154.0,,,160.0,9353.0,,1058.0,,800.0,,,412.0,,,150.0,3753.0,,-1.0,-1.0,11695.0,,1055.0,3000.0,-1.0,7284.0,265.0,809.0,1412.0,,1176.0,17511.0,130.0,246.0
1972,98.0,,1600.0,2600.0,360.0,10500.0,13.0,1148.0,64.0,,,170.0,9591.0,,1236.0,,700.0,,,397.0,,,150.0,3916.0,,-1.0,-1.0,12019.0,,1195.0,3000.0,-1.0,6880.0,248.0,948.0,1674.0,,1194.0,20276.0,130.0,247.0
1973,100.0,,1600.0,2600.0,350.0,11300.0,13.0,1186.0,37.0,,,170.0,9715.0,,1322.0,,700.0,,,400.0,,,300.0,4076.0,,-1.0,-1.0,12707.0,,1318.0,3000.0,-1.0,6880.0,273.0,1069.0,1891.0,,1276.0,21938.0,140.0,249.0
1974,107.0,,1500.0,2500.0,362.0,11300.0,13.0,1157.0,81.0,,,172.0,9944.0,,1322.0,,800.0,,,581.0,,,200.0,4192.0,,-1.0,-1.0,13111.0,,1462.0,2800.0,-1.0,6475.0,330.0,1211.0,1892.0,,1136.0,22130.0,159.0,251.0
1975,110.0,,1500.0,2409.0,360.0,12000.0,13.0,1061.0,129.0,,,172.0,10575.0,,1169.0,,830.0,,,707.0,,,150.0,3841.0,,-1.0,-1.0,12990.0,,1391.0,2800.0,-1.0,7000.0,282.0,1140.0,1866.0,,1178.0,22232.0,199.0,251.0
1976,118.0,,1374.0,2305.0,360.0,12000.0,13.0,1012.0,201.0,,,172.0,11164.0,,1050.0,,850.0,,,798.0,,,270.0,3376.0,,-1.0,-1.0,12505.0,,1176.0,2800.0,-1.0,5900.0,345.0,985.0,1865.0,,1202.0,21629.0,189.0,191.0
1977,110.0,,1285.0,2330.0,360.0,12000.0,13.0,955.0,270.0,,,172.0,11426.0,,985.0,,890.0,,,798.0,,,130.0,3248.0,,-1.0,-1.0,12343.0,,1194.0,2600.0,-1.0,5900.0,340.0,1011.0,1800.0,,1264.0,21313.0,201.0,183.0
1978,116.0,,1234.0,2401.0,350.0,17000.0,12.0,829.0,250.0,,,172.0,11638.0,,900.0,,915.0,,,755.0,58.0,,150.0,3121.0,,-1.0,-1.0,12505.0,,1196.0,2600.0,-1.0,5900.0,320.0,996.0,1742.0,,1382.0,19703.0,209.0,200.0
1979,123.0,,1181.0,2448.0,350.0,15000.0,12.0,785.0,300.0,,,172.0,11745.0,,775.0,,920.0,,,773.0,67.0,,150.0,3121.0,,-1.0,-1.0,12869.0,,1159.0,3000.0,-1.0,5700.0,291.0,1003.0,1824.0,,1315.0,19419.0,209.0,156.0
1980,131.0,,1160.0,2474.0,350.0,16000.0,12.0,795.0,250.0,,,172.0,12218.0,,762.0,,920.0,,,739.0,75.0,,150.0,3199.0,,-1.0,-1.0,15014.0,,1226.0,2700.0,-1.0,5700.0,195.0,1070.0,1824.0,,1146.0,20002.0,230.0,156.0
1981,135.0,,1129.0,2445.0,0.0,16000.0,12.0,821.0,400.0,,,173.0,12102.0,,800.0,,880.0,,,708.0,75.0,,150.0,3276.0,,-1.0,-1.0,17440.0,,1350.0,2600.0,-1.0,6000.0,170.0,1165.0,1967.0,,1136.0,21538.0,230.0,185.0
1982,138.0,,1108.0,2369.0,,16000.0,11.0,838.0,310.0,,,80.0,12197.0,,700.0,,800.0,,,677.0,75.0,,150.0,3439.0,,-1.0,-1.0,16030.0,,1502.0,2400.0,-1.0,5900.0,205.0,1300.0,1967.0,,1114.0,22949.0,230.0,202.0
1983,142.0,,1099.0,2435.0,,16000.0,12.0,797.0,325.0,,,15.0,12256.0,,700.0,,700.0,,,699.0,75.0,,150.0,3418.0,,-1.0,-1.0,14930.0,,1530.0,2600.0,-1.0,6000.0,210.0,1388.0,1951.0,,1006.0,22448.0,230.0,142.0
1984,146.0,,1068.0,2475.0,,15000.0,17.0,742.0,320.0,,,0.0,12342.0,,700.0,,700.0,,,659.0,76.0,,150.0,3520.0,,-1.0,-1.0,12460.0,,1530.0,3000.0,-1.0,5091.0,194.0,1352.0,1951.0,,1016.0,22291.0,230.0,178.0
1985,154.0,,1049.0,2494.0,,15000.0,21.0,692.0,335.0,,,0.0,12539.0,,600.0,,700.0,,,579.0,35.0,,150.0,3379.0,,-1.0,1300.0,11370.0,,1434.0,3400.0,1300.0,4748.0,245.0,1289.0,1950.0,,947.0,22359.0,230.0,145.0
1986,155.0,,1009.0,2333.0,,15000.0,20.0,569.0,350.0,,,-1.0,12669.0,,500.0,,700.0,,,570.0,34.0,,163.0,3235.0,,-1.0,2000.0,10120.0,,1446.0,3700.0,2000.0,4232.0,229.0,1306.0,1616.0,,866.0,22710.0,230.0,140.0
1987,158.0,,995.0,2315.0,,15000.0,20.0,428.0,455.0,,,-1.0,12749.0,,500.0,,700.0,,,555.0,34.0,,154.0,3272.0,,-1.0,2500.0,11500.0,,1337.0,3900.0,2500.0,4200.0,232.0,1190.0,1550.0,,852.0,22164.0,230.0,147.0
1988,180.0,,980.0,2299.0,,13000.0,23.0,412.0,389.0,,,-1.0,12949.0,,455.0,,700.0,,,558.0,35.0,,135.0,3202.0,,-1.0,3500.0,13500.0,,1344.0,4000.0,3500.0,3900.0,242.0,1203.0,1501.0,,786.0,23247.0,230.0,141.0
1989,181.0,,800.0,2192.0,,13000.0,21.0,393.0,341.0,,,-1.0,11825.0,,448.0,,600.0,,,521.0,35.0,,118.0,3198.0,,-1.0,5000.0,14000.0,,1336.0,4000.0,5000.0,3740.0,242.0,1179.0,1383.0,,783.0,22399.0,230.0,157.0
1990,195.0,,843.0,2131.0,0.0,12200.0,21.0,363.0,448.0,,,-1.0,11805.0,,483.0,,2000.0,,,485.0,36.0,,105.0,3141.0,,-1.0,6200.0,14350.0,,1283.0,5255.0,6200.0,3900.0,250.0,1113.0,1400.0,,710.0,22400.0,213.0,170.0
1991,196.0,,741.0,2124.0,0.0,11800.0,21.0,391.0,300.0,,,-1.0,12783.0,,507.0,,2100.0,,,460.0,36.0,,92.0,3043.0,,-1.0,6500.0,16000.0,,1214.0,4025.0,6500.0,3700.0,260.0,1054.0,1164.0,,671.0,22478.0,278.0,160.0
1992,207.0,,660.0,2201.0,0.0,,21.0,399.0,250.0,6907.0,400.0,-1.0,13000.0,,577.0,,2200.0,,2398.0,230.0,36.0,4400.0,95.0,,,-1.0,7000.0,17100.0,412.0,1373.0,4009.0,7000.0,3617.0,270.0,1163.0,1176.0,0.0,729.0,22757.0,280.0,210.0
1993,217.0,1304.0,600.0,2013.0,0.0,,21.0,411.0,100.0,6313.0,376.0,-1.0,,14500.0,638.0,11422.0,2340.0,,2466.0,106.0,35.0,4600.0,93.0,,,-1.0,7000.0,17440.0,511.0,1417.0,4400.0,7000.0,3527.0,280.0,1197.0,1148.0,,730.0,23016.0,260.0,220.0
1994,234.0,1210.0,500.0,2239.0,0.0,,21.0,377.0,40.0,6008.0,353.0,-1.0,,14341.0,652.0,10687.0,2189.0,,2292.0,25.0,36.0,4100.0,113.0,,,-1.0,7000.0,17160.0,605.0,1273.0,4400.0,7000.0,3472.0,280.0,1007.0,1090.0,,738.0,21947.0,230.0,266.0
