,Kenya,Bolivia (Plurinational State of),Peru,Guyana,Cameroon,Zambia,Malaysia,Tajikistan,Melanesia,Philippines,Brazil,Benin,Ethiopia,Indonesia,Zimbabwe,Malawi,Uzbekistan,Rwanda,Guatemala,Thailand,Slovenia,Madagascar,Kyrgyzstan,Saint Lucia,Cambodia,Uganda,Costa Rica,India,Dominica,Fiji,Niger,Ethiopia PDR,Mexico,Ecuador,Honduras,Brunei Darussalam,Sri Lanka,China,Côte d'Ivoire,United Republic of Tanzania,Polynesia,Samoa,Viet Nam,Ghana,"China, mainland",Mali,"China, Macao SAR"
1961,-1.0,-1.0,-1.0,-1.0,160.0,-1.0,5000.0,-1.0,610.0,-1.0,2946.0,400.0,-1.0,17000.0,-1.0,-1.0,-1.0,-1.0,-1.0,800.0,-1,9900.0,-1.0,-1.0,600.0,1300.0,-1.0,103000.0,-1.0,610.0,-1.0,400.0,100.0,-1.0,100.0,15.0,5500.0,5070.0,-1.0,-1.0,8.0,8.0,300.0,-1.0,5000.0,-1,70.0
1962,-1.0,-1.0,-1.0,-1.0,160.0,-1.0,6000.0,-1.0,610.0,-1.0,2980.0,400.0,-1.0,35000.0,-1.0,-1.0,-1.0,-1.0,-1.0,850.0,-1,10000.0,-1.0,-1.0,600.0,1300.0,-1.0,102000.0,-1.0,610.0,-1.0,500.0,140.0,-1.0,100.0,15.0,5500.0,5050.0,-1.0,-1.0,8.0,8.0,300.0,-1.0,5000.0,-1,50.0
1963,-1.0,-1.0,-1.0,-1.0,170.0,-1.0,6000.0,-1.0,607.0,-1.0,3748.0,400.0,-1.0,37000.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,-1,10200.0,-1.0,-1.0,600.0,1300.0,-1.0,102000.0,-1.0,607.0,-1.0,600.0,200.0,-1.0,100.0,20.0,5500.0,5050.0,-1.0,-1.0,8.0,8.0,300.0,-1.0,5000.0,-1,50.0
1964,-1.0,-1.0,-1.0,-1.0,170.0,-1.0,5000.0,-1.0,607.0,-1.0,3755.0,400.0,-1.0,36000.0,-1.0,-1.0,-1.0,-1.0,-1.0,950.0,-1,10175.0,-1.0,-1.0,650.0,1300.0,-1.0,103000.0,-1.0,607.0,-1.0,800.0,270.0,-1.0,100.0,20.0,5595.0,5040.0,-1.0,-1.0,8.0,8.0,300.0,-1.0,5000.0,-1,40.0
1965,-1.0,-1.0,-1.0,-1.0,200.0,-1.0,8000.0,-1.0,607.0,-1.0,4426.0,400.0,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1,10675.0,-1.0,-1.0,650.0,1300.0,-1.0,102000.0,-1.0,607.0,-1.0,700.0,200.0,-1.0,200.0,20.0,5826.0,5040.0,-1.0,-1.0,8.0,8.0,350.0,-1.0,5000.0,-1,40.0
1966,-1.0,-1.0,-1.0,-1.0,190.0,-1.0,6000.0,-1.0,405.0,-1.0,4394.0,400.0,-1.0,38000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1,11105.0,-1.0,-1.0,700.0,1300.0,-1.0,121000.0,-1.0,405.0,-1.0,200.0,260.0,-1.0,200.0,23.0,4721.0,5065.0,-1.0,-1.0,8.0,8.0,390.0,-1.0,5000.0,-1,65.0
1967,-1.0,-1.0,-1.0,-1.0,270.0,-1.0,9000.0,-1.0,607.0,-1.0,4768.0,600.0,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1,11470.0,-1.0,-1.0,860.0,1300.0,-1.0,128000.0,-1.0,607.0,-1.0,200.0,200.0,-1.0,200.0,23.0,4885.0,6050.0,-1.0,-1.0,8.0,8.0,390.0,-1.0,6000.0,-1,50.0
1968,-1.0,-1.0,-1.0,-1.0,270.0,-1.0,6800.0,-1.0,1330.0,-1.0,5567.0,400.0,-1.0,40000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1,11670.0,-1.0,-1.0,700.0,1300.0,-1.0,121200.0,-1.0,1330.0,-1.0,200.0,260.0,-1.0,200.0,21.0,5645.0,6050.0,-1.0,-1.0,8.0,8.0,350.0,-1.0,6000.0,-1,50.0
1969,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,7612.0,-1.0,1300.0,-1.0,5453.0,400.0,-1.0,34000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1,11800.0,-1.0,-1.0,576.0,1300.0,-1.0,120300.0,-1.0,1300.0,-1.0,200.0,320.0,-1.0,200.0,21.0,5574.0,6060.0,-1.0,-1.0,8.0,8.0,370.0,-1.0,6000.0,-1,60.0
1970,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,6950.0,-1.0,1290.0,-1.0,5473.0,400.0,-1.0,36000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1,7000.0,-1.0,-1.0,576.0,1600.0,-1.0,119960.0,-1.0,1290.0,-1.0,200.0,315.0,-1.0,300.0,20.0,6429.0,6050.0,-1.0,-1.0,8.0,8.0,340.0,-1.0,6000.0,-1,50.0
