,Ukraine,Belgium,Serbia and Montenegro,Czechoslovakia,Serbia,Croatia,Qatar,USSR,Slovakia,Philippines,Haiti,Bosnia and Herzegovina,Puerto Rico,Romania,South Africa,Spain,Kazakhstan,France,Yugoslav SFR,Portugal,Poland,Netherlands,Russian Federation,Czechia,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,2298.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,5000.0,1455.0,-1.0,4595.0,100.0,-1,-1.0,-1.0,-1,-1,1000.0
1962,-1.0,-1.0,-1.0,2554.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,4000.0,1090.0,-1.0,2795.0,100.0,-1,-1.0,-1.0,-1,-1,1000.0
1963,-1.0,-1.0,-1.0,2640.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,4500.0,1340.0,-1.0,4368.0,100.0,-1,-1.0,-1.0,-1,-1,1169.0
1964,-1.0,-1.0,-1.0,2308.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,7000.0,1357.0,-1.0,5239.0,100.0,-1,-1.0,-1.0,-1,-1,1515.0
1965,-1.0,-1.0,-1.0,1732.0,-1.0,-1.0,-1.0,650.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,6595.0,1297.0,-1.0,5580.0,100.0,-1,-1.0,-1.0,-1,-1,1160.0
1966,-1.0,-1.0,-1.0,1410.0,-1.0,-1.0,-1.0,670.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,8000.0,1443.0,-1.0,3853.0,100.0,-1,-1.0,-1.0,-1,-1,741.0
1967,-1.0,-1.0,-1.0,1513.0,-1.0,-1.0,-1.0,660.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,3000.0,1504.0,-1.0,3027.0,100.0,-1,-1.0,-1.0,-1,-1,778.0
1968,-1.0,-1.0,-1.0,1221.0,-1.0,-1.0,-1.0,630.0,-1.0,-1.0,-1.0,-1.0,-1.0,1800.0,5000.0,1437.0,-1.0,3111.0,100.0,-1,-1.0,-1.0,-1,-1,994.0
1969,-1.0,-1.0,-1.0,1389.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,6000.0,994.0,-1.0,4916.0,100.0,-1,-1.0,-1.0,-1,-1,1104.0
1970,-1.0,-1.0,-1.0,1806.0,-1.0,-1.0,-1.0,640.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,5000.0,730.0,-1.0,6018.0,100.0,-1,-1.0,-1.0,-1,-1,1411.0
1971,-1.0,-1.0,-1.0,1459.0,-1.0,-1.0,-1.0,630.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,5778.0,870.0,-1.0,5504.0,104.0,-1,-1.0,-1.0,-1,-1,1210.0
1972,-1.0,-1.0,-1.0,1392.0,-1.0,-1.0,-1.0,640.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,3468.0,277.0,-1.0,2850.0,101.0,-1,-1.0,-1.0,-1,-1,693.0
1973,-1.0,-1.0,-1.0,1375.0,-1.0,-1.0,-1.0,640.0,-1.0,-1.0,-1.0,-1.0,-1.0,800.0,3380.0,-1.0,-1.0,3500.0,40.0,-1,-1.0,-1.0,-1,-1,754.0
1974,-1.0,-1.0,-1.0,1346.0,-1.0,-1.0,-1.0,630.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,5410.0,984.0,-1.0,3900.0,39.0,-1,-1.0,-1.0,-1,-1,818.0
1975,-1.0,-1.0,-1.0,1279.0,-1.0,-1.0,-1.0,620.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,6790.0,1074.0,-1.0,5400.0,198.0,-1,-1.0,-1.0,-1,-1,1518.0
1976,-1.0,-1.0,-1.0,1366.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,7100.0,1045.0,-1.0,5350.0,559.0,-1,-1.0,-1.0,-1,-1,1569.0
1977,-1.0,-1.0,-1.0,1627.0,-1.0,-1.0,-1.0,470.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,8100.0,1305.0,-1.0,5475.0,722.0,-1,-1.0,-1.0,-1,-1,1607.0
1978,-1.0,-1.0,-1.0,1538.0,-1.0,-1.0,-1.0,490.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,6400.0,1079.0,-1.0,4900.0,591.0,-1,-1.0,-1.0,-1,-1,1265.0
1979,-1.0,-1.0,-1.0,966.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,8255.0,1024.0,-1.0,3600.0,400.0,-1,-1.0,-1.0,-1,-1,860.0
1980,-1.0,-1.0,-1.0,921.0,-1.0,-1.0,-1.0,510.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,3500.0,971.0,-1.0,3500.0,118.0,-1,-1.0,-1.0,-1,-1,815.0
1981,-1.0,-1.0,-1.0,901.0,-1.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,7100.0,884.0,-1.0,4400.0,201.0,-1,-1.0,-1.0,-1,-1,860.0
1982,-1.0,-1.0,-1.0,1353.0,-1.0,-1.0,-1.0,560.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7800.0,906.0,-1.0,5000.0,298.0,-1,-1.0,-1.0,-1,-1,1319.0
1983,-1.0,-1.0,-1.0,1296.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,3400.0,5400.0,819.0,-1.0,4800.0,280.0,-1,-1.0,-1.0,-1,-1,1175.0
1984,-1.0,-1.0,-1.0,1440.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,2100.0,6200.0,736.0,-1.0,4000.0,369.0,-1,-1.0,-1.0,-1,-1,950.0
1985,-1.0,-1.0,-1.0,1323.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7400.0,899.0,-1.0,5200.0,308.0,-1,-1.0,-1.0,-1,-1,1267.0
1986,-1.0,-1.0,-1.0,981.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,3900.0,6700.0,1023.0,-1.0,4700.0,124.0,-1,-1.0,-1.0,-1,-1,1261.0
1987,-1.0,-1.0,-1.0,1026.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,3700.0,8100.0,882.0,-1.0,2700.0,131.0,-1,-1.0,-1.0,-1,-1,1080.0
1988,-1.0,-1.0,-1.0,990.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,3400.0,6300.0,752.0,-1.0,2600.0,25.0,-1,-1.0,-1.0,-1,-1,838.0
1989,-1.0,-1.0,-1.0,1241.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,6400.0,4600.0,707.0,-1.0,2700.0,59.0,-1,-1.0,-1.0,-1,-1,784.0
1990,-1.0,-1.0,-1.0,1241.0,-1.0,-1.0,-1.0,430.0,-1.0,218.0,9.0,-1.0,-1.0,100.0,4258.0,444.0,-1.0,3400.0,117.0,-1,-1.0,-1.0,-1,-1,1642.0
1991,-1.0,-1.0,-1.0,1157.0,-1.0,-1.0,-1.0,0.0,-1.0,227.0,9.0,-1.0,-1.0,0.0,4400.0,294.0,-1.0,3130.0,138.0,-1,1459.0,-1.0,-1,-1,3153.0
1992,100.0,-1.0,0.0,30.0,-1.0,84.0,-1.0,-1.0,-1.0,228.0,9.0,-1.0,-1.0,-1.0,4200.0,337.0,100.0,3766.0,-1.0,-1,1275.0,-1.0,-1,-1,5246.0
1993,156.0,-1.0,-1.0,-1.0,-1.0,72.0,-1.0,-1.0,-1.0,252.0,9.0,-1.0,-1.0,-1.0,4250.0,248.0,100.0,4427.0,-1.0,-1,1127.0,-1.0,-1,-1,4150.0
1994,211.0,-1.0,-1.0,-1.0,-1.0,88.0,-1.0,-1.0,-1.0,260.0,9.0,-1.0,-1.0,-1.0,4200.0,181.0,100.0,3326.0,-1.0,-1,1012.0,-1.0,-1,-1,5969.0
1995,267.0,-1.0,-1.0,-1.0,-1.0,107.0,-1.0,-1.0,-1.0,254.0,9.0,-1.0,-1.0,-1.0,4200.0,164.0,100.0,3227.0,-1.0,-1,1052.0,-1.0,-1,-1,7697.0
