,USSR,Cambodia,Vanuatu,Eritrea,Fiji,Australia,Pakistan,Thailand,Belize,Ethiopia,Kenya,Guyana,Lao People's Democratic Republic,Zambia,Botswana,Papua New Guinea,Somalia,Suriname,Brazil,Mozambique,Niger,Australia & New Zealand,Hungary,Chad,Colombia,Spain,Central African Republic,India,Jamaica,Ecuador,Cabo Verde,Indonesia,Argentina,Jordan,Angola,Ethiopia PDR,Egypt,Melanesia,Togo,Malaysia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Sudan,Mali,Congo,Lebanon,Dominican Republic,Syrian Arab Republic,Tonga,Yugoslav SFR,Iran (Islamic Republic of),Peru,Gambia,Ghana,"China, mainland",Cyprus,Kazakhstan,Rwanda,Cameroon,Guatemala,Saint Kitts and Nevis,Cuba,United States of America,South Africa,Philippines,Iraq,Madagascar,Swaziland,United Republic of Tanzania,Burundi,South Sudan,Libya,Costa Rica,Bangladesh,Italy,Senegal,Mauritius,Uganda,Comoros,Benin,Uzbekistan,China,Burkina Faso,Sudan (former),Morocco,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Timor-Leste,Saudi Arabia,Guinea-Bissau,Namibia,Georgia,Nicaragua,Viet Nam,Mauritania,Barbados,Turkey,Portugal,Bolivia (Plurinational State of),Paraguay,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Mexico,Guinea,Sierra Leone,Sri Lanka,Côte d'Ivoire,Polynesia,Bulgaria,Myanmar,Occupied Palestinian Territory,Liberia
1961,,7289.0,4737.0,,10000.0,13410.0,13943.0,13069.0,,,5971.0,6667.0,5778.0,8333.0,7744.0,12936.0,9000.0,9866.0,13393.0,2000.0,4786.0,13410.0,,7647.0,12500.0,15882.0,7875.0,7249.0,22571.0,15358.0,10714.0,11507.0,14868.0,,6780.0,5000.0,18034.0,11858.0,3605.0,17116.0,13991.0,,5000.0,7489.0,7037.0,10517.0,,6286.0,7117.0,13333.0,8605.0,21518.0,9375.0,12500.0,10000.0,12575.0,11667.0,7833.0,8750.0,28571.0,,7723.0,8203.0,16667.0,18750.0,10000.0,13286.0,8781.0,5561.0,,8889.0,5600.0,10000.0,7848.0,,15714.0,,11254.0,22643.0,9961.0,28687.0,5000.0,,3567.0,,8892.0,5385.0,13411.0,5000.0,9600.0,9710.0,6668.0,,8333.0,7987.0,,10618.0,35067.0,8000.0,21616.0,7467.0,,6500.0,,,10000.0,9799.0,5000.0,,20690.0,,12249.0,8571.0,8333.0,10672.0,12500.0,6000.0,11579.0,10401.0,4083.0,9375.0,8109.0,7921.0,,6000.0
1962,7143.0,7115.0,4737.0,,10000.0,11059.0,11713.0,13180.0,,,5994.0,6667.0,5778.0,7500.0,6998.0,14066.0,8333.0,10741.0,13596.0,2167.0,6358.0,11059.0,,8235.0,12500.0,15579.0,7949.0,6953.0,21931.0,11541.0,11429.0,11662.0,15486.0,,6739.0,5000.0,22209.0,12868.0,5347.0,17001.0,13474.0,,4933.0,7344.0,6415.0,12811.0,,6389.0,6410.0,14000.0,10342.0,21518.0,9512.0,12778.0,10000.0,12530.0,11667.0,7833.0,8462.0,28571.0,,5674.0,8484.0,16667.0,18750.0,10000.0,13757.0,7610.0,5722.0,,8780.0,5600.0,10000.0,5000.0,,18400.0,,14190.0,22378.0,10069.0,19030.0,5333.0,,3541.0,,8562.0,5000.0,11134.0,5000.0,9706.0,7686.0,8635.0,,8333.0,8011.0,,9922.0,35227.0,8000.0,22196.0,11429.0,,6500.0,,,10000.0,9210.0,5000.0,,24020.0,,12252.0,8505.0,8333.0,9381.0,12593.0,5980.0,11579.0,11312.0,5536.0,9512.0,10893.0,7645.0,,6000.0
1963,6667.0,10000.0,4737.0,,10938.0,11154.0,10944.0,13809.0,,,5995.0,7500.0,8750.0,8333.0,8000.0,7968.0,9000.0,10670.0,14279.0,2333.0,6917.0,11154.0,,7352.0,12500.0,16040.0,8026.0,7694.0,21931.0,8191.0,11111.0,11136.0,11725.0,,6765.0,5000.0,20315.0,7629.0,4350.0,17241.0,17303.0,,5000.0,7790.0,6415.0,9925.0,,8189.0,6722.0,17333.0,9524.0,21771.0,9639.0,13333.0,10000.0,13006.0,11000.0,7705.0,9767.0,29714.0,,5735.0,7670.0,16667.0,20000.0,10000.0,15593.0,8502.0,5600.0,,9268.0,5600.0,10000.0,5000.0,,13186.0,,15063.0,24428.0,10005.0,31189.0,5240.0,,3559.0,,9761.0,5000.0,11216.0,5000.0,10000.0,7526.0,8011.0,,9333.0,8000.0,,9672.0,32787.0,8000.0,23453.0,10811.0,,6200.0,,,10000.0,9499.0,4688.0,,24211.0,,12240.0,8500.0,8333.0,10659.0,12393.0,5962.0,12105.0,18433.0,4932.0,9639.0,9826.0,7123.0,,6061.0
1964,3000.0,10000.0,4737.0,,12000.0,12865.0,12248.0,13840.0,,,5997.0,8000.0,8000.0,6667.0,10000.0,6841.0,8750.0,9983.0,10927.0,3030.0,6295.0,12865.0,,7778.0,12500.0,17068.0,8026.0,8140.0,22151.0,10220.0,10317.0,11662.0,11124.0,,6795.0,5000.0,21981.0,6688.0,4467.0,17040.0,18380.0,,4955.0,8230.0,6250.0,9245.0,,10489.0,6923.0,16667.0,9883.0,20800.0,9765.0,15714.0,10000.0,12337.0,11200.0,7752.0,9717.0,26265.0,,4238.0,9299.0,16667.0,20000.0,10000.0,16837.0,6316.0,5417.0,16667.0,10325.0,5660.0,10146.0,6250.0,,21000.0,,13098.0,25628.0,9659.0,37985.0,5120.0,,3967.0,,9810.0,5512.0,10670.0,5000.0,10909.0,9252.0,6072.0,,9333.0,7989.0,,11484.0,36468.0,9000.0,20796.0,10811.0,,6000.0,,,20000.0,10025.0,5000.0,,25556.0,,12845.0,8496.0,8333.0,8898.0,12609.0,6000.0,12105.0,16909.0,4535.0,9765.0,15757.0,6035.0,,6061.0
1965,6000.0,10000.0,5000.0,,12000.0,5658.0,12552.0,13695.0,,,5968.0,10000.0,8000.0,8800.0,9755.0,6401.0,8400.0,11003.0,13737.0,3529.0,8101.0,5658.0,,7895.0,12500.0,16758.0,8288.0,5538.0,22048.0,7827.0,11207.0,11538.0,11609.0,,6766.0,5000.0,21988.0,6307.0,5332.0,17210.0,22982.0,,5000.0,9795.0,6294.0,8874.0,,10013.0,7200.0,21671.0,9039.0,19661.0,10227.0,16250.0,10000.0,15037.0,12800.0,8689.0,10446.0,14464.0,,5847.0,8393.0,16667.0,20833.0,10000.0,18622.0,8047.0,5605.0,13333.0,8809.0,5660.0,9967.0,6452.0,,21778.0,,14060.0,22818.0,10063.0,21455.0,5000.0,,4199.0,,10536.0,5615.0,7757.0,10000.0,10741.0,1934.0,3546.0,,10000.0,8010.0,,12142.0,32569.0,15000.0,20541.0,7857.0,,4200.0,,,20000.0,9407.0,4875.0,,27273.0,,13600.0,8498.0,8333.0,9265.0,13284.0,6019.0,11985.0,9247.0,5333.0,10227.0,11048.0,6484.0,,6061.0
1966,7500.0,9123.0,5000.0,,12000.0,11927.0,13751.0,14361.0,,,5968.0,12000.0,9231.0,8571.0,10979.0,8918.0,9667.0,11615.0,13905.0,3353.0,8776.0,11927.0,,7302.0,12500.0,15843.0,8451.0,6043.0,19720.0,7879.0,10317.0,11289.0,12325.0,,6809.0,5096.0,19433.0,8353.0,3023.0,18714.0,20481.0,,5000.0,10203.0,6333.0,7511.0,,8894.0,8050.0,16302.0,10548.0,18356.0,10112.0,13333.0,10000.0,14604.0,14200.0,11866.0,12089.0,24400.0,,7500.0,7877.0,16667.0,20833.0,10000.0,19059.0,8336.0,5310.0,14178.0,10349.0,5660.0,10021.0,6385.0,,19953.0,,14699.0,23995.0,8955.0,34098.0,5357.0,,4146.0,,12071.0,5571.0,8582.0,5000.0,11250.0,8298.0,6489.0,,10000.0,8000.0,,11731.0,33583.0,10000.0,21387.0,11973.0,,4222.0,,,20000.0,9122.0,5000.0,,23478.0,,14257.0,8498.0,8750.0,9800.0,14345.0,6510.0,12529.0,7856.0,5556.0,10112.0,15356.0,5555.0,,6061.0
1967,5000.0,9953.0,5172.0,,11071.0,14929.0,14661.0,12644.0,,,6005.0,12000.0,9286.0,9000.0,10537.0,9565.0,9375.0,10649.0,10820.0,3441.0,8367.0,14929.0,,6929.0,12500.0,18202.0,8650.0,7588.0,11134.0,7701.0,11546.0,11453.0,10809.0,,6809.0,5172.0,16032.0,8892.0,4000.0,18129.0,20698.0,,5058.0,10578.0,6452.0,6906.0,,9184.0,8250.0,12813.0,9934.0,16071.0,10556.0,17000.0,10000.0,14462.0,14830.0,8416.0,11342.0,20400.0,,7500.0,8403.0,17333.0,20833.0,10000.0,19784.0,16358.0,5018.0,12369.0,10198.0,6182.0,10181.0,7222.0,,21049.0,,14735.0,24297.0,8645.0,31060.0,5884.0,,5331.0,,11470.0,5634.0,9052.0,7500.0,10870.0,6752.0,7034.0,,10000.0,8591.0,,13993.0,34492.0,10000.0,22098.0,12617.0,,3833.0,,,20000.0,10263.0,5000.0,,25000.0,,14922.0,8479.0,9167.0,5089.0,12394.0,6732.0,12353.0,12506.0,7634.0,10556.0,14612.0,6162.0,,6061.0
1968,6250.0,11898.0,5714.0,,11027.0,12270.0,15181.0,13804.0,,,6065.0,11667.0,9333.0,8667.0,10433.0,8870.0,9444.0,11469.0,12432.0,4000.0,5844.0,12270.0,,7586.0,13333.0,18424.0,6970.0,6533.0,9288.0,4487.0,11818.0,12114.0,9845.0,,6809.0,5387.0,16619.0,8739.0,4000.0,18606.0,18986.0,,5058.0,11728.0,6875.0,9341.0,,4786.0,8100.0,11688.0,10195.0,15626.0,10435.0,11667.0,10000.0,16667.0,15455.0,10158.0,11024.0,25500.0,,6486.0,8726.0,17800.0,21429.0,10000.0,19844.0,7372.0,5009.0,10948.0,9424.0,5818.0,9148.0,6792.0,,20305.0,,15714.0,22642.0,7002.0,29124.0,7012.0,,5229.0,,11031.0,5667.0,8627.0,9091.0,11053.0,4653.0,4605.0,,10000.0,8048.0,,11172.0,36742.0,10000.0,20711.0,5420.0,,3833.0,,,15000.0,9737.0,4118.0,,25000.0,,15806.0,8000.0,9167.0,7458.0,12825.0,6495.0,12353.0,10401.0,7756.0,10435.0,13476.0,7377.0,,6061.0
1969,4286.0,10645.0,5882.0,,11027.0,5336.0,14587.0,13315.0,,,5635.0,12609.0,9000.0,8933.0,10537.0,7106.0,9500.0,10292.0,12291.0,4000.0,6470.0,5336.0,,7099.0,13333.0,17815.0,7333.0,7200.0,8901.0,8450.0,6052.0,11953.0,8912.0,,4571.0,5614.0,16738.0,7621.0,4886.0,17309.0,21789.0,,5058.0,11398.0,7066.0,10071.0,,5755.0,8019.0,10792.0,10140.0,19127.0,10319.0,11642.0,10000.0,13863.0,14706.0,8237.0,10565.0,25333.0,,8000.0,9345.0,18400.0,21429.0,10000.0,19522.0,10724.0,4806.0,10591.0,10473.0,5600.0,6115.0,6800.0,,20208.0,,16296.0,23658.0,8294.0,23927.0,8571.0,,5405.0,,10588.0,5191.0,8536.0,7857.0,11000.0,6223.0,5889.0,,10667.0,7829.0,,11026.0,38509.0,10000.0,21109.0,12110.0,,4478.0,,,20000.0,10256.0,5263.0,,25333.0,,15091.0,7500.0,9600.0,7561.0,13586.0,6360.0,13412.0,10670.0,8004.0,10319.0,11670.0,6671.0,,6061.0
1970,4000.0,7984.0,6000.0,,11000.0,12714.0,14728.0,13253.0,,,7500.0,11333.0,9091.0,9067.0,8581.0,8077.0,9000.0,9894.0,13858.0,4000.0,5723.0,12714.0,,7290.0,14000.0,18400.0,6210.0,8341.0,10740.0,8543.0,664.0,12314.0,11140.0,,5143.0,5902.0,18671.0,8000.0,5641.0,31865.0,22782.0,,5058.0,12036.0,6946.0,8455.0,,5215.0,8000.0,11591.0,11843.0,17362.0,10316.0,14286.0,10000.0,15129.0,14368.0,10366.0,12576.0,30299.0,,9000.0,7707.0,19000.0,21429.0,10000.0,22758.0,8280.0,5370.0,16410.0,10147.0,5600.0,6039.0,6889.0,,22812.0,,16502.0,22816.0,5960.0,19358.0,9760.0,,5035.0,,12644.0,4836.0,8829.0,5674.0,10952.0,9405.0,6316.0,,10667.0,6798.0,,13969.0,35084.0,10000.0,20666.0,9170.0,,4222.0,,,20000.0,9535.0,5000.0,,24667.0,,15000.0,7798.0,10000.0,7296.0,13875.0,6502.0,14941.0,8546.0,8004.0,10316.0,11219.0,7446.0,,6061.0
