,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Sweden,Switzerland,USSR,Romania,Azerbaijan,Spain,Uzbekistan,Russian Federation,Denmark,Ireland,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Latvia,Yugoslav SFR,Slovakia,Czechia,United Kingdom,Austria,Chile,Hungary,Greece,New Zealand,Estonia,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Lithuania,Slovenia,Finland,Netherlands,Republic of Moldova,Kyrgyzstan,Norway,Italy,Belgium-Luxembourg
1961,-1.0,143988.0,-1.0,14000.0,41200.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1800.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,21438.0,19000.0,-1.0,1100.0,-1.0,100.0,-1.0,1000.0,1098.0,333.0,998.0,7350.0,-1,-1.0,8900.0,14082.0,-1.0,-1.0,17648.0,100.0,2600.0
1962,-1.0,129721.0,-1.0,11000.0,33700.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,23674.0,20000.0,-1.0,1300.0,-1.0,92.0,-1.0,1000.0,1490.0,478.0,1398.0,7550.0,-1,-1.0,7500.0,14674.0,-1.0,-1.0,20332.0,100.0,3200.0
1963,-1.0,167199.0,-1.0,17000.0,36000.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3184.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,-1.0,-1.0,32006.0,20000.0,-1.0,2100.0,-1.0,76.0,-1.0,1000.0,1416.0,530.0,1340.0,8000.0,-1,-1.0,7500.0,16985.0,-1.0,-1.0,20031.0,100.0,4700.0
1964,-1.0,156415.0,-1.0,13858.0,36800.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3844.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,-1.0,-1.0,29770.0,21000.0,-1.0,2100.0,-1.0,132.0,-1.0,1000.0,1176.0,555.0,1044.0,7710.0,-1,-1.0,9200.0,15594.0,-1.0,-1.0,19278.0,100.0,4700.0
1965,-1.0,144259.0,-1.0,15025.0,35700.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3204.0,-1.0,-1.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,29872.0,21000.0,-1.0,2037.0,-1.0,180.0,-1.0,1000.0,1512.0,689.0,1332.0,6790.0,-1,-1.0,8900.0,11135.0,-1.0,-1.0,17245.0,200.0,3450.0
1966,-1.0,167130.0,-1.0,17117.0,39700.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3385.0,-1.0,-1.0,-1.0,-1.0,-1.0,350.0,-1.0,-1.0,18593.0,22000.0,-1.0,1725.0,-1.0,166.0,-1.0,1000.0,1397.0,876.0,1231.0,7007.0,-1,-1.0,7100.0,8005.0,-1.0,-1.0,17432.0,100.0,4700.0
1967,-1.0,127656.0,-1.0,13991.0,40600.0,-1.0,-1.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2739.0,-1.0,-1.0,-1.0,-1.0,-1.0,520.0,-1.0,-1.0,7823.0,22000.0,-1.0,3106.0,-1.0,194.0,-1.0,1000.0,1174.0,668.0,980.0,6621.0,-1,-1.0,7600.0,7094.0,-1.0,-1.0,16101.0,100.0,3400.0
1968,-1.0,166435.0,-1.0,16928.0,43800.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4165.0,-1.0,-1.0,-1.0,-1.0,-1.0,450.0,-1.0,-1.0,14936.0,23000.0,-1.0,3248.0,-1.0,223.0,-1.0,1000.0,1420.0,345.0,1197.0,7445.0,-1,-1.0,6800.0,9417.0,-1.0,-1.0,17011.0,100.0,5400.0
1969,-1.0,160950.0,-1.0,18436.0,44200.0,-1.0,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3864.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,-1.0,26112.0,24400.0,-1.0,3871.0,-1.0,223.0,-1.0,1163.0,1159.0,400.0,936.0,7792.0,-1,-1.0,9900.0,9000.0,-1.0,-1.0,15913.0,100.0,5400.0
1970,-1.0,162324.0,-1.0,20953.0,51860.0,-1.0,-1.0,24000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3143.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,21845.0,24782.0,-1.0,3839.0,-1.0,210.0,-1.0,2000.0,1225.0,247.0,1015.0,6370.0,-1,-1.0,10000.0,6726.0,-1.0,-1.0,15826.0,-1.0,6350.0
