,"China, Taiwan Province of",Bhutan,Eritrea,USSR,Australia & New Zealand,Madagascar,United Republic of Tanzania,Togo,Yemen,Armenia,Burundi,Thailand,Ethiopia,Luxembourg,Czechia,Switzerland,Republic of Moldova,Italy,Serbia,Qatar,Senegal,Botswana,Peru,South Africa,Slovenia,Uzbekistan,Occupied Palestinian Territory,Finland,Slovakia,Niger,Morocco,Mongolia,Mexico,Hungary,Chad,Spain,Ireland,New Zealand,Austria,Republic of Korea,Poland,Argentina,Belarus,Ethiopia PDR,Georgia,Greece,Czechoslovakia,Bosnia and Herzegovina,France,Oman,Tunisia,Mali,Zimbabwe,Croatia,Congo,Russian Federation,Bolivia (Plurinational State of),Kazakhstan,Gambia,United States of America,Latvia,Ukraine,"China, mainland",Sierra Leone,Guinea-Bissau,Lithuania,Bulgaria,Myanmar,China,Romania
1961,700.0,-1.0,,76000.0,2000.0,-1.0,-1.0,15000.0,,,-1.0,,,,,-1.0,,9800.0,,-1.0,16000.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,30000.0,4000.0,-1.0,8000.0,14000.0,,-1.0,2000.0,-1.0,,-1.0,19000.0,,1980000.0,,-1.0,,,-1.0,1600.0,40000.0,,-1.0,,-1.0,,600.0,,-1.0,,,,-1.0,1250.0,-1.0,,10000.0,33600.0,700.0,
1962,700.0,-1.0,,69000.0,2000.0,-1.0,-1.0,24720.0,,,-1.0,,,,,-1.0,,9603.0,,-1.0,16000.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,35000.0,5000.0,-1.0,8000.0,14000.0,,-1.0,2000.0,-1.0,,-1.0,19000.0,,2133000.0,,-1.0,,,-1.0,1600.0,40000.0,,-1.0,,-1.0,,600.0,,-1.0,,,,-1.0,1300.0,-1.0,,15000.0,31600.0,700.0,
1963,1400.0,-1.0,,65000.0,2000.0,-1.0,-1.0,25000.0,,,-1.0,,,,,-1.0,,7284.0,,-1.0,15000.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,35000.0,6000.0,-1.0,8500.0,14000.0,,-1.0,2000.0,-1.0,,-1.0,19000.0,,2100000.0,,-1.0,,,-1.0,1600.0,60000.0,,-1.0,,-1.0,,600.0,,-1.0,,,,-1.0,1300.0,-1.0,,20000.0,51000.0,1400.0,
1964,1400.0,-1.0,,81000.0,2000.0,-1.0,-1.0,27000.0,,,-1.0,,,,,-1.0,,7138.0,,-1.0,10000.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,31000.0,8000.0,-1.0,8500.0,14000.0,,-1.0,2000.0,-1.0,,-1.0,21000.0,,2108000.0,,-1.0,,,-1.0,1700.0,80000.0,,-1.0,,-1.0,,600.0,,-1.0,,,,-1.0,1350.0,-1.0,,30000.0,56300.0,1400.0,
1965,2100.0,-1.0,,53000.0,2000.0,-1.0,-1.0,27000.0,,,-1.0,,,,,-1.0,,7188.0,,-1.0,10000.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,40000.0,9000.0,-1.0,9000.0,14500.0,,-1.0,2000.0,-1.0,,-1.0,25000.0,,2110000.0,,-1.0,,,-1.0,1700.0,110000.0,,-1.0,,-1.0,,600.0,,-1.0,,,,-1.0,1400.0,-1.0,,50618.0,38000.0,2100.0,
1966,3500.0,-1.0,,54000.0,2300.0,-1.0,-1.0,31000.0,,,-1.0,,,,,-1.0,,7138.0,,-1.0,12700.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,34000.0,4000.0,-1.0,9000.0,15000.0,,-1.0,2300.0,-1.0,,-1.0,24000.0,,2111600.0,,-1.0,318.0,,-1.0,1800.0,75000.0,,-1.0,,-1.0,,1000.0,,-1.0,,,,-1.0,1500.0,-1.0,,2555.0,58700.0,3500.0,
1967,4900.0,-1.0,,34000.0,2300.0,-1.0,-1.0,7015.0,,,-1.0,,,,,-1.0,,6567.0,,-1.0,16000.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,34000.0,4000.0,-1.0,9500.0,15000.0,,-1.0,2300.0,-1.0,,-1.0,26100.0,,2132700.0,,-1.0,1765.0,,-1.0,1900.0,70000.0,,-1.0,,-1.0,,1000.0,,-1.0,,,,-1.0,1400.0,-1.0,,3000.0,51800.0,4900.0,
1968,6300.0,-1.0,,25000.0,2300.0,-1.0,-1.0,5000.0,,,-1.0,,,,,-1.0,,6372.0,,-1.0,10100.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,23500.0,1700.0,-1.0,9500.0,15000.0,,-1.0,2300.0,-1.0,,-1.0,27200.0,,2154000.0,,-1.0,1682.0,,-1.0,1900.0,75000.0,,-1.0,,-1.0,,1000.0,,-1.0,,,,-1.0,1400.0,-1.0,,4500.0,55875.0,6300.0,
1969,10500.0,-1.0,,17000.0,2300.0,-1.0,-1.0,6000.0,,,-1.0,120.0,,,,-1.0,,5002.0,,-1.0,12023.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,32000.0,1700.0,-1.0,9588.0,15000.0,,-1.0,2300.0,-1.0,,-1.0,27000.0,,2175500.0,,-1.0,1786.0,,-1.0,1900.0,40000.0,,-1.0,,-1.0,,1000.0,,-1.0,,,,-1.0,1400.0,-1.0,,2288.0,61457.0,10500.0,
1970,10500.0,-1.0,,15000.0,2000.0,-1.0,-1.0,11000.0,,,-1.0,240.0,,,,-1.0,,4394.0,,-1.0,7805.0,-1.0,-1.0,5000.0,,,-1.0,-1.0,,-1.0,64000.0,3000.0,-1.0,16251.0,16000.0,,-1.0,2000.0,-1.0,,-1.0,26200.0,,2197300.0,,-1.0,1421.0,,-1.0,2000.0,40000.0,,-1.0,,-1.0,,1000.0,,-1.0,,,,-1.0,1372.0,-1.0,,4431.0,54725.0,10500.0,
