,Saint Kitts and Nevis,Belize,Burundi,Melanesia,Niue,Cameroon,Burkina Faso,Comoros,Sudan (former),Dominican Republic,Philippines,South Sudan,Martinique,Benin,United Republic of Tanzania,Ethiopia,Kenya,Liberia,Japan,Brazil,Sao Tome and Principe,Togo,Venezuela (Bolivarian Republic of),Papua New Guinea,Antigua and Barbuda,New Caledonia,Guyana,Samoa,Barbados,Democratic Republic of the Congo,Sudan,American Samoa,Nigeria,Tonga,Saint Lucia,Haiti,Costa Rica,Guinea,Cuba,Guadeloupe,Dominica,Fiji,Chad,Rwanda,Wallis and Futuna Islands,Ethiopia PDR,Congo,Gabon,Cayman Islands,Central African Republic,Mauritania,Côte d'Ivoire,Colombia,Mali,Jamaica,Solomon Islands,Trinidad and Tobago,Puerto Rico,Polynesia,Saint Vincent and the Grenadines,Portugal,Panama,Ghana,Grenada,Nicaragua
1961,25333.0,-1.0,57000.0,128571.0,100000.0,41667.0,25734.0,-1.0,30000.0,82800.0,50000.0,-1.0,105556.0,88833.0,71429.0,-1.0,-1.0,96296.0,168750.0,89474.0,50000.0,100000.0,54881.0,165746.0,25000.0,80952.0,-1.0,150000.0,124876.0,75000.0,-1.0,30000.0,77778.0,121739.0,33476.0,40000.0,-1.0,83333.0,-1.0,130000.0,100000.0,8000.0,75862.0,100000.0,112500.0,36481.0,35294.0,58824.0,-1.0,50000.0,69231.0,76667.0,78667.0,35000.0,143060.0,70588.0,156500.0,52965.0,121203.0,100000.0,78947.0,75000.0,73333.0,25714.0,-1.0
1962,25333.0,-1.0,57000.0,130039.0,100000.0,41667.0,25184.0,-1.0,32500.0,78966.0,45025.0,-1.0,105556.0,84826.0,71429.0,-1.0,-1.0,96296.0,168750.0,89796.0,50000.0,96667.0,62579.0,166667.0,25000.0,81818.0,-1.0,144231.0,137406.0,70000.0,-1.0,31000.0,77778.0,123404.0,42396.0,40000.0,-1.0,83333.0,-1.0,130000.0,100000.0,7905.0,77241.0,100000.0,112500.0,36000.0,36471.0,56471.0,-1.0,54545.0,70370.0,77419.0,82000.0,37000.0,145735.0,72353.0,158207.0,52969.0,122824.0,100000.0,78947.0,66250.0,73333.0,25556.0,-1.0
1963,24516.0,-1.0,57000.0,128574.0,100000.0,41111.0,25287.0,-1.0,32500.0,81481.0,60103.0,-1.0,105263.0,87630.0,71429.0,-1.0,-1.0,96296.0,171429.0,90291.0,50000.0,93333.0,52298.0,162821.0,25000.0,81818.0,-1.0,141509.0,138113.0,75000.0,-1.0,25000.0,81818.0,124464.0,40148.0,40488.0,-1.0,83333.0,-1.0,127778.0,100000.0,7905.0,77551.0,110000.0,112500.0,41587.0,35556.0,57333.0,-1.0,59091.0,70370.0,76875.0,84000.0,38500.0,146750.0,73529.0,156725.0,53020.0,123726.0,100000.0,78947.0,60556.0,67840.0,25405.0,-1.0
1964,24516.0,-1.0,57000.0,129106.0,100000.0,41209.0,40000.0,-1.0,28000.0,82593.0,56049.0,-1.0,105263.0,94123.0,71429.0,-1.0,-1.0,96296.0,193784.0,90741.0,60000.0,92333.0,51813.0,162500.0,26923.0,81818.0,-1.0,136364.0,123727.0,80000.0,-1.0,35714.0,83333.0,126087.0,39541.0,40476.0,-1.0,91667.0,-1.0,127778.0,100000.0,7905.0,78231.0,120000.0,112500.0,41773.0,35556.0,50667.0,-1.0,54545.0,68966.0,78750.0,86667.0,40500.0,146383.0,74706.0,156790.0,52925.0,124949.0,96190.0,80952.0,61111.0,67427.0,25263.0,-1.0
1965,25161.0,-1.0,57000.0,130036.0,100000.0,41821.0,40000.0,-1.0,30000.0,80714.0,52846.0,-1.0,105263.0,89618.0,68750.0,-1.0,-1.0,96296.0,189474.0,90909.0,60000.0,98333.0,51711.0,162195.0,30769.0,92308.0,-1.0,137931.0,111111.0,75000.0,-1.0,35714.0,85714.0,126957.0,45160.0,40000.0,-1.0,91667.0,-1.0,102143.0,100000.0,7905.0,77333.0,125000.0,112500.0,42007.0,38043.0,53333.0,-1.0,50000.0,68966.0,77381.0,88667.0,41500.0,146555.0,76471.0,156863.0,53281.0,125821.0,97190.0,80000.0,65556.0,111053.0,25263.0,-1.0
1966,25161.0,-1.0,57000.0,130599.0,100000.0,41636.0,48000.0,-1.0,30000.0,80458.0,52087.0,-1.0,105263.0,84633.0,66667.0,-1.0,-1.0,96296.0,183750.0,90517.0,60000.0,93333.0,49360.0,162353.0,33333.0,90909.0,-1.0,133333.0,115733.0,75259.0,-1.0,32143.0,94164.0,130435.0,44444.0,40000.0,-1.0,84615.0,-1.0,111695.0,100000.0,7905.0,78000.0,81250.0,112500.0,42191.0,38000.0,50000.0,40000.0,53846.0,68966.0,77193.0,92667.0,42500.0,130603.0,73889.0,156488.0,53344.0,128958.0,90720.0,79902.0,68889.0,100460.0,25789.0,-1.0
1967,48750.0,-1.0,57000.0,127493.0,100000.0,34731.0,50000.0,-1.0,30208.0,79788.0,53835.0,-1.0,105263.0,96859.0,66667.0,-1.0,-1.0,96296.0,177778.0,90323.0,60000.0,95000.0,48400.0,163218.0,33333.0,63636.0,-1.0,133333.0,110000.0,75333.0,-1.0,28571.0,101245.0,134783.0,46154.0,40000.0,-1.0,92308.0,-1.0,149637.0,100000.0,7166.0,75159.0,80000.0,126250.0,42387.0,38182.0,50667.0,45000.0,52000.0,70000.0,80357.0,94000.0,43500.0,108543.0,75000.0,157235.0,51937.0,133244.0,108880.0,79873.0,66000.0,114525.0,25385.0,-1.0
1968,48750.0,-1.0,57000.0,126151.0,100000.0,34362.0,44932.0,-1.0,29348.0,81631.0,50493.0,-1.0,105263.0,102231.0,66667.0,-1.0,-1.0,96296.0,170000.0,90551.0,60000.0,96667.0,48473.0,161111.0,40000.0,83333.0,-1.0,134921.0,116473.0,73810.0,-1.0,25000.0,77088.0,134783.0,48276.0,40000.0,-1.0,85714.0,-1.0,150000.0,100000.0,7493.0,75316.0,55000.0,127500.0,42539.0,40000.0,50000.0,45000.0,52000.0,68966.0,81170.0,96000.0,44500.0,108877.0,76667.0,157310.0,51292.0,133265.0,113385.0,79581.0,75500.0,103866.0,25000.0,-1.0
1969,50000.0,-1.0,57000.0,125271.0,100000.0,34527.0,50000.0,-1.0,29545.0,80942.0,49017.0,-1.0,112821.0,94383.0,70000.0,-1.0,-1.0,96296.0,167273.0,90226.0,60000.0,100000.0,48088.0,161290.0,42857.0,64000.0,-1.0,142857.0,100036.0,77907.0,-1.0,26957.0,93816.0,134783.0,46875.0,40000.0,-1.0,84615.0,-1.0,150000.0,100000.0,7493.0,75000.0,60000.0,128750.0,42720.0,38333.0,50000.0,45000.0,48000.0,70000.0,72727.0,100000.0,45000.0,112470.0,77778.0,157053.0,57702.0,133732.0,94357.0,80115.0,60417.0,113248.0,25500.0,-1.0
1970,50000.0,-1.0,52727.0,127246.0,100000.0,36113.0,58333.0,-1.0,30000.0,80297.0,49419.0,-1.0,110000.0,85679.0,70000.0,-1.0,-1.0,96429.0,163333.0,90511.0,60000.0,96667.0,45935.0,161702.0,39655.0,65385.0,-1.0,142857.0,125468.0,75681.0,-1.0,28500.0,97276.0,130435.0,47700.0,40000.0,-1.0,78571.0,-1.0,146667.0,100000.0,7500.0,75000.0,90000.0,130000.0,42945.0,41667.0,52941.0,50000.0,50000.0,70000.0,79538.0,100000.0,46000.0,113550.0,74737.0,157178.0,55208.0,129786.0,85132.0,79511.0,78052.0,52849.0,25750.0,-1.0
1971,50000.0,-1.0,53636.0,128700.0,100000.0,43896.0,66667.0,-1.0,30769.0,79686.0,45087.0,-1.0,115000.0,106591.0,70000.0,-1.0,-1.0,96429.0,173394.0,90141.0,50000.0,100000.0,44916.0,163158.0,45161.0,59259.0,-1.0,142857.0,125428.0,75945.0,-1.0,27000.0,79013.0,132047.0,47260.0,40000.0,-1.0,92308.0,-1.0,150000.0,100000.0,7500.0,75625.0,90000.0,133333.0,43333.0,40000.0,52941.0,50000.0,50000.0,70000.0,80487.0,94179.0,47000.0,116041.0,72500.0,156866.0,55643.0,131363.0,92125.0,80476.0,75916.0,52849.0,25366.0,-1.0
1972,50000.0,-1.0,53000.0,132319.0,100000.0,56495.0,66667.0,-1.0,29487.0,81240.0,39834.0,-1.0,100000.0,102567.0,70000.0,-1.0,-1.0,89655.0,182546.0,90476.0,50000.0,99792.0,46634.0,164583.0,43600.0,64286.0,-1.0,142857.0,125448.0,74818.0,-1.0,25000.0,74034.0,133475.0,47733.0,40000.0,-1.0,100000.0,-1.0,150000.0,100000.0,7500.0,75926.0,90000.0,133333.0,43197.0,38333.0,52222.0,50000.0,52000.0,61290.0,77020.0,100571.0,44000.0,111960.0,75000.0,157857.0,56327.0,132705.0,101344.0,79826.0,62500.0,50672.0,25000.0,-1.0
1973,51250.0,-1.0,54545.0,137037.0,110000.0,50583.0,75000.0,-1.0,29539.0,80162.0,42812.0,-1.0,100000.0,114017.0,70000.0,-1.0,-1.0,89655.0,178709.0,90323.0,50000.0,102041.0,49296.0,164948.0,42750.0,64286.0,-1.0,138462.0,125460.0,77048.0,-1.0,23500.0,73154.0,133333.0,48052.0,40000.0,-1.0,85000.0,-1.0,160000.0,100000.0,7500.0,74839.0,58613.0,133333.0,43306.0,41667.0,54444.0,40000.0,50000.0,53125.0,80000.0,99714.0,42500.0,113175.0,78500.0,157238.0,56698.0,132507.0,113746.0,80348.0,64296.0,52769.0,25059.0,-1.0
1974,51250.0,-1.0,53333.0,138778.0,59091.0,46432.0,85114.0,-1.0,29816.0,79943.0,42499.0,-1.0,100000.0,101973.0,72000.0,-1.0,-1.0,96667.0,179740.0,90000.0,50000.0,102272.0,39566.0,163265.0,44667.0,64138.0,-1.0,142857.0,125381.0,73906.0,-1.0,30000.0,106706.0,135246.0,48101.0,40000.0,-1.0,85000.0,-1.0,154286.0,100000.0,7407.0,74194.0,56014.0,133333.0,43443.0,42400.0,54737.0,40000.0,46978.0,56250.0,83333.0,102500.0,39130.0,117065.0,80000.0,157238.0,95596.0,134164.0,100565.0,79931.0,63576.0,63910.0,25278.0,-1.0
