,USSR,South Africa,Panama,Madagascar,United Republic of Tanzania,Burundi,Thailand,Japan,Ethiopia,Kenya,Bangladesh,Lao People's Democratic Republic,Zambia,Mauritius,Uganda,Papua New Guinea,Brazil,Mozambique,El Salvador,Argentina,Colombia,Zimbabwe,Malawi,India,"China, Taiwan Province of",Ecuador,Réunion,Indonesia,Seychelles,Turkey,Ethiopia PDR,Melanesia,Malaysia,Georgia,Azerbaijan,Viet Nam,Republic of Korea,Democratic Republic of the Congo,Mali,Montenegro,Russian Federation,Cameroon,Bolivia (Plurinational State of),Iran (Islamic Republic of),Peru,Guatemala,"China, mainland",Nepal,Sri Lanka,Rwanda,Portugal,Myanmar,China
1961,39592.0,2000.0,,,4459.0,,,81527.0,,12641.0,26542.0,,,1274.0,5100.0,10.0,5000.0,8100.0,-1.0,6486.0,-1.0,1100.0,14288.0,354397.0,18064.0,40.0,100.0,77100.0,10.0,5450.0,,10.0,2635.0,,,7500.0,50.0,7000.0,,,,83.0,100.0,10922.0,1239.0,,79000.0,,206488.0,160.0,128.0,5200.0,97064.0
1962,43831.0,2000.0,,,4310.0,,,77608.0,,16428.0,23387.0,,,1270.0,6319.0,10.0,5044.0,8100.0,-1.0,5828.0,-1.0,1300.0,13336.0,346736.0,19753.0,40.0,100.0,80400.0,10.0,8259.0,,10.0,2839.0,,,7500.0,50.0,8000.0,,,,136.0,100.0,11934.0,1212.0,,74000.0,,211850.0,210.0,250.0,5200.0,93753.0
1963,47922.0,2000.0,,,5019.0,,,81239.0,,18082.0,24599.0,,,1418.0,6170.0,10.0,6133.0,8600.0,-1.0,11205.0,-1.0,1223.0,11929.0,346413.0,21104.0,40.0,100.0,75600.0,13.0,10100.0,,10.0,2731.0,,,8000.0,50.0,8500.0,,,,242.0,110.0,12479.0,1220.0,,84000.0,,219798.0,300.0,300.0,5300.0,105104.0
1964,47457.0,2000.0,,,4812.0,,,83427.0,,20241.0,28233.0,,,1382.0,7615.0,10.0,6231.0,9005.0,-1.0,12519.0,-1.0,1392.0,12383.0,372486.0,18306.0,45.0,100.0,74400.0,13.0,10035.0,,10.0,3108.0,,,9000.0,70.0,7000.0,,,,341.0,115.0,10450.0,1290.0,,92000.0,,218513.0,320.0,300.0,8600.0,110306.0
1965,48265.0,2000.0,,,5682.0,,,77571.0,,19823.0,26592.0,,,1738.0,8366.0,15.0,6228.0,10746.0,-1.0,13838.0,-1.0,1608.0,12973.0,366374.0,20730.0,50.0,110.0,79800.0,15.0,13000.0,,15.0,3351.0,,,10600.0,70.0,8500.0,,,,517.0,120.0,12608.0,1365.0,,100600.0,,228236.0,340.0,300.0,10500.0,121330.0
1966,58359.0,2000.0,,,6911.0,,,83290.0,,25419.0,28600.0,,,1976.0,11215.0,15.0,3365.0,13983.0,-1.0,18799.0,-1.0,2268.0,15377.0,375983.0,21510.0,50.0,110.0,71700.0,15.0,23000.0,,15.0,3446.0,,,12000.0,80.0,10000.0,,,,650.0,130.0,12000.0,1700.0,,106000.0,,222312.0,348.0,350.0,11100.0,127510.0
1967,57477.0,2000.0,,,7399.0,18.0,,85284.0,,22812.0,29300.0,,,2190.0,11242.0,39.0,3512.0,14419.0,-1.0,17400.0,-1.0,2896.0,16828.0,384759.0,24403.0,50.0,110.0,76020.0,17.0,21786.0,,39.0,3095.0,,,9000.0,80.0,5000.0,,,,750.0,128.0,16000.0,1695.0,,113000.0,,220742.0,430.0,400.0,11300.0,137403.0
1968,56105.0,2000.0,,,8292.0,79.0,,85112.0,,29764.0,28500.0,,,2310.0,15163.0,74.0,3854.0,14250.0,-1.0,18600.0,-1.0,3008.0,15830.0,402489.0,24418.0,100.0,120.0,75574.0,19.0,27557.0,,74.0,3468.0,,,13500.0,100.0,8000.0,,,,1071.0,176.0,20000.0,1875.0,,118000.0,,224803.0,830.0,500.0,10900.0,142418.0
1969,59927.0,2000.0,,,8800.0,92.0,,89804.0,,36060.0,30318.0,,,3197.0,17627.0,330.0,4586.0,16054.0,-1.0,21700.0,-1.0,3630.0,16919.0,393588.0,26248.0,200.0,150.0,71570.0,21.0,34373.0,,330.0,3488.0,,,14000.0,150.0,7859.0,,,,978.0,225.0,19000.0,2175.0,,122000.0,,219639.0,976.0,400.0,10900.0,148248.0
1970,66812.0,800.0,,,8492.0,147.0,,91398.0,,41077.0,31295.0,,,3240.0,18200.0,749.0,5848.0,16972.0,-1.0,25800.0,-1.0,3945.0,18733.0,418517.0,27468.0,300.0,195.0,64166.0,23.0,33431.0,,749.0,3381.0,,,14700.0,276.0,7301.0,,,,1028.0,500.0,19500.0,1808.0,,136000.0,,212210.0,1245.0,300.0,10900.0,163468.0
