,"China, Hong Kong SAR","China, Taiwan Province of",Mozambique,Belize,Saudi Arabia,Tonga,Philippines,Syrian Arab Republic,Martinique,Belgium,Australia & New Zealand,Thailand,Indonesia,Greece,Iran (Islamic Republic of),Republic of Korea,Melanesia,Papua New Guinea,Rwanda,Portugal,Bahamas,Barbados,French Polynesia,Algeria,United Arab Emirates,Senegal,Latvia,Haiti,Ukraine,Israel,Dominica,Fiji,Cabo Verde,USSR,Switzerland,Sri Lanka,Grenada,Uruguay,Azerbaijan,Central African Republic,Sudan (former),Réunion,China,Polynesia,Colombia,Libya,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Hungary,Saint Lucia,South Africa,Mauritius,Saint Vincent and the Grenadines,France,Micronesia,Poland,"China, mainland",Russian Federation,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Germany,Malta,Dominican Republic,South Sudan,Guadeloupe,Denmark,Canada,Japan,Pakistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Bahrain,Guyana,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Sudan,Kuwait,Cuba,Republic of Moldova,Kyrgyzstan,Argentina,Paraguay,Democratic People's Republic of Korea,India,El Salvador,Austria,Niger,Morocco,Bhutan,Qatar,Mexico,Cayman Islands,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Tunisia,Côte d'Ivoire,Albania,Slovakia,Jamaica,Trinidad and Tobago,Italy,Saint Pierre and Miquelon,Australia,Egypt,Lithuania,Finland,Netherlands,Oman,Guam,Turkey
1961,150.0,1341.0,247.0,-1.0,1900.0,-1.0,6700.0,4500.0,35.0,-1.0,5276.0,4300.0,-1.0,5950.0,13000.0,2852.0,46.0,46.0,7000.0,100.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,945.0,-1.0,-1.0,-1.0,-1.0,-1.0,7650.0,33.0,7120.0,-1.0,1000.0,2000.0,-1.0,50491.0,2.0,1820.0,230.0,1200.0,-1.0,-1.0,5000.0,2300.0,-1.0,6500.0,140.0,5.0,3767.0,-1,-1.0,49000.0,-1.0,-1.0,3800.0,-1.0,-1.0,100.0,-1.0,403.0,3200.0,-1.0,8.0,11.0,-1.0,26700.0,-1.0,4936.0,-1.0,147.0,4.0,6100.0,480.0,-1.0,-1.0,4850.0,-1.0,15104.0,2000.0,-1.0,-1.0,28000.0,-1.0,-1.0,26321.0,700.0,3300.0,125000.0,-1.0,-1.0,-1.0,3900.0,-1.0,-1.0,11200.0,-1.0,1026100.0,-1.0,-1.0,2800.0,1196.0,740.0,-1.0,-1.0,-1.0,1500.0,70.0,14600.0,-1,4796.0,12602.0,-1.0,-1.0,-1.0,-1.0,-1,20100.0
1962,160.0,1322.0,293.0,-1.0,2000.0,-1.0,6700.0,5000.0,35.0,-1.0,5614.0,6200.0,-1.0,4760.0,14500.0,6245.0,47.0,47.0,7000.0,100.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,970.0,-1.0,-1.0,-1.0,-1.0,-1.0,5361.0,34.0,8600.0,-1.0,1000.0,2000.0,-1.0,51482.0,2.0,1850.0,292.0,1100.0,-1.0,-1.0,5000.0,2600.0,-1.0,7000.0,160.0,5.0,3490.0,-1,-1.0,50000.0,-1.0,-1.0,3800.0,-1.0,-1.0,100.0,-1.0,400.0,3500.0,-1.0,8.0,11.0,-1.0,26000.0,-1.0,4882.0,-1.0,161.0,5.0,5600.0,600.0,-1.0,-1.0,5127.0,-1.0,13991.0,2470.0,-1.0,-1.0,29000.0,-1.0,-1.0,31211.0,700.0,3300.0,133000.0,-1.0,-1.0,-1.0,3600.0,-1.0,-1.0,11300.0,-1.0,839200.0,-1.0,-1.0,3000.0,1198.0,750.0,-1.0,-1.0,-1.0,1100.0,75.0,13200.0,-1,5014.0,12182.0,-1.0,-1.0,-1.0,-1.0,-1,21600.0
1963,170.0,1329.0,300.0,-1.0,2000.0,-1.0,6700.0,5000.0,40.0,-1.0,6170.0,9700.0,-1.0,5290.0,16000.0,6453.0,30.0,30.0,7000.0,100.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,9448.0,34.0,8100.0,-1.0,1000.0,2200.0,-1.0,56499.0,2.0,1880.0,176.0,1200.0,-1.0,-1.0,5050.0,3000.0,-1.0,7500.0,150.0,6.0,3297.0,-1,-1.0,55000.0,-1.0,-1.0,3800.0,-1.0,-1.0,120.0,-1.0,182.0,3500.0,-1.0,9.0,11.0,-1.0,25900.0,-1.0,5145.0,-1.0,187.0,6.0,5700.0,720.0,-1.0,-1.0,3607.0,-1.0,15157.0,1860.0,-1.0,-1.0,30000.0,-1.0,-1.0,27110.0,700.0,3400.0,140000.0,-1.0,-1.0,-1.0,3100.0,-1.0,-1.0,11400.0,-1.0,1064700.0,-1.0,-1.0,3126.0,1245.0,750.0,-1.0,-1.0,-1.0,1180.0,75.0,14940.0,-1,5450.0,13443.0,-1.0,-1.0,-1.0,-1.0,-1,23100.0
1964,180.0,1256.0,300.0,-1.0,2100.0,-1.0,6700.0,5000.0,40.0,-1.0,5788.0,6400.0,-1.0,5170.0,17000.0,9434.0,38.0,38.0,7500.0,100.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,955.0,-1.0,-1.0,-1.0,-1.0,-1.0,7798.0,35.0,7000.0,-1.0,1000.0,2200.0,-1.0,57436.0,2.0,1900.0,200.0,1350.0,-1.0,-1.0,5100.0,1900.0,-1.0,8000.0,155.0,6.0,3446.0,-1,-1.0,56000.0,-1.0,-1.0,3800.0,-1.0,-1.0,110.0,-1.0,187.0,3700.0,-1.0,9.0,11.0,-1.0,24600.0,-1.0,6462.0,-1.0,161.0,7.0,5200.0,665.0,-1.0,-1.0,4250.0,-1.0,15327.0,1640.0,-1.0,-1.0,38000.0,-1.0,-1.0,25553.0,750.0,3400.0,147000.0,-1.0,-1.0,-1.0,2900.0,-1.0,-1.0,11500.0,-1.0,1039100.0,-1.0,-1.0,3868.0,1273.0,800.0,-1.0,-1.0,-1.0,540.0,80.0,15014.0,-1,5123.0,13443.0,-1.0,-1.0,-1.0,-1.0,-1,23800.0
1965,200.0,1287.0,300.0,-1.0,2200.0,-1.0,6800.0,5449.0,40.0,-1.0,6420.0,7000.0,-1.0,5070.0,18000.0,7739.0,37.0,37.0,7500.0,100.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,890.0,-1.0,-1.0,-1.0,-1.0,-1.0,7500.0,35.0,6500.0,-1.0,500.0,2200.0,-1.0,59487.0,2.0,1920.0,276.0,1160.0,-1.0,-1.0,5123.0,1950.0,-1.0,8500.0,206.0,6.0,3589.0,-1,-1.0,58000.0,-1.0,-1.0,3800.0,-1.0,-1.0,100.0,-1.0,184.0,3700.0,-1.0,9.0,16.0,-1.0,22800.0,-1.0,7104.0,-1.0,174.0,8.0,5100.0,970.0,-1.0,-1.0,3446.0,-1.0,15052.0,2680.0,-1.0,-1.0,25000.0,-1.0,-1.0,25937.0,800.0,3500.0,150000.0,-1.0,-1.0,-1.0,3600.0,-1.0,-1.0,11600.0,-1.0,794000.0,-1.0,-1.0,2956.0,1462.0,950.0,-1.0,-1.0,-1.0,930.0,80.0,14358.0,-1,5450.0,13244.0,-1.0,-1.0,-1.0,-1.0,-1,24600.0
1966,200.0,1293.0,300.0,-1.0,2200.0,-1.0,6800.0,4481.0,50.0,-1.0,8000.0,7700.0,-1.0,4970.0,19000.0,7412.0,39.0,39.0,7500.0,100.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,945.0,-1.0,-1.0,-1.0,-1.0,-1.0,6803.0,35.0,5122.0,-1.0,500.0,2400.0,-1.0,60493.0,2.0,1950.0,215.0,1090.0,-1.0,-1.0,5150.0,2100.0,-1.0,9000.0,156.0,6.0,3446.0,-1,-1.0,59000.0,-1.0,-1.0,3855.0,-1.0,-1.0,140.0,-1.0,177.0,3900.0,-1.0,9.0,16.0,-1.0,22200.0,-1.0,7032.0,-1.0,201.0,8.0,5033.0,1000.0,-1.0,-1.0,3223.0,-1.0,14947.0,2470.0,-1.0,-1.0,22000.0,-1.0,-1.0,26611.0,800.0,3500.0,160000.0,-1.0,-1.0,-1.0,5100.0,-1.0,-1.0,11700.0,2.0,659600.0,-1.0,-1.0,2900.0,2083.0,1050.0,-1.0,-1.0,-1.0,1621.0,80.0,15045.0,-1,7000.0,15131.0,-1.0,-1.0,-1.0,-1.0,-1,18300.0
1967,300.0,1307.0,300.0,-1.0,2300.0,-1.0,6900.0,5462.0,50.0,-1.0,8700.0,8500.0,-1.0,5080.0,20500.0,6899.0,19.0,19.0,7500.0,100.0,-1.0,-1.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6967.0,36.0,6000.0,-1.0,560.0,2400.0,-1.0,59607.0,2.0,1960.0,230.0,988.0,-1.0,-1.0,5180.0,1700.0,-1.0,8500.0,157.0,6.0,3368.0,-1,-1.0,58000.0,-1.0,-1.0,4285.0,-1.0,-1.0,144.0,-1.0,151.0,4100.0,-1.0,10.0,18.0,-1.0,20800.0,-1.0,7838.0,-1.0,214.0,9.0,4712.0,900.0,-1.0,-1.0,3088.0,-1.0,15000.0,2890.0,-1.0,-1.0,24948.0,-1.0,-1.0,30325.0,830.0,3600.0,170000.0,-1.0,-1.0,-1.0,4300.0,-1.0,-1.0,11800.0,2.0,508500.0,-1.0,-1.0,2863.0,1965.0,1050.0,-1.0,-1.0,-1.0,1288.0,100.0,14270.0,-1,7800.0,17080.0,-1.0,-1.0,-1.0,-1.0,-1,18700.0
1968,350.0,2304.0,350.0,-1.0,2500.0,-1.0,6900.0,5318.0,50.0,-1.0,9274.0,9300.0,-1.0,4570.0,21500.0,7764.0,19.0,19.0,8000.0,100.0,-1.0,-1.0,3.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,970.0,-1.0,-1.0,-1.0,-1.0,-1.0,7514.0,36.0,6500.0,-1.0,650.0,2500.0,-1.0,60654.0,3.0,1970.0,230.0,1001.0,-1.0,-1.0,5200.0,1600.0,-1.0,9000.0,122.0,7.0,3245.0,-1,-1.0,58000.0,-1.0,-1.0,4090.0,-1.0,-1.0,183.0,-1.0,146.0,4300.0,-1.0,10.0,11.0,-1.0,18700.0,-1.0,7153.0,-1.0,227.0,10.0,4554.0,900.0,-1.0,-1.0,3269.0,-1.0,14842.0,1355.0,-1.0,-1.0,20694.0,-1.0,-1.0,24752.0,850.0,3700.0,175000.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,11900.0,2.0,324600.0,-1.0,-1.0,1210.0,1336.0,1200.0,-1.0,-1.0,-1.0,1266.0,85.0,14159.0,-1,8374.0,19744.0,-1.0,-1.0,-1.0,-1.0,-1,18700.0
1969,350.0,1515.0,350.0,-1.0,2700.0,-1.0,7000.0,5009.0,50.0,-1.0,7618.0,10200.0,-1.0,4730.0,23000.0,8787.0,12.0,12.0,8000.0,100.0,-1.0,-1.0,3.0,700.0,16.0,-1.0,-1.0,-1.0,-1.0,930.0,-1.0,-1.0,-1.0,-1.0,-1.0,8694.0,37.0,7000.0,-1.0,680.0,2500.0,-1.0,59865.0,3.0,1970.0,246.0,1110.0,-1.0,-1.0,5220.0,1900.0,-1.0,9500.0,82.0,8.0,3477.0,-1,-1.0,58000.0,-1.0,-1.0,5190.0,-1.0,-1.0,250.0,-1.0,153.0,5300.0,-1.0,10.0,19.0,-1.0,17300.0,-1.0,6562.0,-1.0,201.0,12.0,4394.0,1000.0,-1.0,-1.0,3323.0,-1.0,15437.0,1500.0,-1.0,-1.0,8648.0,-1.0,-1.0,25758.0,880.0,3800.0,180000.0,-1.0,-1.0,-1.0,3900.0,-1.0,-1.0,12000.0,2.0,284000.0,-1.0,-1.0,467.0,1336.0,1000.0,-1.0,-1.0,-1.0,1091.0,100.0,12864.0,-1,6618.0,19324.0,-1.0,-1.0,-1.0,-1.0,-1,18900.0
1970,300.0,1466.0,350.0,-1.0,3000.0,-1.0,7000.0,5016.0,60.0,-1.0,9725.0,11400.0,-1.0,4800.0,23500.0,8796.0,24.0,24.0,8300.0,100.0,-1.0,-1.0,3.0,1600.0,25.0,-1.0,-1.0,-1.0,-1.0,960.0,-1.0,-1.0,-1.0,-1.0,-1.0,6627.0,37.0,7351.0,-1.0,750.0,2500.0,-1.0,59766.0,3.0,1990.0,246.0,917.0,-1.0,-1.0,5250.0,1800.0,-1.0,10000.0,75.0,6.0,3300.0,-1,-1.0,58000.0,-1.0,-1.0,6280.0,-1.0,-1.0,276.0,-1.0,159.0,6000.0,-1.0,10.0,25.0,-1.0,18400.0,-1.0,7006.0,-1.0,268.0,14.0,3230.0,1000.0,-1.0,-1.0,2839.0,-1.0,15961.0,2000.0,-1.0,-1.0,15337.0,-1.0,-1.0,27350.0,900.0,4000.0,183000.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,12100.0,2.0,205500.0,-1.0,-1.0,957.0,1258.0,1050.0,-1.0,-1.0,-1.0,1464.0,95.0,13023.0,-1,8725.0,18904.0,-1.0,-1.0,-1.0,-1.0,-1,18700.0
