,Guinea,Cuba,Kenya,"China, Taiwan Province of",Mozambique,Morocco,Ethiopia PDR,Comoros,Mexico,Dominican Republic,Ethiopia,Central African Republic,Indonesia,China,Jamaica,Malawi,United Republic of Tanzania,Venezuela (Bolivarian Republic of),South Africa,Democratic Republic of the Congo,Brazil,"China, mainland",Madagascar,Angola,Uganda,Thailand,Haiti
1971,1000.0,11455.0,8620.0,10617.0,5182.0,2308.0,6000.0,1450.0,7885.0,4667.0,-1.0,4000.0,17692.0,12038.0,4615.0,3000.0,8564.0,12570.0,11429.0,1250.0,10187.0,13333.0,12000.0,13020.0,-1.0,6522.0,5103.0
1972,1000.0,9800.0,7925.0,11707.0,4400.0,2857.0,5556.0,-1.0,7331.0,4483.0,-1.0,4000.0,20000.0,11884.0,4615.0,3500.0,7614.0,12716.0,6250.0,1625.0,10014.0,12000.0,13470.0,13333.0,-1.0,6000.0,5670.0
1973,1000.0,11030.0,11164.0,10866.0,4260.0,2857.0,5556.0,-1.0,7375.0,4138.0,-1.0,4000.0,20000.0,11510.0,4615.0,2000.0,8074.0,12900.0,9125.0,1316.0,10502.0,12000.0,14110.0,15500.0,-1.0,6250.0,5313.0
1974,1000.0,11527.0,16254.0,13454.0,4000.0,3571.0,5000.0,-1.0,7752.0,4138.0,-1.0,4000.0,21429.0,12637.0,4615.0,2000.0,7396.0,12650.0,10000.0,1200.0,11015.0,12000.0,12473.0,14000.0,-1.0,6667.0,5938.0
1975,1000.0,12205.0,9073.0,11052.0,3000.0,4286.0,5000.0,-1.0,7362.0,4138.0,-1.0,4000.0,20000.0,11567.0,4615.0,2000.0,7849.0,12701.0,11429.0,-1.0,9613.0,12000.0,11292.0,13333.0,-1.0,6250.0,5455.0
1976,1000.0,12211.0,8326.0,11949.0,3800.0,4000.0,4000.0,-1.0,7015.0,4138.0,-1.0,4000.0,21429.0,11978.0,4615.0,2000.0,9481.0,11797.0,9393.0,-1.0,5929.0,12000.0,11414.0,12500.0,-1.0,6364.0,3750.0
1977,1000.0,10177.0,8184.0,11053.0,3600.0,4667.0,4000.0,-1.0,5774.0,4138.0,-1.0,4000.0,20833.0,11605.0,4615.0,2000.0,9454.0,12700.0,9793.0,-1.0,7615.0,12000.0,11802.0,14286.0,-1.0,6400.0,3750.0
1978,1000.0,10240.0,7149.0,12297.0,3043.0,4500.0,6667.0,-1.0,5925.0,4138.0,-1.0,4000.0,20000.0,12707.0,4615.0,2000.0,7878.0,12152.0,7683.0,-1.0,7484.0,13000.0,7147.0,14286.0,-1.0,6000.0,5625.0
1979,1000.0,9353.0,8381.0,12567.0,2973.0,4294.0,6667.0,-1.0,5850.0,4138.0,-1.0,4000.0,20000.0,13441.0,4615.0,2000.0,8231.0,12417.0,9325.0,-1.0,7926.0,14000.0,6667.0,14444.0,-1.0,6000.0,6528.0
1980,1000.0,9651.0,9876.0,12814.0,3000.0,4294.0,6667.0,-1.0,6108.0,4138.0,-1.0,4000.0,19231.0,13555.0,4615.0,2000.0,6470.0,11045.0,10909.0,-1.0,7936.0,14000.0,13519.0,14286.0,-1.0,6452.0,8719.0
1981,1000.0,7504.0,10331.0,11816.0,3167.0,6250.0,6667.0,-1.0,6467.0,4138.0,-1.0,4000.0,19231.0,13549.0,4615.0,2000.0,6091.0,10859.0,11667.0,-1.0,7653.0,14000.0,12996.0,13333.0,-1.0,6250.0,5564.0
1982,1000.0,13109.0,11912.0,11892.0,2944.0,6471.0,6667.0,-1.0,5603.0,4138.0,-1.0,3667.0,20000.0,12570.0,4615.0,2000.0,6048.0,10414.0,8617.0,-1.0,7279.0,12727.0,11220.0,15000.0,-1.0,6250.0,5995.0
1983,1000.0,13880.0,12425.0,13678.0,2857.0,6471.0,6667.0,-1.0,5831.0,4138.0,-1.0,3651.0,18750.0,12900.0,4615.0,2000.0,4571.0,11758.0,8135.0,-1.0,5898.0,12727.0,11394.0,15000.0,-1.0,6250.0,5946.0
1984,1091.0,13309.0,12850.0,14091.0,2778.0,7059.0,6667.0,-1.0,5203.0,3689.0,-1.0,3750.0,18421.0,13459.0,4615.0,2000.0,4614.0,14753.0,8125.0,-1.0,7016.0,13333.0,11747.0,14286.0,-1.0,6250.0,6667.0
1985,1091.0,12779.0,12857.0,8278.0,2857.0,7222.0,6667.0,-1.0,4590.0,3566.0,-1.0,3692.0,16667.0,12391.0,4615.0,2000.0,4355.0,12590.0,10000.0,-1.0,8746.0,12992.0,11856.0,14286.0,-1.0,6250.0,6111.0
1986,1091.0,13058.0,11216.0,11647.0,2857.0,7778.0,6667.0,-1.0,5607.0,3563.0,-1.0,3846.0,14286.0,12676.0,4615.0,2000.0,3713.0,13813.0,10000.0,-1.0,7640.0,12831.0,11250.0,14286.0,-1.0,6250.0,5455.0
1987,1091.0,15083.0,10571.0,12794.0,2857.0,8333.0,6667.0,-1.0,3943.0,3620.0,-1.0,3788.0,14091.0,13298.0,4615.0,2000.0,4084.0,13882.0,10000.0,-1.0,6459.0,13333.0,11130.0,14286.0,-1.0,6500.0,6000.0
1988,1091.0,13293.0,10543.0,7074.0,2857.0,8000.0,6917.0,-1.0,8245.0,3536.0,-1.0,3824.0,12162.0,12979.0,4615.0,2000.0,6184.0,12949.0,10000.0,-1.0,6934.0,13333.0,11607.0,14286.0,-1.0,6500.0,5556.0
1989,1091.0,17006.0,10663.0,1280.0,2857.0,8095.0,7000.0,-1.0,5485.0,3714.0,-1.0,3857.0,11321.0,14122.0,4615.0,2000.0,5500.0,13211.0,8607.0,-1.0,8171.0,14538.0,10786.0,14286.0,-1.0,6500.0,5556.0
1990,1059.0,13400.0,12005.0,1000.0,2294.0,8182.0,6674.0,-1.0,6392.0,4023.0,-1.0,3825.0,18201.0,22579.0,5008.0,1715.0,5773.0,12579.0,10660.0,-1.0,7433.0,23077.0,7407.0,12903.0,-1.0,6792.0,6022.0
1991,1047.0,12291.0,11412.0,1000.0,2857.0,8261.0,7273.0,-1.0,6562.0,4179.0,-1.0,3810.0,12409.0,21742.0,6121.0,1788.0,6044.0,11587.0,10747.0,-1.0,7784.0,21902.0,10791.0,14286.0,-1.0,6762.0,5565.0
1992,1056.0,11938.0,11367.0,2424.0,2857.0,8333.0,7273.0,-1.0,5864.0,4110.0,-1.0,3851.0,11977.0,22268.0,6179.0,1750.0,5402.0,13400.0,8600.0,-1.0,7730.0,22308.0,10753.0,12500.0,-1.0,6667.0,5625.0
1993,1083.0,11499.0,11785.0,3373.0,2857.0,8424.0,-1.0,-1.0,5725.0,4168.0,7273.0,3867.0,11111.0,24274.0,6238.0,2000.0,5545.0,12653.0,7617.0,-1.0,7039.0,24286.0,12000.0,12500.0,-1.0,6698.0,5667.0
1994,1062.0,11003.0,12195.0,5000.0,2897.0,8800.0,-1.0,-1.0,5929.0,4093.0,7132.0,3750.0,15000.0,27233.0,6297.0,1750.0,5100.0,12647.0,8254.0,-1.0,7164.0,27236.0,12028.0,12477.0,-1.0,6667.0,5714.0
1995,1060.0,12766.0,13243.0,-1.0,2913.0,8397.0,-1.0,-1.0,6134.0,4039.0,7123.0,3806.0,13621.0,34921.0,6355.0,1889.0,5818.0,11939.0,7634.0,-1.0,7765.0,34921.0,11560.0,12351.0,-1.0,6552.0,5385.0
1996,1059.0,8701.0,13381.0,5367.0,2945.0,8800.0,-1.0,-1.0,6339.0,3964.0,7114.0,3813.0,13791.0,24244.0,6414.0,2000.0,4600.0,12000.0,7143.0,-1.0,8898.0,24245.0,12057.0,12222.0,-1.0,6364.0,5442.0
1997,1057.0,6911.0,13423.0,5042.0,2967.0,8128.0,-1.0,-1.0,8956.0,4067.0,7107.0,3803.0,13954.0,27015.0,6473.0,2000.0,5060.0,12681.0,7333.0,-1.0,9017.0,27016.0,12766.0,12000.0,-1.0,6397.0,5479.0
1998,1055.0,5037.0,9000.0,5553.0,2988.0,7935.0,-1.0,-1.0,7320.0,3936.0,7102.0,3798.0,14107.0,30224.0,6531.0,2000.0,3750.0,12260.0,7359.0,-1.0,7181.0,30239.0,12766.0,11736.0,-1.0,6333.0,5442.0
1999,1053.0,1714.0,7000.0,6063.0,3005.0,7725.0,-1.0,-1.0,5841.0,3938.0,7098.0,3951.0,12879.0,32507.0,6590.0,2006.0,5868.0,11273.0,7308.0,-1.0,10601.0,32523.0,11930.0,11111.0,-1.0,6275.0,5429.0
2000,1052.0,1750.0,7549.0,6573.0,3167.0,7502.0,-1.0,-1.0,17865.0,3849.0,7000.0,3963.0,12717.0,37870.0,6649.0,2000.0,4838.0,10730.0,7174.0,-1.0,9997.0,37890.0,11941.0,11189.0,-1.0,6201.0,5429.0
2001,1050.0,1684.0,7454.0,7083.0,3018.0,7268.0,-1.0,-1.0,5742.0,4009.0,7107.0,3976.0,12560.0,32401.0,6707.0,2037.0,5464.0,12017.0,7125.0,-1.0,8886.0,32438.0,11937.0,10977.0,-1.0,6364.0,5442.0
2002,1049.0,1748.0,12001.0,7593.0,3007.0,6720.0,-1.0,-1.0,6793.0,4167.0,7119.0,3742.0,12400.0,42057.0,6766.0,2053.0,5096.0,12055.0,7091.0,-1.0,8445.0,42105.0,11938.0,10766.0,-1.0,6062.0,5417.0
2003,1048.0,1693.0,9779.0,8072.0,3000.0,6416.0,-1.0,-1.0,10309.0,4074.0,7132.0,3725.0,12257.0,56586.0,6817.0,2071.0,4713.0,16074.0,6744.0,-1.0,8438.0,56667.0,11938.0,10558.0,-1.0,6429.0,5436.0
2004,1047.0,1748.0,9429.0,8519.0,3011.0,6127.0,-1.0,-1.0,11441.0,3182.0,7143.0,4048.0,12117.0,64223.0,6861.0,2088.0,5708.0,11987.0,6300.0,-1.0,8546.0,64286.0,11765.0,10555.0,-1.0,5825.0,5455.0
2005,1046.0,1769.0,9923.0,8966.0,3022.0,5495.0,-1.0,-1.0,13283.0,2800.0,7155.0,3611.0,11351.0,41887.0,6905.0,2106.0,4532.0,12326.0,6500.0,-1.0,8878.0,41935.0,11862.0,10438.0,-1.0,5646.0,5447.0
2006,1087.0,1982.0,10566.0,9414.0,3035.0,5267.0,-1.0,-1.0,14899.0,2353.0,7164.0,3499.0,11976.0,41620.0,6948.0,2140.0,7012.0,11835.0,6300.0,-1.0,8874.0,41667.0,12198.0,9925.0,16667.0,5284.0,5447.0
2007,1043.0,2045.0,7716.0,9861.0,3000.0,5040.0,-1.0,-1.0,17674.0,2192.0,7171.0,3265.0,11942.0,43706.0,6992.0,2161.0,7378.0,19175.0,6257.0,-1.0,8826.0,43750.0,12373.0,9959.0,16667.0,5007.0,5442.0
2008,1083.0,2122.0,4962.0,10308.0,3095.0,4823.0,-1.0,-1.0,17469.0,1923.0,7178.0,3095.0,11913.0,48439.0,7036.0,2182.0,7534.0,17089.0,6341.0,-1.0,8718.0,48485.0,12326.0,10001.0,16677.0,4737.0,5447.0
2009,1026.0,2193.0,6489.0,10755.0,3023.0,4617.0,-1.0,-1.0,18381.0,1940.0,7185.0,2920.0,11886.0,48487.0,7080.0,2203.0,4426.0,18346.0,6448.0,-1.0,10246.0,48529.0,12373.0,10065.0,16752.0,4461.0,5479.0
2010,1010.0,2272.0,8150.0,11203.0,3000.0,4427.0,-1.0,-1.0,26751.0,2052.0,7191.0,2749.0,11859.0,49343.0,7176.0,2224.0,4400.0,21085.0,6422.0,-1.0,9338.0,49387.0,12420.0,9343.0,16875.0,4188.0,5518.0
2011,994.0,2344.0,9421.0,11650.0,3000.0,3951.0,-1.0,-1.0,21121.0,1998.0,7196.0,2589.0,11830.0,51405.0,7250.0,2245.0,4426.0,26908.0,6396.0,-1.0,9933.0,51453.0,12467.0,10339.0,16968.0,3926.0,5528.0
2012,900.0,2903.0,10000.0,12097.0,3140.0,4012.0,-1.0,-1.0,30900.0,1940.0,7222.0,2000.0,11667.0,50625.0,7333.0,2267.0,4426.0,18873.0,6371.0,-1.0,3584.0,50670.0,12514.0,10761.0,17062.0,3250.0,5539.0
2013,925.0,2981.0,9748.0,12544.0,3140.0,4044.0,-1.0,-1.0,22389.0,2019.0,7222.0,2000.0,11333.0,51203.0,7333.0,2359.0,10799.0,20536.0,6345.0,-1.0,8520.0,51249.0,12561.0,11241.0,17156.0,3250.0,5550.0
2014,959.0,2987.0,8697.0,12991.0,3106.0,3871.0,-1.0,-1.0,8668.0,1783.0,7218.0,2243.0,11619.0,51781.0,7316.0,2313.0,7758.0,20013.0,6319.0,-1.0,8816.0,51828.0,12608.0,10955.0,17249.0,3271.0,5560.0
