,Sudan,Israel,Kenya,Niger,Chad,Morocco,Cameroon,Saudi Arabia,Qatar,Mexico,Sudan (former),South Sudan,Jordan,Mauritania,Benin,Somalia,China,Pakistan,Colombia,Tunisia,Libya,Albania,Iraq,Yemen,Peru,Occupied Palestinian Territory,Spain,Bahrain,Syrian Arab Republic,United States of America,Iran (Islamic Republic of),Egypt,Algeria,Kuwait,"China, mainland",Oman,Mali,United Arab Emirates,Namibia,Swaziland,Turkey
1961,-1.0,70.0,150.0,1000.0,-1.0,18000.0,-1.0,22000.0,-1.0,811.0,8800.0,-1,150.0,4500.0,-1.0,1300.0,1000.0,8900.0,-1.0,10000.0,-1.0,-1.0,-1.0,10456.0,110.0,-1.0,405.0,1600.0,-1.0,1700.0,78000.0,20000.0,38000.0,-1.0,1000.0,13000.0,-1,500.0,-1.0,-1.0,520.0
1962,-1.0,80.0,200.0,1000.0,-1.0,18000.0,-1.0,23000.0,-1.0,882.0,9200.0,-1,150.0,4000.0,-1.0,1300.0,1000.0,9000.0,-1.0,4200.0,-1.0,-1.0,-1.0,10456.0,110.0,-1.0,401.0,1600.0,-1.0,1700.0,78000.0,20000.0,40000.0,-1.0,1000.0,13000.0,-1,550.0,-1.0,-1.0,520.0
1963,-1.0,100.0,200.0,1700.0,-1.0,18000.0,-1.0,23500.0,-1.0,636.0,9500.0,-1,150.0,6000.0,-1.0,1300.0,1000.0,8700.0,-1.0,8500.0,-1.0,-1.0,-1.0,10254.0,130.0,-1.0,401.0,1600.0,-1.0,1700.0,78000.0,20000.0,52000.0,-1.0,1000.0,13000.0,-1,570.0,-1.0,-1.0,520.0
1964,-1.0,125.0,200.0,1700.0,-1.0,18000.0,-1.0,24000.0,-1.0,710.0,10000.0,-1,150.0,7000.0,-1.0,1300.0,1100.0,18500.0,-1.0,12000.0,-1.0,-1.0,-1.0,10254.0,130.0,-1.0,531.0,1600.0,-1.0,1700.0,78000.0,20000.0,59000.0,-1.0,1100.0,13000.0,-1,610.0,-1.0,-1.0,560.0
1965,-1.0,125.0,200.0,1700.0,-1.0,18000.0,-1.0,25000.0,-1.0,725.0,10500.0,-1,150.0,7500.0,-1.0,1400.0,1200.0,19700.0,-1.0,15500.0,-1.0,-1.0,-1.0,10254.0,150.0,-1.0,621.0,1600.0,-1.0,1611.0,78000.0,20000.0,44000.0,-1.0,1200.0,13000.0,-1,610.0,-1.0,-1.0,560.0
1966,-1.0,150.0,200.0,1700.0,-1.0,20000.0,-1.0,26000.0,-1.0,735.0,10800.0,-1,141.0,5000.0,-1.0,1400.0,1250.0,17700.0,-1.0,12000.0,-1.0,-1.0,-1.0,10835.0,150.0,-1.0,620.0,1600.0,-1.0,1615.0,79000.0,20000.0,46000.0,-1.0,1250.0,13000.0,-1,620.0,-1.0,-1.0,590.0
1967,-1.0,200.0,200.0,1700.0,-1.0,20000.0,-1.0,26000.0,-1.0,749.0,11500.0,-1,100.0,4500.0,-1.0,1400.0,1250.0,18600.0,-1.0,11000.0,-1.0,-1.0,-1.0,10147.0,150.0,-1.0,620.0,1600.0,-1.0,1659.0,79000.0,20000.0,62000.0,-1.0,1250.0,13000.0,-1,610.0,-1.0,-1.0,590.0
1968,-1.0,200.0,250.0,1700.0,-1.0,20000.0,-1.0,28000.0,-1.0,750.0,11700.0,-1,70.0,4700.0,-1.0,1400.0,1150.0,20200.0,-1.0,17000.0,-1.0,-1.0,-1.0,10100.0,95.0,-1.0,620.0,1600.0,-1.0,1724.0,79000.0,20000.0,59000.0,-1.0,1150.0,13000.0,-1,580.0,-1.0,-1.0,590.0
1969,-1.0,200.0,250.0,1700.0,-1.0,20000.0,-1.0,30000.0,-1.0,120.0,13300.0,-1,50.0,4200.0,-1.0,1400.0,1150.0,19400.0,-1.0,5300.0,-1.0,-1.0,-1.0,10100.0,100.0,-1.0,620.0,1600.0,-1.0,1756.0,79000.0,20000.0,53000.0,-1.0,1150.0,13000.0,-1,600.0,-1.0,-1.0,590.0
1970,-1.0,200.0,250.0,1700.0,-1.0,20000.0,-1.0,31000.0,-1.0,220.0,15000.0,-1,50.0,5000.0,-1.0,1400.0,1150.0,18500.0,-1.0,10500.0,-1.0,-1.0,-1.0,10100.0,95.0,-1.0,710.0,1600.0,-1.0,1620.0,80000.0,20000.0,32000.0,-1.0,1150.0,13000.0,-1,640.0,-1.0,-1.0,630.0
