,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Croatia,Burkina Faso,Israel,Malta,Philippines,South Sudan,Brazil,Lao People's Democratic Republic,Australia & New Zealand,Cook Islands,Ethiopia,Yugoslav SFR,Pakistan,United States of America,Greece,Thailand,Zimbabwe,Sudan,Iraq,Republic of Korea,Venezuela (Bolivarian Republic of),Cyprus,Guadeloupe,South Africa,Japan,New Zealand,Yemen,Portugal,Bahamas,Bangladesh,Iran (Islamic Republic of),French Polynesia,Algeria,Kuwait,Nepal,French Guiana,Argentina,Haiti,Paraguay,Georgia,Cuba,El Salvador,Morocco,Ethiopia PDR,Congo,Lebanon,Mexico,Uruguay,Ecuador,Spain,Jordan,Bosnia and Herzegovina,Réunion,China,Tunisia,Colombia,Libya,Albania,Jamaica,Uzbekistan,Occupied Palestinian Territory,Azerbaijan,Montenegro,Chile,Syrian Arab Republic,Australia,France,Egypt,Polynesia,"China, mainland",Sudan (former),Mali,Swaziland,Italy,Turkey
1961,-1.0,1900.0,450.0,7358.0,100.0,-1.0,-1.0,2600.0,-1.0,9000.0,-1.0,16247.0,850.0,1249.0,80.0,-1.0,-1.0,86000.0,18210.0,1500.0,17000.0,800.0,-1,-1.0,254.0,-1.0,150.0,-1.0,700.0,71100.0,35.0,-1.0,2000.0,-1.0,700.0,2800.0,1.0,14000.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,1100.0,8000.0,-1.0,550.0,10300.0,-1.0,-1.0,-1.0,52358.0,-1.0,-1.0,150.0,-1.0,550.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1214.0,220.0,4000.0,81.0,45000.0,200.0,-1,-1.0,12000.0,5107.0
1962,-1.0,2100.0,480.0,8338.0,100.0,-1.0,-1.0,2600.0,-1.0,12000.0,-1.0,17242.0,870.0,1254.0,80.0,-1.0,-1.0,104000.0,17765.0,1500.0,17000.0,800.0,-1,-1.0,110.0,-1.0,160.0,-1.0,800.0,79900.0,40.0,-1.0,2000.0,-1.0,700.0,3100.0,1.0,15000.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,1000.0,8000.0,-1.0,575.0,11600.0,-1.0,-1.0,-1.0,59338.0,-1.0,-1.0,160.0,-1.0,430.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1214.0,320.0,4000.0,81.0,51000.0,200.0,-1,-1.0,12200.0,5340.0
1963,-1.0,2100.0,510.0,9162.0,100.0,-1.0,-1.0,2600.0,-1.0,12000.0,-1.0,17900.0,870.0,1351.0,90.0,-1.0,-1.0,110000.0,15380.0,1600.0,17000.0,800.0,-1,-1.0,127.0,-1.0,160.0,-1.0,800.0,89700.0,50.0,-1.0,1800.0,-1.0,700.0,3200.0,1.0,15000.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,1000.0,8500.0,-1.0,634.0,13600.0,-1.0,-1.0,-1.0,60162.0,-1.0,-1.0,150.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1301.0,320.0,5000.0,91.0,51000.0,200.0,-1,-1.0,12500.0,5980.0
1964,-1.0,2100.0,550.0,10946.0,100.0,-1.0,-1.0,2600.0,-1.0,12160.0,-1.0,18599.0,900.0,1402.0,102.0,-1.0,-1.0,91000.0,14410.0,1700.0,17000.0,850.0,-1,-1.0,407.0,-1.0,160.0,-1.0,800.0,101300.0,60.0,-1.0,1900.0,-1.0,800.0,3500.0,1.0,17500.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1.0,1000.0,9000.0,-1.0,638.0,10000.0,-1.0,-1.0,-1.0,70946.0,-1.0,-1.0,80.0,-1.0,940.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1342.0,640.0,4000.0,103.0,60000.0,200.0,-1,-1.0,14200.0,6690.0
1965,-1.0,2200.0,570.0,11817.0,100.0,-1.0,-1.0,2600.0,-1.0,12010.0,-1.0,20722.0,900.0,1552.0,109.0,-1.0,-1.0,92000.0,16310.0,1800.0,17000.0,850.0,-1,-1.0,571.0,-1.0,150.0,-1.0,1000.0,115200.0,70.0,-1.0,2200.0,-1.0,700.0,3800.0,1.0,16000.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1.0,1200.0,9500.0,-1.0,807.0,11500.0,-1.0,-1.0,-1.0,73817.0,-1.0,-1.0,20.0,-1.0,1040.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1482.0,727.0,4200.0,110.0,62000.0,200.0,-1,-1.0,14700.0,6767.0
1966,-1.0,2300.0,640.0,12697.0,100.0,-1.0,-1.0,2600.0,-1.0,12110.0,-1.0,21303.0,950.0,1681.0,109.0,-1.0,-1.0,13100.0,18170.0,1900.0,19500.0,850.0,-1,-1.0,727.0,-1.0,160.0,-1.0,900.0,126800.0,89.0,-1.0,2200.0,-1.0,700.0,5200.0,1.0,14000.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1.0,1100.0,10000.0,-1.0,818.0,13600.0,249.0,-1.0,-1.0,77697.0,-1.0,-1.0,20.0,-1.0,1150.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1592.0,1032.0,4620.0,110.0,65000.0,200.0,-1,-1.0,15000.0,6900.0
1967,-1.0,2400.0,700.0,13817.0,100.0,-1.0,-1.0,2600.0,-1.0,12100.0,-1.0,22967.0,950.0,1839.0,109.0,-1.0,-1.0,12800.0,20234.0,2100.0,19500.0,850.0,-1,-1.0,1341.0,-1.0,160.0,-1.0,1200.0,139300.0,101.0,-1.0,2000.0,-1.0,700.0,6700.0,1.0,14000.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1.0,1064.0,11000.0,-1.0,873.0,13300.0,357.0,-1.0,-1.0,82817.0,-1.0,-1.0,22.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1738.0,545.0,5041.0,110.0,69000.0,200.0,-1,-1.0,16500.0,7133.0
1968,-1.0,2400.0,740.0,14610.0,100.0,-1.0,-1.0,2600.0,-1.0,11410.0,-1.0,23875.0,980.0,2003.0,109.0,-1.0,-1.0,12800.0,21690.0,2500.0,19500.0,850.0,-1,-1.0,2275.0,-1.0,160.0,-1.0,1000.0,150900.0,107.0,-1.0,2450.0,-1.0,700.0,8300.0,2.0,14000.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1.0,1118.0,11000.0,-1.0,1018.0,13800.0,187.0,-1.0,-1.0,83610.0,-1.0,-1.0,25.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1896.0,514.0,5881.0,111.0,69000.0,200.0,-1,-1.0,19800.0,7500.0
1969,-1.0,1400.0,1050.0,15266.0,100.0,-1.0,-1.0,2500.0,-1.0,8450.0,-1.0,24812.0,1000.0,2272.0,109.0,-1.0,-1.0,10900.0,25250.0,2600.0,19500.0,850.0,-1,-1.0,4017.0,-1.0,250.0,-1.0,1100.0,158600.0,162.0,-1.0,2580.0,-1.0,702.0,8900.0,2.0,16000.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1.0,1116.0,11000.0,-1.0,1016.0,16600.0,0.0,-1.0,-1.0,82266.0,-1.0,-1.0,70.0,-1.0,860.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2110.0,705.0,5881.0,111.0,67000.0,200.0,-1,-1.0,21000.0,7757.0
1970,-1.0,1600.0,1164.0,16101.0,100.0,-1.0,-1.0,2300.0,-1.0,7080.0,-1.0,26312.0,1050.0,2323.0,109.0,-1.0,-1.0,11300.0,27400.0,2600.0,19500.0,850.0,-1,-1.0,5901.0,-1.0,370.0,-1.0,1000.0,163000.0,174.0,-1.0,2730.0,-1.0,777.0,9600.0,2.0,16000.0,-1,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1.0,1200.0,11000.0,-1.0,1051.0,20200.0,-1.0,-1.0,-1.0,89101.0,-1.0,-1.0,70.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2149.0,750.0,5881.0,111.0,73000.0,200.0,-1,-1.0,21400.0,8127.0
