,Sudan,Chad,Cameroon,"China, Taiwan Province of",Congo,South Sudan,Mexico,Iran (Islamic Republic of),China,Democratic Republic of the Congo,Central African Republic,Mauritania,"China, mainland",Sudan (former),Mali,Nigeria,Greece,Senegal
1980,-1.0,7143.0,5444.0,3800.0,5854.0,-1.0,-1.0,4082.0,3800.0,5008.0,-1.0,6053.0,-1.0,-1.0,-1.0,12368.0,11775.0,2000.0
1981,-1.0,7500.0,5556.0,5783.0,5976.0,-1.0,-1.0,4286.0,5783.0,5000.0,-1.0,6053.0,-1.0,-1.0,-1.0,8478.0,13939.0,2143.0
1982,-1.0,7500.0,5549.0,2487.0,5952.0,-1.0,-1.0,4310.0,2487.0,5008.0,-1.0,6000.0,-1.0,-1.0,-1.0,13704.0,12429.0,2143.0
1983,-1.0,7544.0,5556.0,2740.0,5930.0,-1.0,-1.0,4333.0,2740.0,5000.0,-1.0,5952.0,-1.0,-1.0,-1.0,12743.0,13948.0,2267.0
1984,-1.0,7143.0,5652.0,2916.0,5909.0,-1.0,-1.0,4390.0,2916.0,5000.0,-1.0,6000.0,-1.0,-1.0,-1.0,8720.0,13057.0,2267.0
1985,-1.0,7143.0,5652.0,5408.0,5870.0,-1.0,-1.0,4494.0,5408.0,5000.0,-1.0,5957.0,-1.0,-1.0,-1.0,8033.0,13856.0,2267.0
1986,-1.0,7143.0,5699.0,4027.0,6087.0,-1.0,-1.0,4422.0,4027.0,5098.0,-1.0,6042.0,-1.0,-1.0,-1.0,10200.0,12979.0,2237.0
1987,-1.0,7143.0,5668.0,5328.0,5938.0,-1.0,-1.0,4842.0,12046.0,5102.0,-1.0,6000.0,13636.0,-1.0,-1.0,10000.0,14088.0,2237.0
1988,-1.0,7143.0,5660.0,5277.0,5800.0,-1.0,-1.0,4287.0,10908.0,5113.0,-1.0,6000.0,12500.0,-1.0,-1.0,8929.0,14878.0,2237.0
1989,-1.0,7143.0,5663.0,4400.0,5455.0,-1.0,-1.0,5000.0,13561.0,5104.0,-1.0,5962.0,14000.0,-1.0,-1.0,10000.0,32675.0,2237.0
1990,-1.0,5455.0,5680.0,4692.0,5167.0,-1.0,-1.0,5000.0,16373.0,5130.0,6400.0,6038.0,16522.0,6452.0,-1.0,9043.0,39714.0,1615.0
1991,-1.0,6776.0,5729.0,5376.0,4923.0,-1.0,-1.0,5345.0,13647.0,5128.0,6431.0,6000.0,13684.0,6364.0,-1.0,9481.0,39124.0,2364.0
1992,-1.0,6768.0,5800.0,7000.0,4714.0,-1.0,1719.0,5374.0,13747.0,5127.0,6432.0,6038.0,13750.0,6400.0,-1.0,9506.0,29691.0,2339.0
1993,-1.0,6760.0,5789.0,5357.0,4722.0,-1.0,1111.0,5402.0,10329.0,5125.0,6429.0,6087.0,10333.0,6494.0,-1.0,10000.0,29412.0,2313.0
1994,-1.0,6752.0,5777.0,2500.0,4800.0,-1.0,901.0,5431.0,5769.0,5123.0,6455.0,6000.0,5769.0,6538.0,-1.0,10000.0,29412.0,2288.0
1995,-1.0,6744.0,5772.0,-1.0,4795.0,-1.0,1257.0,5459.0,8088.0,5081.0,6542.0,5991.0,8088.0,6531.0,-1.0,10070.0,26667.0,2263.0
1996,-1.0,6736.0,5748.0,12000.0,4789.0,-1.0,1333.0,5487.0,11622.0,5073.0,6462.0,5974.0,11622.0,6522.0,-1.0,10063.0,26407.0,2238.0
1997,-1.0,6728.0,5773.0,-1.0,4778.0,-1.0,1807.0,5515.0,9153.0,5000.0,6429.0,5958.0,9153.0,6571.0,-1.0,13200.0,27116.0,2212.0
1998,-1.0,6720.0,5764.0,17000.0,4730.0,-1.0,1731.0,5544.0,16500.0,4937.0,6400.0,5943.0,16500.0,6429.0,-1.0,10820.0,27217.0,2187.0
1999,-1.0,6712.0,5755.0,10000.0,4761.0,-1.0,1765.0,5573.0,6250.0,4744.0,6389.0,5929.0,6250.0,6667.0,22000.0,6004.0,26667.0,2162.0
2000,-1.0,6704.0,5668.0,16923.0,4757.0,-1.0,1528.0,5602.0,11002.0,5060.0,6541.0,5917.0,11000.0,6753.0,41583.0,6000.0,26316.0,2229.0
2001,-1.0,6696.0,5644.0,-1.0,4753.0,-1.0,1694.0,5632.0,8333.0,5000.0,6375.0,5906.0,8333.0,6410.0,42438.0,6000.0,29412.0,2222.0
2002,-1.0,6688.0,5766.0,-1.0,4758.0,-1.0,1471.0,5663.0,12500.0,5223.0,6381.0,5871.0,12500.0,6545.0,46250.0,6303.0,29412.0,2308.0
2003,-1.0,6715.0,5582.0,-1.0,4767.0,-1.0,1429.0,5706.0,12469.0,5323.0,6488.0,5951.0,12469.0,6404.0,48783.0,6304.0,29412.0,2218.0
2004,-1.0,6741.0,5714.0,-1.0,4774.0,-1.0,3000.0,5749.0,12898.0,5556.0,6475.0,5960.0,12898.0,6413.0,54492.0,6404.0,29412.0,2200.0
2005,-1.0,6844.0,5500.0,-1.0,4782.0,-1.0,1786.0,5793.0,15714.0,5522.0,6489.0,5969.0,15714.0,6410.0,59386.0,6499.0,29412.0,2177.0
2006,-1.0,6931.0,5456.0,-1.0,4795.0,-1.0,2000.0,5839.0,15000.0,5584.0,6522.0,5978.0,15000.0,6400.0,73415.0,6598.0,29412.0,2148.0
2007,-1.0,7105.0,5420.0,-1.0,4787.0,-1.0,1923.0,5886.0,15455.0,5649.0,6515.0,5989.0,15455.0,6341.0,89775.0,6595.0,33333.0,2420.0
2008,-1.0,6915.0,5365.0,-1.0,4787.0,-1.0,1875.0,5934.0,13845.0,5713.0,6541.0,6002.0,13845.0,6667.0,107805.0,6809.0,33333.0,2033.0
2009,-1.0,6891.0,5714.0,-1.0,4787.0,-1.0,2699.0,5983.0,13781.0,5776.0,6577.0,6017.0,13781.0,6538.0,102026.0,8222.0,30052.0,1949.0
2010,-1.0,6875.0,5849.0,-1.0,4789.0,-1.0,3333.0,6035.0,14131.0,5836.0,6599.0,6032.0,14131.0,6538.0,141034.0,10802.0,25397.0,1862.0
2011,-1.0,6870.0,4875.0,-1.0,4779.0,-1.0,5667.0,6087.0,14345.0,5894.0,6620.0,6049.0,14345.0,6535.0,141011.0,12173.0,22047.0,1776.0
2012,6538.0,6748.0,3644.0,-1.0,4710.0,6667.0,3585.0,6250.0,14559.0,6200.0,6642.0,6047.0,14559.0,-1.0,156968.0,7561.0,17391.0,1455.0
2013,6542.0,6970.0,3644.0,-1.0,4904.0,4500.0,3702.0,6467.0,14772.0,6200.0,6663.0,6136.0,14772.0,-1.0,155533.0,7566.0,18000.0,1473.0
2014,7692.0,7004.0,4133.0,-1.0,4853.0,6944.0,4117.0,6224.0,14986.0,6099.0,6685.0,6114.0,14986.0,-1.0,166101.0,7546.0,17635.0,1582.0
