,Sudan,Chad,Cameroon,"China, Taiwan Province of",Congo,South Sudan,Mexico,Iran (Islamic Republic of),China,Democratic Republic of the Congo,Central African Republic,Mauritania,"China, mainland",Sudan (former),Mali,Nigeria,Greece,Senegal
1961,-1.0,6571.0,4516.0,-1.0,4571.0,-1.0,-1.0,4000.0,-1.0,4000.0,-1.0,6087.0,-1.0,-1.0,-1.0,3225.0,4752.0,4250.0
1962,-1.0,6667.0,4480.0,-1.0,4857.0,-1.0,-1.0,4000.0,-1.0,4130.0,-1.0,6042.0,-1.0,-1.0,-1.0,3176.0,5056.0,4500.0
1963,-1.0,6757.0,4603.0,-1.0,5000.0,-1.0,-1.0,4000.0,-1.0,4255.0,-1.0,6000.0,-1.0,-1.0,-1.0,3932.0,5786.0,4750.0
1964,-1.0,6842.0,4375.0,-1.0,5000.0,-1.0,-1.0,4000.0,-1.0,4375.0,-1.0,6000.0,-1.0,-1.0,-1.0,3427.0,6457.0,5000.0
1965,-1.0,6923.0,4496.0,-1.0,5139.0,-1.0,-1.0,4000.0,-1.0,4694.0,-1.0,5926.0,-1.0,-1.0,-1.0,3585.0,6102.0,5000.0
1966,-1.0,7000.0,4615.0,-1.0,5278.0,-1.0,-1.0,4091.0,-1.0,4948.0,-1.0,5926.0,-1.0,-1.0,-1.0,2562.0,7384.0,6923.0
1967,-1.0,7250.0,4415.0,-1.0,5270.0,-1.0,-1.0,4000.0,-1.0,5550.0,-1.0,6000.0,-1.0,-1.0,-1.0,2599.0,7582.0,6686.0
1968,-1.0,7143.0,4348.0,-1.0,5270.0,-1.0,-1.0,4074.0,-1.0,5000.0,-1.0,6071.0,-1.0,-1.0,-1.0,1936.0,7585.0,6735.0
1969,-1.0,7143.0,6523.0,-1.0,5405.0,-1.0,-1.0,4068.0,-1.0,5455.0,-1.0,6034.0,-1.0,-1.0,-1.0,1650.0,8321.0,7000.0
1970,-1.0,7045.0,5934.0,-1.0,5405.0,-1.0,-1.0,4063.0,-1.0,4961.0,-1.0,6000.0,-1.0,-1.0,-1.0,1717.0,8406.0,6550.0
1971,-1.0,7045.0,5888.0,-1.0,5405.0,-1.0,-1.0,4118.0,-1.0,4924.0,-1.0,6034.0,-1.0,-1.0,-1.0,1556.0,1716.0,6383.0
1972,-1.0,6739.0,6000.0,5319.0,5676.0,-1.0,-1.0,4167.0,5319.0,5253.0,-1.0,6000.0,-1.0,-1.0,-1.0,2749.0,7422.0,6329.0
1973,-1.0,6957.0,5311.0,5900.0,5676.0,-1.0,-1.0,4211.0,5900.0,5382.0,-1.0,6000.0,-1.0,-1.0,-1.0,4044.0,8826.0,6744.0
1974,-1.0,7083.0,6137.0,6021.0,5676.0,-1.0,-1.0,4250.0,6021.0,5206.0,-1.0,6087.0,-1.0,-1.0,-1.0,5506.0,8845.0,6250.0
1975,-1.0,7000.0,7358.0,5201.0,5733.0,-1.0,-1.0,4235.0,5201.0,5295.0,-1.0,5926.0,-1.0,-1.0,-1.0,8814.0,12747.0,10000.0
1976,-1.0,7400.0,7288.0,6766.0,5789.0,-1.0,-1.0,4222.0,6766.0,5613.0,-1.0,5926.0,-1.0,-1.0,-1.0,9022.0,10133.0,5560.0
1977,-1.0,6400.0,6968.0,7336.0,5921.0,-1.0,-1.0,4255.0,7336.0,5232.0,-1.0,6000.0,-1.0,-1.0,-1.0,8659.0,10525.0,3548.0
1978,-1.0,6538.0,5303.0,3275.0,5897.0,-1.0,-1.0,4286.0,3275.0,5389.0,-1.0,6000.0,-1.0,-1.0,-1.0,8030.0,10312.0,1986.0
1979,-1.0,7037.0,5306.0,5365.0,5875.0,-1.0,-1.0,4082.0,5365.0,5000.0,-1.0,6061.0,-1.0,-1.0,-1.0,10097.0,11791.0,2145.0
