,Luxembourg,Ukraine,Germany,Serbia,Belgium,Serbia and Montenegro,Czechoslovakia,USSR,Finland,Sweden,Switzerland,Malta,Slovakia,Bosnia and Herzegovina,United Kingdom,Denmark,Canada,Greece,Poland,Latvia,Turkmenistan,Czechia,Austria,Spain,Norway,Estonia,Yugoslav SFR,France,Lithuania,Slovenia,Croatia,Netherlands,Russian Federation,Kyrgyzstan,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,-1.0,721349.0,-1.0,-1.0,-1.0,28998.0,165000.0,24726.0,206326.0,6763.0,100.0,-1,-1,60505.0,253817.0,633607.0,13356.0,373000.0,-1.0,-1,-1.0,19308.0,6090.0,1867.0,-1.0,33300.0,111200.0,-1.0,-1.0,-1.0,52725.0,-1,-1.0,340000.0,-1.0,7403.0
1962,-1.0,-1.0,795379.0,-1.0,-1.0,-1.0,37566.0,128100.0,30500.0,185143.0,7304.0,150.0,-1,-1,50849.0,220600.0,616611.0,12491.0,343000.0,-1.0,-1,-1.0,20001.0,5520.0,1002.0,-1.0,31000.0,109900.0,-1.0,-1.0,-1.0,48104.0,-1,-1.0,320000.0,-1.0,7854.0
1963,-1.0,-1.0,733055.0,-1.0,-1.0,-1.0,43951.0,234100.0,35100.0,177417.0,6696.0,170.0,-1,-1,40273.0,195134.0,593423.0,11380.0,398000.0,-1.0,-1,-1.0,25881.0,4960.0,961.0,-1.0,28200.0,201000.0,-1.0,-1.0,-1.0,42406.0,-1,-1.0,304000.0,-1.0,8268.0
1964,-1.0,-1.0,739261.0,-1.0,-1.0,-1.0,44731.0,144100.0,31700.0,164600.0,5633.0,160.0,-1,-1,31761.0,186195.0,621265.0,9630.0,364000.0,-1.0,-1,-1.0,25906.0,3900.0,949.0,-1.0,25000.0,174700.0,-1.0,-1.0,-1.0,34287.0,-1,-1.0,295000.0,-1.0,8504.0
1965,-1.0,-1.0,672029.0,-1.0,-1.0,-1.0,55204.0,106700.0,29300.0,145400.0,3697.0,140.0,-1,-1,30136.0,137931.0,663473.0,7490.0,355000.0,-1.0,-1,-1.0,26510.0,3850.0,842.0,-1.0,25000.0,170300.0,-1.0,-1.0,-1.0,28960.0,-1,-1.0,280000.0,-1.0,9912.0
1966,-1.0,-1.0,663372.0,-1.0,-1.0,-1.0,45875.0,106500.0,30100.0,115722.0,4424.0,190.0,-1,-1,29718.0,119489.0,714908.0,6190.0,283000.0,-1.0,-1,-1.0,28613.0,3460.0,914.0,-1.0,22800.0,200000.0,-1.0,-1.0,-1.0,20614.0,-1,-1.0,290000.0,-1.0,10668.0
1967,-1.0,-1.0,637618.0,-1.0,-1.0,-1.0,46196.0,88000.0,31400.0,94793.0,3868.0,180.0,-1,-1,36172.0,97227.0,678567.0,4660.0,285000.0,-1.0,-1,-1.0,29142.0,3350.0,829.0,-1.0,20800.0,213900.0,-1.0,-1.0,-1.0,14262.0,-1,-1.0,270000.0,-1.0,11603.0
1968,-1.0,-1.0,638016.0,-1.0,-1.0,-1.0,37436.0,83000.0,30900.0,88221.0,3610.0,177.0,-1,-1,45431.0,78033.0,644574.0,3350.0,289000.0,-1.0,-1,-1.0,29827.0,1800.0,740.0,-1.0,18900.0,204785.0,-1.0,-1.0,-1.0,8790.0,-1,-1.0,250000.0,-1.0,12206.0
1969,-1.0,-1.0,637877.0,-1.0,-1.0,-1.0,31404.0,82000.0,28100.0,77275.0,2824.0,112.0,-1,-1,63717.0,58113.0,709283.0,2560.0,314000.0,-1.0,-1,-1.0,30412.0,1400.0,491.0,-1.0,18136.0,198300.0,-1.0,-1.0,-1.0,6066.0,-1,-1.0,250000.0,-1.0,12711.0
1970,-1.0,-1.0,579462.0,-1.0,-1.0,-1.0,24325.0,67000.0,27700.0,75873.0,3210.0,93.0,-1,-1,79527.0,44469.0,792606.0,2000.0,405000.0,-1.0,-1,-1.0,33408.0,900.0,475.0,-1.0,16000.0,184900.0,-1.0,-1.0,-1.0,3213.0,-1,-1.0,245000.0,-1.0,13804.0
1971,-1.0,-1.0,515345.0,-1.0,-1.0,-1.0,18181.0,86000.0,25900.0,68815.0,3410.0,50.0,-1,-1,55609.0,38595.0,831536.0,1800.0,372000.0,-1.0,-1,-1.0,31515.0,200.0,477.0,-1.0,14000.0,211000.0,-1.0,-1.0,-1.0,1892.0,-1,-1.0,237000.0,-1.0,12122.0
1972,-1.0,-1.0,479632.0,-1.0,-1.0,-1.0,13617.0,94000.0,23500.0,65417.0,3430.0,45.0,-1,-1,62897.0,31000.0,835624.0,1500.0,457000.0,-1.0,-1,-1.0,31336.0,1200.0,438.0,-1.0,13000.0,204000.0,-1.0,-1.0,-1.0,1171.0,-1,-1.0,222000.0,-1.0,11788.0
1973,-1.0,-1.0,446662.0,-1.0,-1.0,-1.0,8402.0,124000.0,21900.0,71378.0,3260.0,44.0,-1,-1,51170.0,23337.0,809967.0,1400.0,461000.0,-1.0,-1,-1.0,33462.0,2500.0,711.0,-1.0,11000.0,194100.0,-1.0,-1.0,-1.0,595.0,-1,-1.0,223500.0,-1.0,11659.0
1974,-1.0,-1.0,412129.0,-1.0,-1.0,-1.0,8896.0,124000.0,22700.0,70911.0,2849.0,28.0,-1,-1,42970.0,17892.0,732835.0,1300.0,477000.0,-1.0,-1,-1.0,33159.0,1600.0,535.0,-1.0,10000.0,185600.0,-1.0,-1.0,-1.0,446.0,-1,-1.0,215000.0,-1.0,12571.0
1975,-1.0,-1.0,385527.0,-1.0,-1.0,-1.0,7246.0,132000.0,18500.0,65238.0,2257.0,24.0,-1,-1,35000.0,14082.0,736600.0,1300.0,543197.0,-1.0,-1,-1.0,38456.0,1600.0,386.0,-1.0,9100.0,199000.0,-1.0,-1.0,-1.0,347.0,-1,-1.0,194000.0,-1.0,13632.0
1976,-1.0,-1.0,316312.0,-1.0,-1.0,-1.0,3689.0,117000.0,17500.0,63001.0,1980.0,41.0,-1,-1,28000.0,12388.0,644900.0,1200.0,582275.0,-1.0,-1,-1.0,36811.0,2929.0,496.0,-1.0,6660.0,193000.0,-1.0,-1.0,-1.0,257.0,-1,-1.0,186000.0,-1.0,10900.0
1977,-1.0,-1.0,295435.0,-1.0,-1.0,-1.0,3594.0,89000.0,24200.0,57763.0,1690.0,16.0,-1,-1,23734.0,10839.0,624259.0,900.0,625628.0,-1.0,-1,-1.0,38114.0,4209.0,314.0,-1.0,5941.0,172500.0,-1.0,-1.0,-1.0,195.0,-1,-1.0,180000.0,-1.0,9207.0
1978,-1.0,-1.0,262830.0,-1.0,-1.0,-1.0,2824.0,99000.0,23600.0,57485.0,1830.0,22.0,-1,-1,17123.0,8147.0,604200.0,900.0,643691.0,-1.0,-1,-1.0,35966.0,1331.0,702.0,-1.0,5570.0,163300.0,-1.0,-1.0,-1.0,141.0,-1,-1.0,170000.0,-1.0,7468.0
1979,-1.0,-1.0,227507.0,-1.0,-1.0,-1.0,1551.0,103000.0,15300.0,54558.0,1770.0,38.0,-1,-1,15624.0,5357.0,592400.0,900.0,764743.0,-1.0,-1,-1.0,36133.0,2688.0,453.0,-1.0,5300.0,164400.0,-1.0,-1.0,-1.0,349.0,-1,-1.0,155000.0,-1.0,7147.0
1980,-1.0,-1.0,201475.0,-1.0,-1.0,-1.0,1407.0,65000.0,12100.0,54971.0,871.0,40.0,-1,-1,13404.0,4469.0,568900.0,500.0,736775.0,-1.0,-1,-1.0,31945.0,3111.0,596.0,-1.0,4100.0,153000.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,140000.0,-1.0,7318.0
1981,-1.0,-1.0,176229.0,-1.0,-1.0,-1.0,1461.0,103000.0,12500.0,59168.0,770.0,40.0,-1,-1,11000.0,4453.0,544600.0,600.0,880631.0,-1.0,-1,-1.0,32240.0,3040.0,406.0,-1.0,3600.0,148000.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,130000.0,-1.0,7366.0
1982,-1.0,-1.0,251072.0,-1.0,-1.0,-1.0,1400.0,100000.0,10600.0,61000.0,780.0,40.0,-1,-1,10000.0,3896.0,530900.0,500.0,929363.0,-1.0,-1,-1.0,33830.0,4804.0,500.0,-1.0,3200.0,143000.0,-1.0,-1.0,-1.0,200.0,-1,-1.0,97000.0,-1.0,7750.0
1983,-1.0,-1.0,157486.0,-1.0,-1.0,-1.0,4388.0,120000.0,13000.0,60450.0,770.0,40.0,-1,-1,8000.0,3173.0,504300.0,500.0,913673.0,-1.0,-1,-1.0,30323.0,4030.0,650.0,-1.0,3325.0,115000.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,89000.0,-1.0,6000.0
1984,-1.0,-1.0,151100.0,-1.0,-1.0,-1.0,2047.0,108000.0,13000.0,62800.0,510.0,42.0,-1,-1,8000.0,3736.0,461800.0,700.0,853511.0,-1.0,-1,-1.0,30048.0,5404.0,-1.0,-1.0,3233.0,118300.0,-1.0,-1.0,-1.0,102.0,-1,-1.0,80000.0,-1.0,7000.0
