,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Burkina Faso,Syrian Arab Republic,Viet Nam,United Republic of Tanzania,Nepal,Ethiopia,Kenya,Maldives,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Iran (Islamic Republic of),Malawi,Eritrea,Rwanda,Australia & New Zealand,Yugoslav SFR,Mozambique,Slovenia,Senegal,Uganda,Ukraine,Guinea,Botswana,Saudi Arabia,Chad,Switzerland,Sri Lanka,Azerbaijan,Central African Republic,Mauritania,China,Uzbekistan,Libya,Kyrgyzstan,Guinea-Bissau,Kazakhstan,Hungary,Portugal,Togo,Poland,"China, mainland",Russian Federation,Mali,Ethiopia PDR,Yemen,Serbia and Montenegro,Cameroon,Serbia,Tajikistan,Zambia,South Sudan,Namibia,Benin,Pakistan,Japan,Afghanistan,Iraq,Spain,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Czechoslovakia,Nigeria,Czechia,Argentina,Democratic People's Republic of Korea,India,Austria,Niger,Morocco,Bhutan,Congo,Republic of Korea,Mexico,USSR,Romania,Jordan,Côte d'Ivoire,Gambia,Slovakia,France,South Africa,Sierra Leone,Australia,Sudan,Ghana,Sudan (former),Angola,Republic of Moldova,Turkey
1961,9302.0,10453.0,-1.0,-1.0,2460.0,3168.0,6244.0,-1.0,8056.0,9265.0,-1.0,17333.0,8824.0,-1.0,9696.0,4631.0,10588.0,-1.0,-1.0,7060.0,10090.0,10164.0,5263.0,-1.0,4529.0,8092.0,-1.0,14286.0,4475.0,10286.0,5542.0,-1.0,6204.0,-1.0,3125.0,2083.0,9743.0,-1.0,5882.0,-1.0,6667.0,-1.0,4385.0,17738.0,4082.0,12059.0,9743.0,-1.0,6432.0,4828.0,12404.0,-1.0,9444.0,-1.0,-1.0,5739.0,-1.0,2264.0,3050.0,4447.0,15813.0,8085.0,5650.0,16319.0,6595.0,11546.0,6655.0,6786.0,12375.0,6064.0,-1.0,12939.0,9429.0,4141.0,15315.0,4731.0,3512.0,7460.0,-1.0,4669.0,-1.0,6989.0,-1.0,-1.0,5400.0,12025.0,-1.0,13159.0,6000.0,16288.0,10090.0,-1.0,6667.0,6442.0,7738.0,-1.0,13265.0
1962,9302.0,12628.0,-1.0,-1.0,3318.0,4380.0,8223.0,-1.0,8182.0,9444.0,-1.0,17333.0,8696.0,-1.0,5225.0,5830.0,10588.0,-1.0,-1.0,5998.0,11012.0,8215.0,5263.0,-1.0,4539.0,8113.0,-1.0,15714.0,5000.0,9867.0,5052.0,-1.0,7837.0,-1.0,6471.0,2147.0,8221.0,-1.0,8824.0,-1.0,6667.0,-1.0,6377.0,17260.0,3688.0,10345.0,8217.0,-1.0,6730.0,4828.0,12454.0,-1.0,7477.0,-1.0,-1.0,5776.0,-1.0,2264.0,3297.0,4971.0,14908.0,8163.0,6150.0,15972.0,3947.0,11717.0,6439.0,6538.0,12243.0,5684.0,-1.0,13505.0,9583.0,4312.0,15968.0,5076.0,5198.0,7450.0,-1.0,4847.0,-1.0,5955.0,-1.0,-1.0,6000.0,12014.0,-1.0,10744.0,7000.0,16646.0,11012.0,-1.0,6500.0,6559.0,8046.0,-1.0,12245.0
1963,9310.0,7383.0,-1.0,-1.0,3874.0,3835.0,8540.0,-1.0,7978.0,9275.0,-1.0,17333.0,8929.0,-1.0,5867.0,5952.0,10588.0,-1.0,-1.0,6700.0,11507.0,9980.0,5263.0,-1.0,4664.0,8144.0,-1.0,12857.0,5000.0,9868.0,7133.0,-1.0,6129.0,-1.0,6471.0,2132.0,8799.0,-1.0,7059.0,-1.0,6667.0,-1.0,7130.0,17241.0,4863.0,11111.0,8800.0,-1.0,5496.0,4828.0,10134.0,-1.0,7632.0,-1.0,-1.0,5508.0,-1.0,2268.0,3587.0,4885.0,16667.0,8235.0,7193.0,15956.0,8234.0,12500.0,7066.0,6538.0,11999.0,6618.0,-1.0,10630.0,9846.0,4353.0,16043.0,5146.0,6369.0,7300.0,-1.0,5295.0,-1.0,4257.0,-1.0,-1.0,5667.0,11407.0,-1.0,12886.0,5500.0,16159.0,11507.0,-1.0,6729.0,6347.0,8046.0,-1.0,12245.0
1964,9318.0,11161.0,-1.0,-1.0,2836.0,4687.0,8936.0,-1.0,6050.0,9130.0,-1.0,17333.0,9091.0,-1.0,8182.0,5952.0,10588.0,-1.0,-1.0,5731.0,9610.0,8967.0,5263.0,-1.0,4863.0,8129.0,-1.0,14286.0,8951.0,10000.0,5888.0,-1.0,6788.0,-1.0,6111.0,2132.0,9860.0,-1.0,5882.0,-1.0,6667.0,-1.0,10146.0,17256.0,5179.0,12273.0,9859.0,-1.0,6859.0,4952.0,10914.0,-1.0,7632.0,-1.0,-1.0,5833.0,-1.0,2273.0,3366.0,4896.0,15387.0,8302.0,8860.0,17224.0,6844.0,12526.0,7485.0,6667.0,12009.0,6164.0,-1.0,11277.0,9583.0,4501.0,19223.0,5703.0,5500.0,7304.0,-1.0,5404.0,-1.0,9017.0,-1.0,-1.0,6167.0,11242.0,-1.0,10684.0,5000.0,16307.0,9610.0,-1.0,6726.0,5902.0,8333.0,-1.0,12927.0
1965,9412.0,10667.0,-1.0,-1.0,3185.0,3938.0,9628.0,-1.0,6859.0,12000.0,-1.0,17333.0,9211.0,-1.0,9301.0,6487.0,10588.0,-1.0,-1.0,5665.0,11091.0,7544.0,5263.0,-1.0,4779.0,9001.0,-1.0,14286.0,2045.0,10000.0,5093.0,-1.0,7165.0,-1.0,7857.0,1923.0,9452.0,-1.0,5882.0,-1.0,7222.0,-1.0,6393.0,17204.0,4726.0,12000.0,9451.0,-1.0,7709.0,5000.0,10064.0,-1.0,7477.0,-1.0,-1.0,5950.0,-1.0,2250.0,3432.0,4405.0,15907.0,8364.0,8058.0,19284.0,3851.0,12727.0,9585.0,6667.0,12009.0,5897.0,-1.0,9843.0,10000.0,3451.0,14873.0,4362.0,5029.0,7243.0,-1.0,4908.0,-1.0,6240.0,-1.0,-1.0,5583.0,10727.0,-1.0,11522.0,6000.0,16000.0,11091.0,-1.0,4767.0,4160.0,7317.0,-1.0,13333.0
1966,9205.0,10091.0,-1.0,-1.0,2675.0,3875.0,5432.0,-1.0,6690.0,12000.0,-1.0,18378.0,9133.0,-1.0,9060.0,5405.0,8182.0,-1.0,-1.0,6000.0,8629.0,15962.0,5263.0,-1.0,4065.0,9073.0,-1.0,14286.0,4233.0,9877.0,6061.0,-1.0,5511.0,-1.0,7500.0,2092.0,12855.0,-1.0,7059.0,-1.0,6250.0,-1.0,6391.0,17217.0,4518.0,12273.0,12857.0,-1.0,7370.0,4948.0,9044.0,-1.0,8362.0,-1.0,-1.0,6048.0,-1.0,2222.0,3538.0,4432.0,15385.0,8421.0,9195.0,20476.0,11711.0,12745.0,9538.0,6665.0,12504.0,4299.0,-1.0,11411.0,10000.0,3964.0,19328.0,4830.0,3821.0,7200.0,-1.0,5997.0,-1.0,8764.0,-1.0,-1.0,6000.0,9576.0,-1.0,15581.0,6000.0,14706.0,8629.0,-1.0,5887.0,4644.0,8046.0,-1.0,13333.0
1967,9222.0,11998.0,-1.0,-1.0,2677.0,3629.0,10155.0,-1.0,6061.0,11107.0,-1.0,18800.0,8964.0,-1.0,10000.0,4722.0,6667.0,-1.0,-1.0,6000.0,12155.0,15739.0,5263.0,-1.0,5261.0,9371.0,-1.0,14857.0,3997.0,10000.0,6106.0,-1.0,6180.0,-1.0,6429.0,2092.0,12856.0,-1.0,7059.0,-1.0,6417.0,-1.0,6408.0,17225.0,4000.0,12857.0,12857.0,-1.0,8016.0,4973.0,13750.0,-1.0,7212.0,-1.0,-1.0,6048.0,-1.0,2200.0,3808.0,4530.0,15563.0,8475.0,10318.0,22376.0,8982.0,12963.0,8886.0,5837.0,20202.0,5908.0,-1.0,11902.0,9091.0,4498.0,18850.0,5362.0,4697.0,7184.0,-1.0,4883.0,-1.0,7785.0,-1.0,-1.0,5068.0,10364.0,-1.0,15679.0,6000.0,13846.0,12155.0,-1.0,5946.0,6037.0,8333.0,-1.0,13095.0
1968,9444.0,12469.0,-1.0,-1.0,3089.0,6005.0,9089.0,-1.0,6119.0,11158.0,-1.0,17568.0,8333.0,-1.0,10643.0,5263.0,10556.0,-1.0,-1.0,4500.0,10203.0,17366.0,5263.0,-1.0,3966.0,9984.0,-1.0,14286.0,6242.0,8118.0,6168.0,-1.0,6048.0,-1.0,5833.0,2185.0,12500.0,-1.0,7059.0,-1.0,5909.0,-1.0,6359.0,17241.0,5663.0,13158.0,12500.0,-1.0,7303.0,5042.0,14286.0,-1.0,6800.0,-1.0,-1.0,6000.0,-1.0,2286.0,3934.0,4484.0,17946.0,8814.0,9952.0,27301.0,10875.0,13253.0,7986.0,6250.0,14230.0,5876.0,-1.0,10888.0,9800.0,3810.0,22513.0,3866.0,8833.0,7170.0,-1.0,6702.0,-1.0,8033.0,-1.0,-1.0,4861.0,10491.0,-1.0,17324.0,6818.0,13333.0,10203.0,-1.0,5211.0,4406.0,8462.0,-1.0,13250.0
1969,9333.0,13233.0,-1.0,-1.0,3042.0,4399.0,8357.0,-1.0,6473.0,11135.0,-1.0,16000.0,7125.0,-1.0,10197.0,4595.0,7500.0,-1.0,-1.0,5000.0,6715.0,15328.0,5263.0,-1.0,5681.0,11462.0,-1.0,14286.0,6554.0,11712.0,6752.0,-1.0,7823.0,-1.0,8182.0,2280.0,12319.0,-1.0,7059.0,-1.0,5455.0,-1.0,7925.0,17241.0,6375.0,12174.0,12319.0,-1.0,8216.0,5066.0,20000.0,-1.0,7344.0,-1.0,-1.0,6299.0,-1.0,2273.0,3564.0,4802.0,16867.0,8571.0,9321.0,28716.0,14664.0,13248.0,7959.0,6471.0,14295.0,6280.0,-1.0,9919.0,9474.0,4586.0,22480.0,4822.0,2987.0,7170.0,-1.0,7994.0,-1.0,8960.0,-1.0,-1.0,5116.0,9509.0,-1.0,18607.0,6818.0,12069.0,6715.0,-1.0,5017.0,6125.0,8571.0,-1.0,14249.0
1970,8800.0,13304.0,-1.0,-1.0,3007.0,4696.0,5237.0,-1.0,7266.0,11264.0,-1.0,17333.0,8885.0,-1.0,8182.0,5641.0,8000.0,-1.0,-1.0,6999.0,8971.0,15476.0,5263.0,-1.0,3815.0,13454.0,-1.0,13714.0,702.0,11818.0,6546.0,-1.0,5456.0,-1.0,7500.0,1908.0,14109.0,-1.0,7059.0,-1.0,5455.0,-1.0,8492.0,15000.0,5829.0,11818.0,14110.0,-1.0,7583.0,5091.0,15902.0,-1.0,6783.0,-1.0,-1.0,5760.0,-1.0,2273.0,3006.0,4733.0,18333.0,8485.0,10420.0,25833.0,9636.0,13274.0,7819.0,7346.0,14492.0,6253.0,-1.0,9515.0,10000.0,6035.0,26006.0,3770.0,8571.0,7222.0,-1.0,7811.0,-1.0,7172.0,-1.0,-1.0,4545.0,10983.0,-1.0,14900.0,6818.0,11224.0,8971.0,-1.0,5673.0,6023.0,8387.0,-1.0,12349.0
