,USSR,Eritrea,Fiji,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Kenya,Yemen,South Africa,Democratic People's Republic of Korea,Zambia,Botswana,Papua New Guinea,Somalia,Micronesia,Togo,Tunisia,Albania,Brazil,Mozambique,Niger,Serbia,Australia & New Zealand,El Salvador,Spain,Chad,Colombia,New Caledonia,Central African Republic,Tajikistan,India,Lesotho,Ecuador,Swaziland,Sri Lanka,Republic of Moldova,Argentina,Jordan,Ethiopia PDR,Saudi Arabia,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Hungary,Lebanon,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Peru,Gambia,Ghana,"China, mainland",Algeria,Kazakhstan,Rwanda,Cameroon,Guatemala,Cuba,Slovakia,Pacific Islands Trust Territory,United States of America,Romania,Iraq,Madagascar,United Republic of Tanzania,Burundi,South Sudan,France,Costa Rica,Bangladesh,Italy,Senegal,Uganda,Benin,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Malawi,"China, Taiwan Province of",Israel,Japan,Egypt,Guinea-Bissau,Namibia,Sudan,Nicaragua,Mauritania,Russian Federation,Bolivia (Plurinational State of),Paraguay,Venezuela (Bolivarian Republic of),Mexico,Guinea,Ukraine,Sierra Leone,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,China
1961,2700.0,,1.0,1174.0,0.0,9720.0,98.0,0.0,,3280.0,25875.0,5280.0,1000.0,1360.0,600.0,3.0,7600.0,0.0,0.0,247.0,578.0,0.0,3240.0,9270.0,,1174.0,743.0,17.0,9870.0,49.0,2.0,2520.0,,273000.0,600.0,0.0,400.0,30.0,,33900.0,176.0,20440.0,2695.0,5.0,,326.0,8.0,3600.0,155.0,975.0,95460.0,15000.0,200.0,24.0,15.0,0.0,133.0,22.0,210.0,1550.0,234850.0,60.0,,2237.0,12760.0,270.0,994.0,,0.0,51000.0,264.0,174.0,100.0,2625.0,380.0,,205.0,81.0,24.0,1000.0,3201.0,8820.0,1605.0,,0.0,18748.0,,14000.0,2500.0,672.0,0.0,2000.0,,1050.0,100.0,236.0,22.0,4000.0,80.0,200.0,,837.0,4176.0,,0.0,32.0,0.0,1765.0,500.0,,206.0,480.0,,111.0,0.0,234950.0
1962,2100.0,,1.0,1267.0,0.0,9340.0,98.0,0.0,,3400.0,26750.0,10020.0,1000.0,1380.0,600.0,3.0,7740.0,0.0,0.0,220.0,363.0,0.0,3270.0,9700.0,,1267.0,769.0,39.0,9630.0,81.0,2.0,2520.0,,331000.0,600.0,0.0,200.0,30.0,,35177.0,206.0,20920.0,2818.0,5.0,,550.0,14.0,3600.0,152.0,975.0,104680.0,16320.0,200.0,16.0,21.0,0.0,155.0,21.0,210.0,1619.0,227500.0,38.0,,1740.0,13040.0,400.0,920.0,,0.0,51000.0,288.0,206.0,100.0,2430.0,400.0,,400.0,53.0,24.0,1000.0,3510.0,8880.0,1633.0,,0.0,16335.0,,13000.0,3280.0,682.0,11.0,1600.0,,1155.0,100.0,175.0,18.0,4000.0,80.0,200.0,,617.0,4262.0,,0.0,34.0,0.0,2963.0,500.0,,219.0,480.0,,180.0,0.0,227600.0
1963,2970.0,,1.0,1184.0,0.0,11700.0,98.0,0.0,,3440.0,27125.0,7320.0,1200.0,1400.0,600.0,5.0,7680.0,0.0,0.0,240.0,964.0,0.0,3270.0,9060.0,,1184.0,697.0,540.0,9225.0,360.0,2.0,2680.0,,313000.0,600.0,0.0,160.0,30.0,,37409.0,125.0,21276.0,2940.0,8.0,,266.0,84.0,3600.0,192.0,975.0,110640.0,11220.0,200.0,24.0,24.0,0.0,129.0,21.0,210.0,1662.0,220500.0,36.0,,1952.0,13040.0,470.0,520.0,,0.0,51000.0,784.0,233.0,100.0,2595.0,420.0,,485.0,88.0,24.0,1000.0,3744.0,9600.0,1625.0,,0.0,16380.0,,13000.0,2400.0,672.0,105.0,1600.0,,1260.0,100.0,442.0,16.0,4000.0,80.0,300.0,,719.0,4262.0,,0.0,32.0,25.0,4147.0,500.0,,220.0,480.0,,171.0,0.0,220600.0
1964,1920.0,,2.0,1119.0,0.0,11880.0,335.0,0.0,,3000.0,27125.0,9660.0,1200.0,1400.0,390.0,4.0,7600.0,0.0,0.0,240.0,582.0,0.0,3300.0,9300.0,,1119.0,889.0,500.0,9255.0,450.0,2.0,2040.0,,331000.0,560.0,0.0,186.0,20.0,,37574.0,147.0,21424.0,3063.0,7.0,,122.0,149.0,3600.0,184.0,975.0,118740.0,10890.0,200.0,28.0,30.0,0.0,103.0,43.0,210.0,1557.0,215250.0,33.0,,1875.0,12760.0,480.0,520.0,,0.0,51000.0,316.0,243.0,100.0,2880.0,440.0,,596.0,52.0,24.0,1000.0,3960.0,9180.0,1641.0,,0.0,17352.0,,12000.0,1640.0,657.0,1132.0,1500.0,,1260.0,100.0,454.0,12.0,5000.0,80.0,320.0,,749.0,5220.0,,0.0,33.0,43.0,4716.0,500.0,,225.0,480.0,,252.0,0.0,215350.0
1965,1410.0,,2.0,1403.0,0.0,11160.0,680.0,0.0,,4200.0,24125.0,9120.0,1200.0,1440.0,750.0,6.0,7600.0,0.0,0.0,240.0,919.0,14.0,3300.0,10914.0,,1403.0,861.0,638.0,7980.0,450.0,2.0,1680.0,,256000.0,600.0,0.0,162.0,30.0,,39731.0,117.0,21634.0,3185.0,10.0,,114.0,66.0,3600.0,165.0,975.0,92860.0,12090.0,100.0,29.0,45.0,0.0,119.0,40.0,210.0,1756.0,227500.0,20.0,,2600.0,13360.0,500.0,400.0,,0.0,51000.0,124.0,239.0,100.0,4650.0,480.0,,957.0,78.0,24.0,1000.0,3540.0,8880.0,1449.0,,0.0,18324.0,,11000.0,1800.0,574.0,1299.0,2500.0,,1380.0,100.0,62.0,7.0,5000.0,140.0,340.0,,758.0,4350.0,,0.0,34.0,114.0,8638.0,500.0,,195.0,480.0,,747.0,0.0,227600.0
1966,1260.0,,17.0,1626.0,0.0,11680.0,251.0,0.0,,4200.0,23750.0,12800.0,1000.0,1460.0,2653.0,8.0,7940.0,0.0,0.0,240.0,825.0,14.0,3300.0,10604.0,,1626.0,831.0,437.0,8115.0,600.0,2.0,2080.0,,314000.0,600.0,0.0,160.0,30.0,,42389.0,90.0,22590.0,3259.0,26.0,,162.0,73.0,3600.0,136.0,982.0,94700.0,17100.0,50.0,25.0,45.0,0.0,195.0,43.0,210.0,1450.0,227500.0,32.0,,2640.0,11920.0,450.0,320.0,,0.0,51000.0,45.0,262.0,100.0,4650.0,420.0,,1217.0,72.0,24.0,1000.0,4227.0,8700.0,1643.0,,0.0,23616.0,,12034.0,1780.0,500.0,1112.0,4913.0,,1380.0,200.0,146.0,7.0,5000.0,130.0,360.0,,783.0,4350.0,,0.0,36.0,171.0,10100.0,500.0,,165.0,682.0,,744.0,0.0,227700.0
1967,1380.0,,29.0,1495.0,0.0,9460.0,319.0,0.0,,4100.0,23250.0,5320.0,1000.0,1460.0,860.0,9.0,7600.0,0.0,0.0,244.0,809.0,14.0,3360.0,11912.0,,1495.0,910.0,788.0,8190.0,675.0,2.0,1680.0,,342000.0,640.0,0.0,160.0,20.0,,49089.0,0.0,23480.0,3819.0,40.0,,96.0,105.0,3600.0,130.0,650.0,102760.0,12090.0,50.0,23.0,45.0,2.0,358.0,11.0,222.0,1510.0,210000.0,49.0,,2580.0,11560.0,450.0,240.0,,0.0,51000.0,138.0,210.0,100.0,4725.0,440.0,,1079.0,78.0,32.0,1000.0,3858.0,6900.0,1583.0,,0.0,14951.0,,17768.0,1426.0,526.0,1334.0,1869.0,,1425.0,200.0,138.0,4.0,5000.0,120.0,380.0,,825.0,4350.0,,0.0,40.0,232.0,12446.0,500.0,,150.0,694.0,,251.0,0.0,210200.0
1968,1680.0,,21.0,2665.0,0.0,9800.0,361.0,0.0,,4000.0,22750.0,5100.0,900.0,1500.0,1567.0,13.0,7640.0,0.0,0.0,252.0,1112.0,14.0,4242.0,11900.0,,2665.0,910.0,1216.0,7395.0,678.0,2.0,1600.0,,333000.0,640.0,0.0,177.0,15.0,,55037.0,16.0,23732.0,3308.0,36.0,,172.0,78.0,3816.0,129.0,675.0,156180.0,12930.0,50.0,22.0,54.0,3.0,149.0,29.0,222.0,1500.0,203000.0,74.0,,2516.0,14680.0,500.0,160.0,,0.0,51000.0,88.0,116.0,104.0,4650.0,420.0,,1076.0,68.0,33.0,2000.0,3798.0,8400.0,1712.0,,0.0,19688.0,,10180.0,1188.0,552.0,1423.0,8258.0,,1500.0,200.0,99.0,4.0,5000.0,100.0,400.0,,845.0,4872.0,,0.0,40.0,134.0,13248.0,500.0,,144.0,835.0,,209.0,0.0,203200.0
1969,1170.0,,14.0,4135.0,0.0,11160.0,406.0,0.0,,4020.0,22175.0,6560.0,1000.0,1500.0,2007.0,15.0,7200.0,0.0,0.0,254.0,1092.0,14.0,3750.0,11862.0,,4135.0,993.0,1175.0,7140.0,804.0,2.0,1680.0,,331000.0,720.0,0.0,178.0,25.0,,62976.0,0.0,24064.0,3308.0,31.0,,178.0,53.0,3870.0,115.0,733.0,114280.0,10980.0,50.0,22.0,59.0,2.0,102.0,72.0,222.0,2428.0,182700.0,40.0,,2837.0,13280.0,500.0,120.0,,0.0,51000.0,122.0,161.0,74.0,4650.0,410.0,,1072.0,91.0,33.0,3000.0,3570.0,9330.0,1325.0,,0.0,18743.0,,15262.0,1180.0,578.0,1107.0,4312.0,,1500.0,150.0,64.0,0.0,5000.0,100.0,400.0,,848.0,4350.0,,0.0,43.0,74.0,14564.0,500.0,,143.0,880.0,,125.0,0.0,182850.0
1970,1050.0,,9.0,5764.0,0.0,10140.0,837.0,0.0,,4040.0,22225.0,7600.0,1000.0,1550.0,2414.0,18.0,6800.0,0.0,0.0,254.0,684.0,14.0,3750.0,11586.0,,5764.0,1008.0,1038.0,7740.0,1382.0,2.0,1800.0,,276000.0,720.0,0.0,55.0,20.0,,73805.0,0.0,24670.0,6196.0,28.0,,84.0,38.0,3870.0,93.0,748.0,107740.0,10650.0,50.0,28.0,60.0,7.0,128.0,114.0,222.0,2331.0,182000.0,38.0,,2553.0,14440.0,500.0,80.0,,0.0,76000.0,64.0,222.0,89.0,4650.0,420.0,,1126.0,94.0,31.0,1000.0,3567.0,9210.0,1064.0,,0.0,18475.0,,18596.0,1660.0,604.0,1890.0,5046.0,,1800.0,100.0,96.0,0.0,5000.0,100.0,420.0,,834.0,4524.0,,0.0,45.0,61.0,14037.0,500.0,,144.0,992.0,,158.0,0.0,182100.0
