,Thailand,Indonesia
1961,37600.0,117065.0
1962,27840.0,115800.0
1963,44000.0,97600.0
1964,48000.0,97900.0
1965,49600.0,100200.0
1966,48000.0,98600.0
1967,47040.0,99800.0
1968,47520.0,99100.0
1969,47040.0,151500.0
1970,46560.0,155500.0
1971,45000.0,138800.0
1972,43700.0,157500.0
1973,42300.0,177300.0
1974,40960.0,199800.0
1975,42880.0,200400.0
1976,42080.0,214500.0
1977,40320.0,196200.0
1978,36960.0,201200.0
1979,38240.0,189200.0
1980,38560.0,250100.0
1981,40160.0,247700.0
1982,41280.0,249100.0
1983,40320.0,242500.0
1984,40480.0,244800.0
1985,40000.0,251400.0
1986,37440.0,251900.0
1987,34880.0,229900.0
1988,35520.0,204500.0
1989,34880.0,205300.0
1990,35360.0,195300.0
1991,35840.0,194300.0
1992,37920.0,190900.0
1993,37440.0,184800.0
1994,39680.0,183900.0
1995,39360.0,173900.0
1996,39520.0,171957.0
1997,39520.0,172127.0
1998,38560.0,174309.0
1999,38240.0,174000.0
2000,38080.0,174000.0
2001,38080.0,175000.0
2002,38080.0,170000.0
2003,38100.0,185000.0
2004,38000.0,130000.0
2005,35642.0,130000.0
2006,31663.0,135000.0
2007,29353.0,148000.0
2008,29307.0,150000.0
2009,29262.0,171000.0
2010,29004.0,168300.0
2011,26858.0,167100.0
2012,25291.0,161300.0
2013,24222.0,155300.0
2014,23266.0,157524.0
