,Netherlands,Austria,Zambia,Ecuador,Gambia,Russia,Paraguay,Mexico,Canada,Kenya,Greece,South Korea,Kuwait,United Kingdom,Sri Lanka,Nepal,Romania,Cameroon,Finland,Germany,Thailand,Denmark,Barbados,Yemen,Haiti,Sudan,Libya,Portugal,Cuba,Reunion,Malta,Trinidad and Tobago,Venezuela,Bulgaria,Niger,Guatemala,Iceland,Dominican Republic,Ghana,Uruguay,Benin,Italy,Lesotho,Honduras,Egypt,Argentina,Luxembourg,Czech Republic,Algeria,Syria,Peru,Cambodia,Democratic Republic of Congo,Colombia,Sweden,Turkey,New Zealand,Iraq,Hungary,Belize,Indonesia,South Africa,Swaziland,Jordan,Japan,Afghanistan,Jamaica,Serbia,Cyprus,Hong Kong,Guyana,El Salvador,Brazil,Malawi,Spain,Malaysia,Senegal,Belgium,Taiwan,Fiji,Morocco,Philippines,Togo,Chile,Mali,Tunisia,Cote d'Ivoire,Liberia,Costa Rica,Nicaragua,Mozambique,Albania,Pakistan,Bolivia,Uganda,Bangladesh,Iran,Myanmar,China,Norway,Ireland,France,Sierra Leone,Poland,Mauritius,Australia,Switzerland,Panama,United States,Zimbabwe,India
1870,0.04847485572959604,0.035614179719703216,0.00016488046166529267,0.003132728771640561,0.0008244023083264633,0.00247320692497939,0.0011541632316570487,0.006100577081615829,0.04484748557295961,0.00016488046166529267,0.012860676009892828,0.00016488046166529267,0.00016488046166529267,0.015169002473206926,0.0028029678483099756,0.00016488046166529267,0.0016488046166529267,0.00016488046166529267,0.0021434460016488046,0.036603462489694975,0.00016488046166529267,0.04039571310799671,0.01533388293487222,0.00016488046166529267,0.00016488046166529267,0.00016488046166529267,0.00016488046166529267,0.004451772464962902,0.0019785655399835117,0.0036273701566364386,0.005111294311624073,0.008244023083264633,0.00032976092333058534,0.015004122011541634,0.00016488046166529267,0.0036273701566364386,0.014014839241549877,0.0011541632316570487,0.00016488046166529267,0.005605935696619951,0.00016488046166529267,0.014509480626545754,0.0004946413849958779,0.004122011541632316,0.00032976092333058534,0.006430338004946414,0.0006595218466611707,0.0517724649629019,0.0016488046166529267,0.00016488046166529267,0.0004946413849958779,0.00016488046166529267,0.00016488046166529267,0.0052761747732893655,0.05935696619950536,0.00016488046166529267,0.058202802967848306,0.00016488046166529267,0.030008244023083268,0.006595218466611707,0.00016488046166529267,0.011211871393239902,0.00016488046166529267,0.00016488046166529267,0.008738664468260512,0.00016488046166529267,0.011211871393239902,0.001483924154987634,0.004781533388293487,0.00016488046166529267,0.004122011541632316,0.0036273701566364386,0.0023083264633140975,0.00016488046166529267,0.026051112943116243,0.00032976092333058534,0.00016488046166529267,0.03990107172300082,,0.00016488046166529267,0.00016488046166529267,0.0004946413849958779,0.00016488046166529267,0.007089859851607584,0.00016488046166529267,0.00016488046166529267,0.00016488046166529267,0.0008244023083264633,0.0052761747732893655,0.0028029678483099756,0.00016488046166529267,0.00032976092333058534,0.00016488046166529267,0.0009892827699917559,0.00016488046166529267,0.00016488046166529267,0.00016488046166529267,0.0008244023083264633,0.00016488046166529267,0.0699093157460841,0.012201154163231658,0.011706512778235778,0.00032976092333058534,0.022753503709810385,0.003132728771640561,0.028689200329760925,0.06743610882110469,0.0013190436933223414,0.07056883759274526,0.00016488046166529267,0.0004946413849958779
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,0.04586317232972726,0.035197318299558134,0.00015236934328813044,0.0036568642389151304,0.0009142160597287826,0.002742648179186348,0.001371324089593174,0.00685662044796587,0.04342526283711717,0.00015236934328813044,0.01356087155264361,0.00015236934328813044,0.00015236934328813044,0.014932195642236783,0.002742648179186348,0.00015236934328813044,0.0016760627761694348,0.00015236934328813044,0.002437909492610087,0.03717811976230383,0.00015236934328813044,0.03809233582203261,0.016151150388541827,0.00015236934328813044,0.00015236934328813044,0.00015236934328813044,0.00015236934328813044,0.005180557671796435,0.002437909492610087,0.0041139722687795225,0.005637665701660826,0.008989791253999695,0.0003047386865762609,0.014475087612372392,0.00015236934328813044,0.003961602925491392,0.014170348925796132,0.0015236934328813044,0.0003047386865762609,0.0062471430748133475,0.00015236934328813044,0.014475087612372392,0.0007618467164406522,0.004571080298643913,0.0003047386865762609,0.007466097821118392,0.0007618467164406522,0.049520036568642394,0.001980801462745696,0.00015236934328813044,0.0006094773731525218,0.00015236934328813044,0.00015236934328813044,0.005637665701660826,0.056529026359896394,0.00015236934328813044,0.05287216212098127,0.00015236934328813044,0.030626238000914213,0.007466097821118392,0.00015236934328813044,0.012189547463050435,0.00015236934328813044,0.00015236934328813044,0.009599268627152218,0.00015236934328813044,0.011884808776474175,0.0015236934328813044,0.005332927015084565,0.0003047386865762609,0.005790035044948957,0.0041139722687795225,0.002742648179186348,0.00015236934328813044,0.028340697851592263,0.0003047386865762609,0.00015236934328813044,0.03626390370257504,,0.00015236934328813044,0.00015236934328813044,0.0006094773731525218,0.00015236934328813044,0.0077708365076946525,0.00015236934328813044,0.00015236934328813044,0.00015236934328813044,0.0009142160597287826,0.0060947737315252175,0.0030473868657626088,0.00015236934328813044,0.0004571080298643913,0.00015236934328813044,0.0012189547463050435,0.00015236934328813044,0.0003047386865762609,0.00015236934328813044,0.0010665854030169131,0.00015236934328813044,0.0681090964497943,0.013103763522779217,0.012494286149626695,0.0004571080298643913,0.022703032149931437,0.0035044948956270004,0.029102544568032913,0.06521407892731983,0.0016760627761694348,0.07008989791254,0.00015236934328813044,0.0004571080298643913
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
