,"China, Taiwan Province of",Jamaica,Puerto Rico,Indonesia,Bhutan,Trinidad and Tobago,Fiji,Dominica,Madagascar,Pakistan,Melanesia,United Republic of Tanzania,Malaysia,Thailand,Mexico,Japan,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Zambia,Nigeria,Mauritius,Uganda,Dominican Republic,Réunion,Peru,China,Ghana,United States of America,"China, mainland",Sri Lanka,Nepal,Republic of Korea,Saint Lucia,Philippines,Côte d'Ivoire,Cameroon,India
1961,1291.0,-1.0,,,,-1.0,7.0,-1.0,-1.0,-1.0,7.0,-1.0,550.0,2900.0,-1.0,-1.0,,-1.0,,-1.0,3000.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1291.0,-1.0,,-1.0,2500.0,-1.0,,-1.0,,-1.0,-1.0,21000.0
1962,1552.0,-1.0,,,,-1.0,10.0,-1.0,-1.0,-1.0,10.0,-1.0,600.0,3000.0,-1.0,-1.0,,-1.0,,-1.0,3300.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1552.0,-1.0,,-1.0,2500.0,-1.0,,-1.0,1000.0,-1.0,-1.0,21000.0
1963,1586.0,-1.0,,,,-1.0,17.0,-1.0,-1.0,-1.0,17.0,-1.0,500.0,3150.0,-1.0,-1.0,,-1.0,,-1.0,3600.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1586.0,-1.0,,-1.0,2500.0,-1.0,,-1.0,1000.0,-1.0,-1.0,23000.0
1964,1586.0,-1.0,,,,-1.0,11.0,-1.0,-1.0,-1.0,11.0,-1.0,600.0,3300.0,-1.0,-1.0,,-1.0,,-1.0,3900.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1586.0,-1.0,,-1.0,2743.0,-1.0,,-1.0,1000.0,-1.0,-1.0,23000.0
1965,1630.0,-1.0,,,,-1.0,11.0,-1.0,-1.0,-1.0,11.0,-1.0,750.0,3450.0,-1.0,-1.0,,-1.0,,-1.0,4200.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1630.0,-1.0,,-1.0,1730.0,-1.0,,-1.0,1000.0,-1.0,-1.0,23000.0
1966,1599.0,-1.0,,,,-1.0,15.0,-1.0,-1.0,-1.0,15.0,-1.0,700.0,3600.0,-1.0,-1.0,,-1.0,,-1.0,4400.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1599.0,-1.0,,-1.0,2772.0,-1.0,575.0,-1.0,1000.0,-1.0,-1.0,23000.0
1967,1696.0,-1.0,,,,-1.0,17.0,-1.0,-1.0,-1.0,17.0,-1.0,450.0,3700.0,-1.0,-1.0,,-1.0,,-1.0,4700.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1696.0,-1.0,,-1.0,2787.0,-1.0,603.0,-1.0,1000.0,-1.0,-1.0,21000.0
1968,2205.0,-1.0,,,,-1.0,38.0,-1.0,-1.0,-1.0,38.0,-1.0,430.0,3850.0,-1.0,-1.0,,-1.0,,-1.0,5000.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,2205.0,-1.0,,-1.0,3044.0,-1.0,536.0,-1.0,1000.0,-1.0,-1.0,20000.0
1969,2632.0,-1.0,,,,-1.0,38.0,-1.0,-1.0,-1.0,38.0,-1.0,500.0,4000.0,-1.0,-1.0,,-1.0,,-1.0,5030.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,2632.0,-1.0,,-1.0,2517.0,-1.0,470.0,-1.0,1000.0,-1.0,-1.0,21000.0
1970,3039.0,-1.0,,,,-1.0,38.0,-1.0,-1.0,-1.0,38.0,-1.0,600.0,4150.0,-1.0,-1.0,,-1.0,,-1.0,5042.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,3039.0,-1.0,,-1.0,2344.0,-1.0,608.0,-1.0,1300.0,-1.0,-1.0,22000.0
1971,2463.0,-1.0,,,,-1.0,19.0,-1.0,-1.0,-1.0,19.0,-1.0,700.0,4300.0,-1.0,-1.0,,-1.0,,-1.0,5018.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,2463.0,-1.0,,-1.0,3120.0,-1.0,535.0,-1.0,1450.0,-1.0,-1.0,24590.0
1972,2364.0,-1.0,,,,-1.0,19.0,-1.0,-1.0,-1.0,19.0,-1.0,750.0,4400.0,-1.0,-1.0,,-1.0,,-1.0,4916.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,2364.0,-1.0,,-1.0,2890.0,-1.0,654.0,-1.0,2820.0,-1.0,-1.0,22880.0
1973,2327.0,-1.0,,,,-1.0,19.0,-1.0,-1.0,-1.0,19.0,-1.0,650.0,4582.0,-1.0,-1.0,,-1.0,,-1.0,5148.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,2327.0,-1.0,,-1.0,3525.0,-1.0,710.0,-1.0,2890.0,-1.0,-1.0,24860.0
1974,2389.0,-1.0,,,,-1.0,34.0,-1.0,-1.0,-1.0,34.0,-1.0,550.0,4629.0,-1.0,-1.0,,-1.0,,-1.0,5271.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,2389.0,-1.0,,-1.0,3690.0,-1.0,1136.0,-1.0,2850.0,-1.0,-1.0,24140.0
1975,1911.0,-1.0,,,,-1.0,33.0,-1.0,-1.0,-1.0,33.0,-1.0,650.0,6103.0,-1.0,-1.0,,-1.0,,-1.0,5405.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1911.0,-1.0,,-1.0,4995.0,-1.0,1758.0,-1.0,4160.0,-1.0,-1.0,27200.0
1976,1365.0,-1.0,,,,-1.0,41.0,-1.0,-1.0,-1.0,41.0,-1.0,650.0,4770.0,-1.0,-1.0,,-1.0,,-1.0,5350.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,1365.0,-1.0,,-1.0,5197.0,-1.0,2672.0,-1.0,4390.0,-1.0,-1.0,25650.0
1977,2014.0,-1.0,,,,-1.0,60.0,-1.0,-1.0,-1.0,60.0,-1.0,500.0,5698.0,-1.0,-1.0,,-1.0,,-1.0,5306.0,,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,2014.0,-1.0,,-1.0,4800.0,-1.0,2327.0,-1.0,4830.0,-1.0,-1.0,36020.0
