,Paraguay,"China, Taiwan Province of",Belarus,Croatia,Serbia,India,Serbia and Montenegro,Tunisia,Brazil,United Kingdom,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Bangladesh,Republic of Korea,Belgium,South Africa,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Mongolia,Algeria,Slovenia,Czechoslovakia,Republic of Moldova,Tajikistan,Kyrgyzstan,Ukraine,Argentina,Luxembourg,Germany,Austria,Uruguay,Morocco,Ethiopia PDR,Poland,Sweden,Switzerland,Mexico,USSR,Romania,"China, mainland",Spain,Uzbekistan,Bosnia and Herzegovina,China,Ireland,Colombia,Latvia,Yugoslav SFR,Slovakia,Czechia,Chile,Hungary,Kazakhstan,Estonia,Australia,France,Lithuania,Finland,Netherlands,Russian Federation,Turkey,Norway,Italy,Belgium-Luxembourg
1961,-1.0,10110.0,-1.0,-1.0,-1.0,4672.0,-1.0,-1.0,-1.0,25000.0,-1.0,23657.0,8853.0,-1.0,-1.0,4296.0,4364.0,7175.0,-1.0,-1.0,14033.0,7500.0,7062.0,7500.0,-1.0,-1.0,-1.0,-1.0,-1.0,15458.0,-1.0,-1.0,-1.0,-1.0,6957.0,-1.0,15652.0,20163.0,-1.0,-1.0,4000.0,15595.0,23594.0,16049.0,6667.0,8621.0,5612.0,2592.0,-1.0,-1.0,-1.0,2632.0,-1.0,-1.0,-1.0,11204.0,-1.0,-1.0,12381.0,10087.0,-1.0,-1.0,-1.0,15179.0,-1.0,10174.0,25061.0,-1.0,8621.0,10989.0,14149.0,19506.0
1962,-1.0,10694.0,-1.0,-1.0,-1.0,4249.0,-1.0,-1.0,-1.0,25000.0,-1.0,20897.0,8847.0,-1.0,-1.0,4552.0,4383.0,5793.0,-1.0,-1.0,14258.0,7500.0,6922.0,7500.0,-1.0,-1.0,-1.0,-1.0,-1.0,14026.0,-1.0,-1.0,-1.0,-1.0,7031.0,-1.0,18862.0,19941.0,-1.0,-1.0,4000.0,14463.0,23773.0,21526.0,5000.0,6540.0,5000.0,3588.0,-1.0,-1.0,-1.0,3637.0,-1.0,-1.0,-1.0,8761.0,-1.0,-1.0,9645.0,11527.0,-1.0,-1.0,-1.0,17893.0,-1.0,12344.0,24989.0,-1.0,5896.0,11278.0,15532.0,26525.0
1963,-1.0,12572.0,-1.0,-1.0,-1.0,4167.0,-1.0,-1.0,-1.0,25000.0,-1.0,16845.0,9802.0,-1.0,-1.0,5198.0,4533.0,3198.0,-1.0,-1.0,7740.0,7500.0,4676.0,7500.0,-1.0,-1.0,-1.0,-1.0,-1.0,11144.0,-1.0,-1.0,-1.0,-1.0,6974.0,-1.0,15046.0,17048.0,-1.0,-1.0,4000.0,11780.0,18975.0,18274.0,6000.0,5021.0,10000.0,3592.0,-1.0,-1.0,-1.0,3657.0,-1.0,-1.0,-1.0,8340.0,-1.0,-1.0,11732.0,9873.0,-1.0,-1.0,-1.0,16890.0,-1.0,12121.0,25225.0,-1.0,7164.0,11905.0,14443.0,18197.0
1964,-1.0,13952.0,-1.0,-1.0,-1.0,3004.0,-1.0,-1.0,-1.0,25000.0,-1.0,20638.0,9381.0,-1.0,-1.0,4452.0,4469.0,7331.0,-1.0,-1.0,11254.0,7500.0,5152.0,7500.0,-1.0,-1.0,-1.0,-1.0,-1.0,9672.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,16937.0,18284.0,-1.0,-1.0,4000.0,11290.0,23099.0,20217.0,5000.0,5000.0,6000.0,5252.0,-1.0,-1.0,-1.0,5346.0,-1.0,-1.0,-1.0,11475.0,-1.0,-1.0,11269.0,12910.0,-1.0,-1.0,-1.0,19840.0,-1.0,9886.0,28410.0,-1.0,8750.0,11986.0,15996.0,17273.0
1965,-1.0,11692.0,-1.0,-1.0,-1.0,5065.0,-1.0,-1.0,-1.0,25000.0,-1.0,18377.0,8826.0,-1.0,-1.0,4410.0,4923.0,8853.0,-1.0,-1.0,14696.0,8000.0,10781.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,14623.0,-1.0,-1.0,-1.0,-1.0,6962.0,-1.0,19413.0,19056.0,-1.0,-1.0,4000.0,18421.0,25345.0,20520.0,6667.0,10668.0,7000.0,5977.0,-1.0,-1.0,-1.0,6037.0,-1.0,-1.0,-1.0,11622.0,-1.0,-1.0,12490.0,13745.0,-1.0,-1.0,-1.0,19294.0,-1.0,12642.0,25037.0,-1.0,9375.0,11278.0,16220.0,36731.0
1966,-1.0,10875.0,-1.0,-1.0,-1.0,4456.0,-1.0,-1.0,-1.0,24898.0,-1.0,15972.0,9482.0,-1.0,-1.0,4119.0,5031.0,9976.0,-1.0,-1.0,14226.0,7500.0,4394.0,7500.0,-1.0,-1.0,-1.0,-1.0,-1.0,16252.0,-1.0,-1.0,-1.0,-1.0,6964.0,-1.0,19205.0,20843.0,-1.0,-1.0,4000.0,16471.0,18951.0,16460.0,7143.0,10519.0,6000.0,5189.0,-1.0,-1.0,-1.0,5214.0,-1.0,-1.0,-1.0,10635.0,-1.0,-1.0,12473.0,13185.0,-1.0,-1.0,-1.0,17734.0,-1.0,9333.0,25973.0,-1.0,10938.0,12099.0,17198.0,30909.0
1967,-1.0,10963.0,-1.0,-1.0,-1.0,4085.0,-1.0,-1.0,-1.0,24918.0,-1.0,19808.0,8545.0,-1.0,-1.0,4420.0,5256.0,10765.0,-1.0,-1.0,14596.0,12121.0,12687.0,12121.0,-1.0,-1.0,-1.0,-1.0,-1.0,17330.0,-1.0,-1.0,-1.0,-1.0,7188.0,-1.0,24013.0,22453.0,-1.0,-1.0,4000.0,20667.0,26254.0,24244.0,7143.0,10220.0,6000.0,6055.0,-1.0,-1.0,-1.0,6069.0,-1.0,-1.0,-1.0,13035.0,-1.0,-1.0,13461.0,12717.0,-1.0,-1.0,-1.0,20118.0,-1.0,18776.0,29042.0,-1.0,11194.0,14648.0,16281.0,26035.0
1968,-1.0,12275.0,-1.0,-1.0,-1.0,4833.0,-1.0,-1.0,-1.0,24923.0,-1.0,20313.0,10335.0,-1.0,-1.0,5059.0,5683.0,11942.0,-1.0,-1.0,17316.0,13333.0,7494.0,5291.0,-1.0,-1.0,-1.0,-1.0,-1.0,14064.0,-1.0,-1.0,-1.0,-1.0,7083.0,-1.0,23835.0,18596.0,-1.0,-1.0,4000.0,14179.0,24341.0,24517.0,7143.0,5211.0,10000.0,6450.0,-1.0,-1.0,-1.0,6462.0,-1.0,-1.0,-1.0,13498.0,-1.0,-1.0,12807.0,9499.0,-1.0,-1.0,3588.0,18109.0,-1.0,13111.0,27093.0,-1.0,10308.0,16885.0,16989.0,25301.0
1969,-1.0,12238.0,-1.0,-1.0,-1.0,4692.0,-1.0,-1.0,-1.0,16749.0,-1.0,17766.0,9304.0,-1.0,-1.0,5155.0,5824.0,11159.0,-1.0,-1.0,16216.0,13333.0,9161.0,9445.0,-1.0,-1.0,-1.0,-1.0,-1.0,13784.0,-1.0,-1.0,-1.0,-1.0,6833.0,-1.0,17865.0,20298.0,-1.0,-1.0,4000.0,13756.0,19908.0,18345.0,7143.0,9286.0,17500.0,6157.0,20000.0,-1.0,-1.0,6167.0,-1.0,-1.0,-1.0,16762.0,-1.0,-1.0,13150.0,12517.0,-1.0,-1.0,9205.0,17516.0,-1.0,14727.0,19760.0,-1.0,11571.0,11977.0,16768.0,22411.0
1970,-1.0,14059.0,-1.0,-1.0,-1.0,4928.0,-1.0,-1.0,-1.0,20290.0,-1.0,17035.0,9991.0,-1.0,-1.0,5238.0,5880.0,10812.0,-1.0,-1.0,15677.0,13333.0,7024.0,7878.0,-1.0,-1.0,-1.0,-1.0,-1.0,18236.0,-1.0,-1.0,-1.0,-1.0,7250.0,-1.0,19958.0,19965.0,-1.0,-1.0,4020.0,19019.0,20417.0,21575.0,10000.0,8372.0,17857.0,6646.0,20000.0,-1.0,-1.0,6655.0,-1.0,-1.0,-1.0,16137.0,-1.0,-1.0,13023.0,16061.0,-1.0,-1.0,7840.0,17563.0,-1.0,15455.0,29119.0,-1.0,10690.0,13319.0,18096.0,26707.0
