,Haiti,Bahrain,Australia & New Zealand,Australia,Panama,Pakistan,French Guiana,Thailand,Ethiopia,Kenya,Singapore,Lebanon,Yemen,Albania,Niger,"China, Hong Kong SAR",Slovenia,Saint Lucia,Canada,Philippines,Spain,Bahamas,Malta,Jamaica,Ecuador,Cabo Verde,Poland,Jordan,Belgium-Luxembourg,Colombia,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Mexico,Czechoslovakia,France,Republic of Korea,Democratic Republic of the Congo,Tunisia,India,Congo,Martinique,Dominican Republic,Kyrgyzstan,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",French Polynesia,New Zealand,United Arab Emirates,Bosnia and Herzegovina,Portugal,Netherlands,Guatemala,Slovakia,Puerto Rico,Romania,Norway,Dominica,Iraq,Madagascar,Belgium,Nepal,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Germany,Syrian Arab Republic,Latvia,Sweden,Uzbekistan,China,Finland,Morocco,Switzerland,Chile,Honduras,Zimbabwe,Ireland,Cyprus,Austria,Israel,Réunion,Japan,Hungary,Denmark,Trinidad and Tobago,Grenada,United Kingdom,Mauritius,Barbados,Turkey,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Brunei Darussalam,Greece,Ukraine,Kuwait,South Africa,Guadeloupe,Polynesia,Croatia,Bulgaria,Occupied Palestinian Territory
1961,29412.0,,141162.0,113220.0,45714.0,,,100000.0,,,,200000.0,,,,113300.0,,,125841.0,,258282.0,,,63941.0,108727.0,,,104400.0,270467.0,58824.0,190476.0,,,125385.0,136000.0,183936.0,,111833.0,,45455.0,,100000.0,127958.0,,,135000.0,195622.0,148000.0,,246000.0,,,200000.0,276363.0,148571.0,,,,,,103325.0,23810.0,,,,,,56471.0,174298.0,,144576.0,136364.0,,299674.0,,147885.0,,200000.0,215000.0,108000.0,,,,90000.0,241069.0,229299.0,,191083.0,59307.0,133333.0,56250.0,,192268.0,86667.0,,159375.0,61538.0,223333.0,,147467.0,,,104260.0,20000.0,,,250000.0,
1962,30588.0,,138348.0,111910.0,50000.0,,,110000.0,,,,200000.0,,,,101764.0,,,149280.0,,228125.0,,,58286.0,185463.0,,,95700.0,332608.0,58824.0,196429.0,,,125000.0,140526.0,171042.0,,103880.0,,45690.0,,100000.0,131833.0,,,133333.0,212568.0,159048.0,,239020.0,,,210000.0,236292.0,151429.0,,,,,,111867.0,27273.0,,,,,,56667.0,174788.0,,143610.0,145455.0,,299674.0,,158749.0,,200000.0,210000.0,107692.0,,,,90000.0,215755.0,239394.0,,192571.0,63112.0,133333.0,62500.0,,193973.0,114286.0,,155882.0,61481.0,225806.0,,139025.0,,,110514.0,20000.0,,,250000.0,
1963,30000.0,,143900.0,114467.0,55556.0,,,120000.0,,,,200000.0,,,,101273.0,,,126553.0,,226036.0,,,60467.0,171953.0,,,108364.0,319846.0,61111.0,220238.0,,,124627.0,144839.0,174000.0,,103250.0,,45932.0,,100000.0,130400.0,,,136364.0,204705.0,165556.0,,222603.0,,,200000.0,272003.0,150000.0,,,,,,142041.0,30435.0,,,,,,56842.0,168791.0,,147390.0,145158.0,,299674.0,,165165.0,,200000.0,222500.0,107407.0,,,,90000.0,249722.0,186842.0,,191750.0,55812.0,133333.0,65000.0,,191739.0,115556.0,,161765.0,60000.0,231250.0,,149980.0,,,137143.0,20000.0,,,266113.0,
1964,31111.0,,150573.0,119334.0,55000.0,,,118182.0,,,,200000.0,,,,102767.0,,,128207.0,,220482.0,,,68839.0,134008.0,,,131136.0,379421.0,61111.0,226190.0,,,124627.0,142753.0,184733.0,,108213.0,,45902.0,,100000.0,130840.0,,,127273.0,206346.0,166250.0,,225000.0,,,200000.0,272334.0,152778.0,,,,,,62616.0,33333.0,,,,,,57000.0,176332.0,,148481.0,154545.0,,299674.0,,165777.0,,200000.0,233000.0,107143.0,,,,90000.0,251048.0,225806.0,,192896.0,80314.0,133333.0,57500.0,,193831.0,80313.0,,160000.0,59259.0,230303.0,,144514.0,,,136986.0,21818.0,,,245143.0,
1965,30000.0,,147805.0,117562.0,52273.0,,,127273.0,,,,210000.0,,,,105783.0,,,125438.0,,216364.0,,,72571.0,144183.0,,,126341.0,325057.0,63158.0,210217.0,,,123529.0,142946.0,189414.0,,89600.0,,47581.0,,100000.0,132440.0,,,133636.0,213200.0,175000.0,,236337.0,,,200000.0,276588.0,153243.0,,,,,,80000.0,38462.0,,,,,,57143.0,172191.0,,148376.0,157394.0,,299674.0,,174485.0,,200000.0,220000.0,110000.0,,,,90000.0,215202.0,224390.0,,179325.0,75036.0,133977.0,57143.0,,196722.0,99737.0,,161111.0,60000.0,229412.0,,143571.0,,,136986.0,20000.0,,,226625.0,
1966,30000.0,,144067.0,121028.0,59574.0,,,136364.0,,,,210000.0,,,,103704.0,,,118547.0,,214788.0,,,70884.0,208067.0,,,128000.0,336585.0,63158.0,237269.0,,,125000.0,143273.0,169857.0,,95633.0,,47656.0,,100000.0,132320.0,,,134091.0,214574.0,178667.0,,221954.0,,,210000.0,231688.0,154459.0,,,,,,104872.0,42857.0,,,,,,57273.0,171415.0,,162616.0,148636.0,,300310.0,,177341.0,,187500.0,232500.0,106667.0,,,,90000.0,274545.0,239024.0,,194360.0,67131.0,126995.0,61000.0,,197283.0,97632.0,,160000.0,60714.0,240000.0,,140150.0,,,136054.0,20635.0,,,304809.0,
1967,30000.0,,137934.0,114572.0,60345.0,,,133333.0,,,,209091.0,,,,117241.0,,,130483.0,,222242.0,,,71632.0,187247.0,,,125591.0,535125.0,65000.0,222904.0,,,124638.0,146698.0,174907.0,,101667.0,,48000.0,,100000.0,134720.0,,,159727.0,217766.0,180000.0,,216227.0,10000.0,,210000.0,250269.0,119000.0,,,,,,106528.0,46667.0,,,,,,56522.0,168044.0,,160343.0,153128.0,,300000.0,,178810.0,,200000.0,233750.0,106452.0,,,,90000.0,278058.0,212195.0,,195215.0,66028.0,121250.0,66000.0,,188230.0,114667.0,,160000.0,60714.0,228853.0,,137771.0,,,136054.0,21667.0,,,268777.0,
1968,29474.0,,136823.0,115588.0,60563.0,,,141667.0,,,,170985.0,,,,103704.0,,,138921.0,,212893.0,,,71818.0,169017.0,,,149528.0,496702.0,65000.0,234127.0,,,125714.0,150951.0,172275.0,,101667.0,,47910.0,,100000.0,138200.0,,,127678.0,224563.0,191429.0,,205727.0,10000.0,,210000.0,237859.0,138889.0,,,,,,124440.0,46667.0,,,,,,56667.0,156612.0,,161197.0,144627.0,,300000.0,,189769.0,,200000.0,234625.0,107595.0,,,,90000.0,238990.0,164063.0,,205527.0,71563.0,115970.0,67000.0,,172316.0,111154.0,,170304.0,60000.0,219000.0,,140436.0,,,163265.0,23636.0,,,211793.0,
1969,29474.0,,161811.0,142935.0,61538.0,,,150000.0,,,,219195.0,,,,113333.0,,,117073.0,,213782.0,,,82071.0,155773.0,,,100000.0,526366.0,66667.0,200612.0,,,128571.0,131129.0,180346.0,,100000.0,,50000.0,,100000.0,132407.0,,,139976.0,220052.0,207143.0,,219336.0,8333.0,,183333.0,270626.0,154162.0,,,,,,127666.0,53333.0,,,,,,55892.0,174740.0,,158429.0,117125.0,,299720.0,,205175.0,,200000.0,235000.0,109375.0,,,,90000.0,231603.0,136250.0,,198827.0,71332.0,129609.0,65000.0,,171642.0,122727.0,,151880.0,60000.0,210211.0,,193060.0,,,180723.0,26000.0,,,250581.0,
1970,30000.0,,169755.0,163814.0,64000.0,,,146154.0,,,,242539.0,,,,98039.0,,,134829.0,,210000.0,,,98532.0,156533.0,,,115096.0,541421.0,66667.0,234614.0,,,133333.0,130243.0,191913.0,,133333.0,,50000.0,,100000.0,135889.0,,,156800.0,222223.0,216000.0,,186878.0,20000.0,,183333.0,278584.0,158514.0,,,,,,108970.0,46667.0,,,,,,56253.0,173812.0,,164923.0,92573.0,,299728.0,,212498.0,,187500.0,235000.0,110429.0,,,,90000.0,227737.0,131731.0,,186667.0,65707.0,124235.0,65000.0,,190079.0,108667.0,,171429.0,60000.0,212974.0,,133844.0,,,180000.0,100000.0,,,219536.0,
