,Kenya,"China, Taiwan Province of",Belarus,Croatia,Syrian Arab Republic,Brazil,Nepal,Uzbekistan,Denmark,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Republic of Korea,Kyrgyzstan,Norway,Yemen,Australia & New Zealand,Yugoslav SFR,Algeria,Slovenia,Madagascar,Latvia,Ukraine,Israel,Belgium,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,United Republic of Tanzania,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Saint Vincent and the Grenadines,Portugal,Poland,"China, mainland",Russian Federation,Italy,Luxembourg,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Serbia,Germany,Armenia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,India,Austria,Morocco,Bhutan,Sweden,USSR,Mexico,Romania,Ecuador,Jordan,Tunisia,Albania,Slovakia,France,South Africa,Australia,Lithuania,Netherlands,Belgium-Luxembourg,Republic of Moldova,Turkey
1961,-1.0,75827.0,-1.0,-1.0,10000.0,126912.0,-1.0,-1.0,-1.0,-1.0,120513.0,-1.0,76602.0,-1.0,-1.0,-1.0,158971.0,-1.0,40909.0,-1.0,12500.0,-1.0,-1.0,171429.0,-1.0,2857143.0,-1.0,-1.0,107143.0,-1.0,40121.0,-1.0,-1.0,-1.0,47368.0,-1.0,-1.0,95000.0,-1.0,-1.0,-1.0,-1.0,90909.0,-1.0,40083.0,-1.0,139753.0,-1.0,53763.0,108333.0,83333.0,-1.0,-1.0,-1.0,-1.0,126190.0,67655.0,150025.0,66667.0,-1.0,12413.0,189394.0,248214.0,166866.0,167179.0,35417.0,81000.0,-1.0,-1.0,-1.0,-1.0,-1.0,54098.0,-1.0,-1.0,-1.0,-1.0,22960.0,107064.0,-1.0,45455.0,21900.0,30000.0,-1.0,-1.0,131428.0,111984.0,152027.0,-1.0,-1.0,277000.0,-1.0,45607.0
1962,-1.0,64276.0,-1.0,-1.0,28000.0,126368.0,-1.0,-1.0,-1.0,-1.0,118750.0,-1.0,74041.0,-1.0,-1.0,-1.0,189796.0,-1.0,40000.0,-1.0,12500.0,-1.0,-1.0,176667.0,-1.0,2820513.0,-1.0,-1.0,130952.0,-1.0,36950.0,-1.0,-1.0,-1.0,22500.0,-1.0,-1.0,95000.0,-1.0,-1.0,-1.0,-1.0,95455.0,-1.0,36917.0,-1.0,149573.0,-1.0,53763.0,110204.0,83333.0,-1.0,-1.0,-1.0,-1.0,139535.0,67835.0,157733.0,66667.0,-1.0,16178.0,174648.0,327046.0,197571.0,180521.0,39583.0,180000.0,-1.0,-1.0,-1.0,-1.0,-1.0,59677.0,-1.0,-1.0,-1.0,-1.0,23984.0,107338.0,-1.0,44593.0,22200.0,29231.0,-1.0,-1.0,199844.0,106190.0,179468.0,-1.0,-1.0,264000.0,-1.0,41017.0
1963,-1.0,57644.0,-1.0,-1.0,28000.0,130766.0,-1.0,-1.0,-1.0,-1.0,114634.0,-1.0,66837.0,-1.0,-1.0,-1.0,151330.0,-1.0,40909.0,-1.0,12500.0,-1.0,-1.0,178378.0,-1.0,2833333.0,-1.0,-1.0,107143.0,-1.0,40027.0,-1.0,-1.0,-1.0,26667.0,-1.0,-1.0,95238.0,-1.0,-1.0,-1.0,-1.0,116000.0,-1.0,40000.0,-1.0,160333.0,-1.0,53763.0,109804.0,75000.0,-1.0,-1.0,-1.0,-1.0,146667.0,68354.0,163497.0,66667.0,-1.0,17386.0,175556.0,269565.0,155321.0,120462.0,42857.0,182000.0,-1.0,-1.0,-1.0,-1.0,-1.0,59701.0,-1.0,-1.0,-1.0,-1.0,30154.0,111756.0,-1.0,49641.0,15364.0,37143.0,-1.0,-1.0,123822.0,122900.0,142930.0,-1.0,-1.0,253000.0,-1.0,45663.0
1964,-1.0,65150.0,-1.0,-1.0,24000.0,123789.0,-1.0,-1.0,-1.0,-1.0,125882.0,-1.0,75819.0,-1.0,-1.0,-1.0,180998.0,-1.0,41774.0,-1.0,13000.0,-1.0,-1.0,180000.0,-1.0,2857143.0,-1.0,-1.0,103175.0,-1.0,38460.0,-1.0,-1.0,-1.0,129032.0,-1.0,-1.0,95238.0,-1.0,-1.0,-1.0,-1.0,106667.0,-1.0,38385.0,-1.0,175487.0,-1.0,53763.0,109434.0,83333.0,-1.0,-1.0,-1.0,-1.0,146809.0,67682.0,158680.0,75000.0,-1.0,14810.0,165625.0,308621.0,186814.0,183102.0,46000.0,171250.0,-1.0,-1.0,-1.0,-1.0,-1.0,59740.0,-1.0,-1.0,-1.0,-1.0,30929.0,111999.0,-1.0,38444.0,18800.0,28571.0,-1.0,-1.0,132490.0,143653.0,171981.0,-1.0,-1.0,353000.0,-1.0,43318.0
1965,-1.0,52568.0,-1.0,-1.0,20000.0,123620.0,-1.0,-1.0,-1.0,-1.0,104545.0,-1.0,77668.0,-1.0,-1.0,-1.0,164730.0,-1.0,40305.0,-1.0,13000.0,-1.0,-1.0,180000.0,-1.0,1872659.0,-1.0,-1.0,141681.0,-1.0,37920.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,85714.0,-1.0,-1.0,-1.0,-1.0,124000.0,-1.0,37852.0,-1.0,150784.0,-1.0,53763.0,109434.0,100000.0,-1.0,-1.0,-1.0,-1.0,148889.0,66767.0,171524.0,79412.0,-1.0,8760.0,139669.0,316239.0,143593.0,123435.0,45455.0,160455.0,-1.0,-1.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,30828.0,116412.0,-1.0,79813.0,23080.0,30556.0,-1.0,-1.0,106922.0,135108.0,153473.0,-1.0,-1.0,227500.0,-1.0,40050.0
1966,-1.0,51317.0,-1.0,-1.0,24000.0,120785.0,-1.0,-1.0,-1.0,-1.0,103846.0,-1.0,74331.0,-1.0,-1.0,-1.0,200989.0,-1.0,40611.0,-1.0,13000.0,-1.0,-1.0,187000.0,-1.0,2830189.0,-1.0,-1.0,97983.0,-1.0,42901.0,-1.0,-1.0,-1.0,62701.0,-1.0,-1.0,87719.0,-1.0,-1.0,-1.0,-1.0,107500.0,-1.0,42857.0,-1.0,210040.0,-1.0,53846.0,110074.0,116667.0,-1.0,-1.0,-1.0,-1.0,90698.0,67964.0,193206.0,81081.0,-1.0,9807.0,128623.0,335008.0,169731.0,184494.0,45455.0,83529.0,-1.0,-1.0,-1.0,-1.0,-1.0,60256.0,-1.0,-1.0,-1.0,-1.0,30200.0,117589.0,-1.0,112894.0,20246.0,31500.0,-1.0,-1.0,101052.0,157748.0,190988.0,-1.0,-1.0,151000.0,-1.0,39706.0
1967,-1.0,106540.0,-1.0,-1.0,24000.0,125575.0,-1.0,-1.0,-1.0,-1.0,111541.0,-1.0,69327.0,-1.0,-1.0,-1.0,178323.0,-1.0,40873.0,-1.0,25000.0,-1.0,-1.0,191364.0,-1.0,3782051.0,-1.0,-1.0,143104.0,-1.0,45216.0,-1.0,-1.0,-1.0,119280.0,-1.0,-1.0,89655.0,-1.0,-1.0,-1.0,-1.0,109333.0,-1.0,44828.0,-1.0,165038.0,-1.0,53846.0,112113.0,88235.0,-1.0,-1.0,-1.0,-1.0,40000.0,67856.0,219020.0,88095.0,-1.0,13326.0,82207.0,304976.0,187737.0,112049.0,45000.0,81429.0,-1.0,-1.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,23419.0,114795.0,-1.0,130000.0,21724.0,30500.0,-1.0,-1.0,128684.0,157316.0,168396.0,-1.0,-1.0,251000.0,-1.0,47332.0
1968,-1.0,124130.0,-1.0,-1.0,22758.0,125435.0,-1.0,-1.0,-1.0,-1.0,118895.0,-1.0,77478.0,-1.0,-1.0,-1.0,190673.0,-1.0,40121.0,-1.0,25000.0,-1.0,-1.0,250000.0,-1.0,2952087.0,-1.0,-1.0,103175.0,-1.0,46820.0,-1.0,-1.0,-1.0,150250.0,-1.0,-1.0,96552.0,-1.0,-1.0,-1.0,-1.0,122735.0,-1.0,45946.0,-1.0,172222.0,-1.0,53846.0,79565.0,94118.0,-1.0,-1.0,-1.0,-1.0,152000.0,67638.0,236368.0,90244.0,-1.0,13833.0,144551.0,313600.0,191502.0,148403.0,45000.0,52500.0,-1.0,-1.0,-1.0,-1.0,-1.0,60494.0,-1.0,-1.0,-1.0,-1.0,41933.0,113637.0,-1.0,124861.0,34875.0,30000.0,-1.0,-1.0,150960.0,154185.0,181385.0,-1.0,-1.0,501000.0,-1.0,62140.0
1969,-1.0,101797.0,-1.0,-1.0,20535.0,127102.0,-1.0,-1.0,-1.0,-1.0,98040.0,-1.0,73818.0,-1.0,-1.0,-1.0,138268.0,-1.0,40342.0,-1.0,25000.0,-1.0,-1.0,194091.0,-1.0,2731411.0,-1.0,-1.0,103175.0,-1.0,40771.0,-1.0,-1.0,-1.0,49153.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,97381.0,-1.0,40000.0,-1.0,209615.0,-1.0,53763.0,67255.0,90000.0,-1.0,-1.0,-1.0,-1.0,143452.0,67968.0,248376.0,88095.0,-1.0,7100.0,127458.0,271132.0,174190.0,170726.0,46154.0,71333.0,-1.0,-1.0,-1.0,-1.0,-1.0,60241.0,-1.0,-1.0,-1.0,-1.0,24786.0,100609.0,-1.0,37471.0,-1.0,30556.0,-1.0,-1.0,157649.0,158578.0,128285.0,-1.0,-1.0,301000.0,-1.0,52173.0
1970,-1.0,108890.0,-1.0,-1.0,24150.0,129016.0,-1.0,-1.0,-1.0,-1.0,115319.0,-1.0,77662.0,-1.0,-1.0,-1.0,234198.0,-1.0,40142.0,-1.0,22500.0,-1.0,-1.0,325455.0,-1.0,2507375.0,-1.0,-1.0,136905.0,-1.0,40784.0,-1.0,-1.0,-1.0,74183.0,-1.0,-1.0,103448.0,-1.0,-1.0,-1.0,-1.0,94070.0,-1.0,39878.0,-1.0,242186.0,-1.0,53763.0,104313.0,95000.0,-1.0,-1.0,-1.0,-1.0,152000.0,68391.0,237692.0,85714.0,-1.0,9269.0,87628.0,346645.0,184907.0,129788.0,46154.0,77647.0,-1.0,-1.0,-1.0,-1.0,-1.0,60465.0,-1.0,-1.0,-1.0,-1.0,30649.0,82469.0,-1.0,37005.0,33333.0,28750.0,-1.0,-1.0,186567.0,147333.0,225851.0,-1.0,-1.0,550556.0,-1.0,57022.0
