,Ukraine,Estonia,Bolivia (Plurinational State of),Peru,Belarus,Croatia,Serbia,India,Armenia,Syrian Arab Republic,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Pakistan,Yugoslav SFR,Belgium,Netherlands,Greece,New Zealand,Guyana,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Morocco,Republic of Moldova,Kyrgyzstan,Cyprus,Argentina,Luxembourg,Georgia,Germany,Austria,Czechoslovakia,Sweden,Switzerland,Mexico,USSR,Romania,Azerbaijan,Spain,Jordan,Bosnia and Herzegovina,China,Tunisia,Uzbekistan,South Africa,Latvia,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Italy,Hungary,Montenegro,Kazakhstan,Chile,Israel,Suriname,Australia,France,Micronesia,Lithuania,Poland,"China, mainland",Russian Federation,Turkey,Norway,Guam,Belgium-Luxembourg
1961,-1.0,-1.0,220.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,675.0,15139.0,7000.0,6934.0,-1.0,7730.0,-1.0,67800.0,-1.0,9308.0,17351.0,428.0,-1.0,39312.0,8138.0,93213.0,30000.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,609.0,2600.0,-1.0,-1.0,184246.0,36029.0,70242.0,998.0,62000.0,-1.0,45000.0,51300.0,-1.0,47400.0,-1.0,-1.0,-1.0,-1.0,-1.0,446.0,-1.0,700.0,29600.0,-1.0,7000.0,-1.0,-1.0,202500.0,45500.0,-1.0,-1.0,3000.0,-1.0,-1.0,7710.0,92500.0,10.0,-1.0,36700.0,-1.0,-1.0,48000.0,3700.0,10.0,22600.0
1962,-1.0,-1.0,230.0,-1.0,-1.0,-1.0,-1.0,3100.0,-1.0,896.0,22048.0,6000.0,9560.0,-1.0,7160.0,-1.0,61100.0,-1.0,6215.0,19174.0,400.0,-1.0,34668.0,8110.0,100516.0,31000.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,558.0,2300.0,-1.0,-1.0,184657.0,30722.0,39336.0,1362.0,55000.0,-1.0,48000.0,52500.0,-1.0,43900.0,-1.0,-1.0,-1.0,-1.0,-1.0,342.0,-1.0,500.0,31300.0,-1.0,5000.0,-1.0,-1.0,216400.0,40100.0,-1.0,-1.0,3000.0,-1.0,-1.0,7710.0,99200.0,10.0,-1.0,30900.0,-1.0,-1.0,37600.0,4100.0,10.0,30600.0
1963,-1.0,-1.0,250.0,-1.0,-1.0,-1.0,-1.0,3200.0,-1.0,628.0,13107.0,3551.0,8933.0,-1.0,6960.0,-1.0,58600.0,-1.0,6940.0,17973.0,520.0,-1.0,35496.0,7189.0,63684.0,32000.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,635.0,2350.0,-1.0,-1.0,220141.0,31126.0,49050.0,1523.0,55000.0,-1.0,61000.0,51400.0,-1.0,56800.0,-1.0,-1.0,-1.0,-1.0,-1.0,299.0,-1.0,400.0,30600.0,-1.0,5000.0,-1.0,-1.0,219500.0,34100.0,-1.0,-1.0,3000.0,-1.0,-1.0,6669.0,125900.0,11.0,-1.0,16600.0,-1.0,-1.0,40750.0,4365.0,11.0,20600.0
1964,-1.0,-1.0,270.0,-1.0,-1.0,-1.0,-1.0,3300.0,-1.0,1306.0,14123.0,4066.0,12678.0,-1.0,6010.0,-1.0,56300.0,-1.0,11198.0,21041.0,410.0,-1.0,35594.0,8475.0,108435.0,33000.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,711.0,1870.0,-1.0,-1.0,221590.0,30808.0,60921.0,1811.0,52000.0,-1.0,68000.0,48700.0,-1.0,51900.0,-1.0,-1.0,-1.0,-1.0,-1.0,500.0,-1.0,400.0,34700.0,-1.0,6500.0,-1.0,-1.0,230000.0,28800.0,-1.0,-1.0,4000.0,-1.0,-1.0,8065.0,114680.0,12.0,-1.0,39300.0,-1.0,-1.0,44000.0,4100.0,12.0,25700.0
1965,-1.0,-1.0,290.0,-1.0,-1.0,-1.0,-1.0,3400.0,-1.0,1222.0,9754.0,3195.0,5466.0,-1.0,7790.0,-1.0,41500.0,-1.0,2684.0,19178.0,400.0,-1.0,35975.0,8099.0,79487.0,34000.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,325.0,2170.0,-1.0,-1.0,140330.0,19638.0,25393.0,987.0,46000.0,-1.0,70000.0,35800.0,-1.0,49600.0,-1.0,-1.0,-1.0,-1.0,-1.0,706.0,-1.0,400.0,37800.0,-1.0,6900.0,-1.0,-1.0,196400.0,26511.0,-1.0,-1.0,3000.0,-1.0,-1.0,7699.0,117710.0,13.0,-1.0,26100.0,-1.0,-1.0,47000.0,3013.0,13.0,4800.0
1966,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,1785.0,5080.0,2289.0,9367.0,-1.0,7400.0,-1.0,51500.0,-1.0,4058.0,23464.0,419.0,-1.0,45975.0,9034.0,105142.0,35000.0,-1.0,-1.0,-1.0,60.0,-1.0,-1.0,1422.0,1760.0,-1.0,-1.0,215656.0,22706.0,63434.0,1060.0,52000.0,-1.0,53000.0,78500.0,-1.0,49400.0,-1.0,-1.0,-1.0,-1.0,-1.0,401.0,-1.0,500.0,35000.0,-1.0,4313.0,-1.0,-1.0,226400.0,30019.0,-1.0,-1.0,3538.0,-1.0,-1.0,8615.0,108250.0,-1.0,-1.0,41600.0,-1.0,-1.0,44000.0,2722.0,-1.0,7500.0
1967,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,-1.0,3600.0,-1.0,1472.0,2641.0,2760.0,12065.0,-1.0,8500.0,-1.0,47500.0,-1.0,3701.0,23537.0,400.0,-1.0,44261.0,6657.0,99929.0,36000.0,-1.0,-1.0,-1.0,80.0,-1.0,-1.0,1625.0,1800.0,-1.0,-1.0,169556.0,21418.0,41777.0,1325.0,45000.0,-1.0,66000.0,68300.0,-1.0,46700.0,-1.0,-1.0,-1.0,-1.0,-1.0,551.0,-1.0,400.0,30000.0,-1.0,10010.0,-1.0,-1.0,213100.0,28361.0,-1.0,-1.0,3810.0,-1.0,-1.0,6257.0,123250.0,-1.0,-1.0,27000.0,-1.0,-1.0,50000.0,2217.0,-1.0,7300.0
1968,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,-1.0,3700.0,-1.0,1529.0,3658.0,3573.0,7802.0,-1.0,8500.0,-1.0,49600.0,-1.0,7437.0,24649.0,430.0,-1.0,45304.0,8079.0,82453.0,37000.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,1828.0,1860.0,-1.0,-1.0,268262.0,28900.0,57414.0,1376.0,51000.0,-1.0,86000.0,59861.0,-1.0,55424.0,-1.0,-1.0,-1.0,-1.0,-1.0,326.0,-1.0,500.0,21700.0,-1.0,15099.0,-1.0,-1.0,196100.0,29350.0,-1.0,-1.0,3600.0,-1.0,-1.0,7649.0,135140.0,-1.0,-1.0,42900.0,-1.0,-1.0,54000.0,4851.0,-1.0,20600.0
1969,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,-1.0,3800.0,-1.0,1019.0,4400.0,3994.0,7552.0,-1.0,11200.0,-1.0,49945.0,-1.0,5353.0,23127.0,438.0,-1.0,48211.0,7320.0,116400.0,38000.0,-1.0,-1.0,-1.0,120.0,-1.0,-1.0,1016.0,1370.0,-1.0,-1.0,201236.0,25709.0,56517.0,1258.0,45000.0,-1.0,53000.0,71700.0,-1.0,51700.0,-1.0,-1.0,-1.0,-1.0,-1.0,764.0,-1.0,600.0,24000.0,-1.0,8702.0,-1.0,-1.0,170900.0,24993.0,-1.0,-1.0,3500.0,-1.0,-1.0,6882.0,118630.0,-1.0,-1.0,37000.0,-1.0,-1.0,54000.0,4495.0,-1.0,18800.0
1970,-1.0,-1.0,300.0,1140.0,-1.0,-1.0,-1.0,3900.0,-1.0,1889.0,14000.0,7889.0,8732.0,-1.0,13100.0,-1.0,53802.0,-1.0,8008.0,24835.0,552.0,-1.0,54948.0,7888.0,110912.0,39000.0,-1.0,-1.0,-1.0,140.0,-1.0,-1.0,2540.0,1900.0,-1.0,-1.0,255584.0,25135.0,52988.0,1900.0,47000.0,-1.0,91000.0,61133.0,-1.0,52600.0,-1.0,-1.0,-1.0,-1.0,-1.0,567.0,-1.0,700.0,21400.0,-1.0,11733.0,-1.0,-1.0,210400.0,30930.0,-1.0,-1.0,3400.0,-1.0,-1.0,7336.0,120750.0,-1.0,-1.0,29200.0,-1.0,-1.0,59000.0,4468.0,-1.0,25200.0
