,Ukraine,Burundi,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Belarus,Myanmar,Serbia,Armenia,Ethiopia,Greece,Tunisia,Zimbabwe,Republic of Korea,Spain,New Zealand,Niger,Bulgaria,Australia & New Zealand,Mongolia,Togo,Slovenia,Morocco,Senegal,Czechia,Argentina,Luxembourg,Georgia,Botswana,Austria,Chad,Czechoslovakia,Bhutan,Poland,Congo,Qatar,Mexico,Switzerland,Romania,Italy,USSR,Russian Federation,China,Ireland,Uzbekistan,Gambia,Slovakia,United Republic of Tanzania,Occupied Palestinian Territory,South Africa,Guinea-Bissau,Kazakhstan,Sierra Leone,Hungary,France,Thailand,Lithuania,Finland,"China, mainland",Oman,Mali,Eritrea,Ethiopia PDR
1961,-1.0,-1.0,3333.0,-1.0,14286.0,-1.0,1815.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,25000.0,-1.0,8000.0,25000.0,7500.0,1333.0,-1.0,10167.0,4063.0,-1.0,8421.0,-1.0,-1.0,-1.0,-1.0,5071.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25510.0,8553.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6400.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,9375.0,-1.0,-1.0,5758.0
1962,-1.0,-1.0,3333.0,-1.0,14286.0,-1.0,1930.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,25000.0,-1.0,10000.0,25000.0,6000.0,4020.0,-1.0,10286.0,3750.0,-1.0,7368.0,-1.0,-1.0,-1.0,-1.0,5143.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17359.0,8841.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6538.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,9375.0,-1.0,-1.0,5485.0
1963,-1.0,-1.0,3333.0,-1.0,14286.0,-1.0,1588.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,25000.0,-1.0,12500.0,25000.0,6000.0,4776.0,-1.0,9143.0,3667.0,-1.0,7895.0,-1.0,-1.0,-1.0,-1.0,5214.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17916.0,7846.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6538.0,15294.0,-1.0,-1.0,-1.0,-1.0,-1.0,9375.0,-1.0,-1.0,5714.0
1964,-1.0,-1.0,3333.0,-1.0,14286.0,-1.0,1545.0,-1.0,-1.0,-1.0,-1.0,5125.0,-1.0,-1.0,-1.0,25000.0,-1.0,13333.0,25000.0,5875.0,2593.0,-1.0,9677.0,3000.0,-1.0,8095.0,-1.0,-1.0,-1.0,-1.0,5286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17414.0,8765.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6667.0,15294.0,-1.0,-1.0,-1.0,-1.0,-1.0,9412.0,-1.0,-1.0,5900.0
1965,-1.0,-1.0,3333.0,-1.0,14286.0,-1.0,1868.0,-1.0,-1.0,-1.0,-1.0,7273.0,-1.0,-1.0,-1.0,25000.0,-1.0,13309.0,25000.0,4667.0,2963.0,-1.0,8250.0,3000.0,-1.0,8000.0,-1.0,-1.0,-1.0,-1.0,5172.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18726.0,7925.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6786.0,15333.0,-1.0,-1.0,-1.0,-1.0,-1.0,9412.0,-1.0,-1.0,5950.0
1966,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,1550.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,43478.0,-1.0,11429.0,43478.0,4750.0,1613.0,-1.0,7647.0,3701.0,-1.0,7000.0,-1.0,-1.0,-1.0,-1.0,5200.0,12987.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18493.0,11667.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6667.0,15333.0,-1.0,-1.0,-1.0,-1.0,-1.0,9444.0,-1.0,-1.0,6000.0
1967,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,1969.0,-1.0,-1.0,-1.0,-1.0,5143.0,-1.0,-1.0,-1.0,43478.0,-1.0,10907.0,43478.0,5000.0,2751.0,-1.0,9412.0,3813.0,-1.0,9349.0,-1.0,-1.0,-1.0,-1.0,5267.0,19428.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19050.0,13529.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6786.0,15263.0,-1.0,-1.0,-1.0,-1.0,-1.0,9737.0,-1.0,-1.0,6028.0
1968,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,2085.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,43478.0,-1.0,11384.0,43478.0,5882.0,2000.0,-1.0,18298.0,3366.0,-1.0,7316.0,-1.0,-1.0,-1.0,-1.0,5267.0,22444.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16729.0,14000.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6786.0,15263.0,-1.0,-1.0,-1.0,-1.0,-1.0,9737.0,-1.0,-1.0,6055.0
1969,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,2722.0,-1.0,-1.0,-1.0,-1.0,4750.0,-1.0,-1.0,-1.0,43478.0,-1.0,8794.0,43478.0,1765.0,3333.0,-1.0,10313.0,3635.0,-1.0,9222.0,-1.0,-1.0,-1.0,-1.0,5333.0,23740.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16433.0,13529.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6786.0,15314.0,-1.0,25000.0,-1.0,-1.0,-1.0,9737.0,-1.0,-1.0,6083.0
1970,-1.0,-1.0,3000.0,-1.0,14286.0,-1.0,2458.0,-1.0,-1.0,-1.0,-1.0,5500.0,-1.0,-1.0,-1.0,20000.0,-1.0,27662.0,20000.0,5667.0,2727.0,-1.0,7547.0,4345.0,-1.0,10191.0,-1.0,-1.0,-1.0,-1.0,5000.0,26305.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16386.0,16667.0,-1.0,14286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,6727.0,13446.0,-1.0,25000.0,-1.0,-1.0,-1.0,9500.0,-1.0,-1.0,6110.0
