,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Slovakia,Democratic Republic of the Congo,Ethiopia,Kenya,Romania,Serbia,Zambia,Botswana,Somalia,Tunisia,Albania,Brazil,Chad,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,Hungary,Argentina,Colombia,New Caledonia,India,Malta,Lesotho,Ecuador,Swaziland,Madagascar,Poland,Canada,Turkey,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Estonia,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Egypt,Nigeria,Sudan,Mali,United Arab Emirates,Montenegro,Lebanon,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Spain,"China, mainland",Cyprus,Peru,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,Austria,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Burundi,Belgium,Nepal,Luxembourg,Libya,Bangladesh,Italy,Qatar,Germany,Uganda,Sweden,Uzbekistan,China,Finland,Republic of Moldova,Armenia,Sudan (former),Morocco,Mongolia,Chile,Honduras,Uruguay,Denmark,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Afghanistan,Switzerland,Thailand,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Yemen,Oman,Serbia and Montenegro,New Zealand,Russian Federation,Portugal,Bolivia (Plurinational State of),Paraguay,Venezuela (Bolivarian Republic of),Latvia,Ukraine,Kuwait,South Africa,Mauritania,Tajikistan,Ireland,Croatia,Bulgaria,Myanmar,Occupied Palestinian Territory
1961,9920.0,,11569.0,11291.0,8222.0,,7090.0,,10907.0,13438.0,,16000.0,25000.0,,5471.0,7731.0,5330.0,11111.0,7652.0,12270.0,5060.0,,19095.0,12950.0,8881.0,25000.0,8507.0,13746.0,8648.0,9924.0,,,19929.0,7529.0,9093.0,5058.0,37116.0,11111.0,7127.0,,25000.0,,13026.0,25997.0,23950.0,22657.0,24697.0,17778.0,,15000.0,,,9956.0,5754.0,16758.0,16161.0,7970.0,,16070.0,8837.0,5578.0,5792.0,10012.0,7869.0,,,39251.0,7319.0,25802.0,10204.0,,28300.0,7794.0,,7625.0,4444.0,,12273.0,,2829.0,5738.0,19103.0,,28607.0,,32627.0,,5591.0,19436.0,,,16098.0,4528.0,3685.0,13398.0,7824.0,8523.0,41205.0,14673.0,,15000.0,4060.0,20335.0,10477.0,27455.0,,10220.0,27134.0,,9867.0,14706.0,,35372.0,,,13077.0,14000.0,,33517.0,,6515.0,5625.0,9000.0,5403.0,,,,6190.0,2222.0,,33676.0,,15416.0,3078.0,
1962,9869.0,,12709.0,12533.0,8178.0,,9900.0,,9212.0,13323.0,,16859.0,25000.0,,8000.0,10522.0,9491.0,12727.0,7895.0,12004.0,5273.0,,17888.0,15222.0,10800.0,25000.0,8896.0,13746.0,7857.0,7897.0,,,19383.0,14183.0,10818.0,3929.0,41868.0,11111.0,7127.0,,25000.0,,14433.0,24549.0,30752.0,20093.0,26064.0,17778.0,,14000.0,,,10963.0,9696.0,19462.0,16467.0,7760.0,,16809.0,11307.0,6929.0,9679.0,9926.0,7997.0,,,45475.0,8200.0,26122.0,10200.0,,20525.0,7754.0,,9766.0,7143.0,,12321.0,,2100.0,6753.0,20847.0,,33898.0,,30609.0,,6941.0,14753.0,,,16588.0,10274.0,9013.0,12614.0,8084.0,11289.0,41830.0,15895.0,,15000.0,8045.0,20675.0,10864.0,25405.0,,9735.0,38648.0,,12050.0,14400.0,,43527.0,,,12963.0,14000.0,,28285.0,,8857.0,5000.0,7000.0,5258.0,,,,5127.0,2222.0,,34548.0,,16669.0,4124.0,
1963,7228.0,,13574.0,13387.0,8303.0,,9640.0,,11197.0,13216.0,,20140.0,25000.0,,8000.0,7127.0,4945.0,15000.0,9524.0,12766.0,5697.0,,15708.0,15751.0,7965.0,25000.0,7929.0,16005.0,7857.0,7901.0,,,19890.0,17651.0,12700.0,3685.0,40814.0,11111.0,7123.0,,25000.0,,13142.0,24634.0,26624.0,16559.0,26425.0,17778.0,,13043.0,,,10909.0,7632.0,20788.0,19324.0,7259.0,,16949.0,11456.0,7780.0,9474.0,10157.0,8026.0,,,41962.0,9371.0,25099.0,10196.0,,25652.0,5744.0,,11143.0,6981.0,,12284.0,,2273.0,6069.0,18494.0,,33934.0,,30169.0,,7782.0,16625.0,,,13635.0,8727.0,8362.0,15121.0,8295.0,6683.0,36698.0,19530.0,,16182.0,8326.0,11349.0,10449.0,12258.0,,8317.0,28725.0,,13333.0,16364.0,,39051.0,,,12982.0,13636.0,,27277.0,,8002.0,5189.0,9072.0,5249.0,,,,5793.0,2111.0,,31921.0,,15920.0,5582.0,
1964,10302.0,,14059.0,13841.0,8292.0,,10280.0,,11973.0,12923.0,,14759.0,25000.0,,7667.0,9625.0,8765.0,14595.0,7018.0,11698.0,6012.0,,18557.0,18353.0,8500.0,25000.0,7299.0,14789.0,7714.0,6681.0,,,18720.0,13604.0,10538.0,9934.0,43638.0,9286.0,7100.0,,25000.0,,16530.0,22181.0,31534.0,21219.0,27551.0,18182.0,,11111.0,,,8500.0,7454.0,26922.0,17608.0,7088.0,,17344.0,9609.0,8211.0,6835.0,9588.0,3953.0,,,47064.0,9304.0,26524.0,10192.0,,27962.0,6208.0,,10840.0,6491.0,,12257.0,,1867.0,6011.0,19477.0,,34845.0,,41053.0,,8215.0,17238.0,,,15758.0,9412.0,9416.0,15489.0,8034.0,12252.0,42257.0,26896.0,,15000.0,5317.0,20722.0,22658.0,24479.0,,9510.0,36435.0,,13333.0,15854.0,,42475.0,,,12969.0,13636.0,,33195.0,,6887.0,5229.0,6481.0,5540.0,,,,8036.0,2000.0,,31304.0,,17736.0,6762.0,
1965,7992.0,,10216.0,9970.0,8631.0,,10000.0,,15132.0,19900.0,,22766.0,25000.0,,8000.0,11344.0,7636.0,17930.0,10000.0,8564.0,5399.0,,21703.0,13212.0,9167.0,25000.0,9132.0,16015.0,7163.0,8897.0,,,20639.0,15432.0,10749.0,9964.0,39701.0,11111.0,7200.0,,25000.0,,16469.0,24211.0,32655.0,19800.0,26445.0,18182.0,,11111.0,,,7199.0,8600.0,25055.0,20570.0,7761.0,,17853.0,11077.0,10217.0,14543.0,9580.0,8496.0,,,44429.0,9914.0,23969.0,10189.0,,27811.0,7181.0,,10006.0,6721.0,,12600.0,,3163.0,6467.0,22796.0,,32321.0,,37500.0,,10222.0,18746.0,,,9833.0,9518.0,8039.0,15347.0,8771.0,11342.0,44573.0,23533.0,,20000.0,6057.0,21128.0,20838.0,27043.0,,9723.0,32267.0,,15556.0,17503.0,,40653.0,,,13393.0,13636.0,,33618.0,,9750.0,8730.0,10000.0,5806.0,,,,4824.0,2222.0,,31560.0,,25486.0,6445.0,
1966,13504.0,,15270.0,15070.0,7597.0,,11000.0,,11834.0,16691.0,,19756.0,23684.0,,8125.0,12398.0,8573.0,17066.0,11000.0,12248.0,6000.0,,21711.0,11982.0,11364.0,25000.0,8268.0,15029.0,8146.0,9650.0,,,21501.0,18739.0,12040.0,4729.0,26473.0,11000.0,7300.0,,25000.0,,17840.0,25293.0,28296.0,20585.0,27030.0,18182.0,,13333.0,,,10281.0,6553.0,22542.0,25112.0,8000.0,,17688.0,11646.0,10580.0,9180.0,9253.0,8000.0,,,40447.0,9580.0,28581.0,10182.0,,23538.0,6354.0,,11256.0,6774.0,,12458.0,,2964.0,6473.0,21992.0,,32325.0,27315.0,30372.0,,10586.0,17615.0,,,12033.0,6101.0,6618.0,17262.0,8762.0,8662.0,42752.0,20091.0,,20367.0,4252.0,19651.0,13164.0,24311.0,,8666.0,32281.0,,15000.0,17500.0,,38355.0,,,13027.0,14167.0,,36138.0,,6087.0,5500.0,11000.0,5000.0,,,,4832.0,6061.0,,34877.0,,27959.0,6344.0,
1967,10858.0,,8604.0,8310.0,8110.0,,9341.0,,13414.0,19976.0,,16583.0,23684.0,,7333.0,13550.0,7574.0,22222.0,8624.0,12400.0,5688.0,,25895.0,12595.0,11765.0,30000.0,8874.0,14322.0,6812.0,9869.0,,,22404.0,13239.0,12463.0,7399.0,42594.0,13500.0,7327.0,,30000.0,,18419.0,27130.0,36365.0,20548.0,24509.0,19091.0,,13333.0,,,10176.0,8734.0,27267.0,25613.0,8000.0,,17375.0,13263.0,11270.0,16033.0,9520.0,8000.0,,,47906.0,8687.0,33049.0,10175.0,,32138.0,6370.0,,11322.0,6885.0,,12619.0,,2710.0,7926.0,23918.0,,40216.0,27346.0,44457.0,,11275.0,20111.0,,,10825.0,7399.0,8401.0,16750.0,8742.0,6475.0,46525.0,26907.0,,25467.0,6333.0,20069.0,23656.0,27193.0,,11232.0,40257.0,,15000.0,16471.0,,41832.0,,,13343.0,14167.0,,37272.0,,11112.0,6000.0,12010.0,5151.0,,,,8297.0,6053.0,,38797.0,,30580.0,4979.0,
1968,13058.0,,13896.0,13650.0,10727.0,,10000.0,,16251.0,17209.0,,13333.0,23842.0,,8000.0,14124.0,8825.0,11458.0,9202.0,6667.0,5613.0,,25244.0,9833.0,11667.0,26875.0,11028.0,10060.0,6503.0,10442.0,,,24768.0,14855.0,11498.0,4353.0,40839.0,13500.0,7389.0,,26875.0,,14284.0,31610.0,36641.0,21900.0,25349.0,18182.0,,13333.0,,,7005.0,6734.0,26317.0,21685.0,8000.0,,19116.0,13401.0,11146.0,10849.0,8300.0,8495.0,,,44234.0,10975.0,34175.0,10169.0,,34051.0,10247.0,,11579.0,7840.0,,10661.0,,2285.0,7580.0,22559.0,,42162.0,16667.0,43271.0,,11149.0,21417.0,,,9793.0,13214.0,5434.0,17420.0,8799.0,8829.0,48137.0,35798.0,,21000.0,6899.0,22185.0,17148.0,31390.0,,11562.0,38521.0,,15000.0,17371.0,,35471.0,,,12059.0,15417.0,,34926.0,,12425.0,6000.0,10133.0,4757.0,,,,7467.0,6053.0,,45563.0,,24048.0,5763.0,
1969,11516.0,,11445.0,11118.0,10744.0,,11400.0,,17282.0,15760.0,,22000.0,22367.0,,6857.0,16389.0,9762.0,15714.0,8667.0,9816.0,5867.0,,27141.0,13523.0,12546.0,29000.0,11688.0,13801.0,6271.0,9388.0,,,23969.0,18084.0,12292.0,9713.0,38306.0,9430.0,7453.0,,29000.0,,15986.0,30984.0,35809.0,23900.0,24049.0,18182.0,,13333.0,,,7630.0,8218.0,27649.0,24156.0,8000.0,,20580.0,12271.0,10855.0,12658.0,9327.0,8499.0,,,43578.0,10313.0,33172.0,10164.0,,29026.0,9100.0,,10789.0,5461.0,,11196.0,,2913.0,7964.0,22724.0,,38877.0,16667.0,34542.0,,10856.0,23656.0,,,11173.0,7499.0,3285.0,16341.0,8295.0,9921.0,43615.0,32343.0,,22167.0,6034.0,21352.0,13820.0,26454.0,,11855.0,35260.0,,17500.0,18571.0,,40383.0,,,11190.0,15417.0,,35352.0,,8281.0,6954.0,9141.0,3721.0,,,,7114.0,6316.0,,43946.0,,24725.0,4684.0,
1970,14372.0,,12414.0,12179.0,11710.0,,5300.0,,16132.0,14459.0,,10100.0,18947.0,,5767.0,15377.0,9731.0,15682.0,9202.0,9070.0,6069.0,,21370.0,13294.0,11828.0,28571.0,12086.0,14859.0,6561.0,10626.0,27895.0,,23211.0,17864.0,11701.0,2430.0,38482.0,8546.0,7549.0,,28571.0,,19806.0,29456.0,34223.0,22600.0,27561.0,17273.0,,13333.0,,,9042.0,4659.0,30202.0,20687.0,8001.0,,20865.0,10813.0,11475.0,5517.0,9203.0,9000.0,,,45457.0,11003.0,29445.0,10159.0,,30070.0,8829.0,,9500.0,5805.0,,11733.0,,1735.0,8740.0,23412.0,,37264.0,19800.0,36341.0,,11476.0,23322.0,,,9458.0,9516.0,7190.0,17654.0,8295.0,11533.0,44859.0,35326.0,,25914.0,6245.0,18293.0,11637.0,20663.0,,9563.0,35664.0,,17500.0,18571.0,,41939.0,,,9102.0,16667.0,,26482.0,,9375.0,7000.0,7333.0,3775.0,,,,7233.0,6316.0,,40234.0,,29903.0,5550.0,
