,USSR,Haiti,Bahrain,Fiji,Pakistan,Thailand,Rwanda,Guyana,Democratic People's Republic of Korea,Lebanon,Albania,Niger,"China, Hong Kong SAR",Serbia,Hungary,Philippines,Spain,India,Malta,Jamaica,Indonesia,Republic of Moldova,Jordan,Belgium-Luxembourg,Colombia,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Yemen,France,Republic of Korea,United Arab Emirates,Congo,Martinique,Dominican Republic,Syrian Arab Republic,Iran (Islamic Republic of),Peru,Ghana,"China, mainland",Madagascar,Algeria,Kazakhstan,Lithuania,Portugal,Netherlands,South Sudan,Cuba,Austria,Puerto Rico,United States of America,Romania,Dominica,Iraq,Sri Lanka,Belgium,Libya,Costa Rica,Italy,Qatar,Senegal,Mauritius,Uzbekistan,China,Sudan (former),Morocco,Antigua and Barbuda,Honduras,Kyrgyzstan,Gabon,Cyprus,"China, Taiwan Province of",Israel,Réunion,Japan,Saudi Arabia,Trinidad and Tobago,Georgia,Azerbaijan,Oman,Turkey,Cameroon,Tunisia,Sudan,Venezuela (Bolivarian Republic of),American Samoa,Brunei Darussalam,Mexico,Ukraine,Kuwait,Guadeloupe,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Occupied Palestinian Territory
1961,,80.0,,20.0,,8700.0,-1.0,-1.0,1000.0,600.0,-1.0,-1.0,70.0,,-1.0,23000.0,3500.0,150000.0,-1.0,18.0,11500.0,,3630.0,,120.0,6301.0,20.0,,4287.0,,1422.0,1063.0,,-1.0,50.0,500.0,4000.0,-1.0,-1.0,2000.0,490000.0,40.0,,,,,35.0,,,-1.0,-1.0,1856.0,-1.0,,7300.0,3000.0,,50.0,-1.0,8860.0,,-1.0,90.0,,491886.0,2000.0,150.0,1.0,-1.0,,-1.0,70.0,1816.0,512.0,-1.0,28700.0,1000.0,100.0,,,-1.0,23000.0,-1.0,,,35.0,-1.0,-1.0,383.0,,,,915.0,0.0,,750.0,-1.0
1962,,80.0,,20.0,,8800.0,-1.0,-1.0,1000.0,650.0,-1.0,-1.0,70.0,,-1.0,23000.0,3300.0,156000.0,-1.0,18.0,12000.0,,3820.0,,120.0,6721.0,20.0,,4066.0,,1370.0,1064.0,,-1.0,50.0,500.0,4300.0,-1.0,-1.0,2000.0,350000.0,50.0,,,,,35.0,,,-1.0,-1.0,1434.0,-1.0,,7400.0,1500.0,,50.0,-1.0,8915.0,,-1.0,125.0,,351904.0,2200.0,170.0,2.0,-1.0,,-1.0,70.0,1834.0,438.0,-1.0,29500.0,1000.0,110.0,,,-1.0,23700.0,-1.0,,,40.0,-1.0,-1.0,392.0,,,,915.0,0.0,,780.0,-1.0
1963,,80.0,,20.0,,11500.0,-1.0,-1.0,1000.0,1500.0,-1.0,-1.0,75.0,,-1.0,19700.0,3400.0,162000.0,-1.0,19.0,12500.0,,3770.0,,122.0,7561.0,20.0,,3998.0,,1362.0,1162.0,,-1.0,55.0,510.0,3800.0,-1.0,-1.0,2000.0,300000.0,50.0,,,,,35.0,,,-1.0,-1.0,1677.0,-1.0,,7620.0,2000.0,,50.0,-1.0,10290.0,,-1.0,125.0,,301955.0,2200.0,170.0,2.0,-1.0,,-1.0,70.0,1880.0,323.0,-1.0,30600.0,1000.0,115.0,,,-1.0,24400.0,-1.0,,,40.0,-1.0,-1.0,442.0,,,,1000.0,0.0,,780.0,-1.0
1964,,80.0,,20.0,,8960.0,-1.0,-1.0,1100.0,1600.0,-1.0,-1.0,65.0,,-1.0,18020.0,3400.0,170000.0,-1.0,20.0,13500.0,,3490.0,,122.0,7982.0,20.0,,3920.0,,1276.0,1718.0,,-1.0,55.0,530.0,3800.0,-1.0,-1.0,2000.0,270000.0,50.0,,,,,35.0,,,-1.0,-1.0,1574.0,-1.0,,8636.0,3000.0,,50.0,-1.0,10328.0,,-1.0,92.0,,271915.0,2200.0,170.0,3.0,-1.0,,-1.0,70.0,1850.0,403.0,-1.0,30300.0,1000.0,80.0,,,-1.0,25600.0,-1.0,,,60.0,-1.0,-1.0,467.0,,,,1000.0,0.0,,800.0,-1.0
1965,,90.0,,20.0,,9280.0,-1.0,-1.0,1100.0,1750.0,-1.0,-1.0,55.0,,-1.0,16520.0,3400.0,175000.0,-1.0,25.0,14000.0,,3820.0,,124.0,7982.0,20.0,,3850.0,,1300.0,4182.0,,-1.0,60.0,550.0,3862.0,-1.0,-1.0,2000.0,270000.0,50.0,,,,,35.0,,,-1.0,-1.0,1493.0,-1.0,,9404.0,1500.0,,50.0,-1.0,11019.0,,-1.0,114.0,,271898.0,2300.0,240.0,4.0,-1.0,,-1.0,94.0,1843.0,600.0,-1.0,30000.0,1000.0,50.0,,,-1.0,27200.0,-1.0,,,80.0,-1.0,-1.0,545.0,,,,1100.0,0.0,,800.0,-1.0
1966,,90.0,,20.0,,9400.0,-1.0,-1.0,1100.0,1715.0,-1.0,-1.0,90.0,,-1.0,17520.0,3400.0,180000.0,-1.0,58.0,14500.0,,3310.0,,124.0,8735.0,20.0,,3880.0,,1314.0,1832.0,5.0,-1.0,40.0,550.0,3884.0,-1.0,-1.0,1700.0,260000.0,60.0,,,,,35.0,,,-1.0,-1.0,1370.0,-1.0,,9885.0,2000.0,,50.0,-1.0,11301.0,,-1.0,125.0,,261818.0,2300.0,280.0,4.0,-1.0,,-1.0,107.0,1728.0,595.0,-1.0,29800.0,1000.0,70.0,,,-1.0,28200.0,-1.0,,,100.0,-1.0,-1.0,584.0,,,,1100.0,0.0,,810.0,-1.0
1967,,90.0,,20.0,,9500.0,-1.0,-1.0,1200.0,1526.0,-1.0,-1.0,180.0,,-1.0,17440.0,3700.0,190000.0,-1.0,34.0,15000.0,,2870.0,,126.0,8797.0,20.0,,3810.0,,1271.0,2077.0,8.0,-1.0,40.0,580.0,4120.0,-1.0,-1.0,2400.0,260000.0,60.0,,,,,35.0,,,-1.0,-1.0,1451.0,-1.0,,14167.0,1500.0,,75.0,-1.0,11633.0,,-1.0,138.0,,262054.0,2300.0,280.0,6.0,-1.0,,-1.0,110.0,1874.0,625.0,-1.0,28900.0,1000.0,120.0,,,-1.0,26000.0,-1.0,,,100.0,-1.0,-1.0,652.0,,,,1200.0,0.0,,700.0,-1.0
1968,,90.0,,20.0,,9500.0,-1.0,-1.0,1200.0,1555.0,-1.0,-1.0,90.0,,-1.0,17070.0,3655.0,195000.0,-1.0,22.0,15358.0,,1720.0,,126.0,9662.0,20.0,,3650.0,,1260.0,2264.0,5.0,-1.0,40.0,580.0,4760.0,-1.0,-1.0,2800.0,255000.0,60.0,,,,,35.0,,,-1.0,-1.0,1187.0,-1.0,,9657.0,1500.0,,60.0,-1.0,12039.0,,-1.0,133.0,,256885.0,2400.0,280.0,6.0,-1.0,,-1.0,130.0,1795.0,600.0,-1.0,27700.0,1000.0,95.0,,,-1.0,25000.0,-1.0,,,108.0,-1.0,-1.0,900.0,,,5.0,1200.0,0.0,,801.0,-1.0
1969,,90.0,,20.0,,9600.0,-1.0,-1.0,1200.0,1744.0,-1.0,-1.0,55.0,,-1.0,17450.0,3244.0,200000.0,-1.0,20.0,19000.0,,2770.0,,128.0,9700.0,20.0,,3530.0,,1282.0,2551.0,8.0,-1.0,35.0,600.0,4538.0,-1.0,-1.0,4000.0,255000.0,60.0,,,,,35.0,,,-1.0,-1.0,1367.0,-1.0,,9720.0,2000.0,,75.0,-1.0,12200.0,,-1.0,176.0,,256984.0,2400.0,280.0,12.0,-1.0,,-1.0,140.0,1929.0,795.0,-1.0,26800.0,1000.0,90.0,,,-1.0,26200.0,-1.0,,,129.0,-1.0,-1.0,1027.0,,,4.0,1250.0,0.0,,796.0,-1.0
1970,,90.0,,20.0,,9600.0,-1.0,-1.0,1300.0,1361.0,-1.0,-1.0,180.0,,-1.0,17680.0,2356.0,205000.0,-1.0,29.0,21000.0,,2206.0,,128.0,10082.0,20.0,,3400.0,,1500.0,2788.0,10.0,-1.0,55.0,620.0,4457.0,-1.0,-1.0,4000.0,175000.0,60.0,,,,,35.0,,,-1.0,-1.0,1226.0,-1.0,,9435.0,2000.0,,100.0,-1.0,12682.0,,-1.0,139.0,,177009.0,2400.0,280.0,16.0,-1.0,,-1.0,147.0,1829.0,590.0,-1.0,27700.0,1000.0,90.0,,,-1.0,26700.0,-1.0,,,133.0,-1.0,-1.0,1040.0,,,15.0,1250.0,0.0,,915.0,-1.0
1971,,90.0,,20.0,,9700.0,-1.0,-1.0,1300.0,1350.0,-1.0,-1.0,55.0,,-1.0,15780.0,2500.0,208000.0,-1.0,21.0,25000.0,,2689.0,,130.0,10082.0,20.0,,3400.0,,1250.0,2511.0,20.0,-1.0,60.0,670.0,4621.0,-1.0,-1.0,4000.0,200000.0,80.0,,,,,35.0,,,-1.0,-1.0,1132.0,-1.0,,10662.0,2000.0,,225.0,-1.0,11989.0,,-1.0,178.0,,201978.0,2520.0,280.0,20.0,-1.0,,-1.0,147.0,1923.0,880.0,-1.0,28100.0,4098.0,100.0,,,-1.0,27400.0,-1.0,,,149.0,-1.0,-1.0,684.0,,,12.0,1300.0,0.0,,903.0,-1.0
1972,,91.0,,20.0,,10000.0,-1.0,-1.0,1400.0,1284.0,-1.0,-1.0,50.0,,-1.0,19100.0,2200.0,210000.0,-1.0,22.0,33000.0,,2248.0,,130.0,9662.0,20.0,,3400.0,,1090.0,2407.0,20.0,-1.0,70.0,670.0,4932.0,-1.0,-1.0,10500.0,195000.0,80.0,,,,,35.0,,,-1.0,-1.0,1273.0,-1.0,,10250.0,2000.0,,250.0,-1.0,11651.0,,-1.0,105.0,,196932.0,2520.0,280.0,24.0,-1.0,,-1.0,161.0,1882.0,640.0,-1.0,26500.0,765.0,120.0,,,-1.0,28900.0,-1.0,,,156.0,-1.0,-1.0,1065.0,,,25.0,1300.0,0.0,,988.0,-1.0
