,"China, Taiwan Province of",Romania,Syrian Arab Republic,Israel,Australia & New Zealand,Iraq,Czechia,United Republic of Tanzania,Thailand,Ethiopia,Kenya,Libya,Italy,Ukraine,Germany,Portugal,Sweden,Albania,Uzbekistan,Occupied Palestinian Territory,Slovakia,Niger,Morocco,Switzerland,Chile,Malta,Colombia,Spain,Lebanon,New Zealand,Cyprus,Austria,Ecuador,Japan,Poland,Turkey,Jordan,Egypt,Greece,United Kingdom,France,Tunisia,Montenegro,Russian Federation,Kyrgyzstan,Bolivia (Plurinational State of),Iran (Islamic Republic of),Peru,United States of America,Brunei Darussalam,Mexico,Guatemala,Kuwait,"China, mainland",Ireland,Algeria,Kazakhstan,Lithuania,Bulgaria,Netherlands,China
1961,,,52000.0,15942.0,75000.0,43973.0,,,83333.0,,,83333.0,49545.0,,124613.0,100000.0,,,,,,,36667.0,,50000.0,16667.0,,90984.0,72727.0,75000.0,47619.0,,15882.0,66925.0,,60345.0,84974.0,59524.0,20820.0,104351.0,146167.0,29412.0,,,,24667.0,,31034.0,,,,55000.0,,,,,,,29639.0,117236.0,
1962,,,60000.0,35417.0,80000.0,52765.0,,,85000.0,,,100000.0,48423.0,,116551.0,100000.0,,,,,,,33333.0,,55000.0,16667.0,,83433.0,70833.0,80000.0,48077.0,,15556.0,42800.0,,61017.0,76471.0,142857.0,18529.0,106022.0,139768.0,29630.0,,,,24667.0,,31624.0,,,,54706.0,,,,,,,34981.0,133953.0,
1963,,,50000.0,39130.0,65000.0,53491.0,,,86667.0,,,90909.0,48833.0,,135802.0,100000.0,,,,,,,36522.0,,57500.0,16667.0,,72794.0,50000.0,65000.0,44000.0,,15556.0,25528.0,,64407.0,82266.0,83333.0,18629.0,106022.0,108703.0,30303.0,,,,24667.0,,32203.0,,,,55000.0,,,,,,,43010.0,124236.0,
1964,,,51111.0,44186.0,83333.0,33370.0,,,90000.0,,,96154.0,47600.0,,111335.0,100000.0,,,,,,,39500.0,,60000.0,16667.0,,61914.0,50000.0,83333.0,40000.0,,15263.0,44298.0,,57143.0,65060.0,83333.0,16806.0,105838.0,108219.0,30345.0,,,,25000.0,,33333.0,,,,55000.0,,,,,,,34843.0,116742.0,
1965,,,51111.0,73810.0,82305.0,38971.0,,,93333.0,,,100000.0,58302.0,,121971.0,100000.0,,,,,,,37778.0,,60000.0,16667.0,,57397.0,77143.0,82305.0,68627.0,,15000.0,43784.0,,57333.0,60000.0,47619.0,49474.0,106443.0,106309.0,30426.0,,,,25000.0,,32192.0,,,,56700.0,,,,,,,24886.0,120818.0,
1966,,,42857.0,86047.0,75000.0,55941.0,,,96667.0,,,90909.0,51188.0,,128734.0,100000.0,,,,,,,35000.0,,60000.0,27868.0,,65113.0,60117.0,75000.0,86957.0,,16000.0,47692.0,,60377.0,58280.0,101360.0,43286.0,112965.0,67739.0,30333.0,,,,25000.0,,31875.0,,,,51261.0,,,,,,,24744.0,103609.0,
1967,,,42799.0,47458.0,75000.0,47331.0,,,100000.0,,,93750.0,56683.0,,133594.0,100000.0,,,,,,,34848.0,,60000.0,23014.0,,64706.0,82921.0,75000.0,78182.0,,16522.0,40236.0,,60345.0,69005.0,71429.0,49104.0,116798.0,85889.0,30000.0,,,,25385.0,,33788.0,,,,51091.0,,,,,,,23779.0,136173.0,
1968,,,48754.0,68571.0,75000.0,54602.0,,,103333.0,,,95238.0,49581.0,,139989.0,100000.0,,,,,,,37313.0,,60000.0,31349.0,,60041.0,36495.0,75000.0,45820.0,,16081.0,47882.0,,59916.0,82645.0,95238.0,45840.0,97075.0,88235.0,30241.0,,,,25385.0,,32331.0,,,,51111.0,,,,,,,21881.0,129499.0,
1969,,,41410.0,90476.0,20000.0,44788.0,,,106667.0,,,96154.0,59158.0,,142780.0,100000.0,,,,,,,37313.0,,60000.0,22806.0,,55900.0,43677.0,20000.0,75486.0,,16552.0,48734.0,,60329.0,61957.0,47619.0,51458.0,105515.0,95974.0,30208.0,,,,25000.0,,36523.0,,,,51000.0,,,,20000.0,,,23224.0,107624.0,
1970,,,50863.0,57407.0,20000.0,47789.0,,,106667.0,,,93750.0,57636.0,,143660.0,100000.0,,,,,,,37313.0,,60000.0,25069.0,,63742.0,51241.0,20000.0,69022.0,,16667.0,40000.0,,58824.0,34831.0,47619.0,49268.0,94585.0,93778.0,30111.0,,,,24286.0,,37461.0,,,,52440.0,,,,20000.0,,,46804.0,87818.0,
