,Ukraine,Estonia,Bolivia (Plurinational State of),Peru,Georgia,Belarus,Croatia,Serbia,Tajikistan,Armenia,Brazil,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Yugoslav SFR,Republic of Korea,Austria,Netherlands,Japan,Norway,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Slovenia,Czechoslovakia,Republic of Moldova,Kyrgyzstan,Argentina,Luxembourg,Democratic People's Republic of Korea,Germany,Belgium,Turkmenistan,Morocco,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Ireland,Uzbekistan,South Africa,Latvia,Albania,Portugal,Slovakia,Czechia,Azerbaijan,Hungary,Montenegro,Kazakhstan,Chile,Australia,France,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,5000.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7341.0,23786.0,28131.0,7313.0,-1.0,8854.0,10611.0,12000.0,22296.0,25211.0,17865.0,30905.0,9841.0,4290.0,11122.0,-1.0,-1.0,-1.0,21471.0,-1.0,-1.0,7343.0,-1.0,-1.0,20012.0,-1.0,-1.0,5005.0,17123.0,24419.0,31031.0,-1.0,8971.0,11626.0,5062.0,7240.0,-1.0,-1.0,10000.0,16745.0,-1.0,1778.0,-1.0,6626.0,3995.0,-1.0,-1.0,-1.0,11077.0,-1.0,-1.0,8495.0,4290.0,13278.0,-1.0,13479.0,10000.0,-1.0,8742.0,16077.0,29861.0
1962,-1.0,-1.0,5000.0,9896.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7701.0,24968.0,29476.0,12057.0,-1.0,8956.0,9548.0,10600.0,22367.0,31758.0,19239.0,22485.0,8211.0,4136.0,12893.0,-1.0,-1.0,-1.0,20790.0,-1.0,-1.0,5692.0,-1.0,-1.0,24645.0,-1.0,-1.0,5290.0,14223.0,23820.0,39791.0,-1.0,9046.0,9773.0,3864.0,9310.0,-1.0,-1.0,8333.0,12559.0,-1.0,1296.0,-1.0,6329.0,5546.0,-1.0,-1.0,-1.0,9649.0,-1.0,-1.0,9105.0,4136.0,14648.0,-1.0,12401.0,8333.0,-1.0,10299.0,16659.0,32791.0
1963,-1.0,-1.0,5000.0,9896.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7227.0,26304.0,27599.0,12319.0,-1.0,8747.0,9936.0,9600.0,20702.0,29712.0,18202.0,22707.0,9810.0,4125.0,11524.0,-1.0,-1.0,-1.0,20630.0,-1.0,-1.0,8212.0,-1.0,-1.0,25081.0,-1.0,-1.0,4500.0,16254.0,20604.0,30366.0,-1.0,7115.0,9751.0,4013.0,9676.0,-1.0,-1.0,8667.0,13212.0,-1.0,1935.0,-1.0,5834.0,6775.0,-1.0,-1.0,-1.0,10322.0,-1.0,-1.0,11005.0,4125.0,15325.0,-1.0,16265.0,8667.0,-1.0,12987.0,14603.0,34113.0
1964,-1.0,-1.0,5000.0,9896.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8040.0,29891.0,31484.0,11136.0,-1.0,10222.0,11146.0,11800.0,23325.0,33693.0,18571.0,26280.0,11057.0,4816.0,12026.0,-1.0,-1.0,-1.0,21422.0,-1.0,-1.0,8424.0,-1.0,-1.0,27930.0,-1.0,-1.0,3667.0,15812.0,29273.0,36932.0,-1.0,7293.0,10110.0,5389.0,8526.0,-1.0,-1.0,10000.0,16471.0,-1.0,1744.0,-1.0,6747.0,5358.0,-1.0,-1.0,-1.0,10707.0,-1.0,-1.0,11478.0,4816.0,17652.0,-1.0,15941.0,10000.0,-1.0,10500.0,16762.0,35703.0
1965,-1.0,-1.0,6000.0,9455.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7876.0,29293.0,30176.0,14010.0,-1.0,9809.0,10685.0,11100.0,20159.0,25538.0,17952.0,25408.0,11153.0,4068.0,14193.0,-1.0,-1.0,-1.0,20032.0,-1.0,-1.0,7397.0,-1.0,-1.0,24281.0,-1.0,-1.0,4597.0,18442.0,28361.0,33255.0,-1.0,9145.0,12223.0,5287.0,8881.0,-1.0,-1.0,11538.0,16135.0,-1.0,849.0,-1.0,5021.0,6610.0,-1.0,-1.0,-1.0,11701.0,-1.0,-1.0,11948.0,4068.0,17538.0,-1.0,17152.0,11538.0,-1.0,10616.0,17439.0,33162.0
1966,-1.0,-1.0,5500.0,9418.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7755.0,27618.0,29610.0,14892.0,-1.0,10941.0,12482.0,16800.0,25221.0,25652.0,17857.0,22097.0,13535.0,4448.0,13671.0,-1.0,-1.0,-1.0,20006.0,-1.0,-1.0,6424.0,-1.0,-1.0,24221.0,-1.0,-1.0,3684.0,17780.0,21769.0,34519.0,-1.0,8709.0,10921.0,4495.0,8493.0,-1.0,-1.0,9286.0,19400.0,-1.0,612.0,-1.0,6709.0,5127.0,-1.0,-1.0,-1.0,11024.0,-1.0,-1.0,16057.0,4448.0,18032.0,-1.0,12766.0,9286.0,-1.0,11612.0,17935.0,26217.0
1967,-1.0,-1.0,5500.0,10198.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7714.0,27394.0,31597.0,10970.0,-1.0,11152.0,12391.0,14700.0,27201.0,32575.0,17949.0,32801.0,12182.0,2993.0,14141.0,-1.0,-1.0,-1.0,21598.0,-1.0,-1.0,6236.0,-1.0,-1.0,29914.0,-1.0,-1.0,5229.0,17886.0,32206.0,40765.0,-1.0,9411.0,11314.0,5467.0,8448.0,-1.0,-1.0,10000.0,17637.0,-1.0,970.0,-1.0,7725.0,7318.0,-1.0,-1.0,-1.0,11006.0,-1.0,-1.0,13000.0,2993.0,19669.0,-1.0,16895.0,10000.0,-1.0,12245.0,17800.0,34938.0
1968,-1.0,-1.0,5500.0,9691.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8239.0,25111.0,33980.0,12065.0,-1.0,9754.0,10455.0,15201.0,29059.0,31944.0,16667.0,33631.0,10030.0,5139.0,14476.0,-1.0,-1.0,-1.0,22829.0,-1.0,-1.0,5958.0,-1.0,-1.0,30189.0,-1.0,-1.0,7000.0,19795.0,30816.0,38867.0,-1.0,10358.0,10996.0,6295.0,9711.0,-1.0,-1.0,10000.0,18519.0,-1.0,636.0,-1.0,6729.0,8334.0,-1.0,-1.0,-1.0,12494.0,-1.0,-1.0,11413.0,5139.0,20095.0,-1.0,18494.0,10000.0,-1.0,11884.0,17983.0,33733.0
1969,-1.0,-1.0,4000.0,9151.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8431.0,30689.0,32849.0,11211.0,-1.0,10578.0,10928.0,17200.0,29896.0,33369.0,17500.0,30889.0,11723.0,3314.0,14685.0,-1.0,-1.0,-1.0,24911.0,-1.0,-1.0,7135.0,-1.0,-1.0,28352.0,-1.0,-1.0,5333.0,19567.0,25491.0,38312.0,-1.0,10664.0,11221.0,4444.0,9782.0,-1.0,-1.0,10000.0,30864.0,-1.0,737.0,-1.0,8363.0,7088.0,-1.0,-1.0,-1.0,12831.0,-1.0,-1.0,12100.0,3314.0,20079.0,-1.0,17997.0,10000.0,-1.0,11979.0,18605.0,35929.0
1970,-1.0,-1.0,4000.0,8416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8274.0,29676.0,30055.0,14271.0,-1.0,12658.0,11339.0,16199.0,26559.0,30438.0,17500.0,31788.0,12606.0,5443.0,16204.0,-1.0,-1.0,-1.0,20703.0,-1.0,-1.0,5015.0,-1.0,-1.0,26843.0,-1.0,-1.0,8870.0,15920.0,28616.0,39113.0,-1.0,11652.0,9509.0,4000.0,8263.0,-1.0,-1.0,10385.0,30769.0,-1.0,2917.0,-1.0,9215.0,6736.0,-1.0,-1.0,-1.0,10415.0,-1.0,-1.0,12931.0,5443.0,21259.0,-1.0,19939.0,10385.0,-1.0,9692.0,19400.0,33045.0
1971,-1.0,-1.0,5000.0,8696.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8379.0,28246.0,35410.0,14374.0,-1.0,13160.0,12217.0,17000.0,30880.0,34806.0,17500.0,36990.0,12576.0,5285.0,17645.0,-1.0,-1.0,-1.0,26493.0,-1.0,-1.0,5916.0,-1.0,-1.0,31232.0,-1.0,-1.0,5895.0,21094.0,36945.0,42892.0,-1.0,12105.0,13718.0,4000.0,9235.0,-1.0,-1.0,10236.0,30864.0,-1.0,2400.0,-1.0,8633.0,7494.0,-1.0,-1.0,-1.0,14197.0,-1.0,-1.0,13903.0,5285.0,22858.0,-1.0,20000.0,10236.0,-1.0,13664.0,18636.0,37185.0
1972,-1.0,-1.0,5000.0,8134.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8043.0,29815.0,36342.0,13379.0,-1.0,13898.0,11538.0,17336.0,27939.0,27815.0,19091.0,34698.0,12858.0,3192.0,16891.0,-1.0,-1.0,-1.0,27339.0,-1.0,-1.0,9243.0,-1.0,-1.0,32368.0,-1.0,-1.0,18519.0,22998.0,34192.0,41254.0,-1.0,10625.0,13942.0,4167.0,9461.0,-1.0,-1.0,10156.0,27473.0,-1.0,2121.0,-1.0,9323.0,7289.0,-1.0,-1.0,-1.0,14375.0,-1.0,-1.0,13481.0,3192.0,26083.0,-1.0,20034.0,10156.0,-1.0,12080.0,21202.0,36787.0
1973,-1.0,-1.0,5000.0,8623.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8175.0,32000.0,33621.0,14151.0,-1.0,12264.0,12292.0,16905.0,32499.0,33865.0,20000.0,35882.0,12546.0,2851.0,16219.0,-1.0,-1.0,-1.0,30799.0,-1.0,-1.0,9345.0,-1.0,-1.0,30878.0,-1.0,-1.0,18640.0,24205.0,34135.0,40519.0,-1.0,13805.0,12000.0,5000.0,9400.0,-1.0,-1.0,11250.0,19802.0,-1.0,1875.0,-1.0,8768.0,6467.0,-1.0,-1.0,-1.0,16591.0,-1.0,-1.0,13519.0,2851.0,26908.0,-1.0,23885.0,11250.0,-1.0,11311.0,21132.0,38714.0
