,Austria,Slovakia,Poland,Luxembourg,Russian Federation,Norway,Belgium-Luxembourg,Switzerland,Estonia,Belgium,Latvia,Czechoslovakia,France,Czechia,Republic of Moldova,Bosnia and Herzegovina,USSR,Germany,Turkmenistan,Croatia,Turkey,Yugoslav SFR,Sweden,Finland,Serbia and Montenegro,Greece,Serbia,Slovenia,United Kingdom,Malta,Canada,Denmark,Spain,Lithuania,Kyrgyzstan,Netherlands,Ukraine
1961,43990.0,,563000.0,,,5253.0,23514.0,20400.0,,,,45914.0,185680.0,,,,98000.0,1697670.0,,,310000.0,40100.0,544700.0,45856.0,,8466.0,,,174223.0,220.0,1251500.0,759416.0,4022.0,,,161719.0,
1962,49571.0,,512000.0,,,2000.0,23402.0,26300.0,,,,63714.0,195060.0,,,,82600.0,2228539.0,,,350000.0,33600.0,448050.0,35700.0,,7563.0,,,157062.0,330.0,1475300.0,718852.0,4515.0,,,167287.0,
1963,62855.0,,597000.0,,,2619.0,30713.0,19400.0,,,,70116.0,396300.0,,,,158500.0,1983130.0,,,385000.0,30600.0,428450.0,67200.0,,6926.0,,,120422.0,370.0,1443900.0,619401.0,3451.0,,,145179.0,
1964,65380.0,,528000.0,,,2462.0,30157.0,19400.0,,,,62701.0,392960.0,,,,150400.0,2127786.0,,,300000.0,26800.0,456300.0,40900.0,,6222.0,,,103129.0,350.0,1452300.0,659666.0,2200.0,,,125115.0,
1965,57500.0,,610000.0,,,1981.0,31638.0,11200.0,,,,83851.0,412150.0,,,,177400.0,1811317.0,,,285000.0,30800.0,410200.0,58800.0,,6067.0,,,92969.0,310.0,1649300.0,479291.0,2321.0,,,89226.0,
1966,77179.0,,501000.0,,,2111.0,33713.0,14100.0,,,,69634.0,474560.0,,,,144500.0,1783816.0,,,320000.0,29200.0,267300.0,51500.0,,5265.0,,,94981.0,430.0,1662400.0,400967.0,3180.0,,,61194.0,
1967,83018.0,,515000.0,,,2319.0,46216.0,14200.0,,,,89815.0,576260.0,,,,142000.0,1978912.0,,,300000.0,25500.0,259220.0,60400.0,,5063.0,,,119306.0,410.0,1568805.0,327837.0,2651.0,,,50195.0,
1968,89958.0,,552000.0,,,2569.0,41614.0,12800.0,,,,67647.0,562230.0,,,,156000.0,2056928.0,,,270000.0,20700.0,262190.0,50800.0,,2305.0,,,153729.0,389.0,1686950.0,279573.0,1564.0,,,28037.0,
1969,93251.0,,595000.0,,,1184.0,45621.0,9900.0,,,,67271.0,553970.0,,,,149000.0,2015110.0,,,297000.0,21670.0,177100.0,60100.0,,2296.0,,,219975.0,210.0,1792582.0,200330.0,1380.0,,,20183.0,
1970,97885.0,,773000.0,,,1433.0,38577.0,11100.0,,,,43918.0,472590.0,,,,128000.0,1569138.0,,,256000.0,18000.0,209190.0,64700.0,,1826.0,,,257671.0,190.0,2026320.0,141926.0,700.0,,,8214.0,
1971,99049.0,,857000.0,,,1529.0,46083.0,14000.0,,,,40935.0,633000.0,,,,153000.0,1761199.0,,,310000.0,17000.0,201710.0,59600.0,,1816.0,,,206715.0,95.0,2185676.0,132179.0,200.0,,,6626.0,
1972,91892.0,,1079000.0,,,1314.0,41546.0,13200.0,,,,26374.0,663180.0,,,,130000.0,1648978.0,,,280000.0,15000.0,188810.0,55500.0,,1315.0,,,221949.0,90.0,2128665.0,112000.0,1200.0,,,3884.0,
