,Kenya,Peru,Serbia and Montenegro,Serbia,Syrian Arab Republic,Viet Nam,Ethiopia,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Zimbabwe,Bangladesh,Malawi,Cyprus,Spain,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Guatemala,Madagascar,Argentina,Ukraine,Georgia,India,Morocco,Ethiopia PDR,Mexico,Romania,Ecuador,Egypt,Bosnia and Herzegovina,China,Tunisia,Yugoslav SFR,Slovakia,Lebanon,United Republic of Tanzania,Occupied Palestinian Territory,Italy,Hungary,Australia,Togo,Lithuania,Poland,Netherlands,Russian Federation,"China, mainland",Turkey
1961,-1.0,-1.0,-1.0,-1.0,-1.0,700.0,-1.0,60.0,-1.0,-1.0,278.0,-1.0,-1.0,600.0,-1.0,28.0,900.0,1500.0,0.0,6500.0,-1.0,-1.0,349.0,-1.0,-1.0,45000.0,6500.0,-1.0,100.0,-1.0,-1.0,1000.0,-1.0,3000.0,5000.0,1500.0,-1.0,40.0,-1.0,-1.0,200.0,100.0,-1.0,-1,-1.0,1100.0,6000.0,-1.0,3000.0,2000.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,700.0,-1.0,178.0,-1.0,-1.0,324.0,-1.0,-1.0,300.0,-1.0,30.0,1300.0,1500.0,0.0,7500.0,-1.0,-1.0,460.0,-1.0,-1.0,45000.0,12500.0,-1.0,120.0,-1.0,-1.0,1000.0,-1.0,3000.0,5000.0,1200.0,-1.0,50.0,-1.0,-1.0,100.0,100.0,-1.0,-1,-1.0,1100.0,7000.0,-1.0,3000.0,2200.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,700.0,-1.0,215.0,-1.0,-1.0,446.0,-1.0,-1.0,300.0,-1.0,30.0,1600.0,1600.0,0.0,6500.0,-1.0,-1.0,740.0,-1.0,-1.0,50000.0,10500.0,-1.0,120.0,-1.0,-1.0,1000.0,-1.0,3000.0,6000.0,1000.0,-1.0,50.0,-1.0,-1.0,100.0,100.0,-1.0,-1,-1.0,1100.0,6000.0,-1.0,3000.0,2800.0
1964,-1.0,-1.0,-1.0,-1.0,1800.0,850.0,-1.0,155.0,-1.0,-1.0,315.0,-1.0,-1.0,300.0,-1.0,30.0,1000.0,700.0,0.0,6500.0,-1.0,-1.0,460.0,-1.0,-1.0,50000.0,4500.0,-1.0,60.0,-1.0,-1.0,1000.0,-1.0,3000.0,6900.0,1000.0,-1.0,50.0,-1.0,-1.0,250.0,100.0,-1.0,-1,-1.0,1000.0,8000.0,-1.0,3000.0,1100.0
1965,-1.0,-1.0,-1.0,-1.0,1800.0,870.0,-1.0,115.0,-1.0,-1.0,293.0,-1.0,-1.0,300.0,-1.0,17.0,1000.0,1200.0,0.0,4000.0,-1.0,-1.0,410.0,-1.0,-1.0,50000.0,15000.0,-1.0,60.0,-1.0,-1.0,1000.0,-1.0,3500.0,7700.0,2300.0,-1.0,50.0,-1.0,-1.0,100.0,100.0,-1.0,-1,-1.0,1500.0,5000.0,-1.0,3500.0,945.0
1966,-1.0,-1.0,-1.0,-1.0,2100.0,900.0,-1.0,274.0,-1.0,-1.0,314.0,-1.0,-1.0,300.0,-1.0,15.0,1200.0,1000.0,0.0,8200.0,-1.0,-1.0,340.0,-1.0,-1.0,48000.0,10000.0,-1.0,80.0,-1.0,-1.0,1000.0,-1.0,3800.0,6150.0,1500.0,-1.0,50.0,-1.0,-1.0,200.0,100.0,-1.0,-1,-1.0,1400.0,5662.0,-1.0,3800.0,1500.0
1967,-1.0,-1.0,-1.0,-1.0,4400.0,500.0,-1.0,367.0,-1.0,-1.0,674.0,-1.0,-1.0,300.0,-1.0,30.0,1500.0,1100.0,0.0,8500.0,-1.0,-1.0,419.0,-1.0,-1.0,48000.0,11600.0,-1.0,100.0,-1.0,-1.0,1000.0,-1.0,3900.0,5650.0,1000.0,-1.0,30.0,-1.0,-1.0,0.0,100.0,-1.0,-1,-1.0,2200.0,4420.0,-1.0,3900.0,1800.0
1968,1360.0,-1.0,-1.0,-1.0,1500.0,500.0,-1.0,345.0,-1.0,-1.0,400.0,-1.0,-1.0,300.0,-1.0,25.0,2100.0,1200.0,0.0,11300.0,-1.0,-1.0,630.0,-1.0,-1.0,48000.0,27650.0,50.0,100.0,-1.0,-1.0,1000.0,-1.0,4000.0,5450.0,1000.0,-1.0,27.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,3400.0,3887.0,-1.0,4000.0,2000.0
1969,400.0,-1.0,-1.0,-1.0,2887.0,600.0,-1.0,310.0,-1.0,-1.0,410.0,-1.0,-1.0,300.0,-1.0,38.0,1900.0,1400.0,0.0,13000.0,50.0,-1.0,698.0,-1.0,-1.0,43000.0,11310.0,50.0,100.0,-1.0,-1.0,1000.0,-1.0,4500.0,7500.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,3400.0,4226.0,-1.0,4500.0,2300.0
1970,600.0,-1.0,-1.0,-1.0,1077.0,450.0,-1.0,400.0,-1.0,-1.0,500.0,-1.0,-1.0,300.0,-1.0,10.0,1600.0,1500.0,0.0,8500.0,50.0,-1.0,338.0,-1.0,-1.0,43000.0,13380.0,90.0,140.0,-1.0,-1.0,1000.0,-1.0,4600.0,5300.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1,-1.0,3400.0,3051.0,-1.0,4600.0,3000.0
