,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Croatia,Cameroon,Israel,Armenia,Syrian Arab Republic,Brazil,Yugoslav SFR,Pakistan,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,South Africa,Greece,France,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Slovenia,Kuwait,Senegal,Tajikistan,Argentina,India,Morocco,United Arab Emirates,Qatar,Mexico,Slovakia,Ecuador,Spain,Jordan,Bosnia and Herzegovina,China,Tunisia,Malta,Colombia,Libya,Albania,Lebanon,Uzbekistan,Occupied Palestinian Territory,Azerbaijan,Montenegro,Chile,Australia,Portugal,Egypt,"China, mainland",Italy,Turkey
1961,500.0,5000.0,-1.0,-1.0,-1.0,-1.0,2300.0,-1.0,28000.0,16074.0,28000.0,-1.0,-1.0,-1.0,8000.0,3000.0,300.0,2388.0,1735.0,169259.0,3330.0,694.0,57000.0,10000.0,62000.0,-1.0,-1.0,-1,-1.0,5719.0,2000.0,77000.0,-1.0,-1.0,5315.0,-1,2024.0,204000.0,21000.0,-1.0,-1.0,24000.0,500.0,-1.0,2000.0,16000.0,17000.0,-1.0,-1.0,-1.0,-1.0,-1.0,694.0,270000.0,5358.0,-1.0,319100.0,203700.0
1962,500.0,5000.0,-1.0,-1.0,-1.0,-1.0,2200.0,-1.0,55000.0,17303.0,23000.0,-1.0,-1.0,-1.0,8000.0,2500.0,351.0,2540.0,1921.0,173953.0,3700.0,646.0,65000.0,10000.0,58000.0,-1.0,-1.0,-1,-1.0,5596.0,2000.0,66000.0,-1.0,-1.0,5923.0,-1,2047.0,167000.0,21000.0,-1.0,-1.0,19000.0,500.0,-1.0,2300.0,13000.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,646.0,281000.0,4723.0,-1.0,284400.0,210040.0
1963,500.0,5000.0,-1.0,-1.0,-1.0,-1.0,1900.0,-1.0,44000.0,18182.0,24000.0,-1.0,-1.0,-1.0,8000.0,2500.0,410.0,2477.0,2045.0,172427.0,4278.0,766.0,57000.0,10000.0,59000.0,-1.0,-1.0,-1,-1.0,5700.0,2000.0,61000.0,-1.0,-1.0,6897.0,-1,2042.0,143000.0,19000.0,-1.0,-1.0,18000.0,500.0,-1.0,2000.0,10000.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,766.0,323000.0,6179.0,-1.0,285200.0,208190.0
1964,500.0,5000.0,-1.0,-1.0,-1.0,-1.0,1800.0,-1.0,53000.0,17674.0,24000.0,-1.0,-1.0,-1.0,9700.0,3000.0,480.0,2032.0,1985.0,165390.0,4600.0,664.0,61000.0,10000.0,58000.0,-1.0,-1.0,-1,-1.0,5530.0,2000.0,96000.0,-1.0,-1.0,7056.0,-1,2000.0,145000.0,21100.0,-1.0,-1.0,14000.0,500.0,-1.0,1200.0,12000.0,24000.0,-1.0,-1.0,-1.0,-1.0,-1.0,664.0,366000.0,1848.0,-1.0,274600.0,206000.0
1965,500.0,5000.0,-1.0,-1.0,-1.0,-1.0,1600.0,-1.0,68000.0,20206.0,19000.0,-1.0,-1.0,-1.0,10800.0,3000.0,562.0,1158.0,1994.0,162751.0,3730.0,551.0,56000.0,10000.0,43000.0,-1.0,-1.0,-1,-1.0,6770.0,2000.0,79000.0,-1.0,-1.0,8244.0,-1,1800.0,147000.0,19300.0,-1.0,-1.0,14000.0,508.0,-1.0,5029.0,12000.0,21650.0,-1.0,-1.0,-1.0,-1.0,-1.0,551.0,320000.0,4296.0,-1.0,246600.0,210000.0
1966,500.0,5366.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1.0,54000.0,20415.0,26000.0,-1.0,-1.0,-1.0,12000.0,4000.0,657.0,1118.0,1784.0,164950.0,3433.0,533.0,61507.0,13000.0,46069.0,-1.0,-1.0,-1,-1.0,5690.0,2000.0,65000.0,-1.0,-1.0,8900.0,-1,1900.0,145300.0,16400.0,-1.0,-1.0,18000.0,609.0,-1.0,4931.0,13000.0,11685.0,-1.0,-1.0,-1.0,-1.0,-1.0,533.0,100000.0,3000.0,-1.0,241400.0,215000.0
1967,500.0,6508.0,-1.0,-1.0,-1.0,-1.0,1450.0,-1.0,52000.0,20513.0,23300.0,-1.0,-1.0,-1.0,14600.0,4000.0,769.0,1219.0,1752.0,142509.0,3090.0,557.0,38283.0,13000.0,44195.0,-1.0,-1.0,-1,-1.0,5957.0,2000.0,65000.0,-1.0,-1.0,9022.0,-1,1800.0,149100.0,17951.0,-1.0,-1.0,16000.0,406.0,-1.0,4870.0,12000.0,13447.0,-1.0,-1.0,-1.0,-1.0,-1.0,557.0,100000.0,2000.0,-1.0,237000.0,232000.0
1968,500.0,5074.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1.0,53324.0,20580.0,20200.0,-1.0,-1.0,-1.0,14700.0,5000.0,900.0,1270.0,1785.0,164546.0,3114.0,577.0,46810.0,13000.0,44713.0,-1.0,-1.0,-1,-1.0,5416.0,2000.0,65000.0,-1.0,-1.0,9375.0,-1,1700.0,153300.0,8195.0,-1.0,-1.0,18000.0,372.0,-1.0,4740.0,13000.0,13391.0,-1.0,-1.0,-1.0,-1.0,-1.0,577.0,105900.0,10000.0,-1.0,220000.0,215000.0
1969,450.0,5787.0,-1.0,-1.0,-1.0,-1.0,1400.0,-1.0,50132.0,21991.0,20239.0,-1.0,-1.0,-1.0,14900.0,5500.0,960.0,1219.0,1720.0,153915.0,3196.0,520.0,53070.0,13000.0,21331.0,-1.0,-1.0,-1,-1.0,5600.0,2000.0,65000.0,-1.0,-1.0,8903.0,-1,1600.0,157800.0,5967.0,-1.0,-1.0,14000.0,320.0,-1.0,3275.0,13000.0,13071.0,-1.0,-1.0,-1.0,-1.0,-1.0,520.0,82900.0,11000.0,-1.0,222000.0,215000.0
1970,450.0,6584.0,-1.0,-1.0,-1.0,-1.0,1350.0,-1.0,43658.0,22099.0,22272.0,-1.0,-1.0,-1.0,14400.0,6000.0,1080.0,1829.0,1492.0,144023.0,3200.0,597.0,44996.0,13000.0,50411.0,-1.0,-1.0,-1,-1.0,5400.0,2000.0,67000.0,-1.0,-1.0,11437.0,-1,1500.0,101900.0,3076.0,-1.0,-1.0,13800.0,277.0,-1.0,2363.0,13000.0,10842.0,-1.0,-1.0,-1.0,-1.0,-1.0,597.0,137900.0,14000.0,-1.0,198000.0,214000.0
