,Burundi,"China, Taiwan Province of",Mozambique,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Bangladesh,Malawi,Yemen,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,El Salvador,Senegal,Madagascar,Tajikistan,Haiti,Guinea,Botswana,Saudi Arabia,Chad,Sri Lanka,Grenada,Uruguay,Azerbaijan,Montserrat,Sudan (former),China,Uzbekistan,Colombia,United Republic of Tanzania,Guinea-Bissau,Kazakhstan,Saint Vincent and the Grenadines,Togo,Kenya,"China, mainland",Mali,Uganda,Italy,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Gambia,Cameroon,Zambia,Cuba,Armenia,Dominican Republic,South Sudan,Namibia,Benin,Pakistan,Spain,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Thailand,Antigua and Barbuda,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Nigeria,Kyrgyzstan,Argentina,Cambodia,Paraguay,Georgia,India,Guadeloupe,Niger,Morocco,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Israel,Viet Nam,Tunisia,Côte d'Ivoire,Nicaragua,Albania,Turkmenistan,South Africa,Central African Republic,Somalia,Egypt,Ghana,Iraq,Angola,Swaziland,Turkey
1961,5459.0,925.0,73767.0,23327.0,1482.0,267.0,204184.0,804000.0,3000.0,-1.0,-1.0,1998.0,-1.0,189000.0,903.0,6096.0,7762.0,10290.0,184.0,4500.0,4046.0,36000.0,1740.0,74800.0,300.0,1500.0,-1.0,2797.0,-1.0,1950.0,-1,30000.0,1998.0,205.0,326.0,-1.0,170.0,217783.0,1600925.0,-1.0,132000.0,64378.0,-1.0,-1.0,130.0,5330.0,5995.0,1600000.0,9000.0,148000.0,8590.0,2120.0,200.0,2010.0,224500.0,6000.0,-1.0,14800.0,-1.0,9400.0,-1,4587.0,-1.0,-1.0,1900.0,648200.0,189000.0,34000.0,4500.0,13578.0,282.0,23938.0,266.0,14354.0,5423000.0,208175.0,42656.0,-1.0,102000.0,-1.0,223016.0,18333.0,16150.0,-1,1796000.0,118.0,1521.0,3200.0,4200.0,18571.0,766507.0,2756000.0,65.0,6436.0,2200.0,23400.0,2264.0,435.0,3834.0,58800.0,12266.0,-1.0,10432.0,17300.0,2400.0,658440.0,-1.0,15356.0,8672.0,4800.0,360000.0
1962,2958.0,1353.0,85039.0,32230.0,4171.0,307.0,253832.0,1030000.0,3000.0,-1.0,-1.0,2664.0,-1.0,177100.0,390.0,6096.0,11510.0,13414.0,194.0,3800.0,4100.0,54700.0,1700.0,101400.0,226.0,1500.0,-1.0,2189.0,-1.0,1575.0,-1,60500.0,159.0,191.0,613.0,-1.0,140.0,390161.0,1501353.0,-1.0,142000.0,74596.0,-1.0,-1.0,260.0,5200.0,3445.0,1500000.0,8000.0,72000.0,6490.0,2630.0,160.0,2010.0,241766.0,6000.0,-1.0,24000.0,-1.0,7200.0,-1,4880.0,-1.0,-1.0,2900.0,732600.0,202300.0,52000.0,3800.0,18888.0,305.0,25813.0,170.0,31493.0,5569000.0,168557.0,25654.0,-1.0,102000.0,-1.0,198007.0,2400.0,20330.0,-1,2180000.0,158.0,3126.0,6100.0,7500.0,11761.0,824812.0,2618000.0,8.0,6763.0,6570.0,25600.0,2198.0,342.0,5654.0,99400.0,12409.0,-1.0,14742.0,21400.0,3000.0,857400.0,-1.0,16046.0,13712.0,2688.0,409000.0
1963,2882.0,1544.0,57361.0,36747.0,5070.0,34.0,257126.0,927000.0,3000.0,-1.0,-1.0,1332.0,-1.0,199775.0,2419.0,6096.0,6353.0,17533.0,161.0,3100.0,6014.0,91700.0,1700.0,119600.0,546.0,2400.0,-1.0,1885.0,-1.0,1575.0,-1,66500.0,1147.0,274.0,1220.0,-1.0,160.0,308374.0,2401544.0,-1.0,126000.0,91480.0,-1.0,-1.0,65.0,3480.0,5995.0,2400000.0,10000.0,143299.0,8780.0,3020.0,110.0,2680.0,247216.0,6000.0,-1.0,26400.0,410.0,7106.0,-1,6174.0,-1.0,-1.0,2600.0,837000.0,169600.0,73300.0,3100.0,17563.0,318.0,30375.0,139.0,26090.0,5617000.0,224341.0,28261.0,-1.0,86000.0,-1.0,237705.0,2400.0,24510.0,-1,2312000.0,90.0,3600.0,9820.0,4600.0,7984.0,907652.0,3178000.0,-1.0,5750.0,8300.0,22100.0,2098.0,329.0,8346.0,123700.0,15405.0,-1.0,27216.0,17300.0,1710.0,857880.0,-1.0,9247.0,9150.0,3874.0,418000.0
1964,4005.0,1884.0,80316.0,35428.0,5528.0,44.0,294426.0,958000.0,3000.0,-1.0,-1.0,2158.0,-1.0,147300.0,4511.0,6096.0,8901.0,11477.0,266.0,4400.0,4935.0,108200.0,1750.0,121200.0,20.0,3102.0,-1.0,1824.0,-1.0,3958.0,-1,61900.0,424.0,87.0,1310.0,-1.0,140.0,203162.0,3327284.0,-1.0,114300.0,102156.0,-1.0,-1.0,100.0,5400.0,6401.0,3325400.0,13000.0,151448.0,7960.0,5720.0,120.0,3350.0,240100.0,6000.0,-1.0,25100.0,1098.0,1767.0,-1,3237.0,-1.0,-1.0,4500.0,755200.0,133900.0,52000.0,4400.0,21236.0,95.0,30688.0,80.0,28212.0,5658000.0,218416.0,26539.0,-1.0,94000.0,-1.0,180724.0,3600.0,22633.0,-1,2167000.0,90.0,4387.0,11000.0,5100.0,8483.0,932192.0,3224000.0,-1.0,9060.0,12000.0,24500.0,1998.0,310.0,6041.0,158800.0,15411.0,-1.0,22680.0,18600.0,2194.0,911864.0,-1.0,18280.0,9075.0,3120.0,528500.0
1965,3799.0,1511.0,55500.0,45415.0,4702.0,37.0,295950.0,855000.0,3600.0,-1.0,-1.0,2158.0,-1.0,149300.0,11204.0,6096.0,13580.0,20188.0,216.0,17400.0,3686.0,121300.0,1957.0,132300.0,180.0,3904.0,-1.0,2128.0,-1.0,3930.0,-1,54300.0,642.0,149.0,819.0,-1.0,125.0,288800.0,4197511.0,-1.0,114000.0,128705.0,-1.0,-1.0,130.0,5560.0,9140.0,4196000.0,10000.0,174368.0,7310.0,8450.0,115.0,4020.0,217716.0,6000.0,-1.0,32800.0,1322.0,1635.0,-1,3353.0,-1.0,-1.0,4900.0,834000.0,148321.0,50000.0,17400.0,24636.0,284.0,37375.0,100.0,24842.0,5522000.0,273490.0,12342.0,-1.0,92000.0,-1.0,267856.0,4000.0,25216.0,-1,2025000.0,70.0,4037.0,14700.0,6800.0,7878.0,952880.0,3454000.0,-1.0,11800.0,20200.0,35400.0,1831.0,150.0,6630.0,206600.0,16370.0,-1.0,37648.0,15400.0,2200.0,961000.0,-1.0,19635.0,13006.0,4064.0,527000.0
1966,3329.0,1175.0,78532.0,30822.0,9941.0,32.0,233928.0,1030000.0,3700.0,-1.0,-1.0,2158.0,-1.0,170300.0,17300.0,5400.0,8546.0,7740.0,203.0,35400.0,3967.0,132368.0,1361.0,86500.0,660.0,4016.0,-1.0,1824.0,-1.0,3199.0,-1,76000.0,1200.0,79.0,613.0,-1.0,55.0,288870.0,4675175.0,-1.0,125100.0,151323.0,-1.0,-1.0,130.0,5400.0,9350.0,4674000.0,11800.0,177406.0,4210.0,7050.0,140.0,6030.0,200131.0,6000.0,-1.0,31800.0,3338.0,934.0,-1,2011.0,-1.0,-1.0,5800.0,931892.0,158600.0,40700.0,35400.0,21095.0,224.0,55500.0,180.0,44781.0,3592000.0,206813.0,13000.0,-1.0,92000.0,-1.0,213300.0,3600.0,16747.0,-1,2025000.0,325.0,4378.0,20000.0,16500.0,9139.0,857686.0,3648000.0,-1.0,11200.0,19100.0,40200.0,1359.0,130.0,8000.0,182500.0,16420.0,-1.0,29928.0,25000.0,2200.0,820163.0,-1.0,18081.0,14370.0,5372.0,611190.0
1967,4815.0,1154.0,88332.0,28383.0,10538.0,26.0,202573.0,1066000.0,3600.0,-1.0,-1.0,2158.0,-1.0,186900.0,29700.0,5400.0,7915.0,9093.0,229.0,32100.0,6867.0,96316.0,1475.0,64900.0,2400.0,6130.0,-1.0,1368.0,-1.0,1682.0,-1,62700.0,1089.0,53.0,503.0,-1.0,95.0,345315.0,4709154.0,-1.0,158300.0,135994.0,-1.0,-1.0,100.0,6600.0,8540.0,4708000.0,16400.0,179000.0,3880.0,8080.0,60.0,5360.0,161200.0,6000.0,-1.0,28000.0,1120.0,2013.0,-1,610.0,-1.0,-1.0,8000.0,1040736.0,118327.0,46190.0,32100.0,22331.0,366.0,50438.0,164.0,36297.0,2912000.0,211223.0,16000.0,-1.0,105000.0,-1.0,158200.0,5272.0,15189.0,-1,2334000.0,642.0,3979.0,11000.0,20900.0,7904.0,810983.0,3642000.0,-1.0,10020.0,17300.0,48000.0,1332.0,20.0,14587.0,187000.0,14580.0,-1.0,19985.0,30900.0,2200.0,758387.0,-1.0,22303.0,19664.0,7664.0,633688.0
1968,4704.0,1388.0,84536.0,33086.0,20145.0,20.0,244000.0,1260000.0,5000.0,-1.0,-1.0,2158.0,-1.0,149100.0,37556.0,4600.0,7661.0,6651.0,163.0,57300.0,5780.0,130684.0,1639.0,58300.0,6100.0,7894.0,-1.0,608.0,-1.0,1600.0,-1,91400.0,435.0,78.0,452.0,-1.0,100.0,339090.0,4709388.0,-1.0,200800.0,98588.0,-1.0,-1.0,65.0,4600.0,9490.0,4708000.0,25700.0,137630.0,2680.0,6000.0,35.0,7360.0,177100.0,6000.0,-1.0,38800.0,2540.0,-1.0,-1,1171.0,-1.0,-1.0,15000.0,1058080.0,135800.0,47300.0,57300.0,21922.0,264.0,73188.0,106.0,20701.0,4209000.0,288000.0,30000.0,-1.0,54000.0,-1.0,138142.0,5400.0,17350.0,-1,2157000.0,573.0,4659.0,12070.0,23500.0,8444.0,966011.0,3626000.0,-1.0,8800.0,14600.0,52900.0,1332.0,70.0,20898.0,165600.0,8400.0,-1.0,24532.0,36400.0,2400.0,758133.0,64.0,25365.0,32050.0,5149.0,696451.0
1969,4633.0,1088.0,90425.0,21970.0,22836.0,20.0,237700.0,1330000.0,5400.0,-1.0,-1.0,2094.0,-1.0,221300.0,104300.0,5400.0,11922.0,11132.0,201.0,58500.0,6112.0,127993.0,1603.0,74400.0,6700.0,11454.0,-1.0,760.0,-1.0,2013.0,-1,71300.0,1336.0,62.0,344.0,-1.0,30.0,421730.0,4159088.0,-1.0,213500.0,133400.0,-1.0,-1.0,65.0,5800.0,11293.0,4158000.0,25000.0,168800.0,2730.0,2530.0,30.0,8200.0,157900.0,6000.0,-1.0,52200.0,4488.0,-1.0,-1,1998.0,-1.0,-1.0,15600.0,1071090.0,107551.0,57300.0,58500.0,25042.0,474.0,27313.0,105.0,27044.0,3690243.0,300000.0,40000.0,-1.0,112000.0,-1.0,218300.0,4600.0,25031.0,-1,2137000.0,593.0,6848.0,14000.0,27400.0,9030.0,636815.0,3482000.0,-1.0,14800.0,13200.0,61000.0,1199.0,330.0,25790.0,151300.0,10080.0,-1.0,37787.0,37100.0,2400.0,920760.0,159.0,28122.0,46836.0,3888.0,640000.0
1970,5530.0,1792.0,91174.0,23032.0,15000.0,16.0,233800.0,1231000.0,6000.0,-1.0,-1.0,2065.0,-1.0,214900.0,64300.0,2400.0,14228.0,10706.0,167.0,48300.0,7920.0,107954.0,420.0,75600.0,7300.0,12220.0,-1.0,1064.0,-1.0,886.0,-1,57700.0,978.0,46.0,444.0,-1.0,45.0,434420.0,4555792.0,-1.0,213600.0,148970.0,-1.0,-1.0,65.0,3000.0,9251.0,4554000.0,32700.0,190080.0,1614.0,500.0,20.0,10800.0,152576.0,6000.0,5.0,37000.0,3485.0,-1.0,-1,2694.0,-1.0,-1.0,23000.0,1084968.0,95600.0,50700.0,48300.0,22652.0,135.0,16750.0,125.0,24010.0,3690425.0,288000.0,46100.0,-1.0,181165.0,-1.0,271600.0,1400.0,24572.0,-1,1938000.0,594.0,6124.0,13010.0,32500.0,8890.0,547543.0,4203000.0,-1.0,4750.0,5500.0,58600.0,999.0,70.0,19157.0,112100.0,10200.0,-1.0,26416.0,32100.0,2600.0,883560.0,252.0,30601.0,60800.0,4790.0,640000.0
