,Kenya,Belarus,Croatia,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Maldives,Liberia,Greece,Zimbabwe,Malawi,Melanesia,Papua New Guinea,Mongolia,Yemen,Portugal,Australia & New Zealand,Yugoslav SFR,Mozambique,Guatemala,Algeria,Slovenia,United Arab Emirates,Senegal,Madagascar,Tajikistan,Latvia,Luxembourg,Guinea,Israel,Belgium,Turkmenistan,Switzerland,Sri Lanka,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Uzbekistan,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Guinea-Bissau,Montenegro,Kazakhstan,South Africa,Hungary,France,Togo,Micronesia,Poland,"China, mainland",Russian Federation,Mali,Ukraine,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Germany,Armenia,Dominican Republic,Benin,Denmark,Pakistan,Japan,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,Cyprus,Spain,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Czechoslovakia,Nigeria,Republic of Moldova,Czechia,Argentina,Cambodia,Kiribati,Costa Rica,Georgia,India,El Salvador,Austria,Bahrain,Morocco,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Honduras,Jordan,Viet Nam,Tunisia,Côte d'Ivoire,Gambia,Albania,Slovakia,Solomon Islands,Italy,Australia,Thailand,Ghana,Angola,Turkey,Swaziland,Guam,Belgium-Luxembourg
1961,3571.0,-1.0,-1.0,-1.0,-1.0,-1.0,8286.0,-1.0,6023.0,-1.0,-1.0,-1.0,34000.0,-1.0,-1.0,-1.0,-1.0,5557.0,5335.0,-1.0,-1.0,12880.0,34717.0,-1.0,5944.0,-1.0,4511.0,-1.0,120000.0,10000.0,1600.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,22051.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5714.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10256.0,13600.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,250.0,-1.0,26718.0,25000.0,15000.0,-1.0,-1.0,4197.0,14838.0,-1.0,639179.0,24272.0,13086.0,-1.0,4667.0,-1.0,-1.0,-1.0,-1.0,5714.0,-1.0,-1.0,4533.0,8571.0,-1.0,-1.0,-1.0,-1.0,18545.0,45697.0,-1.0,-1.0,-1.0,12500.0,11739.0,682.0,4250.0,-1.0,-1.0,-1.0,10000.0,14573.0,17925.0,36000.0,-1.0,3333.0,6935.0,-1.0,-1.0,-1.0
1962,3774.0,-1.0,-1.0,-1.0,-1.0,14590.0,10583.0,-1.0,6467.0,-1.0,-1.0,-1.0,34000.0,-1.0,-1.0,-1.0,-1.0,5227.0,5000.0,-1.0,-1.0,13451.0,27815.0,-1.0,6000.0,-1.0,4511.0,-1.0,140000.0,10000.0,1700.0,-1.0,-1.0,-1.0,-1.0,2273.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,16038.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5714.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10396.0,15200.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,250.0,-1.0,27206.0,22846.0,17622.0,-1.0,-1.0,4375.0,10327.0,-1.0,473477.0,15335.0,14664.0,-1.0,5833.0,-1.0,-1.0,-1.0,-1.0,5714.0,-1.0,-1.0,4673.0,8571.0,-1.0,-1.0,-1.0,-1.0,18545.0,43220.0,-1.0,-1.0,-1.0,12000.0,11739.0,684.0,4250.0,-1.0,-1.0,-1.0,10000.0,8305.0,15042.0,15000.0,-1.0,3333.0,8080.0,-1.0,-1.0,-1.0
1963,3774.0,-1.0,-1.0,-1.0,-1.0,14510.0,8978.0,-1.0,6247.0,-1.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,-1.0,5217.0,5000.0,-1.0,-1.0,11390.0,32072.0,-1.0,6478.0,-1.0,4511.0,-1.0,133333.0,10000.0,1800.0,-1.0,-1.0,-1.0,-1.0,3750.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,16604.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5682.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10667.0,16000.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,250.0,-1.0,27660.0,14658.0,14658.0,-1.0,-1.0,4492.0,11581.0,-1.0,606531.0,29861.0,10703.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,5682.0,-1.0,-1.0,4565.0,8611.0,-1.0,-1.0,-1.0,-1.0,18844.0,44394.0,-1.0,-1.0,-1.0,12000.0,11739.0,682.0,4250.0,-1.0,-1.0,-1.0,10000.0,11682.0,15856.0,16667.0,-1.0,3333.0,6837.0,-1.0,-1.0,-1.0
1964,3824.0,-1.0,-1.0,-1.0,-1.0,14509.0,8731.0,-1.0,7066.0,-1.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,-1.0,5426.0,5111.0,-1.0,-1.0,13568.0,28673.0,-1.0,6783.0,-1.0,4507.0,-1.0,150000.0,10667.0,1800.0,-1.0,-1.0,-1.0,-1.0,4615.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,27137.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5682.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10781.0,17200.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,250.0,-1.0,28082.0,12611.0,15034.0,-1.0,-1.0,4239.0,11388.0,-1.0,512341.0,22797.0,11766.0,-1.0,6129.0,-1.0,-1.0,-1.0,-1.0,5682.0,-1.0,-1.0,4719.0,8611.0,-1.0,-1.0,-1.0,-1.0,18361.0,45235.0,-1.0,-1.0,-1.0,12000.0,11739.0,592.0,4250.0,-1.0,-1.0,-1.0,12500.0,11880.0,15398.0,11429.0,-1.0,3333.0,9836.0,-1.0,-1.0,-1.0
1965,3676.0,-1.0,-1.0,-1.0,-1.0,14445.0,4724.0,-1.0,6712.0,-1.0,-1.0,-1.0,35000.0,-1.0,-1.0,-1.0,-1.0,5625.0,5217.0,-1.0,-1.0,8003.0,23130.0,-1.0,6476.0,-1.0,4493.0,-1.0,142857.0,12000.0,1900.0,-1.0,-1.0,-1.0,-1.0,4706.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,20051.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5682.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10372.0,17600.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,250.0,-1.0,28477.0,9668.0,15375.0,-1.0,-1.0,3872.0,11659.0,-1.0,465982.0,23741.0,11079.0,-1.0,6197.0,-1.0,-1.0,-1.0,-1.0,5682.0,-1.0,-1.0,4634.0,8649.0,-1.0,-1.0,-1.0,-1.0,19114.0,47977.0,-1.0,-1.0,-1.0,12469.0,7727.0,667.0,4250.0,-1.0,-1.0,-1.0,15000.0,11573.0,13206.0,11250.0,-1.0,3333.0,5754.0,-1.0,-1.0,-1.0
1966,3733.0,-1.0,-1.0,-1.0,-1.0,14490.0,7516.0,-1.0,6942.0,-1.0,-1.0,-1.0,36000.0,-1.0,-1.0,-1.0,-1.0,5700.0,5208.0,-1.0,-1.0,11649.0,21783.0,-1.0,6263.0,-1.0,4488.0,-1.0,143750.0,12000.0,2000.0,-1.0,-1.0,-1.0,-1.0,3522.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,18622.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5778.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10141.0,18400.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,300.0,-1.0,29870.0,11275.0,14054.0,-1.0,-1.0,4218.0,11197.0,-1.0,318400.0,22276.0,7669.0,-1.0,6216.0,-1.0,-1.0,-1.0,-1.0,5778.0,-1.0,-1.0,4621.0,8649.0,-1.0,-1.0,-1.0,-1.0,18857.0,47895.0,-1.0,-1.0,-1.0,12203.0,7381.0,700.0,4250.0,-1.0,-1.0,-1.0,17500.0,12345.0,14031.0,11111.0,-1.0,3667.0,9213.0,-1.0,-1.0,-1.0
1967,3636.0,-1.0,-1.0,-1.0,-1.0,14536.0,10101.0,-1.0,6026.0,-1.0,-1.0,-1.0,36500.0,-1.0,-1.0,-1.0,-1.0,5798.0,5200.0,-1.0,-1.0,12329.0,18102.0,-1.0,5611.0,-1.0,4510.0,-1.0,145000.0,12000.0,2000.0,-1.0,-1.0,-1.0,-1.0,5259.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,86111.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5778.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10258.0,19200.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,-1.0,364.0,-1.0,30573.0,11851.0,12632.0,-1.0,-1.0,4314.0,13133.0,-1.0,433750.0,21884.0,9254.0,-1.0,6234.0,-1.0,-1.0,-1.0,-1.0,5778.0,-1.0,-1.0,4787.0,8684.0,-1.0,-1.0,-1.0,-1.0,19193.0,43888.0,-1.0,-1.0,-1.0,12308.0,7381.0,700.0,4250.0,-1.0,-1.0,-1.0,17308.0,12505.0,10803.0,12000.0,-1.0,4000.0,6391.0,-1.0,-1.0,-1.0
1968,3770.0,-1.0,-1.0,-1.0,-1.0,14827.0,10213.0,-1.0,5721.0,-1.0,-1.0,-1.0,37000.0,-1.0,-1.0,-1.0,-1.0,5370.0,5192.0,-1.0,-1.0,10047.0,26600.0,-1.0,6197.0,-1.0,4497.0,-1.0,150000.0,12000.0,2157.0,-1.0,-1.0,-1.0,-1.0,7069.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,116792.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5778.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10292.0,16333.0,-1.0,-1.0,-1.0,17619.0,-1.0,-1.0,-1.0,436.0,-1.0,30723.0,13352.0,13769.0,-1.0,-1.0,4254.0,10901.0,-1.0,256167.0,20984.0,11197.0,-1.0,6250.0,-1.0,-1.0,-1.0,-1.0,5778.0,-1.0,-1.0,4853.0,8462.0,-1.0,-1.0,-1.0,-1.0,18511.0,43337.0,-1.0,-1.0,-1.0,40000.0,7381.0,683.0,4250.0,-1.0,-1.0,-1.0,10000.0,13947.0,19600.0,10909.0,-1.0,4000.0,9598.0,-1.0,-1.0,-1.0
1969,3868.0,-1.0,-1.0,-1.0,-1.0,14668.0,8604.0,-1.0,5285.0,-1.0,-1.0,-1.0,37500.0,-1.0,-1.0,-1.0,-1.0,5357.0,5185.0,-1.0,-1.0,10104.0,22000.0,-1.0,6168.0,-1.0,4484.0,-1.0,145833.0,11500.0,2255.0,-1.0,-1.0,-1.0,-1.0,7344.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,63780.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11957.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10135.0,16667.0,-1.0,-1.0,-1.0,17727.0,-1.0,-1.0,-1.0,482.0,-1.0,30994.0,12891.0,13168.0,-1.0,-1.0,5333.0,9102.0,-1.0,244592.0,25098.0,10108.0,-1.0,6250.0,-1.0,-1.0,-1.0,-1.0,5870.0,-1.0,-1.0,4714.0,8500.0,-1.0,-1.0,-1.0,-1.0,18322.0,44843.0,-1.0,-1.0,-1.0,15370.0,7381.0,610.0,4250.0,-1.0,-1.0,-1.0,10000.0,10563.0,16167.0,10417.0,-1.0,4000.0,9663.0,-1.0,-1.0,-1.0
1970,3353.0,-1.0,-1.0,-1.0,-1.0,12575.0,10893.0,-1.0,5819.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,5000.0,5439.0,5273.0,-1.0,-1.0,11905.0,21628.0,-1.0,6345.0,-1.0,4478.0,-1.0,150000.0,11250.0,2353.0,-1.0,-1.0,-1.0,-1.0,7188.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,57072.0,-1.0,-1.0,-1.0,2083.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11217.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10698.0,17667.0,-1.0,-1.0,-1.0,17932.0,-1.0,-1.0,-1.0,685.0,-1.0,31818.0,12385.0,12754.0,-1.0,-1.0,5195.0,9609.0,-1.0,232268.0,21743.0,9063.0,-1.0,6250.0,-1.0,-1.0,-1.0,-1.0,5870.0,-1.0,-1.0,4621.0,8293.0,-1.0,-1.0,-1.0,-1.0,18448.0,44203.0,-1.0,-1.0,-1.0,-1.0,7381.0,559.0,4017.0,-1.0,-1.0,-1.0,10000.0,12184.0,14109.0,10769.0,-1.0,4333.0,12946.0,-1.0,-1.0,-1.0
