,USSR,Finland,Eritrea,Bahrain,Fiji,Australia,Panama,Republic of Korea,Pakistan,Slovakia,Polynesia,Democratic Republic of the Congo,Belize,Ethiopia,Kenya,Nigeria,Yemen,Romania,Serbia,Lao People's Democratic Republic,Zambia,Lebanon,Papua New Guinea,Tajikistan,Tunisia,Albania,Brazil,Chad,Mozambique,Niger,Australia & New Zealand,Democratic People's Republic of Korea,Slovenia,El Salvador,Hungary,Canada,Colombia,Iceland,Central African Republic,India,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Poland,Argentina,Turkey,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Estonia,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,New Caledonia,Egypt,New Zealand,Sudan,Mali,United Arab Emirates,Congo,Republic of Moldova,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Philippines,Spain,"China, mainland",French Polynesia,Madagascar,Cyprus,Sri Lanka,Peru,Rwanda,Bosnia and Herzegovina,Cameroon,Netherlands,Guatemala,Saint Kitts and Nevis,Cuba,Austria,Lesotho,Bermuda,Bhutan,Turkmenistan,Norway,Dominica,Iraq,Libya,Swaziland,United Republic of Tanzania,Burundi,Belgium,Nepal,France,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Senegal,Germany,Uganda,Comoros,Benin,Sweden,Montserrat,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Mongolia,Chile,Honduras,Uruguay,Afghanistan,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Switzerland,Thailand,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Mauritius,Nicaragua,Oman,Viet Nam,Lithuania,Russian Federation,Portugal,Bolivia (Plurinational State of),Paraguay,Myanmar,Latvia,Guinea,Ukraine,Kuwait,South Africa,Mauritania,Guadeloupe,Ireland,Faroe Islands,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Timor-Leste,Croatia,Bulgaria,Montenegro,Occupied Palestinian Territory
1961,94965.0,137394.0,,,20000.0,123285.0,100000.0,97294.0,74533.0,,100000.0,57347.0,,,71852.0,90000.0,56983.0,95604.0,,60000.0,86603.0,80000.0,67692.0,,70000.0,72134.0,56485.0,38095.0,42636.0,,143496.0,108333.0,,57143.0,68065.0,160960.0,113670.0,185714.0,18000.0,72507.0,76908.0,59472.0,83942.0,100000.0,60000.0,160340.0,102110.0,95578.0,78947.0,261053.0,50000.0,80000.0,,59507.0,,71210.0,103961.0,153846.0,61111.0,169657.0,211033.0,,,,16000.0,,71011.0,120400.0,66386.0,84676.0,100000.0,,222021.0,46388.0,118126.0,99231.0,100000.0,65455.0,116832.0,48734.0,52875.0,50000.0,,28571.0,280396.0,49708.0,66667.0,113000.0,197806.0,150000.0,107732.0,63063.0,,229302.0,50000.0,100000.0,46667.0,32076.0,30000.0,37500.0,,56098.0,160992.0,,,98769.0,61491.0,103832.0,,90000.0,180590.0,90909.0,,,176300.0,25000.0,,99225.0,,,,157143.0,100000.0,96471.0,87638.0,45586.0,60415.0,86667.0,97805.0,,60000.0,106217.0,90000.0,191011.0,76667.0,176977.0,,206013.0,243000.0,79846.0,,85714.0,,224785.0,,77500.0,35000.0,,133333.0,,,97535.0,48000.0,32500.0,27849.0,,,,,76004.0,100000.0,79412.0,248733.0,128667.0,79349.0,,36757.0,,107466.0,,
1962,80218.0,129031.0,,,20000.0,139832.0,100000.0,85016.0,92754.0,,100000.0,52543.0,,,71852.0,95000.0,58152.0,85217.0,,52000.0,100690.0,100000.0,63333.0,,70345.0,54341.0,57792.0,42857.0,51667.0,,155779.0,108333.0,,66087.0,90127.0,182152.0,116200.0,142857.0,14000.0,67041.0,76955.0,63567.0,92777.0,100000.0,60000.0,129951.0,82576.0,108766.0,62644.0,291415.0,50000.0,80000.0,,59268.0,,71705.0,98901.0,157895.0,61111.0,146313.0,210649.0,,,,22000.0,,73282.0,108995.0,82360.0,80807.0,100000.0,,220346.0,47224.0,101604.0,92000.0,100000.0,70833.0,134361.0,22422.0,53635.0,39993.0,,28571.0,304970.0,36154.0,66667.0,114156.0,190451.0,150000.0,89802.0,63025.0,,182461.0,50000.0,100000.0,50000.0,15898.0,30000.0,35714.0,,56098.0,155289.0,,,97544.0,60217.0,94531.0,,116667.0,225080.0,91667.0,,,187800.0,25000.0,,91994.0,,,,157143.0,94837.0,53111.0,83717.0,48237.0,44115.0,76667.0,93213.0,,62000.0,100000.0,83220.0,208843.0,83333.0,170323.0,,187106.0,230000.0,83333.0,,86667.0,,227373.0,,84116.0,35800.0,,150000.0,,,87799.0,48500.0,33333.0,25250.0,,,,,64992.0,100000.0,82353.0,250074.0,138739.0,75837.0,,37037.0,,83436.0,,
1963,84530.0,159426.0,,,26667.0,147145.0,100000.0,85949.0,90692.0,,100000.0,58900.0,,,70909.0,100000.0,59259.0,81130.0,,56000.0,116764.0,107692.0,51905.0,,82857.0,76758.0,58451.0,42857.0,48706.0,,157512.0,108333.0,,66667.0,87370.0,179741.0,83091.0,126761.0,16667.0,81477.0,90659.0,95486.0,86519.0,100000.0,59091.0,157986.0,87699.0,114286.0,78981.0,267898.0,53191.0,80000.0,,75241.0,,81121.0,129640.0,153846.0,84615.0,167272.0,199119.0,,,,20000.0,,75810.0,89819.0,82763.0,87720.0,112903.0,,229710.0,60296.0,123557.0,80000.0,100000.0,76667.0,91657.0,91922.0,51727.0,25934.0,,35884.0,287836.0,36923.0,66667.0,112836.0,217780.0,150000.0,89663.0,63008.0,,235806.0,53846.0,100000.0,50400.0,20346.0,32503.0,34409.0,,57143.0,189265.0,,,99876.0,62676.0,113594.0,,120000.0,231439.0,91667.0,,,232420.0,25000.0,,79996.0,,,,171429.0,90512.0,77778.0,95399.0,50941.0,49572.0,81333.0,95033.0,,64000.0,92466.0,74832.0,211047.0,83333.0,163643.0,,208267.0,265000.0,76667.0,,86667.0,,215449.0,,132686.0,35000.0,,166667.0,,,107231.0,48691.0,40000.0,31422.0,,,,,77640.0,100000.0,80000.0,237509.0,142769.0,75491.0,,37037.0,,96235.0,,
1964,109934.0,119578.0,,,24490.0,138363.0,100000.0,121997.0,90733.0,,100000.0,59860.0,,,70370.0,105000.0,60309.0,82285.0,,56000.0,85057.0,108333.0,37143.0,,79077.0,90389.0,60564.0,43478.0,60219.0,,152038.0,108333.0,,70000.0,78610.0,190517.0,114340.0,119718.0,17333.0,62482.0,70138.0,66431.0,83405.0,100000.0,55833.0,169141.0,83457.0,117241.0,67702.0,343142.0,58824.0,80000.0,,69508.0,,93365.0,155957.0,156250.0,91667.0,163852.0,198530.0,,,,20000.0,,70164.0,99387.0,85401.0,81586.0,109375.0,,212448.0,68735.0,116488.0,87500.0,100000.0,71845.0,141036.0,59609.0,58552.0,22821.0,,39017.0,329901.0,40588.0,66667.0,110760.0,218247.0,150000.0,89802.0,62992.0,,164064.0,53846.0,100000.0,50000.0,21667.0,34889.0,34043.0,,57813.0,167369.0,,,101784.0,58458.0,107440.0,,100000.0,209811.0,92308.0,,,213757.0,25000.0,,87532.0,,,,171429.0,103297.0,85185.0,95410.0,53161.0,40520.0,86000.0,133812.0,,60000.0,70342.0,118809.0,236022.0,83333.0,177422.0,,223073.0,268000.0,66667.0,,87500.0,,225343.0,,121020.0,43333.0,,166667.0,,,104687.0,51000.0,40000.0,31272.0,,,,,83125.0,100000.0,80000.0,206837.0,123306.0,82955.0,,36965.0,,121858.0,,
1965,102968.0,172957.0,,,20833.0,145078.0,100000.0,96447.0,92849.0,,100000.0,55556.0,,,70370.0,110000.0,59804.0,70388.0,,57692.0,98063.0,120269.0,38889.0,,82429.0,57544.0,61598.0,43478.0,61818.0,,164889.0,108333.0,,76667.0,71881.0,173135.0,114630.0,176056.0,21000.0,84033.0,55540.0,92163.0,88941.0,100000.0,57500.0,154293.0,122170.0,115862.0,96341.0,300459.0,57034.0,80000.0,,64754.0,,92767.0,164494.0,150000.0,73333.0,180292.0,217846.0,,,,22000.0,,72150.0,110004.0,81558.0,69435.0,106061.0,,235879.0,63315.0,110710.0,94118.0,100000.0,70588.0,159830.0,31456.0,62450.0,30030.0,,25556.0,258898.0,42917.0,66667.0,111316.0,175672.0,150000.0,107876.0,64202.0,,234752.0,53846.0,100000.0,41095.0,21538.0,34978.0,33333.0,,66512.0,195147.0,,,99995.0,72386.0,101908.0,,106000.0,205188.0,92308.0,,,248470.0,25000.0,,94144.0,,,,178571.0,104700.0,90370.0,77219.0,56071.0,48302.0,88000.0,133842.0,,61818.0,81919.0,130762.0,215333.0,150000.0,190813.0,,230659.0,231003.0,55000.0,,87500.0,,253354.0,,92804.0,43333.0,,137500.0,,,87781.0,50000.0,40000.0,31426.0,,,,,77600.0,100000.0,60000.0,233583.0,128739.0,84028.0,,37037.0,,77830.0,,
1966,104687.0,157518.0,,,22917.0,166577.0,99655.0,113878.0,90235.0,,100000.0,54000.0,,,70909.0,115000.0,64705.0,105638.0,,68182.0,100000.0,127405.0,38889.0,,85000.0,87322.0,66669.0,44000.0,75000.0,,177772.0,108333.0,,81667.0,122657.0,191462.0,100000.0,87350.0,20000.0,85094.0,63861.0,82925.0,78261.0,100000.0,50000.0,168897.0,90025.0,116667.0,119149.0,280641.0,57034.0,80000.0,,64976.0,,96828.0,133984.0,152381.0,80000.0,144606.0,211335.0,,,,28000.0,,72564.0,91942.0,85152.0,96877.0,84063.0,,235409.0,66889.0,118083.0,90000.0,100000.0,72007.0,151886.0,86804.0,58867.0,60316.0,,24286.0,315597.0,40000.0,66667.0,115522.0,220157.0,140000.0,150588.0,64151.0,,244297.0,53846.0,100000.0,44945.0,25240.0,36848.0,30639.0,,65952.0,197618.0,,,99759.0,81351.0,111140.0,,85714.0,222060.0,86667.0,,,249333.0,25000.0,,90025.0,,,,178571.0,105380.0,69310.0,105284.0,55388.0,55702.0,90667.0,109512.0,,63636.0,66768.0,131378.0,244811.0,150000.0,173187.0,,247719.0,269000.0,77778.0,,88235.0,,243710.0,,158684.0,40000.0,,150000.0,,,91354.0,49800.0,50000.0,25250.0,,,,,108443.0,100000.0,72000.0,247610.0,159802.0,76932.0,,80000.0,,123459.0,,
1967,114589.0,136527.0,,,25000.0,162525.0,100000.0,97461.0,88211.0,,100000.0,53846.0,,,70909.0,115000.0,74506.0,96132.0,,68182.0,99048.0,117499.0,55667.0,,92824.0,72367.0,67450.0,44000.0,80138.0,,181605.0,108333.0,,82000.0,89336.0,171774.0,101266.0,130420.0,20000.0,74403.0,71211.0,119042.0,82674.0,100000.0,47222.0,175885.0,110138.0,117333.0,135294.0,353097.0,58935.0,80000.0,,57591.0,,106202.0,148325.0,154762.0,66667.0,159487.0,277231.0,,,,36667.0,,70372.0,113429.0,98014.0,85152.0,120857.0,,234712.0,66234.0,119349.0,89500.0,100000.0,73214.0,151895.0,78080.0,62956.0,65000.0,,27759.0,350287.0,40000.0,66667.0,116380.0,227819.0,140000.0,129012.0,64815.0,,200998.0,50000.0,100000.0,45316.0,26366.0,38329.0,30702.0,,69767.0,201900.0,,,98910.0,85298.0,118246.0,,66176.0,253808.0,86667.0,,,256129.0,25000.0,,89533.0,,,,178571.0,85417.0,60000.0,92938.0,55814.0,47171.0,98000.0,130625.0,,65000.0,63501.0,124759.0,211791.0,144444.0,198642.0,,237091.0,296000.0,80000.0,,86667.0,,251130.0,,163393.0,36667.0,,180000.0,,,109200.0,50501.0,75385.0,27753.0,,,,,117905.0,100000.0,68182.0,270542.0,141386.0,82235.0,,80047.0,,114162.0,,
1968,123098.0,140806.0,,,24590.0,156368.0,99873.0,102664.0,93564.0,,100000.0,53704.0,,,70909.0,120000.0,86758.0,111996.0,,68182.0,65955.0,100526.0,34000.0,,70588.0,72483.0,70855.0,46000.0,70229.0,,181478.0,108333.0,,72000.0,89150.0,194680.0,104938.0,164824.0,17500.0,84410.0,72795.0,75906.0,103923.0,100000.0,45000.0,184880.0,98431.0,121959.0,58491.0,326324.0,60837.0,80000.0,,63287.0,,111438.0,175551.0,153488.0,80000.0,167703.0,294307.0,,,,50000.0,,70000.0,113957.0,97972.0,87006.0,117778.0,,239308.0,48627.0,118969.0,89000.0,100000.0,71179.0,152775.0,97753.0,60843.0,45000.0,,22638.0,343700.0,40000.0,66667.0,163965.0,266661.0,140000.0,128904.0,64982.0,,239758.0,50000.0,100000.0,51317.0,25000.0,36625.0,30172.0,,57447.0,213276.0,,,98571.0,93601.0,124119.0,,71429.0,239100.0,87500.0,,,263897.0,33333.0,,89022.0,,,,178571.0,80000.0,81935.0,90554.0,61387.0,35049.0,100000.0,125000.0,,66667.0,68023.0,111328.0,228571.0,125000.0,215670.0,,255854.0,300000.0,80000.0,,86667.0,,246542.0,,172888.0,40000.0,,170000.0,,,100809.0,68091.0,78295.0,39398.0,,,,,143947.0,100000.0,72500.0,273960.0,154479.0,84284.0,,80204.0,,118956.0,,
1969,113307.0,133900.0,,,45700.0,176729.0,99518.0,107033.0,109606.0,,100000.0,53929.0,,,71429.0,125000.0,86758.0,67460.0,,64000.0,93333.0,96136.0,10000.0,,70115.0,55738.0,68152.0,46000.0,70255.0,,199214.0,108333.0,,70000.0,113460.0,189667.0,105629.0,75678.0,20000.0,90113.0,85377.0,102553.0,110257.0,133333.0,52000.0,165299.0,115387.0,123469.0,19797.0,342147.0,62963.0,80000.0,,67137.0,,122233.0,159231.0,164444.0,81250.0,163414.0,301090.0,,,,60000.0,,70938.0,106155.0,103539.0,95244.0,118108.0,,247460.0,60851.0,127156.0,101579.0,100000.0,69127.0,162009.0,90724.0,61135.0,75000.0,,27175.0,323716.0,39706.0,66667.0,98072.0,261215.0,140000.0,89420.0,63793.0,,262511.0,54286.0,150000.0,59790.0,23333.0,32341.0,28421.0,,57667.0,215372.0,,,96345.0,94964.0,129811.0,,90323.0,207995.0,87500.0,,,176744.0,33333.0,,101603.0,,,,173333.0,107143.0,53704.0,79053.0,64662.0,61748.0,101987.0,151724.0,,64898.0,52466.0,120964.0,237022.0,110000.0,201520.0,,206762.0,301002.0,80000.0,,86667.0,,250500.0,,125239.0,40000.0,,148333.0,,,104148.0,68048.0,78980.0,47604.0,,,,,95455.0,100000.0,70000.0,263353.0,136333.0,78360.0,,80219.0,,122006.0,,
1970,120019.0,189002.0,,,67733.0,175768.0,112727.0,113051.0,105176.0,,100000.0,54615.0,,,71475.0,120539.0,50002.0,68549.0,,68000.0,84667.0,104446.0,66667.0,,74444.0,54693.0,73940.0,48000.0,68966.0,,198731.0,105263.0,,70000.0,104176.0,194904.0,108573.0,81909.0,18182.0,78883.0,68787.0,94091.0,114738.0,133333.0,53846.0,184106.0,123156.0,123548.0,198182.0,340053.0,62963.0,80000.0,,81472.0,,129029.0,142137.0,146667.0,94118.0,169727.0,298974.0,,,,71429.0,,71875.0,111171.0,105457.0,89982.0,109211.0,,255609.0,67463.0,133553.0,107500.0,100000.0,63660.0,194618.0,96010.0,60287.0,70000.0,,25491.0,356492.0,44118.0,66667.0,69798.0,245978.0,133333.0,192787.0,64407.0,,255738.0,53333.0,153846.0,66547.0,26973.0,38197.0,30909.0,,57719.0,222184.0,,,94424.0,101253.0,128052.0,,90769.0,231893.0,88235.0,,,278743.0,10000.0,,107489.0,,,,173333.0,98214.0,71724.0,95436.0,68082.0,56350.0,95364.0,151724.0,,66294.0,62542.0,98148.0,283851.0,94000.0,227453.0,,286850.0,315000.0,80000.0,,84211.0,,276360.0,,159977.0,40000.0,,166667.0,,,107270.0,68947.0,30770.0,43685.0,,,,,134130.0,100000.0,70000.0,258409.0,166939.0,86588.0,,80247.0,,121410.0,,
