,Cuba,Puerto Rico,United States of America,South Africa,Haiti,Micronesia (Federated States of),Israel,Australia & New Zealand,Australia,Panama,Madagascar,Swaziland,French Guiana,Philippines,Samoa,Ethiopia,Kenya,Guyana,Costa Rica,Senegal,Lebanon,Portugal,Tunisia,China,Paraguay,Polynesia,Morocco,El Salvador,Chile,Honduras,Argentina,Colombia,Spain,Central African Republic,Bahamas,Saint Lucia,Jamaica,Ecuador,Réunion,Indonesia,Seychelles,Turkey,Dominica,Trinidad and Tobago,Grenada,Greece,Mauritius,France,Timor-Leste,Democratic Republic of the Congo,New Zealand,Micronesia,Zimbabwe,Congo,Barbados,Martinique,Dominican Republic,Brazil,Bolivia (Plurinational State of),Occupied Palestinian Territory,Peru,Ghana,Mexico,Cook Islands,"China, mainland",French Polynesia,Guadeloupe,Sri Lanka,Cyprus,Guam,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Rwanda,Bosnia and Herzegovina,Cameroon,Guatemala
1961,1100.0,940.0,10480.0,1000.0,-1.0,,170.0,0.0,-1.0,-1.0,,-1.0,,4000.0,30.0,,1100.0,-1.0,1600.0,,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,125.0,1600.0,3000.0,697.0,-1.0,1400.0,35.0,200.0,-1.0,-1.0,-1.0,1300.0,-1.0,5500.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,2100.0,,,-1.0,900.0,-1.0,,-1.0,8000.0,300.0,-1.0,3900.0,1000.0,8723.0,50.0,-1.0,,,,55.0,,11935.0,1250.0,-1.0,,5000.0,1200.0
1962,1100.0,900.0,10640.0,1200.0,-1.0,,260.0,0.0,-1.0,-1.0,,-1.0,,4000.0,34.0,,1100.0,-1.0,1700.0,,-1.0,-1.0,-1.0,-1.0,-1.0,84.0,125.0,1800.0,3100.0,718.0,-1.0,1450.0,35.0,200.0,-1.0,-1.0,-1.0,1599.0,-1.0,5500.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,2100.0,,,-1.0,900.0,-1.0,,-1.0,9000.0,300.0,-1.0,4100.0,1000.0,8898.0,50.0,-1.0,,,,56.0,,11962.0,1250.0,-1.0,,5000.0,1300.0
1963,1100.0,950.0,10930.0,1000.0,-1.0,,340.0,0.0,-1.0,-1.0,,-1.0,,4000.0,38.0,,1100.0,-1.0,1800.0,,-1.0,-1.0,-1.0,-1.0,-1.0,98.0,125.0,1800.0,3200.0,746.0,-1.0,1480.0,35.0,200.0,-1.0,-1.0,-1.0,1816.0,-1.0,5500.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,1800.0,,,-1.0,900.0,-1.0,,-1.0,9500.0,300.0,-1.0,4400.0,1000.0,9972.0,60.0,-1.0,,,,57.0,,11990.0,1250.0,-1.0,,5500.0,1400.0
1964,1200.0,980.0,10840.0,1000.0,-1.0,,340.0,0.0,-1.0,-1.0,,-1.0,,4000.0,42.0,,1100.0,-1.0,1900.0,,-1.0,-1.0,-1.0,-1.0,-1.0,112.0,125.0,1900.0,3300.0,774.0,-1.0,1480.0,30.0,200.0,-1.0,-1.0,-1.0,1901.0,-1.0,6300.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,1800.0,,,-1.0,800.0,-1.0,,-1.0,9500.0,300.0,-1.0,4630.0,1000.0,10055.0,70.0,-1.0,,,,58.0,,12017.0,1250.0,-1.0,,5500.0,1400.0
1965,900.0,980.0,9750.0,1000.0,-1.0,,310.0,0.0,-1.0,-1.0,,-1.0,,4000.0,47.0,,1100.0,-1.0,2000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,117.0,125.0,2000.0,3400.0,788.0,-1.0,1500.0,40.0,250.0,-1.0,-1.0,-1.0,2451.0,-1.0,6300.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,2400.0,,,-1.0,800.0,-1.0,,-1.0,10260.0,300.0,-1.0,4455.0,1000.0,12181.0,70.0,-1.0,,,,59.0,,12045.0,1250.0,-1.0,,6000.0,1500.0
1966,450.0,980.0,9670.0,1000.0,-1.0,,500.0,0.0,-1.0,-1.0,,-1.0,,4000.0,52.0,,1100.0,-1.0,2000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,122.0,125.0,2100.0,2600.0,816.0,-1.0,1530.0,52.0,250.0,-1.0,-1.0,-1.0,2280.0,-1.0,7000.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,2400.0,,,-1.0,800.0,-1.0,,-1.0,11760.0,340.0,-1.0,5420.0,1000.0,13660.0,70.0,-1.0,,,,61.0,,12073.0,1500.0,-1.0,,6000.0,1600.0
1967,800.0,980.0,9750.0,1300.0,-1.0,,600.0,0.0,-1.0,-1.0,,-1.0,,4000.0,55.0,,1100.0,-1.0,2200.0,,-1.0,-1.0,-1.0,-1.0,-1.0,125.0,125.0,2200.0,2800.0,847.0,-1.0,1530.0,62.0,250.0,-1.0,-1.0,-1.0,3037.0,-1.0,7000.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,2400.0,,,-1.0,900.0,-1.0,,-1.0,12562.0,340.0,-1.0,5334.0,1000.0,15034.0,70.0,-1.0,,,,63.0,,12101.0,1500.0,-1.0,,6000.0,1600.0
1968,495.0,1000.0,10000.0,1500.0,-1.0,,700.0,0.0,-1.0,-1.0,,-1.0,,4000.0,57.0,,1100.0,-1.0,2300.0,,-1.0,-1.0,-1.0,-1.0,-1.0,127.0,125.0,2400.0,3300.0,879.0,-1.0,1550.0,42.0,250.0,-1.0,-1.0,-1.0,3013.0,-1.0,7000.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,2500.0,,,-1.0,900.0,-1.0,,-1.0,13584.0,340.0,-1.0,6454.0,1000.0,16031.0,70.0,-1.0,,,,65.0,,12130.0,1500.0,-1.0,,6500.0,1600.0
1969,500.0,578.0,9510.0,2000.0,-1.0,,900.0,0.0,-1.0,-1.0,50.0,-1.0,,4000.0,60.0,,1100.0,-1.0,2400.0,,-1.0,-1.0,-1.0,-1.0,-1.0,130.0,125.0,2400.0,3500.0,900.0,-1.0,1550.0,63.0,250.0,-1.0,-1.0,-1.0,2802.0,-1.0,6500.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,2600.0,,,-1.0,900.0,-1.0,,-1.0,14708.0,350.0,-1.0,8980.0,1000.0,17104.0,70.0,-1.0,,,,66.0,,12158.0,1500.0,-1.0,,7000.0,1700.0
1970,500.0,1050.0,9630.0,1800.0,-1.0,,1050.0,0.0,-1.0,-1.0,100.0,-1.0,150.0,5000.0,64.0,,1100.0,-1.0,2500.0,,-1.0,-1.0,-1.0,-1.0,-1.0,144.0,125.0,2400.0,3500.0,938.0,-1.0,1560.0,40.0,250.0,-1.0,-1.0,-1.0,2905.0,-1.0,6000.0,-1.0,,-1.0,-1.0,-1.0,,,,-1.0,2600.0,,,-1.0,900.0,-1.0,,-1.0,15784.0,350.0,-1.0,10190.0,1000.0,19111.0,80.0,-1.0,,,,67.0,,12186.0,1500.0,-1.0,,7500.0,1800.0
