,Ukraine,Germany,Sweden,China,Czechoslovakia,Bhutan,Serbia,USSR,Mexico,Romania,Italy,Sri Lanka,Nepal,Ethiopia,Denmark,Canada,Australia,Czechia,Hungary,Kazakhstan,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),France,Lithuania,"China, mainland",Russian Federation,Kyrgyzstan,Slovakia,Myanmar,Turkey
1961,-1.0,6544.0,15905.0,-1.0,5678.0,6111.0,-1.0,3500.0,-1.0,5000.0,11923.0,5155.0,5917.0,-1.0,14167.0,3479.0,4067.0,-1.0,-1.0,-1.0,12000.0,4067.0,9496.0,-1.0,8554.0,-1.0,-1.0,-1.0,-1.0,-1.0,2865.0,-1.0
1962,-1.0,8911.0,15011.0,-1.0,6292.0,6053.0,-1.0,2948.0,-1.0,3019.0,11538.0,7283.0,5890.0,-1.0,10667.0,6239.0,7358.0,-1.0,-1.0,-1.0,12000.0,7358.0,9493.0,-1.0,7971.0,-1.0,-1.0,-1.0,-1.0,-1.0,2983.0,-1.0
1963,-1.0,6382.0,12880.0,-1.0,4850.0,6053.0,-1.0,2963.0,-1.0,2982.0,10800.0,6222.0,5890.0,-1.0,9580.0,9563.0,5834.0,-1.0,-1.0,-1.0,10000.0,5834.0,9432.0,-1.0,9666.0,-1.0,-1.0,-1.0,-1.0,-1.0,2965.0,-1.0
1964,-1.0,6536.0,18082.0,-1.0,3966.0,6154.0,-1.0,3091.0,-1.0,2344.0,12500.0,6241.0,6578.0,-1.0,12129.0,7330.0,4370.0,-1.0,-1.0,-1.0,11333.0,4370.0,9409.0,-1.0,7767.0,-1.0,-1.0,-1.0,-1.0,-1.0,2906.0,-1.0
1965,-1.0,8690.0,14138.0,-1.0,5503.0,6154.0,-1.0,1920.0,-1.0,4444.0,11765.0,6209.0,4729.0,-1.0,12587.0,8816.0,7654.0,-1.0,-1.0,-1.0,11538.0,7654.0,9570.0,-1.0,8495.0,-1.0,-1.0,-1.0,-1.0,-1.0,2805.0,-1.0
1966,-1.0,7785.0,13081.0,-1.0,6536.0,6250.0,-1.0,3065.0,-1.0,6667.0,9375.0,7578.0,5313.0,-1.0,10243.0,9242.0,5086.0,-1.0,-1.0,-1.0,9286.0,5086.0,9528.0,-1.0,9375.0,-1.0,-1.0,-1.0,-1.0,-1.0,3438.0,-1.0
1967,-1.0,10071.0,15081.0,-1.0,7733.0,6190.0,-1.0,4043.0,-1.0,4118.0,9091.0,6122.0,5714.0,-1.0,12465.0,7602.0,5926.0,-1.0,-1.0,-1.0,1538.0,5926.0,9465.0,-1.0,8381.0,-1.0,-1.0,-1.0,-1.0,-1.0,3830.0,-1.0
1968,-1.0,9979.0,16937.0,-1.0,7099.0,6190.0,-1.0,3419.0,-1.0,3889.0,9091.0,8719.0,5361.0,-1.0,13595.0,9862.0,4049.0,-1.0,-1.0,-1.0,5000.0,4049.0,9536.0,-1.0,9418.0,-1.0,-1.0,-1.0,-1.0,-1.0,3999.0,-1.0
1969,-1.0,9613.0,11575.0,-1.0,7927.0,6136.0,-1.0,1250.0,-1.0,3000.0,11250.0,8104.0,5347.0,-1.0,12426.0,10831.0,8765.0,-1.0,-1.0,-1.0,6000.0,8765.0,9450.0,-1.0,9088.0,-1.0,-1.0,-1.0,-1.0,-1.0,4028.0,-1.0
1970,-1.0,8977.0,14835.0,-1.0,8577.0,6136.0,-1.0,3937.0,-1.0,2553.0,11429.0,6984.0,5534.0,-1.0,11994.0,10530.0,7086.0,-1.0,-1.0,-1.0,5556.0,7086.0,10000.0,-1.0,10379.0,-1.0,-1.0,-1.0,-1.0,-1.0,5022.0,-1.0
