,Kenya,Bolivia (Plurinational State of),Peru,Guyana,Cameroon,Zambia,Malaysia,Tajikistan,Melanesia,Philippines,Brazil,Benin,Ethiopia,Indonesia,Zimbabwe,Malawi,Uzbekistan,Rwanda,Guatemala,Slovenia,Madagascar,Kyrgyzstan,Saint Lucia,Cambodia,Uganda,Costa Rica,Georgia,India,Dominica,Fiji,Niger,Ethiopia PDR,Mexico,Ecuador,Honduras,Brunei Darussalam,Sri Lanka,China,Côte d'Ivoire,United Republic of Tanzania,Viet Nam,Polynesia,Samoa,Thailand,Ghana,"China, mainland",Mali,"China, Macao SAR"
1961,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,15000.0,-1.0,50.0,-1.0,4688.0,100.0,-1.0,13600.0,-1.0,-1.0,-1.0,-1.0,100.0,-1,2000.0,-1.0,-1.0,1300.0,500.0,-1.0,-1.0,28000.0,-1.0,50.0,-1.0,250.0,150.0,-1.0,50.0,6.0,2700.0,1100.0,50.0,-1.0,450.0,4.0,4.0,1200.0,-1.0,1000.0,-1.0,100.0
1962,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,16000.0,-1.0,50.0,-1.0,3753.0,100.0,-1.0,55400.0,-1.0,-1.0,-1.0,-1.0,100.0,-1,1700.0,-1.0,-1.0,1400.0,500.0,-1.0,-1.0,26000.0,-1.0,50.0,-1.0,350.0,200.0,-1.0,50.0,6.0,2700.0,1270.0,50.0,-1.0,450.0,4.0,4.0,1300.0,-1.0,1200.0,-1.0,70.0
1963,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,17000.0,-1.0,50.0,-1.0,6454.0,100.0,-1.0,57900.0,-1.0,-1.0,-1.0,-1.0,150.0,-1,2100.0,-1.0,-1.0,1450.0,500.0,-1.0,-1.0,24000.0,-1.0,50.0,-1.0,500.0,300.0,-1.0,50.0,8.0,2700.0,1270.0,60.0,-1.0,450.0,4.0,4.0,1350.0,-1.0,1200.0,-1.0,70.0
1964,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,15000.0,-1.0,50.0,-1.0,6461.0,100.0,-1.0,46400.0,-1.0,-1.0,-1.0,-1.0,150.0,-1,2070.0,-1.0,-1.0,1500.0,500.0,-1.0,-1.0,24000.0,-1.0,50.0,-1.0,800.0,400.0,-1.0,50.0,8.0,2800.0,1050.0,80.0,-1.0,450.0,4.0,4.0,1400.0,-1.0,1000.0,-1.0,50.0
1965,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,20000.0,-1.0,50.0,-1.0,8923.0,100.0,-1.0,11000.0,-1.0,-1.0,-1.0,-1.0,200.0,-1,1720.0,-1.0,-1.0,1500.0,500.0,-1.0,-1.0,23000.0,-1.0,50.0,-1.0,600.0,300.0,-1.0,100.0,10.0,2950.0,1260.0,80.0,-1.0,605.0,4.0,4.0,1500.0,-1.0,1200.0,-1.0,60.0
1966,-1.0,-1.0,-1.0,-1.0,39.0,-1.0,16129.0,-1.0,30.0,-1.0,9584.0,100.0,-1.0,36300.0,-1.0,-1.0,-1.0,-1.0,250.0,-1,2355.0,-1.0,-1.0,1600.0,500.0,-1.0,-1.0,27000.0,-1.0,30.0,-1.0,100.0,400.0,-1.0,100.0,7.0,2400.0,1350.0,80.0,-1.0,440.0,4.0,4.0,1650.0,-1.0,1250.0,-1.0,100.0
1967,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,22781.0,-1.0,50.0,-1.0,10323.0,150.0,-1.0,16500.0,-1.0,-1.0,-1.0,-1.0,270.0,-1,2650.0,-1.0,-1.0,2520.0,500.0,-1.0,-1.0,26000.0,-1.0,50.0,-1.0,100.0,300.0,-1.0,100.0,8.0,2450.0,1580.0,70.0,-1.0,470.0,4.0,4.0,1800.0,-1.0,1500.0,-1.0,80.0
1968,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,27730.0,-1.0,55.0,-1.0,14094.0,100.0,-1.0,46665.0,-1.0,-1.0,-1.0,-1.0,270.0,-1,2915.0,-1.0,-1.0,1800.0,500.0,-1.0,-1.0,25700.0,-1.0,55.0,-1.0,100.0,400.0,-1.0,100.0,11.0,2850.0,1670.0,75.0,-1.0,450.0,4.0,4.0,2000.0,-1.0,1600.0,-1.0,70.0
1969,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,32892.0,-1.0,60.0,-1.0,14031.0,100.0,-1.0,17070.0,-1.0,-1.0,-1.0,-1.0,300.0,-1,2770.0,-1.0,-1.0,1670.0,500.0,-1.0,-1.0,25500.0,-1.0,60.0,-1.0,100.0,500.0,-1.0,100.0,3.0,2800.0,1490.0,70.0,-1.0,435.0,4.0,4.0,2200.0,-1.0,1400.0,-1.0,90.0
1970,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,31600.0,-1.0,65.0,-1.0,14267.0,100.0,-1.0,17219.0,-1.0,-1.0,-1.0,-1.0,300.0,-1,2115.0,-1.0,-1.0,1670.0,700.0,-1.0,-1.0,26160.0,-1.0,65.0,-1.0,100.0,500.0,-1.0,150.0,6.0,3250.0,1575.0,100.0,-1.0,410.0,4.0,4.0,2300.0,-1.0,1500.0,-1.0,75.0
1971,-1.0,-1.0,-1.0,-1.0,33.0,-1.0,28000.0,-1.0,70.0,-1.0,15092.0,100.0,-1.0,26661.0,-1.0,-1.0,-1.0,-1.0,300.0,-1,3490.0,-1.0,-1.0,1670.0,700.0,-1.0,-1.0,26160.0,-1.0,70.0,-1.0,100.0,500.0,-1.0,100.0,6.0,2800.0,1570.0,60.0,-1.0,475.0,4.0,4.0,2500.0,-1.0,1500.0,-1.0,70.0
1972,-1.0,-1.0,-1.0,-1.0,43.0,-1.0,27837.0,-1.0,75.0,-1.0,15527.0,100.0,-1.0,30802.0,-1.0,-1.0,-1.0,-1.0,300.0,-1,2445.0,-1.0,-1.0,1470.0,700.0,-1.0,-1.0,26190.0,-1.0,75.0,-1.0,100.0,500.0,-1.0,100.0,31.0,2950.0,1685.0,80.0,-1.0,500.0,4.0,4.0,2600.0,-1.0,1600.0,-1.0,85.0
1973,-1.0,-1.0,-1.0,-1.0,57.0,-1.0,24296.0,-1.0,80.0,-1.0,24980.0,100.0,-1.0,28510.0,-1.0,-1.0,-1.0,-1.0,300.0,-1,3740.0,-1.0,-1.0,1300.0,700.0,-1.0,-1.0,28700.0,-1.0,80.0,-1.0,100.0,600.0,-1.0,100.0,35.0,3000.0,1740.0,70.0,-1.0,355.0,4.0,4.0,2800.0,-1.0,1650.0,-1.0,90.0
1974,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,30206.0,-1.0,85.0,-1.0,27876.0,200.0,-1.0,27492.0,-1.0,-1.0,-1.0,-1.0,350.0,-1,2898.0,-1.0,-1.0,1200.0,700.0,-1.0,-1.0,28180.0,-1.0,85.0,-1.0,100.0,750.0,-1.0,100.0,30.0,3000.0,1690.0,90.0,-1.0,350.0,4.0,4.0,3000.0,-1.0,1600.0,-1.0,90.0
1975,-1.0,-1.0,-1.0,-1.0,56.0,-1.0,32885.0,-1.0,90.0,-1.0,28720.0,150.0,-1.0,22934.0,-1.0,-1.0,-1.0,-1.0,350.0,-1,4500.0,-1.0,-1.0,1300.0,700.0,-1.0,-1.0,25570.0,-1.0,90.0,-1.0,100.0,800.0,-1.0,200.0,6.0,3250.0,1790.0,90.0,-1.0,350.0,4.0,4.0,3200.0,-1.0,1700.0,-1.0,90.0
1976,-1.0,-1.0,-1.0,-1.0,48.0,-1.0,38928.0,-1.0,95.0,-1.0,30380.0,200.0,-1.0,36854.0,-1.0,-1.0,-1.0,-1.0,400.0,-1,4850.0,-1.0,-1.0,1250.0,700.0,-1.0,-1.0,31620.0,-1.0,95.0,-1.0,100.0,1162.0,-1.0,100.0,9.0,3300.0,1840.0,120.0,-1.0,721.0,4.0,4.0,3400.0,-1.0,1750.0,-1.0,90.0
1977,-1.0,-1.0,-1.0,-1.0,57.0,-1.0,30068.0,-1.0,100.0,-1.0,37877.0,150.0,-1.0,42794.0,-1.0,-1.0,-1.0,-1.0,400.0,-1,4855.0,-1.0,-1.0,1100.0,700.0,-1.0,-1.0,25620.0,-1.0,100.0,-1.0,100.0,1355.0,-1.0,200.0,10.0,3600.0,1890.0,100.0,-1.0,450.0,4.0,4.0,3500.0,-1.0,1800.0,-1.0,90.0
1978,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,36818.0,-1.0,100.0,-1.0,47015.0,150.0,-1.0,46159.0,-1.0,-1.0,-1.0,-1.0,350.0,-1,2500.0,-1.0,-1.0,900.0,1000.0,-1.0,-1.0,21500.0,-1.0,100.0,-1.0,100.0,1980.0,-1.0,150.0,19.0,3750.0,1960.0,100.0,-1.0,297.0,4.0,4.0,3700.0,-1.0,1850.0,-1.0,110.0
1979,-1.0,-1.0,-1.0,-1.0,58.0,-1.0,42005.0,-1.0,110.0,-1.0,49006.0,150.0,-1.0,32354.0,200.0,-1.0,-1.0,-1.0,350.0,-1,2545.0,-1.0,-1.0,700.0,1000.0,-1.0,-1.0,27700.0,-1.0,110.0,-1.0,100.0,1614.0,-1.0,150.0,11.0,3931.0,1960.0,100.0,-1.0,316.0,4.0,4.0,3800.0,-1.0,1850.0,-1.0,110.0
1980,-1.0,-1.0,-1.0,-1.0,62.0,-1.0,31570.0,-1.0,110.0,-1.0,62563.0,150.0,-1.0,36626.0,200.0,-1.0,-1.0,-1.0,300.0,-1,2755.0,-1.0,-1.0,790.0,1000.0,-1.0,-1.0,29490.0,-1.0,110.0,-1.0,250.0,1219.0,-1.0,200.0,16.0,4601.0,2020.0,100.0,-1.0,556.0,4.0,4.0,4000.0,-1.0,1900.0,-1.0,120.0
1981,-1.0,-1.0,-1.0,-1.0,66.0,-1.0,28846.0,-1.0,120.0,-1.0,40436.0,150.0,-1.0,39833.0,300.0,-1.0,-1.0,-1.0,300.0,-1,2955.0,-1.0,5.0,780.0,1000.0,250.0,-1.0,29500.0,-1.0,120.0,-1.0,100.0,2660.0,-1.0,300.0,13.0,4792.0,2120.0,300.0,-1.0,851.0,4.0,4.0,5900.0,-1.0,2000.0,-1.0,120.0
1982,-1.0,-1.0,-1.0,-1.0,51.0,-1.0,25258.0,-1.0,120.0,-1.0,51083.0,150.0,-1.0,39647.0,300.0,-1.0,-1.0,-1.0,200.0,-1,2585.0,-1.0,10.0,800.0,1000.0,350.0,-1.0,29200.0,-1.0,120.0,-1.0,100.0,1977.0,-1.0,150.0,16.0,4906.0,2620.0,100.0,-1.0,869.0,4.0,4.0,4800.0,-1.0,2500.0,30.0,120.0
1983,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,23548.0,-1.0,120.0,-1.0,32346.0,150.0,-1.0,45825.0,400.0,100.0,-1.0,-1.0,150.0,-1,2600.0,-1.0,5.0,900.0,1000.0,450.0,-1.0,26610.0,-1.0,120.0,-1.0,100.0,2593.0,-1.0,250.0,17.0,5052.0,3130.0,100.0,-1.0,1063.0,4.0,4.0,5800.0,-1.0,3000.0,14.0,130.0
1984,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,16626.0,-1.0,130.0,-1.0,43599.0,150.0,-1.0,46050.0,400.0,300.0,-1.0,-1.0,150.0,-1,2610.0,-1.0,5.0,1000.0,1000.0,550.0,-1.0,22710.0,-1.0,130.0,-1.0,100.0,2475.0,-1.0,300.0,17.0,5531.0,3630.0,100.0,-1.0,1183.0,5.0,5.0,6000.0,-1.0,3500.0,20.0,130.0
1985,-1.0,-1.0,-1.0,-1.0,60.0,10.0,19070.0,-1.0,130.0,-1.0,37941.0,150.0,-1.0,40516.0,500.0,400.0,-1.0,-1.0,300.0,-1,2800.0,-1.0,5.0,1200.0,1000.0,650.0,-1.0,18220.0,-1.0,130.0,-1.0,100.0,2473.0,-1.0,170.0,19.0,5808.0,3620.0,100.0,-1.0,1317.0,5.0,5.0,6000.0,-1.0,3500.0,-1.0,120.0
1986,-1.0,-1.0,-1.0,-1.0,60.0,10.0,15380.0,-1.0,130.0,-1.0,45296.0,150.0,-1.0,46373.0,500.0,400.0,-1.0,-1.0,700.0,-1,2830.0,-1.0,30.0,1350.0,1500.0,750.0,-1.0,34000.0,-1.0,130.0,-1.0,100.0,961.0,-1.0,150.0,13.0,5627.0,4120.0,100.0,-1.0,3587.0,5.0,5.0,6000.0,-1.0,4000.0,-1.0,120.0
1987,-1.0,15.0,-1.0,-1.0,61.0,20.0,14185.0,-1.0,130.0,-1.0,45984.0,150.0,-1.0,49271.0,600.0,500.0,-1.0,-1.0,300.0,-1,3000.0,-1.0,60.0,1400.0,1500.0,850.0,-1.0,31340.0,-1.0,130.0,-1.0,100.0,870.0,-1.0,150.0,13.0,6389.0,5120.0,100.0,-1.0,4780.0,5.0,5.0,6000.0,-1.0,5000.0,-1.0,120.0
1988,-1.0,15.0,-1.0,-1.0,61.0,20.0,20000.0,-1.0,135.0,-1.0,59351.0,150.0,-1.0,65278.0,700.0,600.0,-1.0,-1.0,300.0,-1,3500.0,-1.0,85.0,1440.0,1500.0,870.0,-1.0,48090.0,-1.0,135.0,-1.0,100.0,1154.0,-1.0,400.0,18.0,6831.0,7075.0,100.0,-1.0,6174.0,6.0,6.0,6000.0,-1.0,6975.0,15.0,100.0
1989,-1.0,17.0,-1.0,-1.0,61.0,30.0,27604.0,-1.0,135.0,-1.0,64534.0,150.0,-1.0,67849.0,700.0,700.0,-1.0,-1.0,180.0,-1,3700.0,-1.0,130.0,1500.0,1500.0,870.0,-1.0,44160.0,-1.0,135.0,-1.0,100.0,903.0,-1.0,400.0,20.0,8473.0,8982.0,100.0,-1.0,9208.0,6.0,6.0,7610.0,-1.0,8882.0,-1.0,100.0
1990,0.0,19.0,-1.0,-1.0,68.0,70.0,31191.0,-1.0,142.0,2787.0,78155.0,191.0,-1.0,69899.0,800.0,600.0,-1.0,-1.0,350.0,-1,1600.0,-1.0,200.0,1600.0,1353.0,868.0,-1.0,55190.0,0.0,142.0,-1.0,90.0,868.0,-1.0,300.0,22.0,8732.0,11083.0,127.0,-1.0,11210.0,5.0,5.0,10345.0,-1.0,10993.0,0.0,90.0
1991,200.0,22.0,-1.0,-1.0,63.0,90.0,29069.0,-1.0,140.0,4136.0,83906.0,134.0,-1.0,62549.0,900.0,1000.0,-1.0,-1.0,360.0,-1,2100.0,-1.0,100.0,1700.0,1400.0,1950.0,-1.0,47950.0,-1.0,140.0,500.0,526.0,894.0,-1.0,420.0,15.0,9938.0,9106.0,1534.0,-1.0,11540.0,5.0,5.0,12000.0,-1.0,9000.0,0.0,106.0
