,Cuba,Dominican Republic,Mexico,Puerto Rico,Peru,Panama,Trinidad and Tobago,El Salvador,United Republic of Tanzania,Belize,Saint Lucia,Nicaragua,Dominica,Costa Rica,Venezuela (Bolivarian Republic of)
1961,6000.0,3500.0,-1.0,-1.0,900.0,800.0,145.0,-1.0,,-1.0,18.0,,400.0,-1.0,11348.0
1962,6000.0,4200.0,-1.0,-1.0,950.0,800.0,155.0,-1.0,,-1.0,18.0,,410.0,-1.0,11338.0
1963,10500.0,3700.0,-1.0,-1.0,900.0,800.0,166.0,-1.0,,-1.0,20.0,,420.0,-1.0,11328.0
1964,10300.0,4000.0,-1.0,-1.0,850.0,800.0,150.0,-1.0,,-1.0,20.0,,430.0,-1.0,11318.0
1965,11000.0,4000.0,-1.0,-1.0,1195.0,800.0,134.0,-1.0,,-1.0,20.0,,440.0,-1.0,11307.0
1966,15000.0,4000.0,-1.0,-1.0,1400.0,850.0,125.0,-1.0,,-1.0,20.0,,450.0,-1.0,11297.0
1967,9005.0,4200.0,-1.0,-1.0,1470.0,900.0,159.0,-1.0,,-1.0,18.0,,460.0,-1.0,11287.0
1968,9887.0,4600.0,-1.0,-1.0,1655.0,1000.0,152.0,-1.0,,-1.0,18.0,,470.0,-1.0,11277.0
1969,8023.0,4700.0,-1.0,-1.0,2020.0,980.0,163.0,-1.0,,-1.0,16.0,,480.0,-1.0,11266.0
1970,3013.0,4900.0,-1.0,-1.0,2705.0,1030.0,158.0,-1.0,,-1.0,16.0,,490.0,-1.0,9294.0
1971,2778.0,5000.0,-1.0,-1.0,3270.0,1010.0,160.0,-1.0,,-1.0,10.0,,500.0,-1.0,9215.0
1972,8057.0,5200.0,-1.0,-1.0,4365.0,1100.0,170.0,-1.0,,-1.0,20.0,,510.0,-1.0,9071.0
1973,6871.0,5700.0,-1.0,-1.0,4485.0,1200.0,175.0,-1.0,,-1.0,22.0,,520.0,-1.0,6445.0
1974,7747.0,5900.0,-1.0,-1.0,4540.0,1200.0,180.0,-1.0,,-1.0,18.0,,530.0,-1.0,7016.0
1975,7464.0,5800.0,-1.0,-1.0,3950.0,1200.0,180.0,-1.0,,-1.0,18.0,,550.0,-1.0,7676.0
1976,8421.0,5600.0,-1.0,-1.0,3955.0,1200.0,185.0,-1.0,,-1.0,20.0,,580.0,-1.0,7785.0
1977,14357.0,6226.0,-1.0,-1.0,3020.0,1200.0,175.0,-1.0,,-1.0,20.0,,600.0,-1.0,7987.0
1978,19556.0,6176.0,-1.0,-1.0,3052.0,1200.0,180.0,-1.0,,-1.0,20.0,,650.0,-1.0,6312.0
1979,21433.0,6200.0,-1.0,-1.0,2974.0,1200.0,185.0,-1.0,,-1.0,18.0,,630.0,-1.0,6838.0
1980,17241.0,6500.0,-1.0,-1.0,4016.0,600.0,190.0,-1.0,,-1.0,19.0,,650.0,-1.0,6788.0
1981,13116.0,6500.0,-1.0,-1.0,3675.0,650.0,190.0,-1.0,,-1.0,17.0,,680.0,-1.0,7665.0
1982,9700.0,6600.0,-1.0,-1.0,4275.0,1300.0,200.0,-1.0,,-1.0,20.0,,710.0,-1.0,7660.0
1983,8200.0,4689.0,-1.0,-1.0,4836.0,1100.0,170.0,-1.0,,-1.0,22.0,,700.0,-1.0,8097.0
1984,9100.0,4778.0,-1.0,-1.0,5852.0,1200.0,150.0,-1.0,,-1.0,22.0,,710.0,-1.0,8654.0
1985,9000.0,6661.0,-1.0,-1.0,5000.0,1200.0,140.0,-1.0,,-1.0,23.0,,520.0,-1.0,8209.0
1986,9100.0,5647.0,-1.0,-1.0,5100.0,1260.0,120.0,-1.0,,-1.0,23.0,,580.0,-1.0,8078.0
1987,9900.0,5710.0,-1.0,-1.0,5100.0,1340.0,120.0,-1.0,,-1.0,24.0,,670.0,-1.0,8904.0
1988,10600.0,6653.0,-1.0,-1.0,5200.0,1350.0,120.0,-1.0,,-1.0,24.0,,650.0,-1.0,9248.0
1989,12700.0,8486.0,-1.0,-1.0,5200.0,1000.0,130.0,-1.0,,176.0,25.0,,640.0,-1.0,9021.0
1990,10500.0,5017.0,-1.0,-1.0,5400.0,500.0,106.0,-1.0,,47.0,20.0,0.0,630.0,-1.0,9327.0
1991,12019.0,3962.0,-1.0,-1.0,5850.0,650.0,140.0,-1.0,,69.0,26.0,2967.0,560.0,-1.0,9235.0
1992,6784.0,3694.0,86.0,-1.0,6000.0,625.0,137.0,-1.0,,75.0,27.0,3060.0,620.0,-1.0,7245.0
1993,7278.0,4848.0,95.0,-1.0,6000.0,660.0,135.0,0.0,,91.0,27.0,3155.0,601.0,1384.0,8460.0
1994,6866.0,4229.0,95.0,-1.0,6400.0,735.0,133.0,2940.0,,75.0,27.0,3251.0,615.0,1900.0,9934.0
1995,5617.0,5749.0,103.0,-1.0,7000.0,896.0,132.0,2900.0,,79.0,28.0,3347.0,619.0,2450.0,10442.0
1996,6967.0,5767.0,107.0,-1.0,5211.0,802.0,130.0,2411.0,,23.0,30.0,3445.0,625.0,1906.0,11454.0
1997,7703.0,6400.0,122.0,-1.0,6250.0,1000.0,131.0,3000.0,,49.0,29.0,3544.0,632.0,1850.0,8585.0
1998,9071.0,4700.0,120.0,-1.0,7244.0,710.0,132.0,2902.0,,76.0,28.0,3643.0,639.0,1321.0,6382.0
1999,9233.0,6239.0,121.0,130.0,6902.0,1050.0,133.0,2629.0,,99.0,24.0,3744.0,620.0,2645.0,6344.0
2000,11928.0,6180.0,122.0,135.0,6700.0,1000.0,135.0,2800.0,,117.0,23.0,3846.0,624.0,1396.0,6401.0
2001,13471.0,5154.0,126.0,140.0,6806.0,1276.0,140.0,2706.0,,132.0,19.0,3949.0,653.0,2427.0,5908.0
2002,22500.0,7511.0,121.0,151.0,6425.0,900.0,145.0,2777.0,,135.0,19.0,4054.0,687.0,3598.0,5739.0
2003,17212.0,7135.0,114.0,143.0,6654.0,1000.0,150.0,2864.0,-1.0,75.0,18.0,4163.0,708.0,1682.0,5027.0
2004,22587.0,5305.0,115.0,324.0,6653.0,1150.0,160.0,3017.0,,40.0,16.0,4277.0,732.0,1263.0,5689.0
2005,22565.0,4738.0,114.0,331.0,6313.0,1100.0,165.0,3161.0,,45.0,17.0,4393.0,756.0,2112.0,5285.0
2006,17483.0,4478.0,41.0,335.0,5600.0,1050.0,168.0,3321.0,,42.0,9.0,4511.0,777.0,1931.0,7882.0
2007,21335.0,4739.0,130.0,340.0,5307.0,1100.0,170.0,3505.0,,15.0,6.0,4631.0,812.0,1492.0,7127.0
2008,26581.0,3930.0,100.0,324.0,5400.0,926.0,177.0,3715.0,,23.0,8.0,4752.0,824.0,1653.0,7447.0
2009,27027.0,4495.0,150.0,315.0,6000.0,926.0,182.0,3952.0,,36.0,9.0,4621.0,833.0,1748.0,7000.0
2010,19795.0,4559.0,247.0,308.0,6185.0,1271.0,200.0,4218.0,,33.0,9.0,3054.0,950.0,1453.0,5062.0
2011,16242.0,5040.0,340.0,303.0,5872.0,930.0,186.0,4511.0,,31.0,10.0,2200.0,831.0,1628.0,7474.0
2012,15305.0,5163.0,438.0,280.0,5800.0,866.0,180.0,4600.0,,22.0,10.0,8900.0,840.0,1540.0,6728.0
2013,16400.0,4926.0,283.0,300.0,5768.0,743.0,180.0,4600.0,,26.0,8.0,7800.0,850.0,2415.0,7229.0
2014,16720.0,4524.0,209.0,325.0,5735.0,645.0,182.0,5419.0,,26.0,9.0,6862.0,886.0,2500.0,7542.0
