,Mali,Brazil,Madagascar,Guyana
1961,3500.0,50000.0,18000.0,-1.0
1962,10000.0,58000.0,18000.0,-1.0
1963,10000.0,68000.0,19000.0,-1.0
1964,10000.0,62000.0,19000.0,-1.0
1965,12000.0,64408.0,19000.0,-1.0
1966,12000.0,73472.0,19000.0,-1.0
1967,12000.0,77275.0,19000.0,-1.0
1968,12000.0,72182.0,20000.0,-1.0
1969,15000.0,75113.0,20000.0,-1.0
1970,15000.0,81220.0,20000.0,-1.0
1971,15000.0,105000.0,20000.0,-1.0
1972,15000.0,90000.0,20000.0,-1.0
1973,15000.0,66223.0,20000.0,-1.0
1974,16000.0,84727.0,20000.0,-1.0
1975,16000.0,110052.0,21000.0,-1.0
1976,16000.0,122961.0,21000.0,-1.0
1977,16000.0,135081.0,21000.0,-1.0
1978,16000.0,154329.0,22000.0,-1.0
1979,16000.0,169626.0,22000.0,-1.0
1980,18000.0,184151.0,24000.0,-1.0
1981,18000.0,202589.0,24000.0,-1.0
1982,18000.0,232177.0,24000.0,-1.0
1983,18000.0,231431.0,25000.0,-1.0
1984,18000.0,319302.0,25000.0,-1.0
1985,20000.0,365155.0,25000.0,-1.0
1986,20000.0,406095.0,25000.0,-1.0
1987,20000.0,439136.0,25000.0,-1.0
1988,20000.0,449017.0,25000.0,-1.0
1989,21000.0,514937.0,25000.0,-1.0
1990,18654.0,551844.0,25869.0,-1.0
1991,25429.0,616674.0,24871.0,-1.0
1992,24000.0,664682.0,25118.0,-1.0
1993,27847.0,689302.0,25276.0,-1.0
1994,30000.0,627559.0,24674.0,-1.0
1995,31017.0,647499.0,25168.0,-1.0
1996,31967.0,655960.0,25552.0,-1.0
1997,33000.0,679921.0,26000.0,-1.0
1998,35000.0,579288.0,26007.0,-1.0
1999,35245.0,580000.0,26323.0,-1.0
2000,36000.0,604502.0,25916.0,1.0
2001,37354.0,590000.0,26026.0,1.0
2002,40000.0,595000.0,26108.0,1.0
2003,39631.0,598000.0,26190.0,1.0
2004,40355.0,600000.0,26279.0,1.0
2005,42389.0,610296.0,26431.0,1.0
2006,42389.0,610000.0,26500.0,1.0
2007,43500.0,610377.0,27000.0,1.0
2008,44000.0,609509.0,26839.0,1.0
2009,46000.0,611432.0,26916.0,1.0
2010,46000.0,612786.0,26978.0,1.0
2011,42000.0,614367.0,26983.0,1.0
2012,38403.0,625000.0,26900.0,1.0
2013,29053.0,625000.0,26900.0,1.0
2014,36174.0,612430.0,27000.0,1.0
