,Kenya,"China, Hong Kong SAR","China, Taiwan Province of",Croatia,Burkina Faso,Philippines,Syrian Arab Republic,Martinique,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Bangladesh,Melanesia,Papua New Guinea,Norway,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Slovenia,American Samoa,Senegal,Madagascar,Tajikistan,Mauritius,Luxembourg,Israel,Zambia,Belgium,United Arab Emirates,Kuwait,Switzerland,Sri Lanka,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,China,Uzbekistan,Sweden,Lebanon,Kyrgyzstan,United Kingdom,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Suriname,Portugal,Poland,"China, mainland",Mali,Timor-Leste,Thailand,Ukraine,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Cameroon,Serbia,Germany,Turkey,South Sudan,Cabo Verde,Denmark,Canada,Japan,Bermuda,Iraq,Cyprus,Antigua and Barbuda,Spain,New Zealand,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Pakistan,Czechoslovakia,Czechia,French Guiana,Argentina,Ghana,Costa Rica,India,Guadeloupe,Austria,Niger,Morocco,Congo,Qatar,Mexico,Romania,Ecuador,Jordan,Puerto Rico,Ireland,Côte d'Ivoire,Albania,Slovakia,France,Italy,Singapore,Polynesia,Australia,Egypt,Lithuania,Finland,Netherlands,Sudan (former),Guyana,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,250.0,-1.0,-1.0,-1.0,2600.0,1200.0,200.0,-1.0,-1.0,-1.0,11300.0,-1.0,9754.0,200.0,4266.0,56.0,56.0,85.0,-1.0,8758.0,3500.0,-1.0,2800.0,-1.0,-1.0,-1.0,1400.0,-1.0,330.0,-1.0,670.0,-1,-1.0,-1.0,-1.0,1700.0,2140.0,337.0,-1.0,-1,-1.0,465.0,100250.0,-1.0,1970.0,1000.0,-1.0,5018.0,-1.0,9400.0,16393.0,-1.0,-1.0,4000.0,90.0,1500.0,-1.0,100000.0,-1.0,-1.0,10880.0,-1.0,-1.0,3700.0,-1.0,-1.0,-1.0,-1.0,10754.0,28600.0,-1.0,-1.0,137.0,6212.0,-1,15.0,331.0,272.0,1.0,14350.0,260.0,-1.0,6048.0,47174.0,-1.0,-1.0,-1.0,-1.0,790.0,-1.0,-1.0,1991.0,-1.0,-1.0,80000.0,61.0,308.0,-1.0,3300.0,-1.0,-1.0,6923.0,9100.0,4600.0,514.0,-1.0,-1.0,-1.0,-1.0,-1.0,7739.0,41940.0,81.0,0.0,8498.0,15294.0,-1.0,30.0,4590.0,-1.0,-1.0,-1.0,1018.0
1962,-1.0,300.0,-1.0,-1.0,-1.0,2600.0,1489.0,220.0,-1.0,-1.0,-1.0,12200.0,-1.0,9848.0,200.0,3952.0,38.0,38.0,103.0,-1.0,10077.0,3500.0,-1.0,2600.0,-1.0,-1.0,-1.0,1500.0,-1.0,382.0,-1.0,625.0,-1,-1.0,-1.0,-1.0,700.0,3776.0,400.0,-1.0,-1,-1.0,465.0,98300.0,-1.0,1780.0,1100.0,-1.0,5463.0,-1.0,9500.0,9299.0,-1.0,-1.0,5000.0,90.0,1500.0,-1.0,98000.0,-1.0,-1.0,17920.0,-1.0,-1.0,3800.0,-1.0,-1.0,-1.0,-1.0,11824.0,29700.0,-1.0,-1.0,120.0,7167.0,-1,15.0,394.0,305.0,1.0,14600.0,610.0,-1.0,5747.0,43556.0,-1.0,-1.0,-1.0,-1.0,651.0,-1.0,-1.0,1801.0,-1.0,-1.0,81000.0,61.0,305.0,-1.0,3293.0,-1.0,-1.0,6282.0,10200.0,4402.0,927.0,-1.0,-1.0,-1.0,-1.0,-1.0,7641.0,41051.0,69.0,0.0,9467.0,8270.0,-1.0,25.0,4100.0,-1.0,-1.0,-1.0,1429.0
1963,-1.0,200.0,-1.0,-1.0,-1.0,2600.0,1426.0,220.0,-1.0,-1.0,-1.0,12200.0,-1.0,9656.0,200.0,4281.0,30.0,30.0,102.0,-1.0,11789.0,3500.0,-1.0,2400.0,-1.0,-1.0,-1.0,1600.0,-1.0,345.0,-1.0,660.0,-1,-1.0,-1.0,-1.0,470.0,2575.0,400.0,-1.0,-1,-1.0,465.0,100200.0,-1.0,1180.0,1000.0,-1.0,7244.0,-1.0,9500.0,13933.0,-1.0,-1.0,5000.0,95.0,1700.0,-1.0,100000.0,-1.0,-1.0,15840.0,-1.0,-1.0,3900.0,-1.0,-1.0,-1.0,-1.0,12068.0,30700.0,-1.0,-1.0,191.0,9324.0,-1,16.0,368.0,338.0,2.0,14325.0,650.0,-1.0,6419.0,35025.0,-1.0,-1.0,-1.0,-1.0,687.0,-1.0,-1.0,1606.0,-1.0,-1.0,83000.0,73.0,418.0,-1.0,3000.0,-1.0,-1.0,6411.0,11500.0,5619.0,732.0,-1.0,-1.0,-1.0,-1.0,-1.0,8882.0,41311.0,93.0,0.0,11139.0,12280.0,-1.0,25.0,4639.0,-1.0,-1.0,-1.0,2102.0
1964,-1.0,160.0,-1.0,-1.0,-1.0,2500.0,2430.0,260.0,-1.0,-1.0,-1.0,13000.0,-1.0,9790.0,148.0,4329.0,16.0,16.0,123.0,-1.0,7555.0,3000.0,-1.0,1840.0,-1.0,-1.0,-1.0,1800.0,-1.0,243.0,-1.0,644.0,-1,-1.0,-1.0,-1.0,450.0,2566.0,400.0,-1.0,-1,-1.0,465.0,102160.0,-1.0,1150.0,1125.0,-1.0,7689.0,-1.0,10000.0,12041.0,-1.0,-1.0,5000.0,95.0,1800.0,-1.0,102000.0,-1.0,-1.0,15040.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,12381.0,31400.0,-1.0,-1.0,218.0,11339.0,-1,17.0,736.0,339.0,2.0,18161.0,800.0,-1.0,5811.0,36081.0,-1.0,-1.0,-1.0,-1.0,723.0,-1.0,-1.0,1541.0,-1.0,-1.0,85000.0,180.0,438.0,-1.0,3000.0,-1.0,-1.0,6536.0,12000.0,4600.0,980.0,-1.0,-1.0,-1.0,-1.0,-1.0,8321.0,41773.0,81.0,0.0,6755.0,11779.0,-1.0,30.0,4429.0,-1.0,-1.0,-1.0,2446.0
1965,-1.0,200.0,-1.0,-1.0,-1.0,2500.0,2500.0,280.0,-1.0,-1.0,-1.0,14400.0,-1.0,9670.0,160.0,4251.0,11.0,11.0,140.0,-1.0,7819.0,3000.0,-1.0,1750.0,-1.0,-1.0,-1.0,2000.0,-1.0,291.0,-1.0,555.0,-1,-1.0,-1.0,-1.0,338.0,3648.0,400.0,-1.0,-1,-1.0,500.0,103200.0,-1.0,1080.0,998.0,-1.0,7001.0,-1.0,10477.0,15321.0,-1.0,-1.0,5000.0,100.0,1800.0,-1.0,103000.0,-1.0,-1.0,14400.0,-1.0,-1.0,4440.0,-1.0,-1.0,-1.0,-1.0,9831.0,33200.0,-1.0,-1.0,206.0,10667.0,-1,18.0,783.0,70.0,2.0,17925.0,810.0,-1.0,5884.0,38797.0,-1.0,-1.0,-1.0,-1.0,602.0,-1.0,-1.0,1145.0,-1.0,-1.0,88000.0,180.0,454.0,-1.0,7072.0,-1.0,-1.0,6632.0,12000.0,5000.0,566.0,-1.0,-1.0,-1.0,-1.0,-1.0,8202.0,43062.0,81.0,0.0,7009.0,16412.0,-1.0,28.0,3005.0,-1.0,-1.0,-1.0,1473.0
1966,-1.0,350.0,-1.0,-1.0,-1.0,2800.0,2400.0,250.0,-1.0,-1.0,-1.0,14800.0,-1.0,9810.0,250.0,4222.0,16.0,16.0,141.0,-1.0,8214.0,3000.0,-1.0,1620.0,-1.0,-1.0,-1.0,2200.0,-1.0,260.0,-1.0,763.0,-1,-1.0,-1.0,-1.0,340.0,3944.0,539.0,-1.0,-1,-1.0,500.0,103850.0,-1.0,1330.0,1018.0,-1.0,7446.0,-1.0,10500.0,16760.0,-1.0,-1.0,5000.0,100.0,2000.0,-1.0,103500.0,-1.0,-1.0,14800.0,-1.0,-1.0,8425.0,-1.0,-1.0,-1.0,-1.0,11175.0,35100.0,-1.0,-1.0,262.0,10026.0,-1,17.0,783.0,210.0,2.0,16800.0,900.0,-1.0,6532.0,43766.0,-1.0,-1.0,-1.0,-1.0,658.0,-1.0,-1.0,1115.0,-1.0,-1.0,87000.0,365.0,459.0,-1.0,3998.0,-1.0,-1.0,6823.0,12000.0,1800.0,566.0,-1.0,-1.0,-1.0,-1.0,-1.0,8647.0,44163.0,81.0,0.0,7314.0,11706.0,-1.0,22.0,3427.0,-1.0,-1.0,-1.0,2111.0
1967,-1.0,350.0,-1.0,-1.0,-1.0,2600.0,3300.0,250.0,-1.0,-1.0,-1.0,15000.0,-1.0,10240.0,260.0,4236.0,15.0,15.0,128.0,-1.0,8645.0,3000.0,-1.0,1970.0,-1.0,-1.0,-1.0,2400.0,-1.0,223.0,-1.0,787.0,-1,-1.0,-1.0,-1.0,370.0,3098.0,500.0,-1.0,-1,-1.0,500.0,104350.0,-1.0,1260.0,1444.0,-1.0,8013.0,-1.0,10500.0,14363.0,-1.0,-1.0,5000.0,100.0,2000.0,-1.0,104000.0,-1.0,-1.0,15200.0,-1.0,-1.0,9870.0,-1.0,-1.0,-1.0,-1.0,11203.0,23500.0,-1.0,-1.0,254.0,11300.0,-1,16.0,788.0,192.0,5.0,16536.0,1105.0,-1.0,6596.0,43790.0,-1.0,-1.0,-1.0,-1.0,620.0,-1.0,-1.0,1063.0,-1.0,-1.0,90000.0,370.0,560.0,-1.0,2000.0,-1.0,-1.0,7508.0,12000.0,1800.0,528.0,-1.0,-1.0,-1.0,-1.0,-1.0,8946.0,44767.0,81.0,0.0,7540.0,12484.0,-1.0,29.0,3981.0,-1.0,-1.0,-1.0,1867.0
1968,-1.0,300.0,-1.0,-1.0,-1.0,2600.0,2354.0,280.0,-1.0,-1.0,-1.0,15608.0,-1.0,9130.0,210.0,4192.0,15.0,15.0,128.0,-1.0,8611.0,3600.0,-1.0,2830.0,-1.0,-1.0,-1.0,1670.0,-1.0,214.0,-1.0,810.0,-1,-1.0,1.0,-1.0,370.0,3685.0,500.0,-1.0,-1,-1.0,560.0,110300.0,-1.0,1550.0,1505.0,-1.0,8296.0,-1.0,11000.0,14490.0,-1.0,-1.0,5000.0,105.0,2000.0,-1.0,110000.0,-1.0,-1.0,15700.0,-1.0,-1.0,5700.0,-1.0,-1.0,-1.0,-1.0,8818.0,21800.0,-1.0,-1.0,249.0,9570.0,-1,18.0,851.0,217.0,7.0,16000.0,621.0,-1.0,6734.0,46623.0,-1.0,-1.0,-1.0,-1.0,561.0,-1.0,-1.0,911.0,-1.0,-1.0,94000.0,420.0,500.0,-1.0,4000.0,-1.0,-1.0,7681.0,12500.0,1800.0,269.0,-1.0,-1.0,-1.0,-1.0,-1.0,9917.0,44994.0,81.0,0.0,7990.0,16383.0,-1.0,17.0,3811.0,-1.0,-1.0,-1.0,1456.0
1969,-1.0,300.0,-1.0,-1.0,-1.0,2600.0,2304.0,250.0,-1.0,-1.0,-1.0,13000.0,-1.0,9530.0,210.0,4150.0,10.0,10.0,66.0,-1.0,9115.0,4300.0,-1.0,2390.0,-1.0,-1.0,-1.0,1100.0,-1.0,219.0,-1.0,850.0,-1,-1.0,1.0,-1.0,400.0,4514.0,500.0,-1.0,-1,-1.0,560.0,114300.0,-1.0,140.0,1623.0,-1.0,10643.0,-1.0,11000.0,11596.0,-1.0,-1.0,5000.0,110.0,2200.0,-1.0,114000.0,-1.0,-1.0,16200.0,-1.0,-1.0,9130.0,-1.0,-1.0,-1.0,-1.0,9372.0,28000.0,-1.0,-1.0,285.0,9860.0,-1,14.0,934.0,185.0,10.0,15462.0,1011.0,-1.0,5651.0,37710.0,-1.0,-1.0,-1.0,-1.0,614.0,-1.0,-1.0,786.0,-1.0,-1.0,96000.0,470.0,764.0,-1.0,4000.0,-1.0,-1.0,7679.0,12300.0,1900.0,556.0,-1.0,-1.0,-1.0,-1.0,-1.0,10335.0,44530.0,60.0,0.0,8104.0,14283.0,-1.0,18.0,5007.0,-1.0,-1.0,-1.0,2087.0
1970,-1.0,350.0,-1.0,-1.0,-1.0,2700.0,2651.0,280.0,-1.0,-1.0,-1.0,10000.0,-1.0,9900.0,210.0,4549.0,8.0,8.0,66.0,-1.0,8544.0,4400.0,-1.0,2400.0,-1.0,-1.0,-1.0,555.0,-1.0,149.0,-1.0,650.0,-1,-1.0,1.0,-1.0,500.0,3471.0,487.0,-1.0,-1,-1.0,560.0,115350.0,-1.0,140.0,1994.0,-1.0,10320.0,-1.0,11500.0,12553.0,-1.0,-1.0,5000.0,118.0,2500.0,-1.0,115000.0,-1.0,-1.0,16600.0,-1.0,-1.0,9400.0,-1.0,-1.0,-1.0,-1.0,10207.0,36800.0,-1.0,-1.0,295.0,9894.0,-1,15.0,1125.0,223.0,12.0,20360.0,1052.0,-1.0,5102.0,32629.0,-1.0,-1.0,-1.0,-1.0,586.0,-1.0,-1.0,740.0,-1.0,-1.0,100000.0,300.0,831.0,-1.0,4000.0,-1.0,-1.0,7564.0,13000.0,2100.0,232.0,-1.0,-1.0,-1.0,-1.0,-1.0,10800.0,44043.0,40.0,0.0,7492.0,15963.0,-1.0,18.0,4592.0,-1.0,-1.0,-1.0,2407.0
