,USSR,Bahrain,Australia & New Zealand,Australia,Pakistan,Thailand,Ethiopia,South Africa,Lebanon,Yemen,Albania,Brazil,Paraguay,Serbia,Slovenia,Montenegro,Argentina,Colombia,Spain,India,Malta,Ecuador,Madagascar,Republic of Moldova,Canada,Russian Federation,Switzerland,Belgium-Luxembourg,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,France,Republic of Korea,Bolivia (Plurinational State of),Hungary,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Cyprus,Kazakhstan,Uruguay,New Zealand,Portugal,Netherlands,Guatemala,Cuba,Slovakia,Romania,Turkmenistan,Philippines,Iraq,Czechia,United Republic of Tanzania,Belgium,Luxembourg,Libya,Italy,Qatar,Germany,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Honduras,Zimbabwe,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Afghanistan,United Arab Emirates,Austria,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Viet Nam,Namibia,Bosnia and Herzegovina,Turkey,Tunisia,Venezuela (Bolivarian Republic of),Mexico,Ukraine,Kuwait,Czechoslovakia,Croatia,Bulgaria,China
1961,45519.0,32000.0,108571.0,108541.0,95000.0,65000.0,,77097.0,37190.0,55000.0,42561.0,69508.0,80000.0,,,,90962.0,112500.0,18932.0,159091.0,51353.0,12900.0,61667.0,,41866.0,,96645.0,173392.0,,117778.0,,57465.0,,52828.0,68280.0,90000.0,28932.0,,34926.0,41176.0,73415.0,142683.0,70000.0,37374.0,,57500.0,111740.0,47244.0,240213.0,50000.0,,,24541.0,,,30000.0,,,,,22504.0,50080.0,,72814.0,,,,,46974.0,37333.0,84455.0,,,34977.0,52865.0,91095.0,52750.0,100000.0,99714.0,,45000.0,,47500.0,290909.0,,,,,,,41148.0,53967.0,,59754.0,,,30527.0,,31827.0,70416.0
1962,51241.0,32000.0,129124.0,129104.0,58636.0,65000.0,,81174.0,34694.0,55000.0,43964.0,57599.0,84615.0,,,,100408.0,111111.0,23598.0,163043.0,36525.0,12714.0,61667.0,,41927.0,,92629.0,190597.0,,146533.0,,65477.0,,81365.0,65617.0,75000.0,25157.0,,41852.0,43137.0,76894.0,137030.0,70000.0,35489.0,,57329.0,131160.0,87125.0,239942.0,50000.0,,,34300.0,,,30000.0,,,,,25000.0,65080.0,,78988.0,,,,,38974.0,40041.0,95294.0,,,36611.0,48208.0,97345.0,60417.0,100000.0,100103.0,,45000.0,,35833.0,309091.0,,,,,,,42167.0,60498.0,,59372.0,,,21319.0,,56930.0,70505.0
1963,39207.0,31250.0,97439.0,97032.0,78077.0,65000.0,,83540.0,36000.0,54857.0,16941.0,71823.0,78571.0,,,,105850.0,122222.0,24747.0,160000.0,42808.0,11929.0,66667.0,,41898.0,,100789.0,195469.0,,124792.0,,46753.0,,62322.0,66041.0,81967.0,32117.0,,45865.0,43810.0,75405.0,158190.0,70833.0,17441.0,,63950.0,137302.0,72939.0,221694.0,50000.0,,,30867.0,,,30000.0,,,,,20000.0,52290.0,,119174.0,,,,,50256.0,30383.0,79505.0,,,22590.0,49017.0,84484.0,49333.0,100000.0,84545.0,,45000.0,,58500.0,309091.0,,,,,,,33913.0,60991.0,,62323.0,,,32283.0,,61287.0,71114.0
1964,35817.0,31250.0,132812.0,132678.0,71250.0,65000.0,,82768.0,41934.0,54857.0,30895.0,59648.0,79310.0,,,,97471.0,120000.0,32855.0,160714.0,33615.0,9329.0,66667.0,,41890.0,,109246.0,210425.0,,103811.0,,56688.0,,68437.0,52577.0,80645.0,38190.0,,47529.0,44860.0,66975.0,143797.0,76923.0,26370.0,,59633.0,144946.0,74960.0,242763.0,50000.0,,,28702.0,,,30000.0,,,,,20000.0,62768.0,,141352.0,,,,,51410.0,39537.0,82718.0,,40000.0,32986.0,40295.0,83154.0,69417.0,100000.0,95576.0,,50476.0,,100851.0,327273.0,,,,,,,34875.0,55971.0,,65000.0,,,49400.0,,47723.0,77122.0
1965,48667.0,31250.0,136146.0,136191.0,77692.0,65000.0,,94966.0,46298.0,55000.0,34048.0,79864.0,80000.0,,,,87715.0,118182.0,25924.0,161290.0,50200.0,37857.0,66667.0,,41874.0,,106254.0,171320.0,,104064.0,,63179.0,,75365.0,54056.0,87719.0,17318.0,,42912.0,45455.0,69910.0,178455.0,66667.0,35160.0,,65800.0,132630.0,80760.0,252623.0,50000.0,,,29491.0,,,30000.0,,,,,20000.0,68650.0,,98814.0,,,,,65844.0,40000.0,61165.0,,40000.0,29302.0,55017.0,87876.0,69224.0,100000.0,99425.0,,52182.0,,43389.0,316667.0,,,,,,,41875.0,53409.0,,71283.0,,,18934.0,,69643.0,67199.0
1966,43419.0,30769.0,115453.0,114884.0,80769.0,65000.0,,90325.0,40714.0,55000.0,42937.0,77716.0,80000.0,,,,102472.0,116667.0,32257.0,161765.0,40635.0,34083.0,80000.0,,41885.0,,92505.0,184713.0,,113442.0,,63493.0,,69465.0,59352.0,86957.0,23229.0,,47490.0,45217.0,72969.0,153124.0,57647.0,42026.0,,88938.0,171103.0,50471.0,222174.0,50000.0,,,29249.0,,,39394.0,,,,,22506.0,66111.0,,93861.0,,,,,48267.0,40266.0,70252.0,,60000.0,28787.0,27780.0,83348.0,66667.0,100000.0,100568.0,,52500.0,,45459.0,316667.0,,,,,,,37349.0,33550.0,30231.0,73024.0,,,27682.0,,55676.0,58316.0
1967,43447.0,30769.0,135355.0,134934.0,86538.0,65000.0,,89214.0,58018.0,55000.0,38800.0,77624.0,79412.0,,,,131304.0,115385.0,23667.0,161972.0,51388.0,37557.0,76667.0,,41894.0,,105316.0,177358.0,,108123.0,,58425.0,,69327.0,58143.0,75862.0,33019.0,,45136.0,47826.0,69593.0,126272.0,52941.0,43185.0,,78500.0,172964.0,54431.0,303286.0,50000.0,,,27276.0,,,41212.0,,,,,22506.0,78846.0,,117953.0,,,,,32162.0,40063.0,79174.0,,60000.0,31127.0,28342.0,99754.0,74545.0,100000.0,114329.0,,56193.0,,80147.0,333333.0,,,,,,,41667.0,32276.0,29758.0,69349.0,,,44093.0,,46062.0,54245.0
1968,56536.0,30769.0,124231.0,123436.0,98696.0,65000.0,,97957.0,54490.0,55000.0,45873.0,74289.0,75000.0,,,,89003.0,114286.0,24221.0,162162.0,46465.0,62819.0,85000.0,,41909.0,,112093.0,168897.0,,107143.0,,75625.0,,75037.0,60923.0,55051.0,35374.0,,49609.0,47273.0,66148.0,146926.0,58824.0,42164.0,,66111.0,185469.0,64392.0,277171.0,50000.0,,,34046.0,,,42424.0,,,,,23873.0,74095.0,,116287.0,,,,,46269.0,44965.0,82719.0,,60000.0,31395.0,45869.0,120799.0,66574.0,100000.0,116450.0,,53571.0,,76560.0,338462.0,,,,,,,43927.0,33475.0,33370.0,74195.0,,2000.0,50122.0,,65883.0,60810.0
1969,52591.0,31250.0,108794.0,107344.0,100417.0,65000.0,,93031.0,46291.0,55000.0,47381.0,80919.0,70588.0,,,,80023.0,113333.0,25305.0,160256.0,53993.0,82372.0,94035.0,,41891.0,,87137.0,179856.0,30000.0,87302.0,,75264.0,,62931.0,71620.0,55238.0,40213.0,,58585.0,51102.0,59935.0,160848.0,52778.0,45156.0,,63333.0,211484.0,46005.0,248053.0,50000.0,,,34301.0,,,42941.0,,51728.0,,,25682.0,84128.0,,112538.0,,,,,26230.0,34398.0,70900.0,,60000.0,35905.0,40144.0,97852.0,76571.0,105000.0,104721.0,,54143.0,,69266.0,338462.0,,,,,,,43377.0,28261.0,24866.0,68857.0,,2500.0,50505.0,,75650.0,54472.0
1970,49336.0,31250.0,144721.0,145585.0,104783.0,65000.0,,68164.0,60370.0,25000.0,52598.0,90339.0,75000.0,,,,90533.0,112500.0,27083.0,162500.0,43901.0,75188.0,89138.0,,41907.0,,136237.0,287241.0,30000.0,69485.0,,70418.0,,93812.0,55090.0,55000.0,32327.0,,43359.0,52500.0,54855.0,129910.0,47222.0,35975.0,,68500.0,114101.0,64003.0,296807.0,50000.0,,,25952.0,,,44118.0,,52112.0,,,25530.0,80583.0,,181140.0,,,,,33213.0,39957.0,64230.0,,60000.0,31414.0,42548.0,128377.0,65269.0,105000.0,100515.0,,52000.0,,93764.0,342857.0,,,,,,,45562.0,26575.0,30717.0,90707.0,,3462.0,57024.0,,61456.0,50960.0
