,Slovakia,Romania,Israel,Norway,Australia,Pakistan,Belgium,Kenya,Czechia,Costa Rica,Bangladesh,Italy,Serbia,USSR,Germany,Papua New Guinea,South Africa,Sweden,Uzbekistan,China,Finland,Armenia,Australia & New Zealand,Morocco,Slovenia,Malta,Afghanistan,Spain,Kyrgyzstan,New Zealand,Austria,Ecuador,Réunion,Poland,Turkey,Switzerland,Belgium-Luxembourg,Estonia,Melanesia,Georgia,Greece,Azerbaijan,Viet Nam,Zimbabwe,Egypt,Tunisia,Lithuania,Montenegro,Russian Federation,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Croatia,"China, mainland",United Kingdom,Ireland,India,Bosnia and Herzegovina,Bulgaria,Netherlands,Ukraine
1961,,,,,71991.0,,,,,,40000.0,,,,,47619.0,46650.0,,,22222.0,,,71341.0,,,,88235.0,,,66667.0,46512.0,,,,70001.0,,,,47619.0,,,,37853.0,,,,,,,,,29787.0,,65685.0,,,22222.0,50800.0,,,,,,
1962,,,,,52379.0,,,,,,50000.0,,,,,48571.0,39950.0,,,26667.0,,,53269.0,,,,88235.0,,,59394.0,46512.0,,,,65801.0,,,,48571.0,,,,38176.0,,,,,,,,,29787.0,,69112.0,,,26667.0,60960.0,,,,,,
1963,,,,,48603.0,,,,,,50000.0,,,,,49524.0,44100.0,,,33333.0,,,49222.0,,,,88235.0,,,52683.0,46512.0,,,,60507.0,,,,49524.0,,,,38607.0,,,,,,,,,31250.0,,57756.0,,,33333.0,44700.0,,,,,,
1964,,,,,44785.0,,,,,,50000.0,,,,,48182.0,38325.0,,,26667.0,,,44599.0,,,,88235.0,,,43922.0,46512.0,,,,70657.0,,,,48182.0,,,,38405.0,,,,,,,,,31250.0,,65009.0,,,26667.0,58940.0,,,,,,
1965,,,,,46609.0,,,,,,50000.0,,,,,47826.0,36825.0,,,31111.0,,,47660.0,,,,88235.0,,,50656.0,46512.0,,,,73873.0,,,,47826.0,,,,39100.0,,,,,,,,,32000.0,,70298.0,,,31111.0,56900.0,,,,,,
1966,,,,,45130.0,,,,,,46250.0,,,,,49565.0,40050.0,,,33333.0,,,45847.0,,,,88235.0,,,49070.0,46512.0,,,,76967.0,,,,49565.0,,,,38632.0,,,,,,,,,32000.0,,92496.0,,,33333.0,56900.0,,,,,,
1967,,,,,50671.0,,,,,,37500.0,,,,,49167.0,44450.0,,,33333.0,,,52551.0,,,,88235.0,,,58511.0,46512.0,,,,82597.0,,,,49167.0,,,,38591.0,,,,,,,,,33333.0,,67154.0,,,33333.0,48780.0,,,,,,
1968,,,,,45466.0,,,,,,55000.0,,,,,49600.0,55200.0,,,35556.0,,,51111.0,,,,87681.0,,,67636.0,46512.0,,,,85161.0,,,,49600.0,,,,19633.0,,,,,,,,,32727.0,,64866.0,,,35556.0,54860.0,,,,,,
1969,,,,,47703.0,,,,,,48257.0,,,,,52000.0,60700.0,,,44444.0,,,50091.0,,,,87681.0,,,55070.0,46512.0,,,,83910.0,,,,52000.0,,,,12800.0,,,,,,,,,32727.0,,68365.0,,,44444.0,48780.0,,,,,,
1970,,,,,53333.0,,,,,,40000.0,,,,,51538.0,47900.0,,,25714.0,,,57112.0,,,,84615.0,,,64024.0,46512.0,,,,84509.0,,,,51538.0,,,,5250.0,,,,,,,,,33929.0,,75404.0,,,25714.0,46740.0,,,,,,
1971,,,,,47329.0,,,,,,44000.0,,,,,51852.0,66750.0,,,28571.0,,,49818.0,,,,76923.0,,,53333.0,46512.0,,,,81036.0,,,,51852.0,,,,8571.0,,,,,,,,,26804.0,,64893.0,,,28571.0,48780.0,,,,,,
1972,,,,,52464.0,,,,,,40057.0,,,,,51429.0,61900.0,,,27143.0,,,59071.0,,,,87681.0,,,66031.0,46512.0,,,,78408.0,,,,51429.0,,,,12500.0,,,,,,,,,33333.0,,64356.0,,,27143.0,70000.0,,,,,,
1973,,,,,48000.0,,,,,,39843.0,,,,,52857.0,65950.0,,,31429.0,,,62846.0,,,,87681.0,,,75915.0,46512.0,,,,72975.0,,,,52857.0,,,,16667.0,,,,,,,,,33333.0,,32231.0,,,31429.0,40000.0,,,,,,
