,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Croatia,Burkina Faso,Israel,Malta,Philippines,South Sudan,Brazil,Lao People's Democratic Republic,Australia & New Zealand,Cook Islands,Ethiopia,Yugoslav SFR,Pakistan,United States of America,Greece,Thailand,Zimbabwe,Iraq,Republic of Korea,Venezuela (Bolivarian Republic of),Cyprus,Guadeloupe,South Africa,Japan,New Zealand,Yemen,Portugal,Bahamas,Bangladesh,Iran (Islamic Republic of),French Polynesia,Algeria,Nepal,French Guiana,Argentina,Haiti,Paraguay,Georgia,Cuba,El Salvador,Morocco,Ethiopia PDR,Congo,Lebanon,Mexico,Uruguay,Ecuador,Spain,Jordan,Bosnia and Herzegovina,Réunion,China,Tunisia,Colombia,Libya,Albania,Jamaica,Uzbekistan,Occupied Palestinian Territory,Azerbaijan,Montenegro,Chile,Syrian Arab Republic,Australia,France,Egypt,Polynesia,"China, mainland",Sudan (former),Swaziland,Italy,Turkey
1961,-1.0,73684.0,124444.0,55477.0,50000.0,-1.0,-1.0,98462.0,-1.0,25111.0,-1.0,144089.0,58824.0,89327.0,187500.0,-1.0,-1.0,11047.0,127285.0,182100.0,147059.0,56250.0,-1.0,15709.0,-1.0,98200.0,-1.0,124029.0,123150.0,26571.0,-1.0,77000.0,-1.0,71429.0,42857.0,200000.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45455.0,-1.0,118182.0,87500.0,-1.0,181818.0,130000.0,-1.0,-1.0,-1.0,29379.0,-1.0,-1.0,119600.0,-1.0,93855.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91137.0,41818.0,107500.0,187654.0,25111.0,50000.0,-1.0,106250.0,66589.0
1962,-1.0,71429.0,122917.0,62992.0,50000.0,-1.0,-1.0,104231.0,-1.0,20917.0,-1.0,143941.0,59770.0,89633.0,187500.0,-1.0,-1.0,6731.0,125009.0,162067.0,147059.0,56250.0,-1.0,76545.0,-1.0,95250.0,-1.0,134013.0,112428.0,44000.0,-1.0,61500.0,-1.0,71429.0,41935.0,210000.0,68797.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45455.0,-1.0,100000.0,87500.0,-1.0,208678.0,98190.0,-1.0,-1.0,-1.0,32108.0,-1.0,-1.0,121438.0,-1.0,96047.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91137.0,28750.0,152500.0,187778.0,27059.0,50000.0,-1.0,94672.0,61238.0
1963,-1.0,71429.0,123529.0,67836.0,50000.0,-1.0,-1.0,130962.0,-1.0,20991.0,-1.0,145537.0,59770.0,95929.0,200000.0,-1.0,-1.0,9091.0,80632.0,173144.0,147059.0,57500.0,-1.0,39685.0,-1.0,95250.0,-1.0,131213.0,108562.0,36000.0,-1.0,42778.0,-1.0,71429.0,43750.0,220000.0,71333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45455.0,-1.0,120000.0,88235.0,-1.0,150079.0,118162.0,-1.0,-1.0,-1.0,29944.0,-1.0,-1.0,119733.0,-1.0,100300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98232.0,34375.0,98000.0,200220.0,23137.0,50000.0,-1.0,114960.0,70535.0
1964,-1.0,71429.0,122727.0,76759.0,50000.0,-1.0,-1.0,170192.0,-1.0,20882.0,-1.0,135657.0,60000.0,82839.0,215686.0,-1.0,-1.0,12088.0,140012.0,186665.0,147059.0,56471.0,-1.0,30639.0,-1.0,95250.0,-1.0,123238.0,121323.0,41667.0,-1.0,42105.0,-1.0,75000.0,41429.0,230000.0,69950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45833.0,-1.0,120000.0,88889.0,-1.0,141959.0,155600.0,-1.0,-1.0,-1.0,34818.0,-1.0,-1.0,131750.0,-1.0,98234.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84680.0,20313.0,137500.0,215825.0,27167.0,50000.0,-1.0,115352.0,41555.0
1965,-1.0,72727.0,122807.0,78385.0,50000.0,-1.0,-1.0,161154.0,-1.0,23964.0,-1.0,144106.0,61111.0,92178.0,211009.0,-1.0,-1.0,11413.0,137524.0,157944.0,147059.0,56471.0,-1.0,19089.0,-1.0,98200.0,-1.0,157290.0,115538.0,38571.0,-1.0,57023.0,-1.0,71429.0,40526.0,240000.0,68501.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46154.0,-1.0,95833.0,89474.0,-1.0,130384.0,143478.0,-1.0,-1.0,-1.0,35578.0,-1.0,-1.0,152500.0,-1.0,100663.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94710.0,9629.0,140476.0,211273.0,27419.0,50000.0,-1.0,120544.0,51722.0
1966,-1.0,71304.0,125219.0,85672.0,50000.0,-1.0,-1.0,170000.0,-1.0,25195.0,-1.0,134235.0,60000.0,69114.0,220183.0,-1.0,-1.0,96183.0,223425.0,186521.0,141026.0,58824.0,-1.0,23879.0,-1.0,95250.0,-1.0,111911.0,138013.0,36404.0,-1.0,54545.0,-1.0,57143.0,42308.0,250000.0,71166.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46154.0,-1.0,121273.0,90000.0,-1.0,138435.0,160662.0,256386.0,-1.0,-1.0,37811.0,-1.0,-1.0,161000.0,-1.0,102096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70942.0,21415.0,170478.0,220455.0,28462.0,50000.0,-1.0,128667.0,72464.0
1967,-1.0,70833.0,125600.0,87882.0,50000.0,-1.0,-1.0,177308.0,-1.0,25282.0,-1.0,127801.0,60000.0,85465.0,229358.0,-1.0,-1.0,96094.0,236054.0,134505.0,141026.0,58824.0,-1.0,12230.0,-1.0,98438.0,-1.0,170150.0,115219.0,35842.0,-1.0,55000.0,-1.0,57143.0,43284.0,260000.0,70785.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46154.0,-1.0,129464.0,90909.0,-1.0,115670.0,157895.0,242073.0,-1.0,-1.0,37483.0,-1.0,-1.0,152727.0,-1.0,103250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88349.0,40917.0,168617.0,229636.0,27391.0,50000.0,-1.0,113394.0,91126.0
1968,-1.0,72917.0,126486.0,89947.0,50000.0,-1.0,-1.0,210615.0,-1.0,24741.0,-1.0,135530.0,60204.0,96660.0,238532.0,-1.0,-1.0,100000.0,183244.0,124356.0,141026.0,58824.0,-1.0,15793.0,-1.0,97688.0,-1.0,151950.0,155865.0,49533.0,-1.0,54816.0,-1.0,57143.0,42843.0,135000.0,82889.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46154.0,-1.0,127513.0,90909.0,-1.0,133242.0,140580.0,147701.0,-1.0,-1.0,37964.0,-1.0,-1.0,143200.0,-1.0,99846.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99320.0,83852.0,113926.0,236667.0,26957.0,50000.0,-1.0,135808.0,74667.0
1969,-1.0,72143.0,130467.0,80100.0,50000.0,-1.0,-1.0,226000.0,-1.0,32580.0,-1.0,138641.0,60000.0,82346.0,247706.0,-1.0,-1.0,101835.0,170795.0,119962.0,141026.0,58824.0,-1.0,6893.0,-1.0,93800.0,-1.0,160173.0,128499.0,30556.0,-1.0,61202.0,-1.0,68020.0,42697.0,140000.0,77699.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46429.0,-1.0,125116.0,95455.0,-1.0,108839.0,165863.0,-1.0,-1.0,-1.0,37230.0,-1.0,-1.0,135714.0,-1.0,101186.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86322.0,96454.0,156436.0,245766.0,27463.0,50000.0,-1.0,130190.0,77349.0
1970,-1.0,70625.0,125893.0,92024.0,50000.0,-1.0,-1.0,227391.0,-1.0,30188.0,-1.0,139377.0,59048.0,88183.0,256881.0,-1.0,-1.0,101770.0,176007.0,128354.0,141026.0,58824.0,-1.0,8712.0,-1.0,95081.0,-1.0,132970.0,156564.0,43793.0,-1.0,69194.0,-1.0,55508.0,43750.0,145000.0,79414.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46429.0,-1.0,118183.0,95455.0,-1.0,105642.0,172822.0,-1.0,-1.0,-1.0,34811.0,-1.0,-1.0,129143.0,-1.0,103023.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91778.0,93467.0,122428.0,254865.0,22192.0,50000.0,-1.0,129112.0,83672.0
