,Paraguay,Brazil,Burundi,Ethiopia,Sudan (former),Argentina
1961,16000.0,131648.0,-1,-1,-1.0,131000.0
1962,16000.0,136026.0,-1,-1,-1.0,141000.0
1963,20000.0,125051.0,-1,-1,-1.0,122000.0
1964,22000.0,127770.0,-1,-1,-1.0,130000.0
1965,25000.0,123325.0,-1,-1,-1.0,118000.0
1966,26000.0,122834.0,-1,-1,-1.0,114000.0
1967,18000.0,106460.0,-1,-1,-1.0,111000.0
1968,19000.0,97272.0,-1,-1,-1.0,119400.0
1969,20000.0,100535.0,-1,-1,-1.0,100400.0
1970,19530.0,113460.0,-1,-1,-1.0,112900.0
1971,15760.0,105897.0,-1,-1,-1.0,113008.0
1972,18400.0,105000.0,-1,-1,-1.0,126561.0
1973,16560.0,104287.0,-1,-1,-1.0,127636.0
1974,18550.0,86136.0,-1,-1,-1.0,122518.0
1975,19850.0,94636.0,-1,-1,-1.0,138673.0
1976,20370.0,86539.0,-1,-1,-1.0,151924.0
1977,22400.0,94695.0,-1,-1,-1.0,147816.0
1978,24640.0,85481.0,-1,-1,-1.0,133436.0
1979,25870.0,84035.0,-1,-1,-1.0,143146.0
1980,30000.0,105004.0,-1,-1,-1.0,134813.0
1981,35000.0,101878.0,-1,-1,-1.0,139745.0
1982,41163.0,98875.0,-1,-1,-1.0,161371.0
1983,40560.0,121501.0,-1,-1,-1.0,136210.0
1984,41786.0,128663.0,-1,-1,-1.0,181625.0
1985,43039.0,138177.0,-1,-1,-1.0,154469.0
1986,44331.0,161770.0,-1,-1,-1.0,155740.0
1987,45520.0,203658.0,-1,-1,-1.0,131995.0
1988,49935.0,209174.0,-1,-1,-1.0,137401.0
1989,53430.0,190872.0,-1,-1,-1.0,144838.0
1990,57812.0,147072.0,-1,-1,0.0,155830.0
1991,62553.0,166431.0,-1,-1,-1.0,160761.0
1992,63040.0,145973.0,-1,-1,-1.0,172455.0
1993,64151.0,227338.0,-1,-1,-1.0,221321.0
1994,63361.0,222377.0,-1,-1,-1.0,240414.0
1995,63864.0,247214.0,-1,-1,-1.0,260718.0
1996,64531.0,214576.0,-1,-1,-1.0,269970.0
1997,65901.0,307327.0,-1,-1,-1.0,281573.0
1998,66470.0,424433.0,-1,-1,-1.0,286770.0
1999,67173.0,462665.0,-1,-1,-1.0,310000.0
2000,58743.0,522019.0,-1,-1,-1.0,285000.0
2001,68910.0,645765.0,-1,-1,-1.0,310000.0
2002,136589.0,513526.0,-1,-1,-1.0,285000.0
2003,89042.0,501702.0,-1,-1,-1.0,285000.0
2004,76723.0,403281.0,-1,-1,-1.0,251922.0
2005,74000.0,429730.0,-1,-1,-1.0,265181.0
2006,86080.0,434483.0,-1,-1,-1.0,280000.0
2007,87500.0,438474.0,-1,-1,-1.0,290000.0
2008,76663.0,434727.0,-1,-1,-1.0,237858.0
2009,76726.0,443126.0,-1,-1,-1.0,228499.0
2010,85490.0,602559.0,-1,-1,-1.0,250723.0
2011,85490.0,443635.0,-1,-1,-1.0,245399.0
2012,57350.0,513256.0,-1,-1,-1.0,250928.0
2013,85834.0,515451.0,-1,-1,-1.0,241365.0
2014,92000.0,602559.0,-1,-1,-1.0,237114.0
