,Madagascar,Mali,Brazil,Guyana
1961,42000.0,7000.0,251550.0,-1.0
1962,42000.0,30000.0,288961.0,-1.0
1963,44000.0,30000.0,341388.0,-1.0
1964,44000.0,30000.0,311816.0,-1.0
1965,45000.0,36000.0,340244.0,-1.0
1966,45000.0,36000.0,339770.0,-1.0
1967,45000.0,36000.0,408448.0,-1.0
1968,46000.0,36000.0,454004.0,-1.0
1969,46000.0,45000.0,447717.0,-1.0
1970,46000.0,45000.0,405762.0,-1.0
1971,47000.0,45000.0,543464.0,-1.0
1972,47000.0,45000.0,494774.0,-1.0
1973,47000.0,45000.0,387320.0,-1.0
1974,48000.0,48000.0,478982.0,-1.0
1975,50000.0,48000.0,466129.0,-1.0
1976,50000.0,48000.0,620789.0,-1.0
1977,50000.0,48000.0,671273.0,-1.0
1978,52000.0,48000.0,920438.0,-1.0
1979,52725.0,48000.0,585876.0,-1.0
1980,56860.0,54000.0,660054.0,-1.0
1981,57015.0,54000.0,735214.0,-1.0
1982,58000.0,54000.0,941663.0,-1.0
1983,59000.0,54000.0,353134.0,-1.0
1984,60000.0,54000.0,1129738.0,-1.0
1985,62500.0,60000.0,1141675.0,-1.0
1986,61700.0,60000.0,820576.0,-1.0
1987,62000.0,60000.0,1043747.0,-1.0
1988,63000.0,60000.0,1100000.0,-1.0
1989,64000.0,63000.0,1250000.0,-1.0
1990,65000.0,61106.0,1350000.0,-1.0
1991,65269.0,77551.0,1500000.0,-1.0
1992,66000.0,72000.0,1650000.0,-1.0
1993,66500.0,84867.0,1700000.0,-1.0
1994,65000.0,90000.0,1550000.0,-1.0
1995,66000.0,94271.0,1600000.0,-1.0
1996,67000.0,97065.0,1650000.0,-1.0
1997,68000.0,100000.0,1700000.0,-1.0
1998,68103.0,106070.0,1450000.0,-1.0
1999,69000.0,106660.0,1500000.0,-1.0
2000,68000.0,110000.0,1570922.0,8.0
2001,68350.0,112386.0,1550000.0,7.0
2002,68616.0,120000.0,1600000.0,7.0
2003,68860.0,117441.0,1603000.0,6.0
2004,69118.0,118382.0,1610000.0,6.0
2005,69377.0,122506.0,1650000.0,6.0
2006,69000.0,120600.0,1660000.0,5.0
2007,70000.0,120600.0,1675492.0,5.0
2008,71086.0,127000.0,1688367.0,5.0
2009,71907.0,134000.0,1707853.0,5.0
2010,72722.0,134000.0,1729722.0,5.0
2011,73601.0,122000.0,1747476.0,5.0
2012,75000.0,89572.0,1805000.0,5.0
2013,74900.0,39498.0,1805000.0,5.0
2014,74900.0,72009.0,1743020.0,5.0
