,Ukraine,Germany,Chile,Belarus,USSR,Estonia,Bulgaria,United States of America,Romania,Azerbaijan,France,Poland,Canada,The former Yugoslav Republic of Macedonia,Spain,Tunisia,Latvia,Turkey
1961,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,56082.0,-1.0,-1.0,-1.0,-1,326.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,60078.0,-1.0,-1.0,-1.0,-1,240.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,56903.0,-1.0,-1.0,-1.0,-1,485.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,60078.0,-1.0,-1.0,-1.0,-1,472.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,64537.0,-1.0,-1.0,-1.0,-1,703.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,71286.0,-1.0,-1.0,-1.0,-1,815.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,63698.0,-1.0,-1.0,-1.0,-1,1105.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,66533.0,-1.0,-1.0,-1.0,-1,1451.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,82694.0,-1.0,-1.0,-1.0,-1,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,92378.0,-1.0,-1.0,-1.0,-1,2686.0,-1.0,-1.0,-1.0,-1.0,-1.0
1971,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,102729.0,-1.0,-1.0,-1.0,-1,4796.0,-1.0,-1.0,-1.0,-1.0,-1.0
1972,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,94256.0,-1.0,-1.0,-1.0,-1,3559.0,-1.0,-1.0,-1.0,-1.0,-1.0
1973,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,95268.0,-1.0,-1.0,-1.0,-1,5289.0,-1.0,-1.0,-1.0,-1.0,-1.0
1974,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,101423.0,-1.0,-1.0,-1.0,-1,4270.0,-1.0,-1.0,-1.0,-1.0,-1.0
