,Ukraine,Kenya,"China, Hong Kong SAR","China, Taiwan Province of",Sweden,Malaysia,Israel,Malta,Tunisia,Philippines,Iran (Islamic Republic of),Denmark,Indonesia,Canada,The former Yugoslav Republic of Macedonia,Japan,Pakistan,Switzerland,Iraq,Republic of Korea,Venezuela (Bolivarian Republic of),Belgium,Cyprus,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Bangladesh,Slovenia,Kuwait,Senegal,Czechia,Netherlands,Haiti,Costa Rica,Germany,Austria,Czechoslovakia,United Arab Emirates,Congo,Lebanon,Mexico,Qatar,Romania,Italy,Spain,Egypt,China,Ireland,Colombia,Albania,Portugal,Slovakia,Jamaica,Brunei Darussalam,Occupied Palestinian Territory,Hungary,Greece,Australia,Singapore,France,Jordan,Lithuania,Peru,Finland,"China, mainland",Turkey,Belgium-Luxembourg
1961,-1.0,-1.0,3315.0,-1.0,10400.0,-1.0,800.0,-1.0,9000.0,-1.0,-1.0,2000.0,-1.0,5224.0,-1.0,258450.0,-1.0,1900.0,6000.0,8413.0,-1.0,-1.0,100.0,-1.0,3000.0,1669.0,189129.0,6200.0,-1.0,-1.0,-1,-1.0,39062.0,240.0,-1.0,72700.0,1001.0,4000.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1.0,93400.0,29000.0,24000.0,2003315.0,-1,900.0,-1.0,-1.0,-1.0,1334.0,-1.0,-1.0,8321.0,10302.0,1669.0,-1.0,83760.0,-1.0,-1.0,1400.0,-1.0,2000000.0,77000.0,8080.0
1962,-1.0,-1.0,3063.0,-1.0,8600.0,-1.0,800.0,-1.0,9000.0,-1.0,-1.0,3000.0,-1.0,4951.0,-1.0,275300.0,-1.0,1800.0,6000.0,9224.0,-1.0,-1.0,100.0,-1.0,3000.0,1899.0,161895.0,6300.0,-1.0,-1.0,-1,-1.0,43500.0,250.0,-1.0,58300.0,923.0,4000.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1.0,85400.0,30000.0,22000.0,1533063.0,-1,930.0,-1.0,-1.0,-1.0,862.0,-1.0,-1.0,5296.0,8920.0,1899.0,-1.0,83780.0,-1.0,-1.0,1400.0,-1.0,1530000.0,80000.0,6175.0
1963,-1.0,-1.0,3271.0,-1.0,10600.0,-1.0,800.0,-1.0,9000.0,-1.0,-1.0,3600.0,-1.0,4939.0,-1.0,310900.0,-1.0,1300.0,6464.0,7410.0,-1.0,-1.0,100.0,-1.0,3500.0,1924.0,191633.0,6400.0,-1.0,-1.0,-1,-1.0,43401.0,260.0,-1.0,73200.0,1522.0,4000.0,-1.0,-1.0,2400.0,-1.0,-1.0,-1.0,108100.0,32000.0,23000.0,1368271.0,-1,950.0,-1.0,-1.0,-1.0,1334.0,-1.0,-1.0,7135.0,11663.0,1924.0,-1.0,87500.0,-1.0,-1.0,1450.0,-1.0,1365000.0,82000.0,12350.0
1964,-1.0,-1.0,2441.0,-1.0,12300.0,-1.0,686.0,-1.0,9200.0,-1.0,-1.0,3626.0,-1.0,5621.0,-1.0,301200.0,-1.0,1900.0,4308.0,3361.0,-1.0,-1.0,100.0,-1.0,3500.0,2191.0,181172.0,6500.0,-1.0,-1.0,-1,-1.0,48379.0,270.0,-1.0,72200.0,1371.0,4000.0,-1.0,-1.0,2800.0,-1.0,-1.0,-1.0,100200.0,34000.0,23000.0,1222441.0,-1,970.0,-1.0,-1.0,-1.0,1334.0,-1.0,-1.0,5997.0,12442.0,2191.0,-1.0,85270.0,-1.0,-1.0,1450.0,-1.0,1220000.0,85000.0,14560.0
1965,-1.0,-1.0,1857.0,-1.0,8100.0,-1.0,844.0,-1.0,15550.0,-1.0,-1.0,2530.0,-1.0,5058.0,-1.0,323600.0,-1.0,2300.0,9208.0,7881.0,-1.0,-1.0,100.0,-1.0,3500.0,2604.0,158802.0,6600.0,-1.0,-1.0,-1,-1.0,36988.0,280.0,-1.0,67400.0,1793.0,4409.0,-1.0,-1.0,2800.0,-1.0,-1.0,-1.0,97950.0,30000.0,30000.0,1286857.0,-1,1000.0,-1.0,-1.0,-1.0,1334.0,-1.0,-1.0,1687.0,12900.0,2604.0,-1.0,95320.0,-1.0,-1.0,1500.0,-1.0,1285000.0,88100.0,13880.0
1966,-1.0,-1.0,15000.0,-1.0,9800.0,-1.0,1250.0,-1.0,17100.0,-1.0,-1.0,2161.0,-1.0,4948.0,-1.0,342700.0,-1.0,2400.0,9477.0,8452.0,-1.0,-1.0,100.0,-1.0,4000.0,3005.0,172047.0,6700.0,-1.0,-1.0,-1,-1.0,41295.0,290.0,-1.0,79981.0,1358.0,4928.0,200.0,-1.0,2800.0,-1.0,-1.0,-1.0,95800.0,29400.0,29807.0,1300000.0,-1,1030.0,-1.0,-1.0,-1.0,1334.0,-1.0,-1.0,2000.0,12572.0,3005.0,-1.0,100980.0,-1.0,-1.0,1488.0,-1.0,1285000.0,80600.0,13000.0
1967,-1.0,-1.0,18000.0,-1.0,13100.0,-1.0,850.0,-1.0,20100.0,-1.0,-1.0,3147.0,-1.0,2844.0,-1.0,341200.0,-1.0,1900.0,10832.0,7881.0,-1.0,-1.0,100.0,-1.0,4334.0,3036.0,182615.0,6800.0,-1.0,-1.0,-1,-1.0,50013.0,300.0,-1.0,66208.0,1794.0,6917.0,220.0,-1.0,1716.0,-1.0,-1.0,-1.0,102800.0,33800.0,27560.0,1323000.0,-1,1060.0,-1.0,-1.0,-1.0,1089.0,-1.0,-1.0,2000.0,12470.0,3036.0,-1.0,99550.0,-1.0,-1.0,2254.0,-1.0,1305000.0,95000.0,12650.0
1968,-1.0,-1.0,15000.0,-1.0,9600.0,-1.0,900.0,-1.0,22300.0,-1.0,-1.0,1897.0,-1.0,4028.0,-1.0,366500.0,-1.0,1900.0,10520.0,7637.0,-1.0,-1.0,100.0,-1.0,6137.0,2725.0,176338.0,6800.0,-1.0,-1.0,-1,-1.0,53278.0,300.0,-1.0,62801.0,3146.0,8008.0,230.0,-1.0,941.0,-1.0,-1.0,-1.0,107100.0,35000.0,41000.0,1345000.0,-1,1100.0,-1.0,-1.0,-1.0,998.0,-1.0,-1.0,1984.0,16384.0,2725.0,-1.0,98650.0,-1.0,-1.0,2152.0,-1.0,1330000.0,104965.0,11400.0
1969,-1.0,-1.0,16000.0,-1.0,9200.0,-1.0,900.0,-1.0,17900.0,-1.0,-1.0,1959.0,-1.0,2457.0,-1.0,365300.0,-1.0,8200.0,9977.0,37987.0,-1.0,-1.0,100.0,-1.0,4856.0,2739.0,150638.0,7000.0,-1.0,-1.0,-1,-1.0,56237.0,300.0,-1.0,60100.0,2312.0,6695.0,240.0,-1.0,1216.0,-1.0,-1.0,-1.0,104043.0,34700.0,38000.0,1456000.0,-1,1140.0,-1.0,-1.0,-1.0,998.0,-1.0,-1.0,1293.0,17875.0,2739.0,-1.0,96120.0,-1.0,-1.0,3980.0,-1.0,1440000.0,106323.0,10100.0
1970,-1.0,-1.0,20000.0,-1.0,15100.0,-1.0,1000.0,-1.0,19500.0,-1.0,-1.0,2012.0,-1.0,2396.0,-1.0,364800.0,-1.0,9000.0,8092.0,32339.0,-1.0,-1.0,100.0,-1.0,5161.0,3384.0,164744.0,7100.0,-1.0,-1.0,-1,-1.0,47923.0,320.0,-1.0,66604.0,2417.0,8548.0,255.0,-1.0,1213.0,-1.0,-1.0,-1.0,101600.0,28800.0,42000.0,1090000.0,-1,1180.0,-1.0,-1.0,-1.0,998.0,-1.0,-1.0,1879.0,21741.0,3384.0,-1.0,95570.0,-1.0,-1.0,7700.0,-1.0,1070000.0,123000.0,9500.0
