,Switzerland,Israel,Uzbekistan,Romania,Jordan,Egypt,Mexico,Kenya,France,Zimbabwe,Costa Rica,Italy,Lebanon,Turkey,Tunisia,Cyprus,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Greece,Morocco,"China, mainland",Chile,Algeria,Argentina,Peru,Spain,Lithuania,Syrian Arab Republic,Occupied Palestinian Territory,Malta
1961,,65000.0,,,,95238.0,,,79566.0,,,90630.0,256000.0,83333.0,60000.0,135849.0,,,,67247.0,59762.0,46667.0,,68750.0,76000.0,120000.0,129630.0,90457.0,,,,
1962,,64000.0,,,,142857.0,,,76420.0,,,71375.0,256000.0,80000.0,61176.0,135185.0,,,,61656.0,68977.0,40000.0,,70588.0,74000.0,121838.0,129630.0,83212.0,,,,
1963,,65000.0,,,,190476.0,,,58105.0,,,52766.0,256000.0,79412.0,60000.0,134545.0,,,,67260.0,88345.0,42593.0,,70588.0,80000.0,103607.0,129630.0,102585.0,,,,
1964,,65714.0,,,,178571.0,,,70749.0,,,95228.0,264000.0,80000.0,60833.0,135714.0,,,,72914.0,84936.0,42353.0,,71429.0,61947.0,141919.0,129630.0,83448.0,,,,
1965,,75000.0,,,,190476.0,,,74569.0,,,97764.0,150000.0,80556.0,61000.0,135104.0,,,,78461.0,96242.0,41667.0,,71429.0,77193.0,173333.0,129630.0,87577.0,,,,
1966,,81928.0,,,,172045.0,,,73212.0,,,97321.0,160000.0,80000.0,59375.0,138231.0,,,,84120.0,90160.0,39785.0,,70270.0,62112.0,184063.0,128073.0,89005.0,,,,
1967,,79787.0,,,,185973.0,,,66232.0,,,101021.0,160000.0,79487.0,60000.0,135260.0,,,,85230.0,80736.0,40000.0,,71875.0,60415.0,190453.0,143719.0,88730.0,,,,
1968,,100000.0,,,,261905.0,,,81441.0,,,91662.0,115111.0,80100.0,60000.0,136106.0,,,,67251.0,76248.0,41667.0,,70000.0,60214.0,200643.0,144800.0,84276.0,,,,
1969,,67424.0,,,,285714.0,,,82126.0,,,102414.0,115111.0,79955.0,60588.0,136886.0,,,,72917.0,99040.0,40741.0,,70370.0,73856.0,192899.0,132609.0,76545.0,,,,
1970,,65979.0,,,,238095.0,,,74012.0,,,105839.0,118537.0,80000.0,60000.0,108547.0,,,,68380.0,93754.0,41667.0,,70833.0,97840.0,183946.0,94182.0,98503.0,,,,
1971,,63682.0,,,,261905.0,,,81253.0,,,115167.0,128478.0,80000.0,65657.0,110000.0,,,,80710.0,96628.0,42593.0,,72500.0,89768.0,184565.0,91200.0,92583.0,,,,
1972,,61438.0,,,,285714.0,,,79612.0,,,120580.0,125000.0,72727.0,69167.0,97633.0,,,,71694.0,104002.0,41667.0,,68421.0,61033.0,190421.0,89450.0,116284.0,,,,
1973,,56034.0,,,40000.0,190476.0,,,74266.0,,,112008.0,119608.0,80000.0,49524.0,88594.0,,,,56044.0,127385.0,41667.0,,68750.0,84614.0,187841.0,98000.0,114291.0,,,,
1974,,66667.0,,,,357143.0,,,73540.0,,,119522.0,125077.0,78571.0,52273.0,90391.0,,,,72848.0,127549.0,46552.0,,68750.0,72073.0,187907.0,92971.0,112910.0,,,,
1975,,118750.0,,,,333333.0,,,62914.0,,,126577.0,120000.0,80000.0,61765.0,63342.0,,,,80654.0,106633.0,46552.0,,71429.0,62803.0,190174.0,68828.0,117306.0,,,,
1976,,58222.0,,,50000.0,234181.0,,,56841.0,,,128481.0,120000.0,78947.0,54167.0,67157.0,,,,85219.0,82718.0,46667.0,,70000.0,72619.0,177305.0,69310.0,105581.0,,,,
1977,,73846.0,,,125000.0,200719.0,,,76735.0,,,111755.0,120000.0,80000.0,59574.0,67747.0,,,,73990.0,82715.0,46774.0,,70588.0,55352.0,185000.0,63944.0,102327.0,,,,
