,Slovakia,India,The former Yugoslav Republic of Macedonia,Occupied Palestinian Territory,Austria,Hungary,Czechoslovakia,Serbia and Montenegro,Serbia,Germany,Yugoslav SFR,Bulgaria,Romania,Italy,France,Croatia,Netherlands,Denmark,Czechia,Spain,Turkey
1961,-1.0,-1,-1.0,-1.0,1166.0,18821.0,20863.0,-1.0,-1.0,4507.0,5530.0,1026.0,8400.0,546.0,445.0,-1.0,453.0,241.0,-1.0,-1.0,38700.0
1962,-1.0,-1,-1.0,-1.0,1389.0,10553.0,20705.0,-1.0,-1.0,7951.0,3410.0,659.0,6100.0,220.0,666.0,-1.0,54.0,36.0,-1.0,-1.0,36000.0
1963,-1.0,-1,-1.0,-1.0,1351.0,11968.0,16315.0,-1.0,-1.0,6671.0,3550.0,900.0,5000.0,-1.0,550.0,-1.0,16.0,5.0,-1.0,-1.0,38000.0
1964,-1.0,-1,-1.0,-1.0,1266.0,10590.0,14561.0,-1.0,-1.0,4718.0,3360.0,345.0,5700.0,-1.0,489.0,-1.0,30.0,5.0,-1.0,-1.0,28000.0
1965,-1.0,-1,-1.0,-1.0,414.0,11998.0,12105.0,-1.0,-1.0,3320.0,4100.0,290.0,5600.0,-1.0,650.0,-1.0,150.0,138.0,-1.0,-1.0,22300.0
1966,-1.0,-1,-1.0,-1.0,361.0,17067.0,11643.0,-1.0,-1.0,2635.0,2110.0,454.0,6500.0,-1.0,519.0,-1.0,577.0,143.0,-1.0,-1.0,24000.0
1967,-1.0,-1,-1.0,-1.0,348.0,18277.0,13432.0,-1.0,-1.0,2069.0,3030.0,624.0,7000.0,-1.0,373.0,-1.0,211.0,70.0,-1.0,-1.0,20600.0
1968,-1.0,-1,-1.0,-1.0,325.0,12487.0,12410.0,-1.0,-1.0,1222.0,2470.0,1064.0,5100.0,-1.0,460.0,-1.0,136.0,44.0,-1.0,-1.0,13000.0
1969,-1.0,-1,-1.0,-1.0,152.0,9941.0,11706.0,-1.0,-1.0,831.0,2247.0,570.0,6400.0,-1.0,407.0,-1.0,431.0,671.0,-1.0,-1.0,12923.0
1970,-1.0,-1,-1.0,-1.0,167.0,9600.0,9720.0,-1.0,-1.0,1288.0,2136.0,183.0,6400.0,-1.0,500.0,-1.0,634.0,1718.0,-1.0,-1.0,7045.0
1971,-1.0,-1,-1.0,-1.0,145.0,10800.0,8256.0,-1.0,-1.0,1219.0,3462.0,265.0,6200.0,-1.0,300.0,-1.0,878.0,2551.0,-1.0,-1.0,13374.0
1972,-1.0,-1,-1.0,-1.0,142.0,10800.0,6921.0,-1.0,-1.0,1465.0,3045.0,122.0,6300.0,-1.0,1900.0,-1.0,1163.0,2713.0,-1.0,-1.0,6383.0
1973,-1.0,-1,-1.0,-1.0,135.0,5600.0,7656.0,-1.0,-1.0,2407.0,3318.0,141.0,4800.0,-1.0,2800.0,-1.0,2132.0,1604.0,-1.0,-1.0,7000.0
1974,-1.0,-1,-1.0,-1.0,136.0,5500.0,9868.0,-1.0,-1.0,2791.0,2953.0,127.0,5700.0,-1.0,1700.0,-1.0,1464.0,818.0,-1.0,-1.0,7000.0
1975,-1.0,-1,-1.0,-1.0,167.0,6200.0,9169.0,-1.0,-1.0,2468.0,3836.0,269.0,6500.0,-1.0,1310.0,-1.0,2115.0,1209.0,-1.0,-1.0,8570.0
1976,-1.0,-1,-1.0,-1.0,218.0,5021.0,7445.0,-1.0,-1.0,2089.0,4450.0,522.0,8200.0,-1.0,1310.0,-1.0,4244.0,2404.0,-1.0,-1.0,22077.0
1977,-1.0,-1,-1.0,-1.0,218.0,9619.0,10484.0,-1.0,-1.0,2207.0,9220.0,258.0,9200.0,-1.0,5103.0,-1.0,5479.0,2791.0,-1.0,-1.0,72072.0
1978,-1.0,-1,-1.0,-1.0,191.0,13317.0,11981.0,-1.0,-1.0,4747.0,3632.0,66.0,8400.0,-1.0,6754.0,-1.0,2566.0,746.0,-1.0,-1.0,50647.0
1979,-1.0,-1,-1.0,-1.0,96.0,6757.0,12457.0,-1.0,-1.0,4525.0,2769.0,103.0,7900.0,-1.0,6000.0,-1.0,696.0,157.0,-1.0,-1.0,17868.0
1980,-1.0,-1,-1.0,-1.0,246.0,6601.0,11614.0,-1.0,-1.0,4341.0,2147.0,-1.0,8300.0,-1.0,5500.0,-1.0,238.0,150.0,-1.0,-1.0,19436.0
1981,-1.0,-1,-1.0,-1.0,202.0,8019.0,10329.0,-1.0,-1.0,4842.0,1909.0,-1.0,8100.0,-1.0,5000.0,-1.0,246.0,257.0,-1.0,-1.0,15330.0
1982,-1.0,-1,-1.0,-1.0,134.0,8616.0,8381.0,-1.0,-1.0,5365.0,2309.0,-1.0,6300.0,-1.0,5500.0,-1.0,1922.0,1936.0,-1.0,-1.0,8532.0
1983,-1.0,-1,-1.0,-1.0,167.0,8086.0,7587.0,-1.0,-1.0,6940.0,3548.0,-1.0,6000.0,-1.0,3500.0,-1.0,2388.0,2616.0,-1.0,-1.0,7003.0
1984,-1.0,-1,-1.0,-1.0,418.0,6657.0,9263.0,-1.0,-1.0,7550.0,4337.0,-1.0,6500.0,-1.0,3400.0,-1.0,2396.0,2000.0,-1.0,3440.0,12570.0
1985,-1.0,-1,-1.0,-1.0,218.0,6030.0,9888.0,-1.0,-1.0,6952.0,1936.0,-1.0,6500.0,-1.0,3000.0,-1.0,722.0,750.0,-1.0,110.0,4863.0
1986,-1.0,-1,-1.0,-1.0,183.0,6302.0,9203.0,-1.0,-1.0,5621.0,490.0,-1.0,1000.0,-1.0,3000.0,-1.0,199.0,750.0,-1.0,220.0,5404.0
1987,-1.0,-1,-1.0,-1.0,381.0,6322.0,8700.0,-1.0,-1.0,5025.0,498.0,-1.0,1200.0,-1.0,2500.0,-1.0,253.0,500.0,-1.0,330.0,6173.0
1988,-1.0,-1,-1.0,-1.0,646.0,7915.0,7600.0,-1.0,-1.0,4030.0,838.0,-1.0,1500.0,-1.0,1800.0,-1.0,645.0,400.0,-1.0,1660.0,18260.0
1989,-1.0,-1,-1.0,-1.0,851.0,8500.0,10765.0,-1.0,-1.0,4961.0,1702.0,-1.0,1000.0,-1.0,1100.0,-1.0,574.0,350.0,-1.0,1110.0,8344.0
1990,-1.0,-1,-1.0,-1.0,706.0,3146.0,12884.0,-1.0,-1.0,4500.0,1542.0,0.0,1300.0,-1.0,900.0,-1.0,264.0,200.0,-1.0,1440.0,9025.0
1991,-1.0,-1,-1.0,-1.0,430.0,5653.0,13709.0,-1.0,-1.0,4297.0,1200.0,0.0,700.0,-1.0,1800.0,-1.0,366.0,65.0,-1.0,330.0,27030.0
1992,-1.0,-1,373.0,-1.0,455.0,4937.0,14757.0,522.0,-1.0,4155.0,-1.0,0.0,300.0,-1.0,3800.0,53.0,100.0,30.0,-1.0,1880.0,16393.0
1993,4300.0,-1,910.0,-1.0,551.0,3755.0,-1.0,645.0,-1.0,4000.0,-1.0,-1.0,200.0,-1.0,4000.0,75.0,1000.0,100.0,8814.0,1020.0,6941.0
