,Italy,Lithuania
1961,9000.0,-1.0
1962,9000.0,-1.0
1963,9000.0,-1.0
1964,10000.0,-1.0
1965,10000.0,-1.0
1966,10000.0,-1.0
1967,10000.0,-1.0
1968,10000.0,-1.0
1969,9000.0,-1.0
1970,9000.0,-1.0
1971,8000.0,-1.0
1972,8000.0,-1.0
1973,9000.0,-1.0
1974,10000.0,-1.0
1975,10000.0,-1.0
1976,10000.0,-1.0
1977,10000.0,-1.0
1978,5000.0,-1.0
1979,10000.0,-1.0
1980,12000.0,-1.0
1981,10000.0,-1.0
1982,11000.0,-1.0
1983,13000.0,-1.0
1984,15000.0,-1.0
1985,11000.0,-1.0
1986,14000.0,-1.0
1987,11000.0,-1.0
1988,11000.0,-1.0
1989,12000.0,-1.0
1990,12000.0,-1.0
1991,12000.0,-1.0
1992,11000.0,3000.0
1993,11000.0,3500.0
1994,12000.0,4000.0
1995,12000.0,5000.0
1996,12000.0,5800.0
1997,12000.0,5900.0
1998,12000.0,5500.0
1999,12000.0,5200.0
2000,12000.0,6000.0
2001,12000.0,5800.0
2002,12000.0,9000.0
2003,12000.0,6000.0
2004,12000.0,6000.0
2005,12000.0,6000.0
2006,12000.0,6000.0
2007,12000.0,4800.0
2008,12000.0,4800.0
2009,14000.0,3800.0
2010,14000.0,4800.0
2011,14000.0,5000.0
2012,14000.0,5000.0
2013,14000.0,4000.0
2014,14000.0,4000.0
