,Kenya,Peru,Yemen,Belarus,Croatia,Myanmar,India,Armenia,Syrian Arab Republic,Martinique,Nepal,Ethiopia,Canada,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Iraq,Malawi,Cyprus,Spain,Eritrea,Bulgaria,Australia & New Zealand,Bangladesh,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Czechoslovakia,Madagascar,Tajikistan,Czechia,Argentina,Ukraine,Germany,Morocco,Ethiopia PDR,USSR,Mexico,Romania,Ecuador,Egypt,Bosnia and Herzegovina,China,Tunisia,Colombia,Libya,Yugoslav SFR,Slovakia,Lebanon,Uzbekistan,United States of America,Occupied Palestinian Territory,Azerbaijan,Hungary,Chile,Israel,Australia,France,Jordan,"China, mainland",Russian Federation,New Zealand,Italy,Turkey
1961,-1.0,2100.0,-1.0,-1,-1.0,1538.0,791149.0,-1.0,57653.0,-1.0,68000.0,-1.0,-1.0,-1.0,23909.0,78105.0,11650.0,-1.0,1271.0,45000.0,-1.0,2821.0,0.0,62727.0,41000.0,-1.0,20650.0,-1.0,1684.0,500.0,-1.0,-1.0,9800.0,-1.0,12.0,20000.0,80000.0,32000.0,4447.0,1800.0,10007.0,26636.0,-1,-1.0,2209.0,17700.0,-1.0,1200.0,-1.0,1600.0,-1.0,14973.0,-1.0,-1.0,5791.0,28810.0,695.0,-1.0,12800.0,16550.0,-1.0,-1.0,-1.0,21866.0,101000.0
1962,-1.0,2140.0,-1.0,-1,-1.0,1114.0,770915.0,-1.0,81200.0,-1.0,70000.0,-1.0,-1.0,-1.0,16683.0,71468.0,11150.0,-1.0,1204.0,47270.0,-1.0,2318.0,0.0,64346.0,42000.0,-1.0,15000.0,-1.0,2042.0,500.0,-1.0,-1.0,15189.0,-1.0,9.0,26000.0,83000.0,35000.0,4819.0,117.0,10678.0,33313.0,-1,-1.0,916.0,18000.0,-1.0,1000.0,-1.0,1600.0,-1.0,23067.0,-1.0,-1.0,4704.0,23880.0,485.0,-1.0,11500.0,20800.0,-1.0,-1.0,-1.0,21129.0,104600.0
1963,-1.0,2270.0,-1.0,-1,-1.0,1761.0,767273.0,-1.0,75195.0,-1.0,72000.0,-1.0,-1.0,-1.0,12470.0,98663.0,9675.0,-1.0,1338.0,49340.0,-1.0,1800.0,0.0,72035.0,43000.0,-1.0,10000.0,-1.0,3222.0,500.0,-1.0,-1.0,14664.0,-1.0,26.0,24000.0,85000.0,38000.0,5989.0,350.0,9785.0,32850.0,-1,-1.0,3000.0,18500.0,-1.0,1400.0,-1.0,1600.0,-1.0,23876.0,-1.0,-1.0,4475.0,24930.0,360.0,-1.0,10815.0,15720.0,-1.0,-1.0,-1.0,20037.0,103300.0
1964,-1.0,2320.0,-1.0,-1,-1.0,2019.0,785300.0,-1.0,89989.0,-1.0,73000.0,-1.0,-1.0,-1.0,12440.0,96761.0,8475.0,-1.0,1070.0,44200.0,-1.0,2645.0,0.0,67583.0,44000.0,-1.0,8400.0,-1.0,3867.0,500.0,-1.0,-1.0,15589.0,-1.0,21.0,28000.0,87000.0,40000.0,6050.0,300.0,9330.0,33109.0,-1,-1.0,4000.0,19000.0,-1.0,1300.0,-1.0,2850.0,-1.0,29946.0,-1.0,-1.0,3389.0,24870.0,460.0,-1.0,9792.0,25875.0,-1.0,-1.0,-1.0,19380.0,105000.0
1965,-1.0,2280.0,-1.0,-1,-1.0,1528.0,840100.0,-1.0,92743.0,-1.0,74000.0,-1.0,-1.0,-1.0,12510.0,66248.0,9416.0,-1.0,669.0,45608.0,-1.0,4371.0,0.0,66369.0,45000.0,-1.0,10220.0,-1.0,4798.0,500.0,-1.0,-1.0,16625.0,-1.0,13.0,25000.0,90000.0,42000.0,6111.0,900.0,4709.0,37436.0,-1,-1.0,2500.0,20000.0,-1.0,1200.0,-1.0,2760.0,-1.0,21448.0,-1.0,-1.0,3679.0,24077.0,360.0,-1.0,13173.0,28645.0,-1.0,-1.0,-1.0,17970.0,100000.0
1966,-1.0,1655.0,-1.0,-1,-1.0,1186.0,843400.0,-1.0,59651.0,-1.0,75000.0,-1.0,-1.0,-1.0,11860.0,58801.0,9251.0,-1.0,268.0,51600.0,-1.0,7941.0,0.0,68000.0,46000.0,-1.0,7810.0,-1.0,3208.0,500.0,-1.0,-1.0,16468.0,-1.0,21.0,25300.0,90000.0,43000.0,6161.0,1200.0,2537.0,31553.0,-1,-1.0,2500.0,22000.0,100.0,1100.0,-1.0,4554.0,-1.0,26709.0,-1.0,-1.0,3441.0,10572.0,615.0,-1.0,16746.0,19480.0,-1.0,-1.0,-1.0,17800.0,100000.0
1967,-1.0,1505.0,-1.0,-1,-1.0,1284.0,829100.0,-1.0,77000.0,-1.0,76000.0,-1.0,-1.0,-1.0,11829.0,83366.0,9655.0,-1.0,308.0,55026.0,-1.0,5509.0,0.0,70800.0,47000.0,-1.0,9130.0,-1.0,2477.0,600.0,-1.0,-1.0,23344.0,-1.0,15.0,13000.0,93000.0,53000.0,5994.0,700.0,3152.0,27695.0,-1,-1.0,2500.0,24000.0,100.0,1500.0,-1.0,2858.0,-1.0,24685.0,-1.0,-1.0,2462.0,6800.0,350.0,-1.0,9405.0,22790.0,-1.0,-1.0,-1.0,15691.0,100000.0
1968,-1.0,2335.0,-1.0,-1,-1.0,1484.0,751700.0,-1.0,99312.0,-1.0,77000.0,-1.0,-1.0,-1.0,10220.0,78308.0,10476.0,-1.0,268.0,48500.0,-1.0,4807.0,0.0,68400.0,48000.0,-1.0,22680.0,-1.0,969.0,600.0,-1.0,-1.0,19193.0,-1.0,13.0,20800.0,95000.0,56000.0,6365.0,-1.0,2320.0,21844.0,-1,-1.0,3000.0,25000.0,100.0,1200.0,-1.0,2857.0,-1.0,25000.0,-1.0,-1.0,3602.0,7390.0,310.0,-1.0,7285.0,22520.0,-1.0,-1.0,-1.0,11368.0,99000.0
1969,-1.0,4140.0,-1.0,-1,-1.0,3972.0,776800.0,-1.0,110455.0,-1.0,78000.0,-1.0,-1.0,-1.0,9200.0,69081.0,7786.0,-1.0,401.0,51747.0,-1.0,4232.0,0.0,71600.0,49000.0,-1.0,25940.0,-1.0,1033.0,600.0,-1.0,-1.0,22310.0,-1.0,10.0,32800.0,97000.0,56000.0,5931.0,-1.0,2085.0,19324.0,-1,-1.0,3000.0,25000.0,100.0,1177.0,-1.0,2783.0,-1.0,27700.0,-1.0,-1.0,2432.0,12645.0,540.0,-1.0,6631.0,23122.0,-1.0,-1.0,-1.0,8211.0,100000.0
1970,-1.0,4230.0,-1.0,-1,-1.0,4856.0,762800.0,-1.0,139511.0,-1.0,79000.0,-1.0,-1.0,-1.0,8400.0,65843.0,10516.0,-1.0,468.0,48500.0,-1.0,5122.0,0.0,90000.0,50000.0,-1.0,21270.0,-1.0,449.0,600.0,-1.0,-1.0,21530.0,-1.0,12.0,37000.0,100000.0,55000.0,5882.0,-1.0,2295.0,19744.0,-1,-1.0,3000.0,27000.0,50.0,1067.0,-1.0,2481.0,-1.0,32667.0,-1.0,-1.0,2253.0,17280.0,315.0,-1.0,10031.0,20577.0,-1.0,-1.0,-1.0,6479.0,103000.0
